1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9A00000014989241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Mar 30 10:57:01 CST 2013
Mission Sample Count:  3264
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 30 10:57:01 CST 2013
Total Mission Samples:  3264
Total Device Samples:  42834
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/30/13 10:57:01 AM,%RH,20.933
3/30/13 11:57:01 AM,%RH,15.587
3/30/13 12:57:01 PM,%RH,14.045
3/30/13 1:57:01 PM,%RH,14.045
3/30/13 2:57:01 PM,%RH,14.045
3/30/13 3:57:01 PM,%RH,14.817
3/30/13 4:57:01 PM,%RH,14.817
3/30/13 5:57:01 PM,%RH,14.045
3/30/13 6:57:01 PM,%RH,17.888
3/30/13 7:57:01 PM,%RH,18.651
3/30/13 8:57:01 PM,%RH,23.202
3/30/13 9:57:01 PM,%RH,26.951
3/30/13 10:57:01 PM,%RH,25.456
3/30/13 11:57:01 PM,%RH,27.696
3/31/13 12:57:01 AM,%RH,29.922
3/31/13 1:57:01 AM,%RH,31.398
3/31/13 2:57:01 AM,%RH,25.456
3/31/13 3:57:01 AM,%RH,24.706
3/31/13 4:57:01 AM,%RH,30.661
3/31/13 5:57:01 AM,%RH,32.868
3/31/13 6:57:01 AM,%RH,32.134
3/31/13 7:57:01 AM,%RH,31.398
3/31/13 8:57:01 AM,%RH,23.954
3/31/13 9:57:01 AM,%RH,17.122
3/31/13 10:57:01 AM,%RH,19.414
3/31/13 11:57:01 AM,%RH,24.706
3/31/13 12:57:01 PM,%RH,28.439
3/31/13 1:57:01 PM,%RH,27.696
3/31/13 2:57:01 PM,%RH,23.202
3/31/13 3:57:01 PM,%RH,24.706
3/31/13 4:57:01 PM,%RH,23.202
3/31/13 5:57:01 PM,%RH,26.951
3/31/13 6:57:01 PM,%RH,40.125
3/31/13 7:57:01 PM,%RH,46.524
3/31/13 8:57:01 PM,%RH,52.106
3/31/13 9:57:01 PM,%RH,54.859
3/31/13 10:57:01 PM,%RH,51.413
3/31/13 11:57:01 PM,%RH,55.544
4/1/13 12:57:01 AM,%RH,54.859
4/1/13 1:57:01 AM,%RH,50.024
4/1/13 2:57:01 AM,%RH,52.106
4/1/13 3:57:01 AM,%RH,55.544
4/1/13 4:57:01 AM,%RH,56.227
4/1/13 5:57:01 AM,%RH,50.024
4/1/13 6:57:01 AM,%RH,51.413
4/1/13 7:57:01 AM,%RH,50.719
4/1/13 8:57:01 AM,%RH,42.985
4/1/13 9:57:01 AM,%RH,32.134
4/1/13 10:57:01 AM,%RH,28.439
4/1/13 11:57:01 AM,%RH,28.439
4/1/13 12:57:01 PM,%RH,24.706
4/1/13 1:57:01 PM,%RH,18.651
4/1/13 2:57:01 PM,%RH,17.888
4/1/13 3:57:01 PM,%RH,19.414
4/1/13 4:57:01 PM,%RH,16.355
4/1/13 5:57:01 PM,%RH,17.122
4/1/13 6:57:01 PM,%RH,20.933
4/1/13 7:57:01 PM,%RH,24.706
4/1/13 8:57:01 PM,%RH,25.456
4/1/13 9:57:01 PM,%RH,54.859
4/1/13 10:57:01 PM,%RH,54.173
4/1/13 11:57:01 PM,%RH,55.544
4/2/13 12:57:01 AM,%RH,60.964
4/2/13 1:57:01 AM,%RH,58.266
4/2/13 2:57:01 AM,%RH,59.618
4/2/13 3:57:01 AM,%RH,62.303
4/2/13 4:57:01 AM,%RH,62.303
4/2/13 5:57:01 AM,%RH,58.943
4/2/13 6:57:01 AM,%RH,37.964
4/2/13 7:57:01 AM,%RH,40.842
4/2/13 8:57:01 AM,%RH,37.964
4/2/13 9:57:01 AM,%RH,29.181
4/2/13 10:57:01 AM,%RH,21.691
4/2/13 11:57:01 AM,%RH,26.204
4/2/13 12:57:01 PM,%RH,20.933
4/2/13 1:57:01 PM,%RH,20.174
4/2/13 2:57:01 PM,%RH,20.174
4/2/13 3:57:01 PM,%RH,17.888
4/2/13 4:57:01 PM,%RH,23.954
4/2/13 5:57:01 PM,%RH,29.922
4/2/13 6:57:01 PM,%RH,50.719
4/2/13 7:57:01 PM,%RH,56.908
4/2/13 8:57:01 PM,%RH,45.113
4/2/13 9:57:01 PM,%RH,46.524
4/2/13 10:57:01 PM,%RH,68.254
4/2/13 11:57:01 PM,%RH,63.637
4/3/13 12:57:01 AM,%RH,67.599
4/3/13 1:57:01 AM,%RH,47.227
4/3/13 2:57:01 AM,%RH,65.625
4/3/13 3:57:01 AM,%RH,46.524
4/3/13 4:57:01 AM,%RH,94.36
4/3/13 5:57:01 AM,%RH,101.315
4/3/13 6:57:01 AM,%RH,101.885
4/3/13 7:57:01 AM,%RH,65.625
4/3/13 8:57:01 AM,%RH,47.227
4/3/13 9:57:01 AM,%RH,29.181
4/3/13 10:57:01 AM,%RH,36.516
4/3/13 11:57:01 AM,%RH,40.125
4/3/13 12:57:01 PM,%RH,33.601
4/3/13 1:57:01 PM,%RH,29.922
4/3/13 2:57:01 PM,%RH,24.706
4/3/13 3:57:01 PM,%RH,31.398
4/3/13 4:57:01 PM,%RH,25.456
4/3/13 5:57:01 PM,%RH,30.661
4/3/13 6:57:01 PM,%RH,42.985
4/3/13 7:57:01 PM,%RH,58.266
4/3/13 8:57:01 PM,%RH,56.908
4/3/13 9:57:01 PM,%RH,56.227
4/3/13 10:57:01 PM,%RH,50.024
4/3/13 11:57:01 PM,%RH,47.928
4/4/13 12:57:01 AM,%RH,39.406
4/4/13 1:57:01 AM,%RH,41.558
4/4/13 2:57:01 AM,%RH,42.272
4/4/13 3:57:01 AM,%RH,42.985
4/4/13 4:57:01 AM,%RH,45.113
4/4/13 5:57:01 AM,%RH,44.405
4/4/13 6:57:01 AM,%RH,44.405
4/4/13 7:57:01 AM,%RH,42.272
4/4/13 8:57:01 AM,%RH,32.868
4/4/13 9:57:01 AM,%RH,22.447
4/4/13 10:57:01 AM,%RH,21.691
4/4/13 11:57:01 AM,%RH,22.447
4/4/13 12:57:01 PM,%RH,20.933
4/4/13 1:57:01 PM,%RH,17.888
4/4/13 2:57:01 PM,%RH,13.272
4/4/13 3:57:01 PM,%RH,13.272
4/4/13 4:57:01 PM,%RH,11.721
4/4/13 5:57:01 PM,%RH,12.498
4/4/13 6:57:01 PM,%RH,23.954
4/4/13 7:57:01 PM,%RH,29.181
4/4/13 8:57:01 PM,%RH,32.134
4/4/13 9:57:01 PM,%RH,32.868
4/4/13 10:57:01 PM,%RH,30.661
4/4/13 11:57:01 PM,%RH,35.062
4/5/13 12:57:01 AM,%RH,39.406
4/5/13 1:57:01 AM,%RH,37.964
4/5/13 2:57:01 AM,%RH,37.241
4/5/13 3:57:01 AM,%RH,35.062
4/5/13 4:57:01 AM,%RH,36.516
4/5/13 5:57:01 AM,%RH,32.868
4/5/13 6:57:01 AM,%RH,37.964
4/5/13 7:57:01 AM,%RH,33.601
4/5/13 8:57:01 AM,%RH,26.951
4/5/13 9:57:01 AM,%RH,20.174
4/5/13 10:57:01 AM,%RH,21.691
4/5/13 11:57:01 AM,%RH,21.691
4/5/13 12:57:01 PM,%RH,18.651
4/5/13 1:57:01 PM,%RH,17.122
4/5/13 2:57:01 PM,%RH,14.045
4/5/13 3:57:01 PM,%RH,13.272
4/5/13 4:57:01 PM,%RH,10.944
4/5/13 5:57:01 PM,%RH,17.888
4/5/13 6:57:01 PM,%RH,20.174
4/5/13 7:57:01 PM,%RH,22.447
4/5/13 8:57:01 PM,%RH,23.202
4/5/13 9:57:01 PM,%RH,23.202
4/5/13 10:57:01 PM,%RH,26.951
4/5/13 11:57:01 PM,%RH,28.439
4/6/13 12:57:01 AM,%RH,28.439
4/6/13 1:57:01 AM,%RH,26.204
4/6/13 2:57:01 AM,%RH,28.439
4/6/13 3:57:01 AM,%RH,23.202
4/6/13 4:57:01 AM,%RH,30.661
4/6/13 5:57:01 AM,%RH,30.661
4/6/13 6:57:01 AM,%RH,29.181
4/6/13 7:57:01 AM,%RH,29.181
4/6/13 8:57:01 AM,%RH,23.954
4/6/13 9:57:01 AM,%RH,20.933
4/6/13 10:57:01 AM,%RH,20.933
4/6/13 11:57:01 AM,%RH,18.651
4/6/13 12:57:01 PM,%RH,17.122
4/6/13 1:57:01 PM,%RH,14.817
4/6/13 2:57:01 PM,%RH,12.498
4/6/13 3:57:01 PM,%RH,10.944
4/6/13 4:57:01 PM,%RH,7.817
4/6/13 5:57:01 PM,%RH,7.031
4/6/13 6:57:01 PM,%RH,10.164
4/6/13 7:57:01 PM,%RH,11.721
4/6/13 8:57:01 PM,%RH,13.272
4/6/13 9:57:01 PM,%RH,14.045
4/6/13 10:57:01 PM,%RH,16.355
4/6/13 11:57:01 PM,%RH,17.122
4/7/13 12:57:01 AM,%RH,19.414
4/7/13 1:57:01 AM,%RH,20.933
4/7/13 3:57:01 AM,%RH,17.888
4/7/13 4:57:01 AM,%RH,20.933
4/7/13 5:57:01 AM,%RH,21.691
4/7/13 6:57:01 AM,%RH,23.954
4/7/13 7:57:01 AM,%RH,26.204
4/7/13 8:57:01 AM,%RH,26.951
4/7/13 9:57:01 AM,%RH,20.933
4/7/13 10:57:01 AM,%RH,17.888
4/7/13 11:57:01 AM,%RH,14.817
4/7/13 12:57:01 PM,%RH,13.272
4/7/13 1:57:01 PM,%RH,10.944
4/7/13 2:57:01 PM,%RH,10.944
4/7/13 3:57:01 PM,%RH,9.383
4/7/13 4:57:01 PM,%RH,7.817
4/7/13 5:57:01 PM,%RH,8.601
4/7/13 6:57:01 PM,%RH,8.601
4/7/13 7:57:01 PM,%RH,11.721
4/7/13 8:57:01 PM,%RH,14.045
4/7/13 9:57:01 PM,%RH,15.587
4/7/13 10:57:01 PM,%RH,17.122
4/7/13 11:57:01 PM,%RH,17.888
4/8/13 12:57:01 AM,%RH,17.888
4/8/13 1:57:01 AM,%RH,20.174
4/8/13 2:57:01 AM,%RH,20.174
4/8/13 3:57:01 AM,%RH,22.447
4/8/13 4:57:01 AM,%RH,25.456
4/8/13 5:57:01 AM,%RH,27.696
4/8/13 6:57:01 AM,%RH,29.181
4/8/13 7:57:01 AM,%RH,30.661
4/8/13 8:57:01 AM,%RH,29.922
4/8/13 9:57:01 AM,%RH,23.202
4/8/13 10:57:01 AM,%RH,17.122
4/8/13 11:57:01 AM,%RH,17.888
4/8/13 12:57:01 PM,%RH,16.355
4/8/13 1:57:01 PM,%RH,14.045
4/8/13 2:57:01 PM,%RH,11.721
4/8/13 3:57:01 PM,%RH,10.164
4/8/13 4:57:01 PM,%RH,9.383
4/8/13 5:57:01 PM,%RH,8.601
4/8/13 6:57:01 PM,%RH,8.601
4/8/13 7:57:01 PM,%RH,12.498
4/8/13 8:57:01 PM,%RH,16.355
4/8/13 9:57:01 PM,%RH,14.817
4/8/13 10:57:01 PM,%RH,14.817
4/8/13 11:57:01 PM,%RH,17.122
4/9/13 12:57:01 AM,%RH,18.651
4/9/13 1:57:01 AM,%RH,22.447
4/9/13 2:57:01 AM,%RH,22.447
4/9/13 3:57:01 AM,%RH,25.456
4/9/13 4:57:01 AM,%RH,26.204
4/9/13 5:57:01 AM,%RH,29.181
4/9/13 6:57:01 AM,%RH,34.332
4/9/13 7:57:01 AM,%RH,40.125
4/9/13 8:57:01 AM,%RH,37.964
4/9/13 9:57:01 AM,%RH,28.439
4/9/13 10:57:01 AM,%RH,19.414
4/9/13 11:57:01 AM,%RH,16.355
4/9/13 12:57:01 PM,%RH,16.355
4/9/13 1:57:01 PM,%RH,13.272
4/9/13 2:57:01 PM,%RH,10.164
