1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5800000014939441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 6000 second(s)
Mission Start Time:  Tue Aug 13 11:43:01 CDT 2013
Mission Sample Count:  3385
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 13 11:43:01 CDT 2013
Total Mission Samples:  3385
Total Device Samples:  41267
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/13/13 11:43:01 AM,C,30.704
8/13/13 1:23:01 PM,C,25.207
8/13/13 3:03:01 PM,C,28.206
8/13/13 4:43:01 PM,C,27.706
8/13/13 6:23:01 PM,C,24.207
8/13/13 8:03:01 PM,C,22.706
8/13/13 9:43:01 PM,C,21.205
8/13/13 11:23:01 PM,C,19.704
8/14/13 1:03:01 AM,C,19.203
8/14/13 2:43:01 AM,C,18.202
8/14/13 4:23:01 AM,C,18.703
8/14/13 6:03:01 AM,C,17.701
8/14/13 7:43:01 AM,C,18.703
8/14/13 9:23:01 AM,C,24.707
8/14/13 11:03:01 AM,C,25.207
8/14/13 12:43:01 PM,C,21.205
8/14/13 2:23:01 PM,C,21.205
8/14/13 4:03:01 PM,C,22.206
8/14/13 5:43:01 PM,C,22.206
8/14/13 7:23:01 PM,C,21.205
8/14/13 9:03:01 PM,C,20.204
8/14/13 10:43:01 PM,C,18.703
8/15/13 12:23:01 AM,C,18.202
8/15/13 2:03:01 AM,C,17.701
8/15/13 3:43:01 AM,C,17.701
8/15/13 5:23:01 AM,C,17.2
8/15/13 7:03:01 AM,C,16.7
8/15/13 8:43:01 AM,C,21.706
8/15/13 10:23:01 AM,C,24.207
8/15/13 12:03:01 PM,C,23.707
8/15/13 1:43:01 PM,C,25.707
8/15/13 3:23:01 PM,C,21.205
8/15/13 5:03:01 PM,C,22.206
8/15/13 6:43:01 PM,C,22.706
8/15/13 8:23:01 PM,C,21.706
8/15/13 10:03:01 PM,C,20.705
8/15/13 11:43:01 PM,C,20.204
8/16/13 1:23:01 AM,C,19.203
8/16/13 3:03:01 AM,C,19.203
8/16/13 4:43:01 AM,C,18.202
8/16/13 6:23:01 AM,C,18.202
8/16/13 8:03:01 AM,C,23.207
8/16/13 9:43:01 AM,C,25.707
8/16/13 11:23:01 AM,C,27.706
8/16/13 1:03:01 PM,C,26.207
8/16/13 2:43:01 PM,C,18.202
8/16/13 4:23:01 PM,C,25.707
8/16/13 6:03:01 PM,C,26.207
8/16/13 7:43:01 PM,C,23.707
8/16/13 9:23:01 PM,C,21.205
8/16/13 11:03:01 PM,C,20.705
8/17/13 12:43:01 AM,C,19.704
8/17/13 2:23:01 AM,C,19.704
8/17/13 4:03:01 AM,C,19.704
8/17/13 5:43:01 AM,C,16.7
8/17/13 7:23:01 AM,C,17.701
8/17/13 9:03:01 AM,C,25.707
8/17/13 10:43:01 AM,C,29.205
8/17/13 12:23:01 PM,C,28.206
8/17/13 2:03:01 PM,C,28.206
8/17/13 3:43:01 PM,C,28.706
8/17/13 5:23:01 PM,C,27.706
8/17/13 7:03:01 PM,C,24.207
8/17/13 8:43:01 PM,C,21.706
8/17/13 10:23:01 PM,C,21.205
8/18/13 12:03:01 AM,C,20.204
8/18/13 1:43:01 AM,C,19.203
8/18/13 3:23:01 AM,C,18.703
8/18/13 5:03:01 AM,C,18.202
8/18/13 6:43:01 AM,C,17.701
8/18/13 8:23:01 AM,C,21.706
8/18/13 10:03:01 AM,C,25.207
8/18/13 11:43:01 AM,C,28.706
8/18/13 1:23:01 PM,C,27.706
8/18/13 3:03:01 PM,C,16.199
8/18/13 4:43:01 PM,C,16.199
8/18/13 6:23:01 PM,C,15.197
8/18/13 8:03:01 PM,C,17.2
8/18/13 9:43:01 PM,C,17.2
8/18/13 11:23:01 PM,C,18.202
8/19/13 1:03:01 AM,C,18.703
8/19/13 2:43:01 AM,C,16.7
8/19/13 4:23:01 AM,C,18.202
8/19/13 6:03:01 AM,C,18.703
8/19/13 7:43:01 AM,C,19.203
8/19/13 9:23:01 AM,C,27.706
8/19/13 11:03:01 AM,C,24.207
8/19/13 12:43:01 PM,C,24.207
8/19/13 2:23:01 PM,C,26.707
8/19/13 4:03:01 PM,C,24.207
8/19/13 5:43:01 PM,C,23.707
8/19/13 7:23:01 PM,C,23.207
8/19/13 9:03:01 PM,C,21.205
8/19/13 10:43:01 PM,C,19.704
8/20/13 12:23:01 AM,C,18.703
8/20/13 2:03:01 AM,C,18.202
8/20/13 3:43:01 AM,C,17.701
8/20/13 5:23:01 AM,C,18.202
8/20/13 7:03:01 AM,C,18.703
8/20/13 8:43:01 AM,C,21.205
8/20/13 10:23:01 AM,C,23.207
8/20/13 12:03:01 PM,C,24.707
8/20/13 1:43:01 PM,C,25.207
8/20/13 3:23:01 PM,C,23.707
8/20/13 5:03:01 PM,C,22.706
8/20/13 6:43:01 PM,C,21.205
8/20/13 8:23:01 PM,C,18.703
8/20/13 10:03:01 PM,C,18.703
8/20/13 11:43:01 PM,C,17.2
8/21/13 1:23:01 AM,C,17.701
8/21/13 3:03:01 AM,C,17.2
8/21/13 4:43:01 AM,C,16.7
8/21/13 6:23:01 AM,C,15.698
8/21/13 8:03:01 AM,C,16.199
8/21/13 9:43:01 AM,C,21.205
8/21/13 11:23:01 AM,C,20.204
8/21/13 1:03:01 PM,C,22.206
8/21/13 2:43:01 PM,C,23.707
8/21/13 4:23:01 PM,C,24.207
