1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5300000013014841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3000 second(s)
Mission Start Time:  Tue Aug 13 10:43:01 CDT 2013
Mission Sample Count:  6775
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 13 10:43:01 CDT 2013
Total Mission Samples:  6775
Total Device Samples:  78477
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/13/13 10:43:01 AM,C,29.156
8/13/13 11:33:01 AM,C,30.155
8/13/13 12:23:01 PM,C,29.156
8/13/13 1:13:01 PM,C,30.155
8/13/13 2:03:01 PM,C,29.156
8/13/13 2:53:01 PM,C,31.154
8/13/13 3:43:01 PM,C,31.653
8/13/13 4:33:01 PM,C,32.651
8/13/13 5:23:01 PM,C,28.657
8/13/13 6:13:01 PM,C,31.653
8/13/13 7:03:01 PM,C,29.656
8/13/13 7:53:01 PM,C,28.157
8/13/13 8:43:01 PM,C,23.158
8/13/13 9:33:01 PM,C,21.657
8/13/13 10:23:01 PM,C,21.156
8/13/13 11:13:01 PM,C,21.156
8/14/13 12:03:01 AM,C,20.656
8/14/13 12:53:01 AM,C,20.155
8/14/13 1:43:01 AM,C,19.654
8/14/13 2:33:01 AM,C,19.654
8/14/13 3:23:01 AM,C,19.154
8/14/13 4:13:01 AM,C,18.152
8/14/13 5:03:01 AM,C,17.15
8/14/13 5:53:01 AM,C,17.15
8/14/13 6:43:01 AM,C,17.15
8/14/13 7:33:01 AM,C,17.15
8/14/13 8:23:01 AM,C,18.152
8/14/13 9:13:01 AM,C,23.658
8/14/13 10:03:01 AM,C,27.158
8/14/13 10:53:01 AM,C,26.158
8/14/13 11:43:01 AM,C,25.158
8/14/13 12:33:01 PM,C,23.158
8/14/13 1:23:01 PM,C,24.158
8/14/13 2:13:01 PM,C,25.658
8/14/13 3:03:01 PM,C,25.158
8/14/13 3:53:01 PM,C,27.158
8/14/13 4:43:01 PM,C,29.156
8/14/13 5:33:01 PM,C,29.156
8/14/13 6:23:01 PM,C,31.653
8/14/13 7:13:01 PM,C,28.657
8/14/13 8:03:01 PM,C,26.158
8/14/13 8:53:01 PM,C,21.657
8/14/13 9:43:01 PM,C,20.155
8/14/13 10:33:01 PM,C,19.654
8/14/13 11:23:01 PM,C,19.654
8/15/13 12:13:01 AM,C,19.154
8/15/13 1:03:01 AM,C,18.653
8/15/13 1:53:01 AM,C,17.651
8/15/13 2:43:01 AM,C,17.651
8/15/13 3:33:01 AM,C,18.152
8/15/13 4:23:01 AM,C,18.653
8/15/13 5:13:01 AM,C,18.152
8/15/13 6:03:01 AM,C,16.649
8/15/13 6:53:01 AM,C,16.148
8/15/13 7:43:01 AM,C,16.148
8/15/13 8:33:01 AM,C,19.154
8/15/13 9:23:01 AM,C,27.158
8/15/13 10:13:01 AM,C,28.657
8/15/13 11:03:01 AM,C,27.657
8/15/13 11:53:01 AM,C,28.657
8/15/13 12:43:01 PM,C,29.156
8/15/13 1:33:01 PM,C,28.157
8/15/13 2:23:01 PM,C,25.158
8/15/13 3:13:01 PM,C,23.658
8/15/13 4:03:01 PM,C,20.656
8/15/13 4:53:01 PM,C,20.656
8/15/13 5:43:01 PM,C,29.656
8/15/13 6:33:01 PM,C,33.15
8/15/13 7:23:01 PM,C,24.158
8/15/13 8:13:01 PM,C,22.157
8/15/13 9:03:01 PM,C,20.656
8/15/13 9:53:01 PM,C,20.155
8/15/13 10:43:01 PM,C,20.656
8/15/13 11:33:01 PM,C,20.155
8/16/13 12:23:01 AM,C,19.654
