1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9A00000014989241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 6000 second(s)
Mission Start Time:  Tue Aug 13 11:10:01 CDT 2013
Mission Sample Count:  3387
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 13 11:10:01 CDT 2013
Total Mission Samples:  3387
Total Device Samples:  46223
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/13/13 11:10:01 AM,C,29.691
8/13/13 12:50:01 PM,C,25.693
8/13/13 2:30:01 PM,C,28.192
8/13/13 4:10:01 PM,C,30.689
8/13/13 5:50:01 PM,C,30.19
8/13/13 7:30:01 PM,C,29.691
8/13/13 9:10:01 PM,C,21.691
8/13/13 10:50:01 PM,C,20.19
8/14/13 12:30:01 AM,C,19.689
8/14/13 2:10:01 AM,C,19.188
8/14/13 3:50:01 AM,C,17.685
8/14/13 5:30:01 AM,C,17.685
8/14/13 7:10:01 AM,C,16.181
8/14/13 8:50:01 AM,C,19.188
8/14/13 10:30:01 AM,C,23.693
8/14/13 12:10:01 PM,C,21.691
8/14/13 1:50:01 PM,C,23.193
8/14/13 3:30:01 PM,C,24.193
8/14/13 5:10:01 PM,C,28.692
8/14/13 6:50:01 PM,C,30.689
8/14/13 8:30:01 PM,C,21.691
8/14/13 10:10:01 PM,C,19.689
8/14/13 11:50:01 PM,C,18.687
8/15/13 1:30:01 AM,C,18.186
8/15/13 3:10:01 AM,C,17.685
8/15/13 4:50:01 AM,C,18.186
8/15/13 6:30:01 AM,C,16.181
8/15/13 8:10:01 AM,C,17.685
8/15/13 9:50:01 AM,C,22.692
8/15/13 11:30:01 AM,C,25.193
8/15/13 1:10:01 PM,C,23.693
8/15/13 2:50:01 PM,C,22.192
8/15/13 4:30:01 PM,C,19.188
8/15/13 6:10:01 PM,C,32.186
8/15/13 7:50:01 PM,C,22.692
8/15/13 9:30:01 PM,C,20.69
