1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CE00000014928441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3000 second(s)
Mission Start Time:  Sun Aug 11 15:30:01 CDT 2013
Mission Sample Count:  6801
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Aug 11 15:30:01 CDT 2013
Total Mission Samples:  6801
Total Device Samples:  43595
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/11/13 3:30:01 PM,C,26.18
8/11/13 4:20:01 PM,C,27.679
8/11/13 5:10:01 PM,C,28.179
8/11/13 6:00:01 PM,C,29.178
8/11/13 6:50:01 PM,C,28.179
8/11/13 7:40:01 PM,C,25.68
8/11/13 8:30:01 PM,C,22.679
8/11/13 9:20:01 PM,C,22.679
8/11/13 10:10:01 PM,C,21.678
8/11/13 11:00:01 PM,C,20.677
8/11/13 11:50:01 PM,C,19.676
8/12/13 12:40:01 AM,C,18.174
8/12/13 1:30:01 AM,C,19.676
8/12/13 2:20:01 AM,C,18.675
8/12/13 3:10:01 AM,C,18.174
8/12/13 4:00:01 AM,C,16.171
8/12/13 4:50:01 AM,C,15.67
8/12/13 5:40:01 AM,C,16.171
8/12/13 6:30:01 AM,C,17.674
8/12/13 7:20:01 AM,C,16.672
8/12/13 8:10:01 AM,C,16.171
8/12/13 9:00:01 AM,C,20.677
8/12/13 9:50:01 AM,C,25.18
8/12/13 10:40:01 AM,C,27.679
8/12/13 11:30:01 AM,C,32.175
8/12/13 12:20:01 PM,C,30.677
8/12/13 1:10:01 PM,C,30.677
8/12/13 2:00:01 PM,C,30.177
8/12/13 2:50:01 PM,C,30.677
8/12/13 3:40:01 PM,C,29.178
8/12/13 4:30:01 PM,C,28.679
8/12/13 5:20:01 PM,C,28.679
8/12/13 6:10:01 PM,C,26.18
8/12/13 7:00:01 PM,C,24.68
8/12/13 7:50:01 PM,C,22.679
8/12/13 8:40:01 PM,C,20.677
8/12/13 9:30:01 PM,C,18.675
8/12/13 10:20:01 PM,C,17.674
8/12/13 11:10:01 PM,C,18.174
8/13/13 12:00:01 AM,C,17.674
8/13/13 12:50:01 AM,C,16.672
8/13/13 1:40:01 AM,C,15.67
8/13/13 2:30:01 AM,C,14.668
8/13/13 3:20:01 AM,C,14.167
8/13/13 4:10:01 AM,C,13.164
8/13/13 5:00:01 AM,C,12.663
8/13/13 5:50:01 AM,C,12.162
8/13/13 6:40:01 AM,C,11.66
8/13/13 7:30:01 AM,C,11.66
8/13/13 8:20:01 AM,C,12.162
8/13/13 9:10:01 AM,C,18.174
8/13/13 10:00:01 AM,C,28.179
8/13/13 10:50:01 AM,C,30.177
8/13/13 11:40:01 AM,C,31.675
8/13/13 12:30:01 PM,C,30.677
8/13/13 1:20:01 PM,C,30.677
8/13/13 2:10:01 PM,C,31.675
8/13/13 3:00:01 PM,C,31.176
8/13/13 3:50:01 PM,C,30.177
8/13/13 4:40:01 PM,C,30.177
8/13/13 5:30:01 PM,C,31.675
8/13/13 6:20:01 PM,C,30.677
8/13/13 7:10:01 PM,C,28.679
8/13/13 8:00:01 PM,C,26.18
8/13/13 8:50:01 PM,C,24.18
8/13/13 9:40:01 PM,C,21.178
8/13/13 10:30:01 PM,C,19.676
8/13/13 11:20:01 PM,C,18.174
8/14/13 12:10:01 AM,C,17.173
8/14/13 1:00:01 AM,C,16.171
8/14/13 1:50:01 AM,C,16.171
8/14/13 2:40:01 AM,C,16.171
8/14/13 3:30:01 AM,C,15.67
8/14/13 4:20:01 AM,C,14.668
8/14/13 5:10:01 AM,C,13.666
8/14/13 6:00:01 AM,C,13.164
8/14/13 6:50:01 AM,C,12.663
8/14/13 7:40:01 AM,C,13.164
8/14/13 8:30:01 AM,C,14.668
8/14/13 9:20:01 AM,C,22.179
8/14/13 10:10:01 AM,C,27.179
8/14/13 11:00:01 AM,C,27.679
8/14/13 11:50:01 AM,C,24.18
8/14/13 12:40:01 PM,C,24.68
8/14/13 1:30:01 PM,C,25.68
8/14/13 2:20:01 PM,C,25.68
8/14/13 3:10:01 PM,C,26.18
8/14/13 4:00:01 PM,C,26.18
8/14/13 4:50:01 PM,C,27.679
8/14/13 5:40:01 PM,C,30.177
8/14/13 6:30:01 PM,C,29.678
8/14/13 7:20:01 PM,C,27.179
8/14/13 8:10:01 PM,C,23.679
8/14/13 9:00:01 PM,C,21.678
8/14/13 9:50:01 PM,C,19.176
8/14/13 10:40:01 PM,C,18.174
8/14/13 11:30:01 PM,C,19.176
8/15/13 12:20:01 AM,C,19.676
8/15/13 1:10:01 AM,C,17.173
8/15/13 2:00:01 AM,C,15.67
8/15/13 2:50:01 AM,C,15.169
8/15/13 3:40:01 AM,C,14.668
8/15/13 4:30:01 AM,C,14.668
8/15/13 5:20:01 AM,C,14.167
8/15/13 6:10:01 AM,C,13.164
8/15/13 7:00:01 AM,C,12.663
8/15/13 7:50:01 AM,C,12.663
8/15/13 8:40:01 AM,C,14.167
8/15/13 9:30:01 AM,C,24.68
8/15/13 10:20:01 AM,C,31.176
8/15/13 11:10:01 AM,C,31.176
8/15/13 12:00:01 PM,C,28.679
