1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC00000013110141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3000 second(s)
Mission Start Time:  Tue Aug 13 08:40:01 CDT 2013
Mission Sample Count:  6752
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 13 08:40:01 CDT 2013
Total Mission Samples:  6752
Total Device Samples:  77869
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/13/13 8:40:01 AM,C,20.097
8/13/13 9:30:01 AM,C,25.1
8/13/13 10:20:01 AM,C,29.597
8/13/13 11:10:01 AM,C,28.598
8/13/13 12:00:01 PM,C,29.098
8/13/13 12:50:01 PM,C,28.598
8/13/13 1:40:01 PM,C,29.597
8/13/13 2:30:01 PM,C,31.595
8/13/13 3:20:01 PM,C,29.098
8/13/13 4:10:01 PM,C,31.595
8/13/13 5:00:01 PM,C,29.597
8/13/13 5:50:01 PM,C,30.097
8/13/13 6:40:01 PM,C,29.098
8/13/13 7:30:01 PM,C,28.099
8/13/13 8:20:01 PM,C,25.1
8/13/13 9:10:01 PM,C,22.599
8/13/13 10:00:01 PM,C,19.596
8/13/13 10:50:01 PM,C,18.094
8/13/13 11:40:01 PM,C,16.591
8/14/13 12:30:01 AM,C,16.09
8/14/13 1:20:01 AM,C,16.591
8/14/13 2:10:01 AM,C,15.589
8/14/13 3:00:01 AM,C,15.088
8/14/13 3:50:01 AM,C,14.085
8/14/13 4:40:01 AM,C,13.584
8/14/13 5:30:01 AM,C,13.082
8/14/13 6:20:01 AM,C,12.581
8/14/13 7:10:01 AM,C,12.079
8/14/13 8:00:01 AM,C,13.584
8/14/13 8:50:01 AM,C,20.097
8/14/13 9:40:01 AM,C,26.1
8/14/13 10:30:01 AM,C,27.599
8/14/13 11:20:01 AM,C,24.6
8/14/13 12:10:01 PM,C,23.599
8/14/13 1:00:01 PM,C,24.099
8/14/13 1:50:01 PM,C,24.6
8/14/13 2:40:01 PM,C,25.6
8/14/13 3:30:01 PM,C,28.099
8/14/13 4:20:01 PM,C,27.599
8/14/13 5:10:01 PM,C,27.599
8/14/13 6:00:01 PM,C,28.099
8/14/13 6:50:01 PM,C,28.099
8/14/13 7:40:01 PM,C,26.599
8/14/13 8:30:01 PM,C,23.599
8/14/13 9:20:01 PM,C,20.597
8/14/13 10:10:01 PM,C,18.094
8/14/13 11:00:01 PM,C,16.591
8/14/13 11:50:01 PM,C,16.09
8/15/13 12:40:01 AM,C,16.09
8/15/13 1:30:01 AM,C,15.589
8/15/13 2:20:01 AM,C,15.088
8/15/13 3:10:01 AM,C,14.586
8/15/13 4:00:01 AM,C,14.085
8/15/13 4:50:01 AM,C,14.085
8/15/13 5:40:01 AM,C,13.082
8/15/13 6:30:01 AM,C,12.079
8/15/13 7:20:01 AM,C,12.079
8/15/13 8:10:01 AM,C,14.085
8/15/13 9:00:01 AM,C,21.098
8/15/13 9:50:01 AM,C,28.598
8/15/13 10:40:01 AM,C,29.098
8/15/13 11:30:01 AM,C,27.599
8/15/13 12:20:01 PM,C,29.597
8/15/13 1:10:01 PM,C,29.098
8/15/13 2:00:01 PM,C,27.099
8/15/13 2:50:01 PM,C,27.599
8/15/13 3:40:01 PM,C,26.599
8/15/13 4:30:01 PM,C,24.099
8/15/13 5:20:01 PM,C,27.099
8/15/13 6:10:01 PM,C,28.099
8/15/13 7:00:01 PM,C,27.599
8/15/13 7:50:01 PM,C,25.1
8/15/13 8:40:01 PM,C,22.099
8/15/13 9:30:01 PM,C,20.597
8/15/13 10:20:01 PM,C,20.097
8/15/13 11:10:01 PM,C,19.596
8/16/13 12:00:01 AM,C,17.593
8/16/13 12:50:01 AM,C,16.09
8/16/13 1:40:01 AM,C,15.088
8/16/13 2:30:01 AM,C,14.586
8/16/13 3:20:01 AM,C,14.085
8/16/13 4:10:01 AM,C,14.586
8/16/13 5:00:01 AM,C,13.584
8/16/13 5:50:01 AM,C,13.082
8/16/13 6:40:01 AM,C,11.578
8/16/13 7:30:01 AM,C,11.578
8/16/13 8:20:01 AM,C,15.088
8/16/13 9:10:01 AM,C,21.098
8/16/13 10:00:01 AM,C,26.599
8/16/13 10:50:01 AM,C,30.097
8/16/13 11:40:01 AM,C,31.095
8/16/13 12:30:01 PM,C,31.595
8/16/13 1:20:01 PM,C,31.095
8/16/13 2:10:01 PM,C,27.099
8/16/13 3:00:01 PM,C,26.1
8/16/13 3:50:01 PM,C,26.1
8/16/13 4:40:01 PM,C,31.595
8/16/13 5:30:01 PM,C,33.591
8/16/13 6:20:01 PM,C,30.596
8/16/13 7:10:01 PM,C,29.597
8/16/13 8:00:01 PM,C,27.599
8/16/13 8:50:01 PM,C,23.599
8/16/13 9:40:01 PM,C,19.095
8/16/13 10:30:01 PM,C,16.591
8/16/13 11:20:01 PM,C,15.088
8/17/13 12:10:01 AM,C,14.586
8/17/13 1:00:01 AM,C,13.584
8/17/13 1:50:01 AM,C,12.581
8/17/13 2:40:01 AM,C,12.581
