1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 840000001494DF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 6000 second(s)
Mission Start Time:  Mon Aug 12 16:19:01 CDT 2013
Mission Sample Count:  3399
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Mon Aug 12 16:19:01 CDT 2013
Total Mission Samples:  3399
Total Device Samples:  30481
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/12/13 4:19:01 PM,C,28.247
8/12/13 5:59:01 PM,C,21.746
8/12/13 7:39:01 PM,C,20.244
8/12/13 9:19:01 PM,C,17.238
8/12/13 10:59:01 PM,C,18.24
8/13/13 12:39:01 AM,C,17.739
8/13/13 2:19:01 AM,C,16.736
8/13/13 3:59:01 AM,C,15.733
8/13/13 5:39:01 AM,C,15.733
8/13/13 7:19:01 AM,C,14.228
8/13/13 8:59:01 AM,C,15.232
8/13/13 10:39:01 AM,C,25.748
8/13/13 12:19:01 PM,C,23.247
8/13/13 1:59:01 PM,C,25.248
8/13/13 3:39:01 PM,C,27.747
8/13/13 5:19:01 PM,C,25.248
8/13/13 6:59:01 PM,C,24.748
8/13/13 8:39:01 PM,C,21.746
8/13/13 10:19:01 PM,C,19.242
8/13/13 11:59:01 PM,C,19.743
8/14/13 1:39:01 AM,C,18.741
8/14/13 3:19:01 AM,C,16.736
8/14/13 4:59:01 AM,C,15.733
8/14/13 6:39:01 AM,C,15.733
8/14/13 8:19:01 AM,C,16.736
8/14/13 9:59:01 AM,C,20.244
8/14/13 11:39:01 AM,C,18.741
8/14/13 1:19:01 PM,C,20.745
8/14/13 2:59:01 PM,C,22.247
8/14/13 4:39:01 PM,C,25.248
8/14/13 6:19:01 PM,C,24.248
8/14/13 7:59:01 PM,C,20.745
8/14/13 9:39:01 PM,C,18.741
8/14/13 11:19:01 PM,C,18.24
8/15/13 12:59:01 AM,C,17.238
8/15/13 2:39:01 AM,C,17.238
8/15/13 4:19:01 AM,C,16.235
8/15/13 5:59:01 AM,C,15.232
8/15/13 7:39:01 AM,C,14.73
8/15/13 9:19:01 AM,C,15.232
8/15/13 10:59:01 AM,C,22.247
8/15/13 12:39:01 PM,C,23.247
8/15/13 2:19:01 PM,C,22.747
8/15/13 3:59:01 PM,C,17.739
8/15/13 5:39:01 PM,C,28.746
8/15/13 7:19:01 PM,C,21.746
8/15/13 8:59:01 PM,C,18.741
8/15/13 10:39:01 PM,C,17.739
8/16/13 12:19:01 AM,C,18.24
8/16/13 1:59:01 AM,C,17.238
8/16/13 3:39:01 AM,C,16.736
8/16/13 5:19:01 AM,C,14.228
8/16/13 6:59:01 AM,C,18.741
8/16/13 8:39:01 AM,C,18.24
8/16/13 10:19:01 AM,C,21.245
8/16/13 11:59:01 AM,C,24.748
8/16/13 1:39:01 PM,C,23.247
8/16/13 3:19:01 PM,C,15.733
8/16/13 4:59:01 PM,C,25.248
8/16/13 6:39:01 PM,C,24.248
8/16/13 8:19:01 PM,C,20.244
8/16/13 9:59:01 PM,C,17.238
8/16/13 11:39:01 PM,C,16.736
8/17/13 1:19:01 AM,C,16.736
8/17/13 2:59:01 AM,C,15.733
8/17/13 4:39:01 AM,C,16.736
8/17/13 6:19:01 AM,C,17.739
8/17/13 7:59:01 AM,C,15.733
8/17/13 9:39:01 AM,C,19.743
8/17/13 11:19:01 AM,C,26.248
8/17/13 12:59:01 PM,C,26.748
8/17/13 2:39:01 PM,C,27.247
8/17/13 4:19:01 PM,C,24.248
8/17/13 5:59:01 PM,C,25.748
8/17/13 7:39:01 PM,C,21.245
8/17/13 9:19:01 PM,C,17.739
8/17/13 10:59:01 PM,C,19.743
8/18/13 12:39:01 AM,C,19.242
8/18/13 2:19:01 AM,C,18.741
8/18/13 3:59:01 AM,C,18.24
8/18/13 5:39:01 AM,C,17.739
8/18/13 7:19:01 AM,C,18.24
8/18/13 8:59:01 AM,C,18.741
8/18/13 10:39:01 AM,C,21.746
8/18/13 12:19:01 PM,C,22.247
8/18/13 1:59:01 PM,C,28.746
8/18/13 3:39:01 PM,C,14.228
8/18/13 5:19:01 PM,C,18.24
8/18/13 6:59:01 PM,C,14.73
8/18/13 8:39:01 PM,C,16.235
8/18/13 10:19:01 PM,C,15.232
8/18/13 11:59:01 PM,C,15.733
8/19/13 1:39:01 AM,C,14.73
8/19/13 3:19:01 AM,C,14.73
8/19/13 4:59:01 AM,C,14.228
8/19/13 6:39:01 AM,C,13.727
8/19/13 8:19:01 AM,C,14.228
8/19/13 9:59:01 AM,C,15.232
8/19/13 11:39:01 AM,C,23.247
8/19/13 1:19:01 PM,C,24.748
8/19/13 2:59:01 PM,C,25.748
8/19/13 4:39:01 PM,C,25.748
8/19/13 6:19:01 PM,C,22.747
