1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 68000000149AF441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Apr 05 14:33:01 CDT 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 05 14:33:01 CDT 2014
Total Mission Samples:  4096
Total Device Samples:  22375
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/5/14 2:33:01 PM,%RH,31.04
4/5/14 4:33:01 PM,%RH,25.795
4/5/14 6:33:01 PM,%RH,30.389
4/5/14 8:33:01 PM,%RH,33.629
4/5/14 10:33:01 PM,%RH,47.476
4/6/14 12:33:01 AM,%RH,50.53
4/6/14 2:33:01 AM,%RH,39.375
4/6/14 4:33:01 AM,%RH,34.916
4/6/14 6:33:01 AM,%RH,34.916
4/6/14 8:33:01 AM,%RH,38.742
4/6/14 10:33:01 AM,%RH,37.472
4/6/14 12:33:01 PM,%RH,26.455
4/6/14 2:33:01 PM,%RH,22.471
4/6/14 4:33:01 PM,%RH,27.114
4/6/14 6:33:01 PM,%RH,25.795
4/6/14 8:33:01 PM,%RH,27.114
4/6/14 10:33:01 PM,%RH,32.984
4/7/14 12:33:01 AM,%RH,30.389
4/7/14 2:33:01 AM,%RH,33.629
4/7/14 4:33:01 AM,%RH,46.861
4/7/14 6:33:01 AM,%RH,47.476
4/7/14 8:33:01 AM,%RH,49.922
4/7/14 10:33:01 AM,%RH,46.245
4/7/14 12:33:01 PM,%RH,32.984
4/7/14 2:33:01 PM,%RH,38.107
4/7/14 4:33:01 PM,%RH,40.006
4/7/14 6:33:01 PM,%RH,46.245
4/7/14 8:33:01 PM,%RH,50.53
4/7/14 10:33:01 PM,%RH,54.748
4/8/14 12:33:01 AM,%RH,45.627
4/8/14 2:33:01 AM,%RH,33.629
4/8/14 4:33:01 AM,%RH,38.107
4/8/14 6:33:01 AM,%RH,64.134
4/8/14 8:33:01 AM,%RH,65.282
4/8/14 10:33:01 AM,%RH,40.636
4/8/14 12:33:01 PM,%RH,24.469
4/8/14 2:33:01 PM,%RH,21.133
4/8/14 4:33:01 PM,%RH,19.114
4/8/14 6:33:01 PM,%RH,21.133
4/8/14 8:33:01 PM,%RH,23.139
4/8/14 10:33:01 PM,%RH,23.139
4/9/14 12:33:01 AM,%RH,24.469
4/9/14 2:33:01 AM,%RH,25.795
4/9/14 4:33:01 AM,%RH,23.139
4/9/14 6:33:01 AM,%RH,21.133
4/9/14 8:33:01 AM,%RH,19.788
4/9/14 10:33:01 AM,%RH,15.722
4/9/14 12:33:01 PM,%RH,10.915
4/9/14 2:33:01 PM,%RH,10.915
4/9/14 4:33:01 PM,%RH,8.834
4/9/14 6:33:01 PM,%RH,11.606
4/9/14 8:33:01 PM,%RH,13.67
4/9/14 10:33:01 PM,%RH,15.722
4/10/14 12:33:01 AM,%RH,16.403
4/10/14 2:33:01 AM,%RH,18.438
4/10/14 4:33:01 AM,%RH,15.722
4/10/14 6:33:01 AM,%RH,12.983
4/10/14 8:33:01 AM,%RH,12.983
4/10/14 10:33:01 AM,%RH,12.295
4/10/14 12:33:01 PM,%RH,10.915
4/10/14 2:33:01 PM,%RH,8.138
4/10/14 4:33:01 PM,%RH,7.44
4/10/14 6:33:01 PM,%RH,6.741
4/10/14 8:33:01 PM,%RH,8.138
4/10/14 10:33:01 PM,%RH,8.834
4/11/14 12:33:01 AM,%RH,8.138
4/11/14 2:33:01 AM,%RH,8.138
4/11/14 4:33:01 AM,%RH,6.741
4/11/14 6:33:01 AM,%RH,6.741
4/11/14 8:33:01 AM,%RH,7.44
4/11/14 10:33:01 AM,%RH,8.834
4/11/14 12:33:01 PM,%RH,8.138
4/11/14 2:33:01 PM,%RH,7.44
4/11/14 4:33:01 PM,%RH,9.529
4/11/14 6:33:01 PM,%RH,16.403
4/11/14 8:33:01 PM,%RH,22.471
4/11/14 10:33:01 PM,%RH,27.114
4/12/14 12:33:01 AM,%RH,31.04
4/12/14 2:33:01 AM,%RH,30.389
4/12/14 4:33:01 AM,%RH,29.083
4/12/14 6:33:01 AM,%RH,29.083
4/12/14 8:33:01 AM,%RH,30.389
4/12/14 10:33:01 AM,%RH,23.805
4/12/14 12:33:01 PM,%RH,20.461
4/12/14 2:33:01 PM,%RH,21.803
4/12/14 4:33:01 PM,%RH,26.455
4/12/14 6:33:01 PM,%RH,27.114
4/12/14 8:33:01 PM,%RH,40.636
4/12/14 10:33:01 PM,%RH,43.766
4/13/14 12:33:01 AM,%RH,48.702
4/13/14 2:33:01 AM,%RH,43.143
4/13/14 4:33:01 AM,%RH,48.702
4/13/14 6:33:01 AM,%RH,53.55
4/13/14 8:33:01 AM,%RH,43.143
4/13/14 10:33:01 AM,%RH,40.636
4/13/14 12:33:01 PM,%RH,23.805
4/13/14 2:33:01 PM,%RH,22.471
4/13/14 4:33:01 PM,%RH,13.67
4/13/14 6:33:01 PM,%RH,15.039
4/13/14 8:33:01 PM,%RH,17.761
4/13/14 10:33:01 PM,%RH,17.083
4/14/14 12:33:01 AM,%RH,15.722
4/14/14 2:33:01 AM,%RH,18.438
4/14/14 4:33:01 AM,%RH,62.98
4/14/14 6:33:01 AM,%RH,64.134
4/14/14 8:33:01 AM,%RH,80.781
4/14/14 10:33:01 AM,%RH,85.01
4/14/14 12:33:01 PM,%RH,46.861
4/14/14 2:33:01 PM,%RH,48.09
4/14/14 4:33:01 PM,%RH,44.388
4/14/14 6:33:01 PM,%RH,51.742
4/14/14 8:33:01 PM,%RH,61.82
4/14/14 10:33:01 PM,%RH,63.558
4/15/14 12:33:01 AM,%RH,60.655
4/15/14 2:33:01 AM,%RH,44.388
4/15/14 4:33:01 AM,%RH,27.114
