1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 61000000149C6B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Fri Apr 17 18:17:12 CDT 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Apr 17 18:17:12 CDT 2015
Total Mission Samples:  8192
Total Device Samples:  41194
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/17/15 6:17:12 PM,%RH,27.018
4/17/15 7:23:52 PM,%RH,22.462
4/17/15 8:30:32 PM,%RH,35.298
4/17/15 9:37:12 PM,%RH,48.773
4/17/15 10:43:52 PM,%RH,53.505
4/17/15 11:50:32 PM,%RH,40.892
4/18/15 12:57:12 AM,%RH,46.975
4/18/15 2:03:52 AM,%RH,52.919
4/18/15 3:10:32 AM,%RH,57.573
4/18/15 4:17:12 AM,%RH,69.366
4/18/15 5:23:52 AM,%RH,75.829
4/18/15 6:30:32 AM,%RH,80.544
4/18/15 7:37:12 AM,%RH,86.655
4/18/15 8:43:52 AM,%RH,68.27
4/18/15 9:50:32 AM,%RH,24.423
4/18/15 10:57:12 AM,%RH,15.165
4/18/15 12:03:52 PM,%RH,15.835
4/18/15 1:10:32 PM,%RH,15.835
4/18/15 2:17:12 PM,%RH,13.145
4/18/15 3:23:52 PM,%RH,15.165
4/18/15 4:30:32 PM,%RH,12.469
4/18/15 5:37:12 PM,%RH,11.792
4/18/15 6:43:52 PM,%RH,13.145
4/18/15 7:50:32 PM,%RH,15.165
4/18/15 8:57:12 PM,%RH,17.838
4/18/15 10:03:52 PM,%RH,20.489
4/18/15 11:10:32 PM,%RH,26.372
4/19/15 12:17:12 AM,%RH,25.724
4/19/15 1:23:52 AM,%RH,26.372
4/19/15 2:30:32 AM,%RH,26.372
4/19/15 3:37:12 AM,%RH,25.074
4/19/15 4:43:52 AM,%RH,23.771
4/19/15 5:50:32 AM,%RH,25.074
4/19/15 6:57:12 AM,%RH,26.372
4/19/15 8:03:52 AM,%RH,28.307
4/19/15 9:10:32 AM,%RH,25.074
4/19/15 10:17:12 AM,%RH,20.489
4/19/15 11:23:52 AM,%RH,18.503
4/19/15 12:30:32 PM,%RH,16.504
4/19/15 1:37:12 PM,%RH,17.172
4/19/15 2:43:52 PM,%RH,19.166
4/19/15 3:50:32 PM,%RH,23.117
4/19/15 4:57:12 PM,%RH,19.166
4/19/15 6:03:52 PM,%RH,27.664
4/19/15 7:10:32 PM,%RH,30.869
4/19/15 8:17:12 PM,%RH,35.925
4/19/15 9:23:52 PM,%RH,54.675
4/19/15 10:30:32 PM,%RH,63.266
4/19/15 11:37:12 PM,%RH,64.387
4/20/15 12:43:52 AM,%RH,68.819
4/20/15 1:50:32 AM,%RH,64.946
4/20/15 2:57:12 AM,%RH,77.413
4/20/15 4:03:52 AM,%RH,83.115
4/20/15 5:10:32 AM,%RH,85.146
4/20/15 6:17:12 AM,%RH,86.655
4/20/15 7:23:52 AM,%RH,87.654
4/20/15 8:30:32 AM,%RH,59.296
4/20/15 9:37:12 AM,%RH,55.838
4/20/15 10:43:52 AM,%RH,43.342
4/20/15 11:50:32 AM,%RH,35.925
4/20/15 12:57:12 PM,%RH,30.869
4/20/15 2:03:52 PM,%RH,31.506
4/20/15 3:10:32 PM,%RH,30.869
4/20/15 4:17:12 PM,%RH,27.664
4/20/15 5:23:52 PM,%RH,30.231
4/20/15 6:30:32 PM,%RH,30.869
4/20/15 7:37:12 PM,%RH,35.925
4/20/15 8:43:52 PM,%RH,44.559
4/20/15 9:50:32 PM,%RH,66.06
4/20/15 10:57:12 PM,%RH,74.232
4/21/15 12:03:52 AM,%RH,80.544
4/21/15 1:10:32 AM,%RH,85.146
4/21/15 2:17:12 AM,%RH,90.127
4/21/15 3:23:52 AM,%RH,92.566
4/21/15 4:30:32 AM,%RH,92.566
4/21/15 5:37:12 AM,%RH,91.107
4/21/15 6:43:52 AM,%RH,92.566
4/21/15 7:50:32 AM,%RH,85.146
4/21/15 8:57:12 AM,%RH,53.505
4/21/15 10:03:52 AM,%RH,24.423
4/21/15 11:10:32 AM,%RH,19.828
4/21/15 12:17:12 PM,%RH,20.489
4/21/15 1:23:52 PM,%RH,20.489
4/21/15 2:30:32 PM,%RH,19.166
4/21/15 3:37:12 PM,%RH,21.148
4/21/15 4:43:52 PM,%RH,12.469
4/21/15 5:50:32 PM,%RH,15.165
4/21/15 6:57:12 PM,%RH,15.835
4/21/15 8:03:52 PM,%RH,19.828
4/21/15 9:10:32 PM,%RH,36.551
4/21/15 10:17:12 PM,%RH,47.576
4/21/15 11:23:52 PM,%RH,54.091
4/22/15 12:30:32 AM,%RH,62.138
4/22/15 1:37:12 AM,%RH,67.719
4/22/15 2:43:52 AM,%RH,73.161
