1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4600000014989641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Apr 18 09:09:10 CDT 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 18 09:09:10 CDT 2015
Total Mission Samples:  8192
Total Device Samples:  53669
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/18/15 9:09:10 AM,%RH,26.633
4/18/15 10:15:50 AM,%RH,25.351
4/18/15 11:22:30 AM,%RH,24.708
4/18/15 12:29:10 PM,%RH,22.128
4/18/15 1:35:50 PM,%RH,24.708
4/18/15 2:42:30 PM,%RH,22.128
4/18/15 3:49:10 PM,%RH,23.42
4/18/15 4:55:50 PM,%RH,20.831
4/18/15 6:02:30 PM,%RH,23.42
4/18/15 7:09:10 PM,%RH,23.42
4/18/15 8:15:50 PM,%RH,24.708
4/18/15 9:22:30 PM,%RH,25.992
4/18/15 10:29:10 PM,%RH,32.976
4/18/15 11:35:50 PM,%RH,35.483
4/19/15 12:42:30 AM,%RH,37.352
4/19/15 1:49:10 AM,%RH,40.445
4/19/15 2:55:50 AM,%RH,37.973
4/19/15 4:02:30 AM,%RH,37.352
4/19/15 5:09:10 AM,%RH,37.352
4/19/15 6:15:50 AM,%RH,38.592
4/19/15 7:22:30 AM,%RH,40.445
4/19/15 8:29:10 AM,%RH,33.604
4/19/15 9:35:50 AM,%RH,34.858
4/19/15 10:42:30 AM,%RH,28.547
4/19/15 11:49:10 AM,%RH,27.91
4/19/15 12:55:50 PM,%RH,24.065
4/19/15 2:02:30 PM,%RH,21.48
4/19/15 3:09:10 PM,%RH,24.065
4/19/15 4:15:50 PM,%RH,23.42
4/19/15 5:22:30 PM,%RH,27.91
4/19/15 6:29:10 PM,%RH,41.06
4/19/15 7:35:50 PM,%RH,47.758
4/19/15 8:42:30 PM,%RH,51.951
4/19/15 9:49:10 PM,%RH,58.434
4/19/15 10:55:50 PM,%RH,59.017
4/20/15 12:02:30 AM,%RH,57.85
4/20/15 1:09:10 AM,%RH,70.445
4/20/15 2:15:50 AM,%RH,68.759
4/20/15 3:22:30 AM,%RH,59.599
4/20/15 4:29:10 AM,%RH,55.504
4/20/15 5:35:50 AM,%RH,48.36
4/20/15 6:42:30 AM,%RH,50.161
4/20/15 7:49:10 AM,%RH,46.55
4/20/15 8:55:50 AM,%RH,45.337
4/20/15 10:02:30 AM,%RH,47.758
4/20/15 11:09:10 AM,%RH,42.9
4/20/15 12:15:50 PM,%RH,39.829
4/20/15 1:22:30 PM,%RH,39.211
4/20/15 2:29:10 PM,%RH,43.511
4/20/15 3:35:50 PM,%RH,39.211
4/20/15 4:42:30 PM,%RH,45.944
4/20/15 5:49:10 PM,%RH,47.758
4/20/15 6:55:50 PM,%RH,56.679
4/20/15 8:02:30 PM,%RH,60.759
4/20/15 9:09:10 PM,%RH,65.926
4/20/15 10:15:50 PM,%RH,67.629
4/20/15 11:22:30 PM,%RH,56.679
4/21/15 12:29:10 AM,%RH,53.732
4/21/15 1:35:50 AM,%RH,47.758
4/21/15 2:42:30 AM,%RH,39.211
4/21/15 3:49:10 AM,%RH,38.592
4/21/15 4:55:50 AM,%RH,35.483
4/21/15 6:02:30 AM,%RH,34.232
4/21/15 7:09:10 AM,%RH,58.434
4/21/15 8:15:50 AM,%RH,34.858
4/21/15 9:22:30 AM,%RH,36.73
4/21/15 10:29:10 AM,%RH,35.483
4/21/15 11:35:50 AM,%RH,29.818
4/21/15 12:42:30 PM,%RH,26.633
4/21/15 1:49:10 PM,%RH,25.992
4/21/15 2:55:50 PM,%RH,24.065
4/21/15 4:02:30 PM,%RH,25.992
4/21/15 5:09:10 PM,%RH,25.992
4/21/15 6:15:50 PM,%RH,28.547
4/21/15 7:22:30 PM,%RH,27.272
4/21/15 8:29:10 PM,%RH,29.818
4/21/15 9:35:50 PM,%RH,32.976
4/21/15 10:42:30 PM,%RH,32.976
4/21/15 11:49:10 PM,%RH,34.858
4/22/15 12:55:50 AM,%RH,37.352
4/22/15 2:02:30 AM,%RH,38.592
4/22/15 3:09:10 AM,%RH,38.592
4/22/15 4:15:50 AM,%RH,39.829
4/22/15 5:22:30 AM,%RH,64.785
4/22/15 6:29:10 AM,%RH,39.211
4/22/15 7:35:50 AM,%RH,35.483
4/22/15 8:42:30 AM,%RH,28.547
4/22/15 9:49:10 AM,%RH,32.347
4/22/15 10:55:50 AM,%RH,33.604
4/22/15 12:02:30 PM,%RH,29.183
4/22/15 1:09:10 PM,%RH,27.272
4/22/15 2:15:50 PM,%RH,27.272
4/22/15 3:22:30 PM,%RH,25.351
4/22/15 4:29:10 PM,%RH,27.272
4/22/15 5:35:50 PM,%RH,27.272
4/22/15 6:42:30 PM,%RH,27.272
4/22/15 7:49:10 PM,%RH,30.452
4/22/15 8:55:50 PM,%RH,35.483
4/22/15 10:02:30 PM,%RH,34.858
4/22/15 11:09:10 PM,%RH,31.716
4/23/15 12:15:50 AM,%RH,31.084
4/23/15 1:22:30 AM,%RH,32.347
4/23/15 2:29:10 AM,%RH,30.452
4/23/15 3:35:50 AM,%RH,32.347
4/23/15 4:42:30 AM,%RH,34.232
4/23/15 5:49:10 AM,%RH,38.592
4/23/15 6:55:50 AM,%RH,32.347
4/23/15 8:02:30 AM,%RH,33.604
4/23/15 9:09:10 AM,%RH,35.483
4/23/15 10:15:50 AM,%RH,44.121
4/23/15 11:22:30 AM,%RH,64.785
4/23/15 12:29:10 PM,%RH,74.895
4/23/15 1:35:50 PM,%RH,76.546
4/23/15 2:42:30 PM,%RH,86.246
4/23/15 3:49:10 PM,%RH,103.117
4/23/15 4:55:50 PM,%RH,106.057
4/23/15 6:02:30 PM,%RH,105.081
4/23/15 7:09:10 PM,%RH,99.637
4/23/15 8:15:50 PM,%RH,102.623
4/23/15 9:22:30 PM,%RH,106.543
4/23/15 10:29:10 PM,%RH,107.029
4/23/15 11:35:50 PM,%RH,106.543
4/24/15 12:42:30 AM,%RH,107.996
4/24/15 1:49:10 AM,%RH,105.57
4/24/15 2:55:50 AM,%RH,101.632
4/24/15 4:02:30 AM,%RH,103.117
4/24/15 5:09:10 AM,%RH,106.057
4/24/15 6:15:50 AM,%RH,104.592
4/24/15 7:22:30 AM,%RH,107.513
4/24/15 8:29:10 AM,%RH,106.543
4/24/15 9:35:50 AM,%RH,102.128
4/24/15 10:42:30 AM,%RH,98.633
4/24/15 11:49:10 AM,%RH,96.104
4/24/15 12:55:50 PM,%RH,90.444
4/24/15 2:02:30 PM,%RH,67.062
4/24/15 3:09:10 PM,%RH,62.491
4/24/15 4:15:50 PM,%RH,57.85
4/24/15 5:22:30 PM,%RH,50.161
4/24/15 6:29:10 PM,%RH,47.758
4/24/15 7:35:50 PM,%RH,37.973
4/24/15 8:42:30 PM,%RH,38.592
4/24/15 9:49:10 PM,%RH,41.675
4/24/15 10:55:50 PM,%RH,46.55
4/25/15 12:02:30 AM,%RH,51.356
4/25/15 1:09:10 AM,%RH,57.265
4/25/15 2:15:50 AM,%RH,63.066
4/25/15 3:22:30 AM,%RH,58.434
4/25/15 4:29:10 AM,%RH,60.179
4/25/15 5:35:50 AM,%RH,62.491
4/25/15 6:42:30 AM,%RH,64.213
4/25/15 7:49:10 AM,%RH,56.679
4/25/15 8:55:50 AM,%RH,44.73
4/25/15 10:02:30 AM,%RH,44.73
4/25/15 11:09:10 AM,%RH,42.288
4/25/15 12:15:50 PM,%RH,39.829
4/25/15 1:22:30 PM,%RH,29.818
4/25/15 2:29:10 PM,%RH,30.452
4/25/15 3:35:50 PM,%RH,30.452
4/25/15 4:42:30 PM,%RH,31.716
4/25/15 5:49:10 PM,%RH,29.183
4/25/15 6:55:50 PM,%RH,27.272
4/25/15 8:02:30 PM,%RH,27.272
4/25/15 9:09:10 PM,%RH,31.084
4/25/15 10:15:50 PM,%RH,30.452
4/25/15 11:22:30 PM,%RH,31.084
4/26/15 12:29:10 AM,%RH,31.084
4/26/15 1:35:50 AM,%RH,31.084
4/26/15 2:42:30 AM,%RH,29.818
4/26/15 3:49:10 AM,%RH,32.976
4/26/15 4:55:50 AM,%RH,34.232
4/26/15 6:02:30 AM,%RH,36.107
4/26/15 7:09:10 AM,%RH,38.592
4/26/15 8:15:50 AM,%RH,31.084
4/26/15 9:22:30 AM,%RH,33.604
4/26/15 10:29:10 AM,%RH,34.858
