1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CE00000014928441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 23 08:27:01 CDT 2010
Mission Sample Count:  4040
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 23 08:27:01 CDT 2010
Total Mission Samples:  4040
Total Device Samples:  10767
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/23/10 8:27:01 AM,C,17.173
10/23/10 8:57:01 AM,C,16.171
10/23/10 9:27:01 AM,C,14.167
10/23/10 9:57:01 AM,C,16.171
10/23/10 10:27:01 AM,C,17.173
10/23/10 10:57:01 AM,C,18.675
10/23/10 11:27:01 AM,C,15.67
10/23/10 11:57:01 AM,C,16.672
10/23/10 12:27:01 PM,C,19.176
10/23/10 12:57:01 PM,C,16.672
10/23/10 1:27:01 PM,C,17.173
10/23/10 1:57:01 PM,C,18.174
10/23/10 2:27:01 PM,C,17.674
10/23/10 2:57:01 PM,C,19.176
10/23/10 3:27:01 PM,C,18.174
10/23/10 3:57:01 PM,C,19.176
10/23/10 4:27:01 PM,C,18.675
10/23/10 4:57:01 PM,C,18.675
10/23/10 5:27:01 PM,C,18.174
10/23/10 5:57:01 PM,C,17.674
10/23/10 6:27:01 PM,C,16.672
10/23/10 6:57:01 PM,C,14.668
10/23/10 7:27:01 PM,C,14.167
10/23/10 7:57:01 PM,C,13.164
10/23/10 8:27:01 PM,C,12.162
10/23/10 8:57:01 PM,C,11.159
10/23/10 9:27:01 PM,C,11.66
10/23/10 9:57:01 PM,C,9.654
10/23/10 10:27:01 PM,C,10.657
10/23/10 10:57:01 PM,C,12.162
10/23/10 11:27:01 PM,C,10.657
10/23/10 11:57:01 PM,C,11.159
10/24/10 12:27:01 AM,C,12.162
10/24/10 12:57:01 AM,C,12.162
10/24/10 1:27:01 AM,C,12.162
10/24/10 1:57:01 AM,C,12.162
10/24/10 2:27:01 AM,C,12.663
10/24/10 2:57:01 AM,C,11.159
10/24/10 3:27:01 AM,C,10.657
10/24/10 3:57:01 AM,C,11.159
10/24/10 4:27:01 AM,C,10.657
10/24/10 4:57:01 AM,C,11.159
10/24/10 5:27:01 AM,C,11.66
10/24/10 5:57:01 AM,C,10.657
10/24/10 6:27:01 AM,C,11.159
10/24/10 6:57:01 AM,C,10.657
10/24/10 7:27:01 AM,C,10.657
10/24/10 7:57:01 AM,C,10.156
10/24/10 8:27:01 AM,C,10.156
10/24/10 8:57:01 AM,C,14.668
10/24/10 9:27:01 AM,C,14.668
10/24/10 9:57:01 AM,C,16.672
10/24/10 10:27:01 AM,C,17.173
10/24/10 10:57:01 AM,C,16.672
10/24/10 11:27:01 AM,C,16.171
10/24/10 11:57:01 AM,C,16.672
10/24/10 12:27:01 PM,C,19.176
10/24/10 12:57:01 PM,C,17.674
10/24/10 1:27:01 PM,C,18.675
10/24/10 1:57:01 PM,C,19.676
10/24/10 2:27:01 PM,C,18.675
10/24/10 2:57:01 PM,C,19.676
10/24/10 3:27:01 PM,C,18.675
10/24/10 3:57:01 PM,C,19.176
10/24/10 4:27:01 PM,C,19.676
10/24/10 4:57:01 PM,C,19.176
10/24/10 5:27:01 PM,C,19.176
10/24/10 5:57:01 PM,C,18.675
10/24/10 6:27:01 PM,C,18.174
10/24/10 6:57:01 PM,C,16.171
10/24/10 7:27:01 PM,C,15.67
10/24/10 7:57:01 PM,C,15.169
10/24/10 8:27:01 PM,C,15.169
10/24/10 8:57:01 PM,C,15.169
10/24/10 9:27:01 PM,C,14.167
10/24/10 9:57:01 PM,C,14.167
10/24/10 10:27:01 PM,C,14.167
10/24/10 10:57:01 PM,C,14.167
10/24/10 11:27:01 PM,C,14.167
10/24/10 11:57:01 PM,C,14.668
10/25/10 12:27:01 AM,C,14.668
10/25/10 12:57:01 AM,C,15.169
10/25/10 1:27:01 AM,C,14.668
10/25/10 1:57:01 AM,C,14.167
10/25/10 2:27:01 AM,C,14.167
10/25/10 2:57:01 AM,C,14.668
10/25/10 3:27:01 AM,C,14.668
10/25/10 3:57:01 AM,C,14.167
10/25/10 4:27:01 AM,C,13.666
10/25/10 4:57:01 AM,C,13.666
10/25/10 5:27:01 AM,C,13.666
