1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C60000000FC7CD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat Oct 23 08:37:01 CDT 2010
Mission Sample Count:  8188
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 23 08:37:01 CDT 2010
Total Mission Samples:  8188
Total Device Samples:  8797
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/23/10 8:37:01 AM,C,17.155
10/23/10 8:52:01 AM,C,16.655
10/23/10 9:07:01 AM,C,15.152
10/23/10 9:22:01 AM,C,15.152
10/23/10 9:37:01 AM,C,16.154
10/23/10 9:52:01 AM,C,17.155
10/23/10 10:07:01 AM,C,17.155
10/23/10 10:22:01 AM,C,17.155
10/23/10 10:37:01 AM,C,17.155
10/23/10 10:52:01 AM,C,18.156
10/23/10 11:07:01 AM,C,18.657
10/23/10 11:22:01 AM,C,20.158
10/23/10 11:37:01 AM,C,20.158
10/23/10 11:52:01 AM,C,20.659
10/23/10 12:07:01 PM,C,22.159
10/23/10 12:22:01 PM,C,24.16
10/23/10 12:37:01 PM,C,21.159
10/23/10 12:52:01 PM,C,20.158
10/23/10 1:07:01 PM,C,17.155
10/23/10 1:22:01 PM,C,16.154
10/23/10 1:37:01 PM,C,15.653
10/23/10 1:52:01 PM,C,16.154
10/23/10 2:07:01 PM,C,16.655
10/23/10 2:22:01 PM,C,16.154
10/23/10 2:37:01 PM,C,16.154
10/23/10 2:52:01 PM,C,16.154
10/23/10 3:07:01 PM,C,16.154
10/23/10 3:22:01 PM,C,16.154
10/23/10 3:37:01 PM,C,16.154
10/23/10 3:52:01 PM,C,16.154
10/23/10 4:07:01 PM,C,16.154
10/23/10 4:22:01 PM,C,16.154
10/23/10 4:37:01 PM,C,16.154
10/23/10 4:52:01 PM,C,16.655
10/23/10 5:07:01 PM,C,16.154
10/23/10 5:22:01 PM,C,15.653
10/23/10 5:37:01 PM,C,15.653
10/23/10 5:52:01 PM,C,15.653
10/23/10 6:07:01 PM,C,15.152
10/23/10 6:22:01 PM,C,14.652
10/23/10 6:37:01 PM,C,14.151
10/23/10 6:52:01 PM,C,13.65
10/23/10 7:07:01 PM,C,13.149
10/23/10 7:22:01 PM,C,13.149
10/23/10 7:37:01 PM,C,12.648
10/23/10 7:52:01 PM,C,12.648
10/23/10 8:07:01 PM,C,12.648
10/23/10 8:22:01 PM,C,12.147
10/23/10 8:37:01 PM,C,12.147
10/23/10 8:52:01 PM,C,12.147
10/23/10 9:07:01 PM,C,11.145
10/23/10 9:22:01 PM,C,11.145
10/23/10 9:37:01 PM,C,11.646
10/23/10 9:52:01 PM,C,11.646
10/23/10 10:07:01 PM,C,11.145
10/23/10 10:22:01 PM,C,11.646
10/23/10 10:37:01 PM,C,11.646
10/23/10 10:52:01 PM,C,11.646
