1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7100000014926D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Jan 16 09:39:01 CST 2011
Mission Sample Count:  991
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Jan 16 09:39:01 CST 2011
Total Mission Samples:  991
Total Device Samples:  11811
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/16/11 9:39:01 AM,C,5.075
1/16/11 10:39:01 AM,C,5.075
1/16/11 11:39:01 AM,C,6.077
1/16/11 12:39:01 PM,C,7.079
1/16/11 1:39:01 PM,C,7.58
1/16/11 2:39:01 PM,C,7.079
1/16/11 3:39:01 PM,C,6.578
1/16/11 4:39:01 PM,C,6.578
1/16/11 5:39:01 PM,C,5.576
1/16/11 6:39:01 PM,C,5.075
1/16/11 7:39:01 PM,C,5.576
1/16/11 8:39:01 PM,C,7.079
1/16/11 9:39:01 PM,C,6.077
1/16/11 10:39:01 PM,C,5.075
1/16/11 11:39:01 PM,C,6.077
1/17/11 12:39:01 AM,C,6.077
1/17/11 1:39:01 AM,C,6.578
1/17/11 2:39:01 AM,C,6.578
1/17/11 3:39:01 AM,C,6.077
1/17/11 4:39:01 AM,C,6.077
1/17/11 5:39:01 AM,C,6.077
1/17/11 6:39:01 AM,C,4.573
1/17/11 7:39:01 AM,C,4.573
1/17/11 8:39:01 AM,C,5.576
1/17/11 9:39:01 AM,C,5.576
1/17/11 10:39:01 AM,C,6.578
1/17/11 11:39:01 AM,C,7.58
1/17/11 12:39:01 PM,C,8.081
1/17/11 1:39:01 PM,C,8.582
1/17/11 2:39:01 PM,C,9.584
1/17/11 3:39:01 PM,C,10.586
1/17/11 4:39:01 PM,C,11.086
1/17/11 5:39:01 PM,C,10.586
1/17/11 6:39:01 PM,C,10.586
1/17/11 7:39:01 PM,C,10.586
1/17/11 8:39:01 PM,C,10.586
1/17/11 9:39:01 PM,C,10.586
1/17/11 10:39:01 PM,C,10.586
1/17/11 11:39:01 PM,C,10.586
1/18/11 12:39:01 AM,C,9.584
1/18/11 1:39:01 AM,C,10.085
1/18/11 2:39:01 AM,C,8.081
1/18/11 3:39:01 AM,C,9.584
1/18/11 4:39:01 AM,C,9.083
1/18/11 5:39:01 AM,C,7.58
1/18/11 6:39:01 AM,C,6.077
1/18/11 7:39:01 AM,C,5.576
1/18/11 8:39:01 AM,C,6.077
1/18/11 9:39:01 AM,C,6.077
1/18/11 10:39:01 AM,C,7.58
1/18/11 11:39:01 AM,C,9.083
1/18/11 12:39:01 PM,C,9.584
1/18/11 1:39:01 PM,C,11.086
1/18/11 2:39:01 PM,C,12.589
1/18/11 3:39:01 PM,C,10.085
1/18/11 4:39:01 PM,C,9.083
1/18/11 5:39:01 PM,C,10.085
