1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC000000149BDE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat Feb 26 09:17:01 CST 2011
Mission Sample Count:  1364
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 26 09:17:01 CST 2011
Total Mission Samples:  1364
Total Device Samples:  13218
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/26/11 9:17:01 AM,C,20.679
2/26/11 9:32:01 AM,C,15.672
2/26/11 9:47:01 AM,C,17.675
2/26/11 10:02:01 AM,C,16.674
2/26/11 10:17:01 AM,C,16.674
2/26/11 10:32:01 AM,C,17.175
2/26/11 10:47:01 AM,C,17.675
2/26/11 11:02:01 AM,C,18.176
2/26/11 11:17:01 AM,C,18.677
2/26/11 11:32:01 AM,C,19.178
2/26/11 11:47:01 AM,C,20.179
2/26/11 12:02:01 PM,C,19.678
2/26/11 12:17:01 PM,C,19.678
2/26/11 12:32:01 PM,C,20.179
2/26/11 12:47:01 PM,C,21.18
2/26/11 1:02:01 PM,C,21.18
2/26/11 1:17:01 PM,C,21.68
2/26/11 1:32:01 PM,C,21.18
2/26/11 1:47:01 PM,C,20.179
2/26/11 2:02:01 PM,C,19.678
2/26/11 2:17:01 PM,C,19.678
2/26/11 2:32:01 PM,C,20.179
2/26/11 2:47:01 PM,C,20.179
2/26/11 3:02:01 PM,C,19.678
2/26/11 3:17:01 PM,C,19.678
2/26/11 3:32:01 PM,C,20.179
2/26/11 3:47:01 PM,C,20.679
2/26/11 4:02:01 PM,C,21.18
2/26/11 4:17:01 PM,C,22.181
2/26/11 4:32:01 PM,C,28.681
2/26/11 4:47:01 PM,C,29.68
2/26/11 5:02:01 PM,C,27.181
2/26/11 5:17:01 PM,C,27.181
2/26/11 5:32:01 PM,C,22.681
2/26/11 5:47:01 PM,C,20.179
2/26/11 6:02:01 PM,C,19.178
2/26/11 6:17:01 PM,C,15.672
2/26/11 6:32:01 PM,C,14.169
2/26/11 6:47:01 PM,C,12.665
2/26/11 7:02:01 PM,C,13.668
2/26/11 7:17:01 PM,C,13.166
2/26/11 7:32:01 PM,C,13.668
2/26/11 7:47:01 PM,C,14.67
2/26/11 8:02:01 PM,C,15.171
2/26/11 8:17:01 PM,C,14.67
2/26/11 8:32:01 PM,C,12.164
2/26/11 8:47:01 PM,C,15.171
2/26/11 9:02:01 PM,C,16.173
2/26/11 9:17:01 PM,C,15.672
2/26/11 9:32:01 PM,C,15.672
2/26/11 9:47:01 PM,C,15.171
2/26/11 10:02:01 PM,C,11.161
2/26/11 10:17:01 PM,C,10.659
2/26/11 10:32:01 PM,C,15.672
2/26/11 10:47:01 PM,C,16.173
