1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7900000014956E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jan 15 08:25:01 CST 2011
Mission Sample Count:  1346
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 15 08:25:01 CST 2011
Total Mission Samples:  1346
Total Device Samples:  8055
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/15/11 8:25:01 AM,C,13.164
1/15/11 9:25:01 AM,C,6.142
1/15/11 10:25:01 AM,C,11.66
1/15/11 11:25:01 AM,C,13.666
1/15/11 12:25:01 PM,C,16.171
1/15/11 1:25:01 PM,C,17.674
1/15/11 2:25:01 PM,C,14.668
1/15/11 3:25:01 PM,C,14.668
1/15/11 4:25:01 PM,C,12.162
1/15/11 5:25:01 PM,C,14.668
1/15/11 6:25:01 PM,C,5.137
1/15/11 7:25:01 PM,C,5.137
1/15/11 8:25:01 PM,C,5.137
1/15/11 9:25:01 PM,C,4.635
1/15/11 10:25:01 PM,C,4.133
1/15/11 11:25:01 PM,C,4.133
1/16/11 12:25:01 AM,C,4.635
1/16/11 1:25:01 AM,C,3.631
1/16/11 2:25:01 AM,C,3.631
1/16/11 3:25:01 AM,C,4.133
1/16/11 4:25:01 AM,C,4.133
1/16/11 5:25:01 AM,C,3.129
1/16/11 6:25:01 AM,C,3.129
1/16/11 7:25:01 AM,C,3.129
1/16/11 8:25:01 AM,C,3.129
1/16/11 9:25:01 AM,C,6.644
1/16/11 10:25:01 AM,C,10.156
1/16/11 11:25:01 AM,C,14.668
1/16/11 12:25:01 PM,C,21.678
1/16/11 1:25:01 PM,C,18.174
1/16/11 2:25:01 PM,C,18.174
1/16/11 3:25:01 PM,C,15.169
1/16/11 4:25:01 PM,C,14.668
1/16/11 5:25:01 PM,C,13.666
1/16/11 6:25:01 PM,C,6.644
1/16/11 7:25:01 PM,C,6.142
1/16/11 8:25:01 PM,C,6.142
1/16/11 9:25:01 PM,C,6.142
1/16/11 10:25:01 PM,C,5.64
1/16/11 11:25:01 PM,C,5.137
1/17/11 12:25:01 AM,C,6.142
1/17/11 1:25:01 AM,C,6.142
1/17/11 2:25:01 AM,C,5.64
1/17/11 3:25:01 AM,C,5.137
1/17/11 4:25:01 AM,C,5.64
1/17/11 5:25:01 AM,C,5.64
1/17/11 6:25:01 AM,C,4.635
1/17/11 7:25:01 AM,C,4.133
1/17/11 8:25:01 AM,C,5.64
1/17/11 9:25:01 AM,C,8.149
1/17/11 10:25:01 AM,C,9.654
1/17/11 11:25:01 AM,C,11.66
1/17/11 12:25:01 PM,C,20.177
1/17/11 1:25:01 PM,C,17.173
1/17/11 2:25:01 PM,C,16.171
1/17/11 3:25:01 PM,C,15.67
1/17/11 4:25:01 PM,C,16.171
1/17/11 5:25:01 PM,C,15.67
1/17/11 6:25:01 PM,C,11.159
1/17/11 7:25:01 PM,C,11.159
1/17/11 8:25:01 PM,C,11.159
1/17/11 9:25:01 PM,C,11.159
1/17/11 10:25:01 PM,C,10.657
1/17/11 11:25:01 PM,C,10.156
1/18/11 12:25:01 AM,C,10.156
1/18/11 1:25:01 AM,C,10.156
1/18/11 2:25:01 AM,C,8.651
1/18/11 3:25:01 AM,C,8.149
1/18/11 4:25:01 AM,C,8.651
1/18/11 5:25:01 AM,C,9.153
1/18/11 6:25:01 AM,C,7.145
1/18/11 7:25:01 AM,C,6.644
1/18/11 8:25:01 AM,C,6.644
1/18/11 9:25:01 AM,C,11.159
1/18/11 10:25:01 AM,C,14.167
1/18/11 11:25:01 AM,C,17.674
1/18/11 12:25:01 PM,C,22.679
1/18/11 1:25:01 PM,C,22.179
1/18/11 2:25:01 PM,C,21.178
1/18/11 3:25:01 PM,C,19.176
1/18/11 4:25:01 PM,C,19.676
1/18/11 5:25:01 PM,C,19.676
1/18/11 6:25:01 PM,C,10.156
1/18/11 7:25:01 PM,C,10.657
1/18/11 8:25:01 PM,C,10.657
1/18/11 9:25:01 PM,C,10.657
1/18/11 10:25:01 PM,C,10.156
1/18/11 11:25:01 PM,C,11.159
1/19/11 12:25:01 AM,C,10.156
1/19/11 1:25:01 AM,C,9.654
