1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: F100000013104641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Jan 15 11:55:01 CST 2011
Mission Sample Count:  2697
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 15 11:55:01 CST 2011
Total Mission Samples:  2697
Total Device Samples:  11991
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/15/11 11:55:01 AM,C,17.15
1/15/11 12:25:01 PM,C,15.647
1/15/11 12:55:01 PM,C,16.148
1/15/11 1:25:01 PM,C,19.154
1/15/11 1:55:01 PM,C,13.642
1/15/11 2:25:01 PM,C,16.148
1/15/11 2:55:01 PM,C,14.644
1/15/11 3:25:01 PM,C,14.143
1/15/11 3:55:01 PM,C,13.14
1/15/11 4:25:01 PM,C,12.137
1/15/11 4:55:01 PM,C,10.13
1/15/11 5:25:01 PM,C,9.126
1/15/11 5:55:01 PM,C,6.615
1/15/11 6:25:01 PM,C,4.605
1/15/11 6:55:01 PM,C,3.097
1/15/11 7:25:01 PM,C,1.589
1/15/11 7:55:01 PM,C,0.583
1/15/11 8:25:01 PM,C,1.086
1/15/11 8:55:01 PM,C,0.583
1/15/11 9:25:01 PM,C,-0.424
1/15/11 9:55:01 PM,C,0.079
1/15/11 10:25:01 PM,C,0.079
1/15/11 10:55:01 PM,C,1.086
1/15/11 11:25:01 PM,C,0.079
1/15/11 11:55:01 PM,C,-0.424
1/16/11 12:25:01 AM,C,-1.43
1/16/11 12:55:01 AM,C,1.589
1/16/11 1:25:01 AM,C,6.615
1/16/11 1:55:01 AM,C,6.615
1/16/11 2:25:01 AM,C,6.113
1/16/11 2:55:01 AM,C,4.103
1/16/11 3:25:01 AM,C,4.103
1/16/11 3:55:01 AM,C,4.103
1/16/11 4:25:01 AM,C,5.108
1/16/11 4:55:01 AM,C,6.615
1/16/11 5:25:01 AM,C,7.117
1/16/11 5:55:01 AM,C,6.615
1/16/11 6:25:01 AM,C,6.113
1/16/11 6:55:01 AM,C,6.615
1/16/11 7:25:01 AM,C,6.113
1/16/11 7:55:01 AM,C,6.615
1/16/11 8:25:01 AM,C,6.615
1/16/11 8:55:01 AM,C,7.117
1/16/11 9:25:01 AM,C,8.122
1/16/11 9:55:01 AM,C,8.624
1/16/11 10:25:01 AM,C,9.628
1/16/11 10:55:01 AM,C,11.635
1/16/11 11:25:01 AM,C,13.14
1/16/11 11:55:01 AM,C,17.15
1/16/11 12:25:01 PM,C,15.146
1/16/11 12:55:01 PM,C,15.146
1/16/11 1:25:01 PM,C,15.146
1/16/11 1:55:01 PM,C,14.644
1/16/11 2:25:01 PM,C,16.148
1/16/11 2:55:01 PM,C,15.647
1/16/11 3:25:01 PM,C,14.143
1/16/11 3:55:01 PM,C,14.644
1/16/11 4:25:01 PM,C,13.14
1/16/11 4:55:01 PM,C,11.635
1/16/11 5:25:01 PM,C,10.632
1/16/11 5:55:01 PM,C,9.126
1/16/11 6:25:01 PM,C,8.122
1/16/11 6:55:01 PM,C,9.126
1/16/11 7:25:01 PM,C,8.624
1/16/11 7:55:01 PM,C,9.126
1/16/11 8:25:01 PM,C,9.126
1/16/11 8:55:01 PM,C,7.62
1/16/11 9:25:01 PM,C,5.108
1/16/11 9:55:01 PM,C,3.6
1/16/11 10:25:01 PM,C,2.092
1/16/11 10:55:01 PM,C,1.589
1/16/11 11:25:01 PM,C,0.583
1/16/11 11:55:01 PM,C,8.624
1/17/11 12:25:01 AM,C,7.62
