1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A900000013B59A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Jan 15 08:13:01 CST 2011
Mission Sample Count:  2703
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 15 08:13:01 CST 2011
Total Mission Samples:  2703
Total Device Samples:  3312
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/15/11 8:13:01 AM,C,9.162
1/15/11 8:43:01 AM,C,6.146
1/15/11 9:13:01 AM,C,3.126
1/15/11 9:43:01 AM,C,6.649
1/15/11 10:13:01 AM,C,10.167
1/15/11 10:43:01 AM,C,12.678
1/15/11 11:13:01 AM,C,13.682
1/15/11 11:43:01 AM,C,15.689
1/15/11 12:13:01 PM,C,14.685
1/15/11 12:43:01 PM,C,22.702
1/15/11 1:13:01 PM,C,22.202
1/15/11 1:43:01 PM,C,24.203
1/15/11 2:13:01 PM,C,23.703
1/15/11 2:43:01 PM,C,24.203
1/15/11 3:13:01 PM,C,23.703
1/15/11 3:43:01 PM,C,15.187
1/15/11 4:13:01 PM,C,14.685
1/15/11 4:43:01 PM,C,14.184
1/15/11 5:13:01 PM,C,12.678
1/15/11 5:43:01 PM,C,10.167
1/15/11 6:13:01 PM,C,6.146
1/15/11 6:43:01 PM,C,4.636
1/15/11 7:13:01 PM,C,4.636
1/15/11 7:43:01 PM,C,4.636
1/15/11 8:13:01 PM,C,4.133
1/15/11 8:43:01 PM,C,4.133
1/15/11 9:13:01 PM,C,3.63
1/15/11 9:43:01 PM,C,3.63
1/15/11 10:13:01 PM,C,3.63
1/15/11 10:43:01 PM,C,3.126
1/15/11 11:13:01 PM,C,3.63
1/15/11 11:43:01 PM,C,3.63
1/16/11 12:13:01 AM,C,3.63
1/16/11 12:43:01 AM,C,3.63
1/16/11 1:13:01 AM,C,3.126
1/16/11 1:43:01 AM,C,5.14
1/16/11 2:13:01 AM,C,3.126
1/16/11 2:43:01 AM,C,2.119
1/16/11 3:13:01 AM,C,1.616
1/16/11 3:43:01 AM,C,2.623
1/16/11 4:13:01 AM,C,2.119
1/16/11 4:43:01 AM,C,2.623
1/16/11 5:13:01 AM,C,3.126
1/16/11 5:43:01 AM,C,2.623
1/16/11 6:13:01 AM,C,2.623
1/16/11 6:43:01 AM,C,3.126
1/16/11 7:13:01 AM,C,2.623
1/16/11 7:43:01 AM,C,3.126
1/16/11 8:13:01 AM,C,2.623
1/16/11 8:43:01 AM,C,5.643
1/16/11 9:13:01 AM,C,9.162
1/16/11 9:43:01 AM,C,8.66
1/16/11 10:13:01 AM,C,10.67
1/16/11 10:43:01 AM,C,14.184
1/16/11 11:13:01 AM,C,17.193
1/16/11 11:43:01 AM,C,16.692
1/16/11 12:13:01 PM,C,14.685
1/16/11 12:43:01 PM,C,17.694
1/16/11 1:13:01 PM,C,13.18
1/16/11 1:43:01 PM,C,20.199
1/16/11 2:13:01 PM,C,22.202
1/16/11 2:43:01 PM,C,20.7
1/16/11 3:13:01 PM,C,21.701
1/16/11 3:43:01 PM,C,15.187
1/16/11 4:13:01 PM,C,15.187
1/16/11 4:43:01 PM,C,14.685
1/16/11 5:13:01 PM,C,13.18
1/16/11 5:43:01 PM,C,10.67
1/16/11 6:13:01 PM,C,8.157
1/16/11 6:43:01 PM,C,7.654
1/16/11 7:13:01 PM,C,6.649
1/16/11 7:43:01 PM,C,6.146
1/16/11 8:13:01 PM,C,7.654
1/16/11 8:43:01 PM,C,7.654
1/16/11 9:13:01 PM,C,7.152
1/16/11 9:43:01 PM,C,5.643
1/16/11 10:13:01 PM,C,4.636
1/16/11 10:43:01 PM,C,5.14
1/16/11 11:13:01 PM,C,5.14
1/16/11 11:43:01 PM,C,5.643
1/17/11 12:13:01 AM,C,6.146
1/17/11 12:43:01 AM,C,4.636
1/17/11 1:13:01 AM,C,5.14
1/17/11 1:43:01 AM,C,6.146
1/17/11 2:13:01 AM,C,6.146
1/17/11 2:43:01 AM,C,7.152
1/17/11 3:13:01 AM,C,7.152
1/17/11 3:43:01 AM,C,7.152
1/17/11 4:13:01 AM,C,7.654
1/17/11 4:43:01 AM,C,7.654
1/17/11 5:13:01 AM,C,7.654
1/17/11 5:43:01 AM,C,7.152
1/17/11 6:13:01 AM,C,7.152
1/17/11 6:43:01 AM,C,6.146
1/17/11 7:13:01 AM,C,6.146
1/17/11 7:43:01 AM,C,6.146
1/17/11 8:13:01 AM,C,6.649
1/17/11 8:43:01 AM,C,7.654
1/17/11 9:13:01 AM,C,9.665
1/17/11 9:43:01 AM,C,10.167
1/17/11 10:13:01 AM,C,10.67
1/17/11 10:43:01 AM,C,13.18
1/17/11 11:13:01 AM,C,15.689
1/17/11 11:43:01 AM,C,15.689
1/17/11 12:13:01 PM,C,14.685
1/17/11 12:43:01 PM,C,19.698
1/17/11 1:13:01 PM,C,19.197
1/17/11 1:43:01 PM,C,19.197
1/17/11 2:13:01 PM,C,22.702
1/17/11 2:43:01 PM,C,21.2
1/17/11 3:13:01 PM,C,22.202
1/17/11 3:43:01 PM,C,17.193
1/17/11 4:13:01 PM,C,17.193
1/17/11 4:43:01 PM,C,17.694
1/17/11 5:13:01 PM,C,16.19
1/17/11 5:43:01 PM,C,15.187
1/17/11 6:13:01 PM,C,13.18
1/17/11 6:43:01 PM,C,12.678
1/17/11 7:13:01 PM,C,12.678
1/17/11 7:43:01 PM,C,12.176
1/17/11 8:13:01 PM,C,11.674
1/17/11 8:43:01 PM,C,12.176
1/17/11 9:13:01 PM,C,11.172
1/17/11 9:43:01 PM,C,10.67
1/17/11 10:13:01 PM,C,10.67
1/17/11 10:43:01 PM,C,10.67
1/17/11 11:13:01 PM,C,10.67
1/17/11 11:43:01 PM,C,11.172
1/18/11 12:13:01 AM,C,11.172
1/18/11 12:43:01 AM,C,9.162
1/18/11 1:13:01 AM,C,8.66
1/18/11 1:43:01 AM,C,8.157
1/18/11 2:13:01 AM,C,8.157
1/18/11 2:43:01 AM,C,8.157
1/18/11 3:13:01 AM,C,7.654
1/18/11 3:43:01 AM,C,7.152
1/18/11 4:13:01 AM,C,6.649
1/18/11 4:43:01 AM,C,5.643
1/18/11 5:13:01 AM,C,6.146
1/18/11 5:43:01 AM,C,7.152
1/18/11 6:13:01 AM,C,6.146
1/18/11 6:43:01 AM,C,6.146
1/18/11 7:13:01 AM,C,6.146
1/18/11 7:43:01 AM,C,5.14
1/18/11 8:13:01 AM,C,5.643
1/18/11 8:43:01 AM,C,10.167
1/18/11 9:13:01 AM,C,14.685
1/18/11 9:43:01 AM,C,13.682
1/18/11 10:13:01 AM,C,14.685
1/18/11 10:43:01 AM,C,18.696
1/18/11 11:13:01 AM,C,22.202
1/18/11 11:43:01 AM,C,21.701
1/18/11 12:13:01 PM,C,19.197
1/18/11 12:43:01 PM,C,28.701
1/18/11 1:13:01 PM,C,28.701
1/18/11 1:43:01 PM,C,30.199
1/18/11 2:13:01 PM,C,31.198
1/18/11 2:43:01 PM,C,27.203
1/18/11 3:13:01 PM,C,27.702
1/18/11 3:43:01 PM,C,22.202
1/18/11 4:13:01 PM,C,20.7
1/18/11 4:43:01 PM,C,20.7
1/18/11 5:13:01 PM,C,18.696
1/18/11 5:43:01 PM,C,16.692
1/18/11 6:13:01 PM,C,12.176
1/18/11 6:43:01 PM,C,11.674
1/18/11 7:13:01 PM,C,11.172
1/18/11 7:43:01 PM,C,10.67
1/18/11 8:13:01 PM,C,10.67
1/18/11 8:43:01 PM,C,9.665
1/18/11 9:13:01 PM,C,10.67
1/18/11 9:43:01 PM,C,10.167
1/18/11 10:13:01 PM,C,8.66
1/18/11 10:43:01 PM,C,8.157
1/18/11 11:13:01 PM,C,11.674
1/18/11 11:43:01 PM,C,11.674
1/19/11 12:13:01 AM,C,11.674
1/19/11 12:43:01 AM,C,11.172
1/19/11 1:13:01 AM,C,11.674
1/19/11 1:43:01 AM,C,11.172
1/19/11 2:13:01 AM,C,11.172
1/19/11 2:43:01 AM,C,10.67
1/19/11 3:13:01 AM,C,10.67
1/19/11 3:43:01 AM,C,11.674
1/19/11 4:13:01 AM,C,11.674
1/19/11 4:43:01 AM,C,11.674
1/19/11 5:13:01 AM,C,11.674
1/19/11 5:43:01 AM,C,11.674
1/19/11 6:13:01 AM,C,12.176
1/19/11 6:43:01 AM,C,12.176
1/19/11 7:13:01 AM,C,11.674
1/19/11 7:43:01 AM,C,11.674
1/19/11 8:13:01 AM,C,11.172
1/19/11 8:43:01 AM,C,12.678
1/19/11 9:13:01 AM,C,14.685
1/19/11 9:43:01 AM,C,13.18
1/19/11 10:13:01 AM,C,14.685
1/19/11 10:43:01 AM,C,16.692
1/19/11 11:13:01 AM,C,18.195
1/19/11 11:43:01 AM,C,18.696
1/19/11 12:13:01 PM,C,17.694
1/19/11 12:43:01 PM,C,16.19
1/19/11 1:13:01 PM,C,17.694
1/19/11 1:43:01 PM,C,18.696
1/19/11 2:13:01 PM,C,18.696
1/19/11 2:43:01 PM,C,21.2
1/19/11 3:13:01 PM,C,17.193
1/19/11 3:43:01 PM,C,15.187
1/19/11 4:13:01 PM,C,17.694
1/19/11 4:43:01 PM,C,15.187
1/19/11 5:13:01 PM,C,15.187
1/19/11 5:43:01 PM,C,14.685
1/19/11 6:13:01 PM,C,13.18
1/19/11 6:43:01 PM,C,13.18
1/19/11 7:13:01 PM,C,12.678
1/19/11 7:43:01 PM,C,12.678
1/19/11 8:13:01 PM,C,12.678
1/19/11 8:43:01 PM,C,12.678
1/19/11 9:13:01 PM,C,12.678
1/19/11 9:43:01 PM,C,12.176
1/19/11 10:13:01 PM,C,12.176
1/19/11 10:43:01 PM,C,12.176
1/19/11 11:13:01 PM,C,11.674
1/19/11 11:43:01 PM,C,11.674
1/20/11 12:13:01 AM,C,11.674
1/20/11 12:43:01 AM,C,11.674
1/20/11 1:13:01 AM,C,11.674
1/20/11 1:43:01 AM,C,11.172
1/20/11 2:13:01 AM,C,10.67
1/20/11 2:43:01 AM,C,10.167
1/20/11 3:13:01 AM,C,9.665
1/20/11 3:43:01 AM,C,9.162
1/20/11 4:13:01 AM,C,9.162
1/20/11 4:43:01 AM,C,8.157
1/20/11 5:13:01 AM,C,7.654
1/20/11 5:43:01 AM,C,8.66
1/20/11 6:13:01 AM,C,2.119
1/20/11 6:43:01 AM,C,0.104
1/20/11 7:13:01 AM,C,-0.904
1/20/11 7:43:01 AM,C,-1.408
1/20/11 8:13:01 AM,C,-1.912
1/20/11 8:43:01 AM,C,-2.417
1/20/11 9:13:01 AM,C,-2.921
1/20/11 9:43:01 AM,C,-3.425
1/20/11 10:13:01 AM,C,-3.93
1/20/11 10:43:01 AM,C,-3.425
1/20/11 11:13:01 AM,C,-2.417
1/20/11 11:43:01 AM,C,-2.921
1/20/11 12:13:01 PM,C,-2.921
1/20/11 12:43:01 PM,C,-1.912
1/20/11 1:13:01 PM,C,-0.904
1/20/11 1:43:01 PM,C,3.126
1/20/11 2:13:01 PM,C,0.608
1/20/11 2:43:01 PM,C,1.616
1/20/11 3:13:01 PM,C,2.119
1/20/11 3:43:01 PM,C,5.643
1/20/11 4:13:01 PM,C,5.14
1/20/11 4:43:01 PM,C,5.643
1/20/11 5:13:01 PM,C,3.63
1/20/11 5:43:01 PM,C,1.616
1/20/11 6:13:01 PM,C,-1.408
1/20/11 6:43:01 PM,C,-2.417
1/20/11 7:13:01 PM,C,-2.921
1/20/11 7:43:01 PM,C,-3.425
1/20/11 8:13:01 PM,C,-3.93
1/20/11 8:43:01 PM,C,-3.425
1/20/11 9:13:01 PM,C,-2.921
1/20/11 9:43:01 PM,C,-1.408
1/20/11 10:13:01 PM,C,-0.4
1/20/11 10:43:01 PM,C,-0.904
1/20/11 11:13:01 PM,C,-0.904
1/20/11 11:43:01 PM,C,-0.4
1/21/11 12:13:01 AM,C,-0.904
1/21/11 12:43:01 AM,C,-0.4
1/21/11 1:13:01 AM,C,0.608
1/21/11 1:43:01 AM,C,0.608
1/21/11 2:13:01 AM,C,2.623
