1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A0000001493D541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Mar 12 13:49:01 CST 2011
Mission Sample Count:  2692
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 12 13:49:01 CST 2011
Total Mission Samples:  2692
Total Device Samples:  10637
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/11 1:49:01 PM,C,22.118
3/12/11 2:19:01 PM,C,19.616
3/12/11 2:49:01 PM,C,19.616
3/12/11 3:19:01 PM,C,19.115
3/12/11 3:49:01 PM,C,19.115
3/12/11 4:19:01 PM,C,18.114
3/12/11 4:49:01 PM,C,17.613
3/12/11 5:19:01 PM,C,18.114
3/12/11 5:49:01 PM,C,17.613
3/12/11 6:19:01 PM,C,17.112
3/12/11 6:49:01 PM,C,16.611
3/12/11 7:19:01 PM,C,14.607
3/12/11 7:49:01 PM,C,13.605
3/12/11 8:19:01 PM,C,14.106
3/12/11 8:49:01 PM,C,12.603
3/12/11 9:19:01 PM,C,12.101
3/12/11 9:49:01 PM,C,10.597
3/12/11 10:19:01 PM,C,11.098
3/12/11 10:49:01 PM,C,11.6
3/12/11 11:19:01 PM,C,13.605
3/12/11 11:49:01 PM,C,13.605
3/13/11 12:19:01 AM,C,11.6
3/13/11 12:49:01 AM,C,12.603
3/13/11 1:19:01 AM,C,12.101
3/13/11 1:49:01 AM,C,12.101
3/13/11 2:19:01 AM,C,13.605
3/13/11 2:49:01 AM,C,13.104
3/13/11 3:19:01 AM,C,13.605
3/13/11 3:49:01 AM,C,13.605
3/13/11 4:19:01 AM,C,13.104
3/13/11 4:49:01 AM,C,13.605
3/13/11 5:19:01 AM,C,13.104
3/13/11 5:49:01 AM,C,13.104
3/13/11 6:19:01 AM,C,12.603
3/13/11 6:49:01 AM,C,12.603
3/13/11 7:19:01 AM,C,12.101
3/13/11 7:49:01 AM,C,12.603
3/13/11 8:19:01 AM,C,12.603
3/13/11 8:49:01 AM,C,13.104
3/13/11 9:19:01 AM,C,13.605
3/13/11 9:49:01 AM,C,14.607
3/13/11 10:19:01 AM,C,16.11
3/13/11 10:49:01 AM,C,17.613
3/13/11 11:19:01 AM,C,18.114
3/13/11 11:49:01 AM,C,19.616
3/13/11 12:19:01 PM,C,21.117
3/13/11 12:49:01 PM,C,20.116
3/13/11 1:19:01 PM,C,21.117
3/13/11 1:49:01 PM,C,19.115
3/13/11 2:19:01 PM,C,21.618
3/13/11 2:49:01 PM,C,20.116
3/13/11 3:19:01 PM,C,21.117
3/13/11 3:49:01 PM,C,21.618
3/13/11 4:19:01 PM,C,21.618
3/13/11 4:49:01 PM,C,18.614
3/13/11 5:19:01 PM,C,18.614
3/13/11 5:49:01 PM,C,17.613
3/13/11 6:19:01 PM,C,16.611
3/13/11 6:49:01 PM,C,15.609
3/13/11 7:19:01 PM,C,14.106
3/13/11 7:49:01 PM,C,12.603
3/13/11 8:19:01 PM,C,13.104
3/13/11 8:49:01 PM,C,11.098
3/13/11 9:19:01 PM,C,10.597
3/13/11 9:49:01 PM,C,11.098
3/13/11 10:19:01 PM,C,10.597
3/13/11 10:49:01 PM,C,10.597
3/13/11 11:19:01 PM,C,9.594
3/13/11 11:49:01 PM,C,10.095
3/14/11 12:19:01 AM,C,10.095
3/14/11 12:49:01 AM,C,10.597
3/14/11 1:19:01 AM,C,10.095
3/14/11 1:49:01 AM,C,9.594
3/14/11 2:19:01 AM,C,8.591
3/14/11 2:49:01 AM,C,9.594
3/14/11 3:19:01 AM,C,8.089
3/14/11 3:49:01 AM,C,6.583
3/14/11 4:19:01 AM,C,6.583
3/14/11 4:49:01 AM,C,5.579
3/14/11 5:19:01 AM,C,4.073
3/14/11 5:49:01 AM,C,3.571
3/14/11 6:19:01 AM,C,3.571
3/14/11 6:49:01 AM,C,2.064
3/14/11 7:19:01 AM,C,1.562
3/14/11 7:49:01 AM,C,2.567
3/14/11 8:19:01 AM,C,9.092
3/14/11 8:49:01 AM,C,10.597
3/14/11 9:19:01 AM,C,13.104
3/14/11 9:49:01 AM,C,14.607
3/14/11 10:19:01 AM,C,15.609
3/14/11 10:49:01 AM,C,19.115
3/14/11 11:19:01 AM,C,18.114
3/14/11 11:49:01 AM,C,20.116
3/14/11 12:19:01 PM,C,19.616
3/14/11 12:49:01 PM,C,20.116
3/14/11 1:19:01 PM,C,19.616
3/14/11 1:49:01 PM,C,21.117
3/14/11 2:19:01 PM,C,21.117
3/14/11 2:49:01 PM,C,21.618
3/14/11 3:19:01 PM,C,21.618
3/14/11 3:49:01 PM,C,22.618
3/14/11 4:19:01 PM,C,23.619
3/14/11 4:49:01 PM,C,21.618
3/14/11 5:19:01 PM,C,21.618
3/14/11 5:49:01 PM,C,16.611
3/14/11 6:19:01 PM,C,15.609
3/14/11 6:49:01 PM,C,14.607
3/14/11 7:19:01 PM,C,12.603
3/14/11 7:49:01 PM,C,12.101
3/14/11 8:19:01 PM,C,11.098
3/14/11 8:49:01 PM,C,10.095
3/14/11 9:19:01 PM,C,10.095
3/14/11 9:49:01 PM,C,9.594
3/14/11 10:19:01 PM,C,9.594
3/14/11 10:49:01 PM,C,9.594
3/14/11 11:19:01 PM,C,12.101
3/14/11 11:49:01 PM,C,10.597
3/15/11 12:19:01 AM,C,11.098
3/15/11 12:49:01 AM,C,12.603
3/15/11 1:19:01 AM,C,12.603
3/15/11 1:49:01 AM,C,12.603
3/15/11 2:19:01 AM,C,12.603
3/15/11 2:49:01 AM,C,12.101
3/15/11 3:19:01 AM,C,12.101
3/15/11 3:49:01 AM,C,12.101
3/15/11 4:19:01 AM,C,11.6
3/15/11 4:49:01 AM,C,11.6
3/15/11 5:19:01 AM,C,11.6
3/15/11 5:49:01 AM,C,12.603
3/15/11 6:19:01 AM,C,12.603
3/15/11 6:49:01 AM,C,12.603
3/15/11 7:19:01 AM,C,12.101
3/15/11 7:49:01 AM,C,13.605
3/15/11 8:19:01 AM,C,16.11
3/15/11 8:49:01 AM,C,17.613
3/15/11 9:19:01 AM,C,18.114
3/15/11 9:49:01 AM,C,18.614
3/15/11 10:19:01 AM,C,19.616
3/15/11 10:49:01 AM,C,21.618
3/15/11 11:19:01 AM,C,20.617
3/15/11 11:49:01 AM,C,21.618
3/15/11 12:19:01 PM,C,23.119
3/15/11 12:49:01 PM,C,23.619
3/15/11 1:19:01 PM,C,22.618
3/15/11 1:49:01 PM,C,24.119
3/15/11 2:19:01 PM,C,23.619
3/15/11 2:49:01 PM,C,24.619
3/15/11 3:19:01 PM,C,23.119
3/15/11 3:49:01 PM,C,25.119
3/15/11 4:19:01 PM,C,27.119
3/15/11 4:49:01 PM,C,25.619
3/15/11 5:19:01 PM,C,24.119
3/15/11 5:49:01 PM,C,20.116
3/15/11 6:19:01 PM,C,18.614
3/15/11 6:49:01 PM,C,17.112
3/15/11 7:19:01 PM,C,15.108
3/15/11 7:49:01 PM,C,13.605
3/15/11 8:19:01 PM,C,14.106
3/15/11 8:49:01 PM,C,12.101
3/15/11 9:19:01 PM,C,11.6
3/15/11 9:49:01 PM,C,10.597
3/15/11 10:19:01 PM,C,12.603
3/15/11 10:49:01 PM,C,12.603
3/15/11 11:19:01 PM,C,10.597
3/15/11 11:49:01 PM,C,10.597
3/16/11 12:19:01 AM,C,11.098
3/16/11 12:49:01 AM,C,10.095
3/16/11 1:19:01 AM,C,10.597
3/16/11 1:49:01 AM,C,14.106
3/16/11 2:19:01 AM,C,14.607
3/16/11 2:49:01 AM,C,14.106
3/16/11 3:19:01 AM,C,14.607
3/16/11 3:49:01 AM,C,14.607
3/16/11 4:19:01 AM,C,14.106
3/16/11 4:49:01 AM,C,12.101
3/16/11 5:19:01 AM,C,13.104
3/16/11 5:49:01 AM,C,11.6
3/16/11 6:19:01 AM,C,11.6
3/16/11 6:49:01 AM,C,12.101
3/16/11 7:19:01 AM,C,12.603
3/16/11 7:49:01 AM,C,14.607
3/16/11 8:19:01 AM,C,17.112
3/16/11 8:49:01 AM,C,18.114
3/16/11 9:19:01 AM,C,20.116
3/16/11 9:49:01 AM,C,20.617
3/16/11 10:19:01 AM,C,21.117
3/16/11 10:49:01 AM,C,23.119
3/16/11 11:19:01 AM,C,23.119
3/16/11 11:49:01 AM,C,23.119
3/16/11 12:19:01 PM,C,23.619
3/16/11 12:49:01 PM,C,24.119
3/16/11 1:19:01 PM,C,22.618
3/16/11 1:49:01 PM,C,24.119
3/16/11 2:19:01 PM,C,25.619
3/16/11 2:49:01 PM,C,25.119
3/16/11 3:19:01 PM,C,25.119
3/16/11 3:49:01 PM,C,26.119
3/16/11 4:19:01 PM,C,26.619
3/16/11 4:49:01 PM,C,25.619
3/16/11 5:19:01 PM,C,24.619
3/16/11 5:49:01 PM,C,21.117
3/16/11 6:19:01 PM,C,19.616
3/16/11 6:49:01 PM,C,19.115
3/16/11 7:19:01 PM,C,18.114
3/16/11 7:49:01 PM,C,17.613
3/16/11 8:19:01 PM,C,18.114
3/16/11 8:49:01 PM,C,15.609
3/16/11 9:19:01 PM,C,13.605
3/16/11 9:49:01 PM,C,15.108
3/16/11 10:19:01 PM,C,14.607
3/16/11 10:49:01 PM,C,14.607
3/16/11 11:19:01 PM,C,14.106
3/16/11 11:49:01 PM,C,14.106
3/17/11 12:19:01 AM,C,14.607
3/17/11 12:49:01 AM,C,13.605
3/17/11 1:19:01 AM,C,14.106
3/17/11 1:49:01 AM,C,14.607
3/17/11 2:19:01 AM,C,14.106
3/17/11 2:49:01 AM,C,15.609
3/17/11 3:19:01 AM,C,15.108
3/17/11 3:49:01 AM,C,15.108
3/17/11 4:19:01 AM,C,15.108
3/17/11 4:49:01 AM,C,15.108
3/17/11 5:19:01 AM,C,13.104
3/17/11 5:49:01 AM,C,13.605
3/17/11 6:19:01 AM,C,13.605
3/17/11 6:49:01 AM,C,14.607
3/17/11 7:19:01 AM,C,13.605
3/17/11 7:49:01 AM,C,14.607
3/17/11 8:19:01 AM,C,17.613
3/17/11 8:49:01 AM,C,18.614
3/17/11 9:19:01 AM,C,19.115
3/17/11 9:49:01 AM,C,20.116
3/17/11 10:19:01 AM,C,20.116
3/17/11 10:49:01 AM,C,21.117
3/17/11 11:19:01 AM,C,21.618
3/17/11 11:49:01 AM,C,23.119
3/17/11 12:19:01 PM,C,23.619
3/17/11 12:49:01 PM,C,23.619
3/17/11 1:19:01 PM,C,24.119
3/17/11 1:49:01 PM,C,25.119
3/17/11 2:19:01 PM,C,25.119
3/17/11 2:49:01 PM,C,26.119
3/17/11 3:19:01 PM,C,25.119
3/17/11 3:49:01 PM,C,25.619
3/17/11 4:19:01 PM,C,27.119
3/17/11 4:49:01 PM,C,27.119
