1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1C000000149C6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Mar 12 14:59:01 CST 2011
Mission Sample Count:  2692
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 12 14:59:01 CST 2011
Total Mission Samples:  2692
Total Device Samples:  10777
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/11 2:59:01 PM,C,22.685
3/12/11 3:29:01 PM,C,19.182
3/12/11 3:59:01 PM,C,18.681
3/12/11 4:29:01 PM,C,18.18
3/12/11 4:59:01 PM,C,18.18
3/12/11 5:29:01 PM,C,18.18
3/12/11 5:59:01 PM,C,18.18
3/12/11 6:29:01 PM,C,18.681
3/12/11 6:59:01 PM,C,17.178
3/12/11 7:29:01 PM,C,14.673
3/12/11 7:59:01 PM,C,14.172
3/12/11 8:29:01 PM,C,14.673
3/12/11 8:59:01 PM,C,14.673
3/12/11 9:29:01 PM,C,14.172
3/12/11 9:59:01 PM,C,14.172
3/12/11 10:29:01 PM,C,14.172
3/12/11 10:59:01 PM,C,13.671
3/12/11 11:29:01 PM,C,14.172
3/12/11 11:59:01 PM,C,14.673
3/13/11 12:29:01 AM,C,14.673
3/13/11 12:59:01 AM,C,13.17
3/13/11 1:29:01 AM,C,13.17
3/13/11 1:59:01 AM,C,13.17
3/13/11 2:29:01 AM,C,13.17
3/13/11 2:59:01 AM,C,13.17
3/13/11 3:29:01 AM,C,13.17
3/13/11 3:59:01 AM,C,13.17
3/13/11 4:29:01 AM,C,13.17
3/13/11 4:59:01 AM,C,13.17
3/13/11 5:29:01 AM,C,13.17
3/13/11 5:59:01 AM,C,12.668
3/13/11 6:29:01 AM,C,12.167
3/13/11 6:59:01 AM,C,12.167
3/13/11 7:29:01 AM,C,12.167
3/13/11 7:59:01 AM,C,12.668
3/13/11 8:29:01 AM,C,13.17
3/13/11 8:59:01 AM,C,13.671
3/13/11 9:29:01 AM,C,14.172
3/13/11 9:59:01 AM,C,16.177
3/13/11 10:29:01 AM,C,16.678
3/13/11 10:59:01 AM,C,22.685
3/13/11 11:29:01 AM,C,19.182
3/13/11 11:59:01 AM,C,21.684
3/13/11 12:29:01 PM,C,22.185
3/13/11 12:59:01 PM,C,20.683
3/13/11 1:29:01 PM,C,21.684
3/13/11 1:59:01 PM,C,22.685
3/13/11 2:29:01 PM,C,21.184
3/13/11 2:59:01 PM,C,21.184
3/13/11 3:29:01 PM,C,23.185
3/13/11 3:59:01 PM,C,20.683
3/13/11 4:29:01 PM,C,23.185
3/13/11 4:59:01 PM,C,20.183
3/13/11 5:29:01 PM,C,21.184
3/13/11 5:59:01 PM,C,21.684
3/13/11 6:29:01 PM,C,20.183
3/13/11 6:59:01 PM,C,17.679
3/13/11 7:29:01 PM,C,14.673
3/13/11 7:59:01 PM,C,14.172
3/13/11 8:29:01 PM,C,13.671
3/13/11 8:59:01 PM,C,13.17
3/13/11 9:29:01 PM,C,12.668
3/13/11 9:59:01 PM,C,12.668
3/13/11 10:29:01 PM,C,12.668
3/13/11 10:59:01 PM,C,12.668
3/13/11 11:29:01 PM,C,12.668
3/13/11 11:59:01 PM,C,12.167
3/14/11 12:29:01 AM,C,12.668
3/14/11 12:59:01 AM,C,12.167
3/14/11 1:29:01 AM,C,12.167
3/14/11 1:59:01 AM,C,11.665
3/14/11 2:29:01 AM,C,11.665
3/14/11 2:59:01 AM,C,11.164
3/14/11 3:29:01 AM,C,10.161
3/14/11 3:59:01 AM,C,9.157
3/14/11 4:29:01 AM,C,8.655
3/14/11 4:59:01 AM,C,6.146
3/14/11 5:29:01 AM,C,5.644
3/14/11 5:59:01 AM,C,4.639
