1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7100000014926D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sun Mar 13 14:35:01 CST 2011
Mission Sample Count:  2630
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Mar 13 14:35:01 CST 2011
Total Mission Samples:  2630
Total Device Samples:  15879
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/13/11 2:35:01 PM,C,19.096
3/13/11 3:05:01 PM,C,17.094
3/13/11 3:35:01 PM,C,17.594
3/13/11 4:05:01 PM,C,16.593
3/13/11 4:35:01 PM,C,16.093
3/13/11 5:05:01 PM,C,16.093
3/13/11 5:35:01 PM,C,15.592
3/13/11 6:05:01 PM,C,14.591
3/13/11 6:35:01 PM,C,13.089
3/13/11 7:05:01 PM,C,12.088
3/13/11 7:35:01 PM,C,10.586
3/13/11 8:05:01 PM,C,10.586
3/13/11 8:35:01 PM,C,10.586
3/13/11 9:05:01 PM,C,10.586
3/13/11 9:35:01 PM,C,11.587
3/13/11 10:05:01 PM,C,11.086
3/13/11 10:35:01 PM,C,11.587
3/13/11 11:05:01 PM,C,11.587
3/13/11 11:35:01 PM,C,10.586
3/14/11 12:05:01 AM,C,10.085
3/14/11 12:35:01 AM,C,9.584
3/14/11 1:05:01 AM,C,10.586
3/14/11 1:35:01 AM,C,10.586
3/14/11 2:05:01 AM,C,9.083
3/14/11 2:35:01 AM,C,9.083
3/14/11 3:05:01 AM,C,10.085
3/14/11 3:35:01 AM,C,9.083
3/14/11 4:05:01 AM,C,8.081
3/14/11 4:35:01 AM,C,8.582
3/14/11 5:05:01 AM,C,8.081
3/14/11 5:35:01 AM,C,8.582
3/14/11 6:05:01 AM,C,8.582
3/14/11 6:35:01 AM,C,6.077
3/14/11 7:05:01 AM,C,6.578
3/14/11 7:35:01 AM,C,7.079
3/14/11 8:05:01 AM,C,8.081
3/14/11 8:35:01 AM,C,9.584
3/14/11 9:05:01 AM,C,9.584
3/14/11 9:35:01 AM,C,9.083
3/14/11 10:05:01 AM,C,10.586
3/14/11 10:35:01 AM,C,12.589
3/14/11 11:05:01 AM,C,13.59
3/14/11 11:35:01 AM,C,17.594
3/14/11 12:05:01 PM,C,20.596
3/14/11 12:35:01 PM,C,20.096
3/14/11 1:05:01 PM,C,20.596
3/14/11 1:35:01 PM,C,17.594
3/14/11 2:05:01 PM,C,17.594
3/14/11 2:35:01 PM,C,15.592
3/14/11 3:05:01 PM,C,15.592
3/14/11 3:35:01 PM,C,15.592
3/14/11 4:05:01 PM,C,15.092
3/14/11 4:35:01 PM,C,14.591
3/14/11 5:05:01 PM,C,13.59
3/14/11 5:35:01 PM,C,12.589
3/14/11 6:05:01 PM,C,11.587
3/14/11 6:35:01 PM,C,11.587
3/14/11 7:05:01 PM,C,10.586
3/14/11 7:35:01 PM,C,9.083
3/14/11 8:05:01 PM,C,8.582
3/14/11 8:35:01 PM,C,8.582
3/14/11 9:05:01 PM,C,8.081
3/14/11 9:35:01 PM,C,7.58
3/14/11 10:05:01 PM,C,8.081
3/14/11 10:35:01 PM,C,8.081
3/14/11 11:05:01 PM,C,8.081
3/14/11 11:35:01 PM,C,8.582
3/15/11 12:05:01 AM,C,8.081
3/15/11 12:35:01 AM,C,8.582
3/15/11 1:05:01 AM,C,8.081
3/15/11 1:35:01 AM,C,9.083
3/15/11 2:05:01 AM,C,9.584
3/15/11 2:35:01 AM,C,9.584
3/15/11 3:05:01 AM,C,10.085
3/15/11 3:35:01 AM,C,9.584
3/15/11 4:05:01 AM,C,9.083
3/15/11 4:35:01 AM,C,9.083
3/15/11 5:05:01 AM,C,9.584
3/15/11 5:35:01 AM,C,9.584
3/15/11 6:05:01 AM,C,9.584
3/15/11 6:35:01 AM,C,9.584
3/15/11 7:05:01 AM,C,10.085
3/15/11 7:35:01 AM,C,10.085
3/15/11 8:05:01 AM,C,11.086
3/15/11 8:35:01 AM,C,11.587
3/15/11 9:05:01 AM,C,13.089
3/15/11 9:35:01 AM,C,13.59
3/15/11 10:05:01 AM,C,15.592
3/15/11 10:35:01 AM,C,16.093
3/15/11 11:05:01 AM,C,17.094
3/15/11 11:35:01 AM,C,23.598
3/15/11 12:05:01 PM,C,24.098
3/15/11 12:35:01 PM,C,22.097
3/15/11 1:05:01 PM,C,22.097
3/15/11 1:35:01 PM,C,20.096
3/15/11 2:05:01 PM,C,21.097
3/15/11 2:35:01 PM,C,19.096
3/15/11 3:05:01 PM,C,18.595
3/15/11 3:35:01 PM,C,19.096
3/15/11 4:05:01 PM,C,18.595
3/15/11 4:35:01 PM,C,17.594
3/15/11 5:05:01 PM,C,17.094
3/15/11 5:35:01 PM,C,16.093
3/15/11 6:05:01 PM,C,15.092
3/15/11 6:35:01 PM,C,14.591
3/15/11 7:05:01 PM,C,14.591
3/15/11 7:35:01 PM,C,13.59
3/15/11 8:05:01 PM,C,13.59
3/15/11 8:35:01 PM,C,13.089
3/15/11 9:05:01 PM,C,12.589
3/15/11 9:35:01 PM,C,12.088
3/15/11 10:05:01 PM,C,11.086
3/15/11 10:35:01 PM,C,10.586
3/15/11 11:05:01 PM,C,10.586
3/15/11 11:35:01 PM,C,11.587
3/16/11 12:05:01 AM,C,11.086
3/16/11 12:35:01 AM,C,11.086
3/16/11 1:05:01 AM,C,10.586
3/16/11 1:35:01 AM,C,10.586
3/16/11 2:05:01 AM,C,10.586
3/16/11 2:35:01 AM,C,10.586
3/16/11 3:05:01 AM,C,11.587
3/16/11 3:35:01 AM,C,11.086
3/16/11 4:05:01 AM,C,11.086
3/16/11 4:35:01 AM,C,10.586
3/16/11 5:05:01 AM,C,11.086
3/16/11 5:35:01 AM,C,11.086
3/16/11 6:05:01 AM,C,11.587
3/16/11 6:35:01 AM,C,11.086
3/16/11 7:05:01 AM,C,10.586
3/16/11 7:35:01 AM,C,11.587
3/16/11 8:05:01 AM,C,13.089
3/16/11 8:35:01 AM,C,13.59
3/16/11 9:05:01 AM,C,14.591
3/16/11 9:35:01 AM,C,15.092
3/16/11 10:05:01 AM,C,16.593
3/16/11 10:35:01 AM,C,17.094
3/16/11 11:05:01 AM,C,18.095
3/16/11 11:35:01 AM,C,22.097
3/16/11 12:05:01 PM,C,23.097
3/16/11 12:35:01 PM,C,21.597
3/16/11 1:05:01 PM,C,23.097
3/16/11 1:35:01 PM,C,22.097
3/16/11 2:05:01 PM,C,20.596
3/16/11 2:35:01 PM,C,20.096
3/16/11 3:05:01 PM,C,20.096
3/16/11 3:35:01 PM,C,19.596
3/16/11 4:05:01 PM,C,19.096
3/16/11 4:35:01 PM,C,18.595
3/16/11 5:05:01 PM,C,17.594
3/16/11 5:35:01 PM,C,17.094
3/16/11 6:05:01 PM,C,17.094
3/16/11 6:35:01 PM,C,16.593
3/16/11 7:05:01 PM,C,16.093
3/16/11 7:35:01 PM,C,16.093
3/16/11 8:05:01 PM,C,16.093
3/16/11 8:35:01 PM,C,16.093
3/16/11 9:05:01 PM,C,14.591
3/16/11 9:35:01 PM,C,15.592
3/16/11 10:05:01 PM,C,15.092
3/16/11 10:35:01 PM,C,13.59
3/16/11 11:05:01 PM,C,13.089
3/16/11 11:35:01 PM,C,15.092
3/17/11 12:05:01 AM,C,14.591
3/17/11 12:35:01 AM,C,15.092
3/17/11 1:05:01 AM,C,14.591
3/17/11 1:35:01 AM,C,15.092
3/17/11 2:05:01 AM,C,15.092
3/17/11 2:35:01 AM,C,15.092
3/17/11 3:05:01 AM,C,15.092
3/17/11 3:35:01 AM,C,14.591
3/17/11 4:05:01 AM,C,14.591
3/17/11 4:35:01 AM,C,13.59
3/17/11 5:05:01 AM,C,14.091
3/17/11 5:35:01 AM,C,13.59
3/17/11 6:05:01 AM,C,13.089
3/17/11 6:35:01 AM,C,12.088
3/17/11 7:05:01 AM,C,12.589
3/17/11 7:35:01 AM,C,12.589
3/17/11 8:05:01 AM,C,13.089
3/17/11 8:35:01 AM,C,13.59
3/17/11 9:05:01 AM,C,14.091
3/17/11 9:35:01 AM,C,15.092
3/17/11 10:05:01 AM,C,15.592
3/17/11 10:35:01 AM,C,16.593
3/17/11 11:05:01 AM,C,17.594
3/17/11 11:35:01 AM,C,24.098
