1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 230000001492B441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Mon Mar 14 13:01:01 CST 2011
Mission Sample Count:  2601
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Mon Mar 14 13:01:01 CST 2011
Total Mission Samples:  2601
Total Device Samples:  14927
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/14/11 1:01:01 PM,C,22.191
3/14/11 1:31:01 PM,C,22.191
3/14/11 2:01:01 PM,C,21.69
3/14/11 2:31:01 PM,C,21.19
3/14/11 3:01:01 PM,C,21.19
3/14/11 3:31:01 PM,C,20.69
3/14/11 4:01:01 PM,C,22.191
3/14/11 4:31:01 PM,C,22.191
3/14/11 5:01:01 PM,C,22.191
3/14/11 5:31:01 PM,C,22.691
3/14/11 6:01:01 PM,C,20.69
3/14/11 6:31:01 PM,C,19.188
3/14/11 7:01:01 PM,C,16.185
3/14/11 7:31:01 PM,C,13.681
3/14/11 8:01:01 PM,C,12.679
3/14/11 8:31:01 PM,C,10.173
3/14/11 9:01:01 PM,C,8.67
3/14/11 9:31:01 PM,C,8.67
3/14/11 10:01:01 PM,C,6.664
3/14/11 10:31:01 PM,C,6.163
3/14/11 11:01:01 PM,C,4.658
3/14/11 11:31:01 PM,C,3.655
3/15/11 12:01:01 AM,C,3.153
3/15/11 12:31:01 AM,C,2.149
3/15/11 1:01:01 AM,C,2.149
3/15/11 1:31:01 AM,C,1.648
3/15/11 2:01:01 AM,C,1.146
3/15/11 2:31:01 AM,C,0.644
3/15/11 3:01:01 AM,C,0.142
3/15/11 3:31:01 AM,C,0.142
3/15/11 4:01:01 AM,C,0.142
3/15/11 4:31:01 AM,C,2.149
3/15/11 5:01:01 AM,C,1.648
3/15/11 5:31:01 AM,C,1.648
3/15/11 6:01:01 AM,C,1.648
3/15/11 6:31:01 AM,C,1.146
3/15/11 7:01:01 AM,C,1.146
3/15/11 7:31:01 AM,C,0.142
3/15/11 8:01:01 AM,C,5.16
3/15/11 8:31:01 AM,C,12.178
3/15/11 9:01:01 AM,C,16.686
3/15/11 9:31:01 AM,C,20.69
3/15/11 10:01:01 AM,C,20.69
3/15/11 10:31:01 AM,C,21.69
3/15/11 11:01:01 AM,C,22.191
3/15/11 11:31:01 AM,C,23.691
3/15/11 12:01:01 PM,C,23.691
3/15/11 12:31:01 PM,C,26.191
3/15/11 1:01:01 PM,C,27.191
3/15/11 1:31:01 PM,C,26.691
3/15/11 2:01:01 PM,C,24.191
3/15/11 2:31:01 PM,C,27.191
3/15/11 3:01:01 PM,C,26.691
3/15/11 3:31:01 PM,C,24.691
3/15/11 4:01:01 PM,C,28.191
3/15/11 4:31:01 PM,C,28.691
3/15/11 5:01:01 PM,C,26.191
3/15/11 5:31:01 PM,C,27.191
3/15/11 6:01:01 PM,C,23.691
3/15/11 6:31:01 PM,C,23.191
3/15/11 7:01:01 PM,C,18.187
3/15/11 7:31:01 PM,C,14.182
3/15/11 8:01:01 PM,C,11.677
3/15/11 8:31:01 PM,C,10.173
3/15/11 9:01:01 PM,C,9.672
3/15/11 9:31:01 PM,C,8.67
3/15/11 10:01:01 PM,C,7.166
3/15/11 10:31:01 PM,C,6.664
3/15/11 11:01:01 PM,C,6.163
3/15/11 11:31:01 PM,C,7.667
3/16/11 12:01:01 AM,C,5.661
3/16/11 12:31:01 AM,C,5.661
3/16/11 1:01:01 AM,C,5.16
3/16/11 1:31:01 AM,C,5.661
3/16/11 2:01:01 AM,C,3.153
3/16/11 2:31:01 AM,C,2.651
3/16/11 3:01:01 AM,C,2.651
3/16/11 3:31:01 AM,C,3.655
3/16/11 4:01:01 AM,C,4.156
3/16/11 4:31:01 AM,C,3.153
3/16/11 5:01:01 AM,C,2.651
3/16/11 5:31:01 AM,C,2.651
3/16/11 6:01:01 AM,C,3.153
3/16/11 6:31:01 AM,C,4.156
3/16/11 7:01:01 AM,C,4.156
3/16/11 7:31:01 AM,C,4.156
3/16/11 8:01:01 AM,C,9.171
3/16/11 8:31:01 AM,C,13.18
3/16/11 9:01:01 AM,C,18.688
3/16/11 9:31:01 AM,C,21.69
3/16/11 10:01:01 AM,C,22.191
3/16/11 10:31:01 AM,C,23.191
3/16/11 11:01:01 AM,C,24.691
3/16/11 11:31:01 AM,C,24.691
3/16/11 12:01:01 PM,C,25.191
3/16/11 12:31:01 PM,C,26.691
3/16/11 1:01:01 PM,C,28.691
3/16/11 1:31:01 PM,C,26.691
3/16/11 2:01:01 PM,C,27.691
3/16/11 2:31:01 PM,C,27.691
3/16/11 3:01:01 PM,C,27.691
3/16/11 3:31:01 PM,C,27.691
3/16/11 4:01:01 PM,C,30.689
3/16/11 4:31:01 PM,C,28.191
3/16/11 5:01:01 PM,C,28.191
3/16/11 5:31:01 PM,C,25.691
3/16/11 6:01:01 PM,C,24.191
3/16/11 6:31:01 PM,C,23.691
3/16/11 7:01:01 PM,C,20.189
3/16/11 7:31:01 PM,C,17.687
3/16/11 8:01:01 PM,C,14.683
3/16/11 8:31:01 PM,C,12.178
3/16/11 9:01:01 PM,C,11.176
3/16/11 9:31:01 PM,C,9.171
3/16/11 10:01:01 PM,C,8.67
3/16/11 10:31:01 PM,C,7.667
3/16/11 11:01:01 PM,C,8.168
3/16/11 11:31:01 PM,C,7.667
3/17/11 12:01:01 AM,C,6.163
3/17/11 12:31:01 AM,C,5.661
3/17/11 1:01:01 AM,C,4.156
3/17/11 1:31:01 AM,C,4.658
3/17/11 2:01:01 AM,C,3.655
3/17/11 2:31:01 AM,C,4.658
3/17/11 3:01:01 AM,C,4.658
3/17/11 3:31:01 AM,C,5.16
3/17/11 4:01:01 AM,C,5.661
3/17/11 4:31:01 AM,C,5.16
3/17/11 5:01:01 AM,C,4.658
3/17/11 5:31:01 AM,C,4.156
3/17/11 6:01:01 AM,C,5.661
3/17/11 6:31:01 AM,C,6.664
3/17/11 7:01:01 AM,C,4.658
3/17/11 7:31:01 AM,C,5.16
3/17/11 8:01:01 AM,C,10.173
3/17/11 8:31:01 AM,C,17.687
3/17/11 9:01:01 AM,C,21.19
3/17/11 9:31:01 AM,C,21.69
3/17/11 10:01:01 AM,C,22.191
3/17/11 10:31:01 AM,C,23.191
3/17/11 11:01:01 AM,C,24.191
3/17/11 11:31:01 AM,C,24.691
3/17/11 12:01:01 PM,C,25.191
3/17/11 12:31:01 PM,C,27.191
3/17/11 1:01:01 PM,C,28.691
3/17/11 1:31:01 PM,C,27.691
3/17/11 2:01:01 PM,C,27.691
3/17/11 2:31:01 PM,C,27.191
3/17/11 3:01:01 PM,C,27.691
3/17/11 3:31:01 PM,C,28.191
3/17/11 4:01:01 PM,C,30.19
3/17/11 4:31:01 PM,C,28.691
3/17/11 5:01:01 PM,C,28.191
3/17/11 5:31:01 PM,C,26.191
3/17/11 6:01:01 PM,C,24.691
3/17/11 6:31:01 PM,C,24.191
3/17/11 7:01:01 PM,C,19.689
3/17/11 7:31:01 PM,C,16.185
3/17/11 8:01:01 PM,C,14.182
3/17/11 8:31:01 PM,C,11.176
3/17/11 9:01:01 PM,C,10.173
3/17/11 9:31:01 PM,C,9.171
3/17/11 10:01:01 PM,C,8.168
3/17/11 10:31:01 PM,C,7.166
3/17/11 11:01:01 PM,C,7.166
3/17/11 11:31:01 PM,C,6.664
3/18/11 12:01:01 AM,C,4.156
3/18/11 12:31:01 AM,C,4.658
3/18/11 1:01:01 AM,C,5.16
3/18/11 1:31:01 AM,C,3.655
3/18/11 2:01:01 AM,C,3.655
3/18/11 2:31:01 AM,C,2.651
3/18/11 3:01:01 AM,C,4.156
3/18/11 3:31:01 AM,C,4.658
3/18/11 4:01:01 AM,C,5.16
3/18/11 4:31:01 AM,C,5.661
3/18/11 5:01:01 AM,C,5.16
3/18/11 5:31:01 AM,C,5.661
3/18/11 6:01:01 AM,C,7.166
3/18/11 6:31:01 AM,C,7.166
3/18/11 7:01:01 AM,C,7.166
3/18/11 7:31:01 AM,C,8.67
3/18/11 8:01:01 AM,C,9.672
3/18/11 8:31:01 AM,C,15.183
3/18/11 9:01:01 AM,C,21.19
3/18/11 9:31:01 AM,C,23.191
3/18/11 10:01:01 AM,C,23.691
3/18/11 10:31:01 AM,C,25.191
3/18/11 11:01:01 AM,C,26.191
3/18/11 11:31:01 AM,C,26.691
3/18/11 12:01:01 PM,C,25.191
3/18/11 12:31:01 PM,C,26.191
3/18/11 1:01:01 PM,C,29.69
3/18/11 1:31:01 PM,C,28.191
3/18/11 2:01:01 PM,C,29.19
3/18/11 2:31:01 PM,C,29.19
3/18/11 3:01:01 PM,C,29.69
3/18/11 3:31:01 PM,C,30.19
3/18/11 4:01:01 PM,C,29.69
3/18/11 4:31:01 PM,C,30.19
3/18/11 5:01:01 PM,C,29.69
3/18/11 5:31:01 PM,C,24.691
3/18/11 6:01:01 PM,C,25.191
3/18/11 6:31:01 PM,C,25.691
3/18/11 7:01:01 PM,C,22.691
3/18/11 7:31:01 PM,C,20.189
3/18/11 8:01:01 PM,C,17.186
3/18/11 8:31:01 PM,C,14.683
3/18/11 9:01:01 PM,C,12.679
3/18/11 9:31:01 PM,C,11.176
3/18/11 10:01:01 PM,C,9.672
3/18/11 10:31:01 PM,C,8.168
3/18/11 11:01:01 PM,C,7.166
3/18/11 11:31:01 PM,C,6.664
3/19/11 12:01:01 AM,C,6.664
3/19/11 12:31:01 AM,C,7.667
3/19/11 1:01:01 AM,C,6.664
3/19/11 1:31:01 AM,C,6.664
