1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5900000013C8FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat Mar 12 13:32:01 CST 2011
Mission Sample Count:  5385
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 12 13:32:01 CST 2011
Total Mission Samples:  5385
Total Device Samples:  8695
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/11 1:32:01 PM,C,21.694
3/12/11 1:47:01 PM,C,20.192
3/12/11 2:02:01 PM,C,22.194
3/12/11 2:17:01 PM,C,22.194
3/12/11 2:32:01 PM,C,20.192
3/12/11 2:47:01 PM,C,20.693
3/12/11 3:02:01 PM,C,21.193
3/12/11 3:17:01 PM,C,20.192
3/12/11 3:32:01 PM,C,20.693
3/12/11 3:47:01 PM,C,20.693
3/12/11 4:02:01 PM,C,19.691
3/12/11 4:17:01 PM,C,19.191
3/12/11 4:32:01 PM,C,18.69
3/12/11 4:47:01 PM,C,19.191
3/12/11 5:02:01 PM,C,18.69
3/12/11 5:17:01 PM,C,18.69
3/12/11 5:32:01 PM,C,18.69
3/12/11 5:47:01 PM,C,18.189
3/12/11 6:02:01 PM,C,18.189
3/12/11 6:17:01 PM,C,18.189
3/12/11 6:32:01 PM,C,17.688
3/12/11 6:47:01 PM,C,16.185
3/12/11 7:02:01 PM,C,15.182
3/12/11 7:17:01 PM,C,12.675
3/12/11 7:32:01 PM,C,11.672
3/12/11 7:47:01 PM,C,11.17
3/12/11 8:02:01 PM,C,10.166
3/12/11 8:17:01 PM,C,9.162
3/12/11 8:32:01 PM,C,8.66
3/12/11 8:47:01 PM,C,7.154
3/12/11 9:02:01 PM,C,6.651
3/12/11 9:17:01 PM,C,7.154
3/12/11 9:32:01 PM,C,6.651
3/12/11 9:47:01 PM,C,6.651
3/12/11 10:02:01 PM,C,6.149
3/12/11 10:17:01 PM,C,6.651
3/12/11 10:32:01 PM,C,6.651
3/12/11 10:47:01 PM,C,5.647
3/12/11 11:02:01 PM,C,6.149
3/12/11 11:17:01 PM,C,9.162
3/12/11 11:32:01 PM,C,9.664
3/12/11 11:47:01 PM,C,9.664
3/13/11 12:02:01 AM,C,10.166
3/13/11 12:17:01 AM,C,10.166
3/13/11 12:32:01 AM,C,9.664
3/13/11 12:47:01 AM,C,9.664
3/13/11 1:02:01 AM,C,9.664
3/13/11 1:17:01 AM,C,9.162
3/13/11 1:32:01 AM,C,8.158
3/13/11 1:47:01 AM,C,7.656
3/13/11 2:02:01 AM,C,9.162
3/13/11 2:17:01 AM,C,9.664
3/13/11 2:32:01 AM,C,9.664
3/13/11 2:47:01 AM,C,9.664
3/13/11 3:02:01 AM,C,9.664
3/13/11 3:17:01 AM,C,9.664
3/13/11 3:32:01 AM,C,9.664
3/13/11 3:47:01 AM,C,10.166
3/13/11 4:02:01 AM,C,9.664
3/13/11 4:17:01 AM,C,9.664
3/13/11 4:32:01 AM,C,10.166
3/13/11 4:47:01 AM,C,9.664
3/13/11 5:02:01 AM,C,10.166
3/13/11 5:17:01 AM,C,11.17
3/13/11 5:32:01 AM,C,10.668
3/13/11 5:47:01 AM,C,9.664
3/13/11 6:02:01 AM,C,10.166
3/13/11 6:17:01 AM,C,10.668
3/13/11 6:32:01 AM,C,9.664
3/13/11 6:47:01 AM,C,10.668
3/13/11 7:02:01 AM,C,11.17
3/13/11 7:17:01 AM,C,12.174
3/13/11 7:32:01 AM,C,12.675
3/13/11 7:47:01 AM,C,12.174
3/13/11 8:02:01 AM,C,12.675
3/13/11 8:17:01 AM,C,13.177
3/13/11 8:32:01 AM,C,13.678
3/13/11 8:47:01 AM,C,13.678
3/13/11 9:02:01 AM,C,14.18
3/13/11 9:17:01 AM,C,14.681
3/13/11 9:32:01 AM,C,14.681
3/13/11 9:47:01 AM,C,16.185
3/13/11 10:02:01 AM,C,16.686
3/13/11 10:17:01 AM,C,16.686
3/13/11 10:32:01 AM,C,16.686
3/13/11 10:47:01 AM,C,18.189
3/13/11 11:02:01 AM,C,19.191
3/13/11 11:17:01 AM,C,18.189
3/13/11 11:32:01 AM,C,18.189
3/13/11 11:47:01 AM,C,20.192
3/13/11 12:02:01 PM,C,21.193
3/13/11 12:17:01 PM,C,21.193
3/13/11 12:32:01 PM,C,22.694
3/13/11 12:47:01 PM,C,21.193
3/13/11 1:02:01 PM,C,22.194
3/13/11 1:17:01 PM,C,22.694
3/13/11 1:32:01 PM,C,21.193
3/13/11 1:47:01 PM,C,19.691
3/13/11 2:02:01 PM,C,22.194
3/13/11 2:17:01 PM,C,22.194
3/13/11 2:32:01 PM,C,19.691
3/13/11 2:47:01 PM,C,21.694
3/13/11 3:02:01 PM,C,20.192
3/13/11 3:17:01 PM,C,21.193
3/13/11 3:32:01 PM,C,20.693
3/13/11 3:47:01 PM,C,21.193
3/13/11 4:02:01 PM,C,19.691
3/13/11 4:17:01 PM,C,20.693
3/13/11 4:32:01 PM,C,20.192
3/13/11 4:47:01 PM,C,19.191
3/13/11 5:02:01 PM,C,19.691
3/13/11 5:17:01 PM,C,19.191
3/13/11 5:32:01 PM,C,19.691
3/13/11 5:47:01 PM,C,20.192
3/13/11 6:02:01 PM,C,20.192
3/13/11 6:17:01 PM,C,17.187
3/13/11 6:32:01 PM,C,16.185
3/13/11 6:47:01 PM,C,16.185
3/13/11 7:02:01 PM,C,15.684
3/13/11 7:17:01 PM,C,12.675
3/13/11 7:32:01 PM,C,11.672
3/13/11 7:47:01 PM,C,9.664
3/13/11 8:02:01 PM,C,9.162
3/13/11 8:17:01 PM,C,8.66
3/13/11 8:32:01 PM,C,7.656
3/13/11 8:47:01 PM,C,7.154
3/13/11 9:02:01 PM,C,6.149
3/13/11 9:17:01 PM,C,5.647
3/13/11 9:32:01 PM,C,5.647
3/13/11 9:47:01 PM,C,5.144
3/13/11 10:02:01 PM,C,5.144
3/13/11 10:17:01 PM,C,5.144
3/13/11 10:32:01 PM,C,4.641
3/13/11 10:47:01 PM,C,4.641
3/13/11 11:02:01 PM,C,5.144
3/13/11 11:17:01 PM,C,4.641
3/13/11 11:32:01 PM,C,4.139
3/13/11 11:47:01 PM,C,4.139
3/14/11 12:02:01 AM,C,4.641
3/14/11 12:17:01 AM,C,4.139
3/14/11 12:32:01 AM,C,4.139
3/14/11 12:47:01 AM,C,4.139
3/14/11 1:02:01 AM,C,4.139
3/14/11 1:17:01 AM,C,4.139
3/14/11 1:32:01 AM,C,4.139
3/14/11 1:47:01 AM,C,4.139
3/14/11 2:02:01 AM,C,3.636
3/14/11 2:17:01 AM,C,3.636
3/14/11 2:32:01 AM,C,3.133
3/14/11 2:47:01 AM,C,3.133
3/14/11 3:02:01 AM,C,3.133
3/14/11 3:17:01 AM,C,3.636
3/14/11 3:32:01 AM,C,3.133
3/14/11 3:47:01 AM,C,3.133
3/14/11 4:02:01 AM,C,1.625
3/14/11 4:17:01 AM,C,1.122
3/14/11 4:32:01 AM,C,1.122
3/14/11 4:47:01 AM,C,0.618
3/14/11 5:02:01 AM,C,0.618
3/14/11 5:17:01 AM,C,0.115
3/14/11 5:32:01 AM,C,-0.388
3/14/11 5:47:01 AM,C,-0.891
3/14/11 6:02:01 AM,C,-1.394
3/14/11 6:17:01 AM,C,-1.394
3/14/11 6:32:01 AM,C,-1.898
3/14/11 6:47:01 AM,C,-1.898
3/14/11 7:02:01 AM,C,-2.401
3/14/11 7:17:01 AM,C,-2.401
3/14/11 7:32:01 AM,C,-2.401
3/14/11 7:47:01 AM,C,-0.891
3/14/11 8:02:01 AM,C,2.128
3/14/11 8:17:01 AM,C,4.641
3/14/11 8:32:01 AM,C,6.651
3/14/11 8:47:01 AM,C,8.66
3/14/11 9:02:01 AM,C,9.664
3/14/11 9:17:01 AM,C,11.17
3/14/11 9:32:01 AM,C,12.174
3/14/11 9:47:01 AM,C,13.678
3/14/11 10:02:01 AM,C,14.18
3/14/11 10:17:01 AM,C,15.684
3/14/11 10:32:01 AM,C,16.686
3/14/11 10:47:01 AM,C,17.688
3/14/11 11:02:01 AM,C,17.688
3/14/11 11:17:01 AM,C,18.189
3/14/11 11:32:01 AM,C,19.691
3/14/11 11:47:01 AM,C,19.691
3/14/11 12:02:01 PM,C,20.192
3/14/11 12:17:01 PM,C,19.691
3/14/11 12:32:01 PM,C,20.693
3/14/11 12:47:01 PM,C,21.193
3/14/11 1:02:01 PM,C,22.194
3/14/11 1:17:01 PM,C,21.694
3/14/11 1:32:01 PM,C,20.693
3/14/11 1:47:01 PM,C,21.694
3/14/11 2:02:01 PM,C,21.694
