1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C200000013C90341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat Mar 12 09:43:01 CST 2011
Mission Sample Count:  5394
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 12 09:43:01 CST 2011
Total Mission Samples:  5394
Total Device Samples:  8697
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/11 9:43:01 AM,C,23.636
3/12/11 9:58:01 AM,C,21.634
3/12/11 10:13:01 AM,C,25.137
3/12/11 10:28:01 AM,C,26.637
3/12/11 10:43:01 AM,C,26.137
3/12/11 10:58:01 AM,C,26.637
3/12/11 11:13:01 AM,C,21.134
3/12/11 11:28:01 AM,C,26.137
3/12/11 11:43:01 AM,C,26.137
3/12/11 11:58:01 AM,C,23.136
3/12/11 12:13:01 PM,C,21.634
3/12/11 12:28:01 PM,C,24.136
3/12/11 12:43:01 PM,C,22.135
3/12/11 12:58:01 PM,C,20.633
3/12/11 1:13:01 PM,C,20.132
3/12/11 1:28:01 PM,C,21.634
3/12/11 1:43:01 PM,C,21.634
3/12/11 1:58:01 PM,C,23.636
3/12/11 2:13:01 PM,C,22.635
3/12/11 2:28:01 PM,C,20.633
3/12/11 2:43:01 PM,C,19.631
3/12/11 2:58:01 PM,C,21.134
3/12/11 3:13:01 PM,C,20.132
3/12/11 3:28:01 PM,C,20.633
3/12/11 3:43:01 PM,C,20.132
3/12/11 3:58:01 PM,C,19.631
3/12/11 4:13:01 PM,C,18.629
3/12/11 4:28:01 PM,C,18.629
3/12/11 4:43:01 PM,C,18.128
3/12/11 4:58:01 PM,C,17.627
3/12/11 5:13:01 PM,C,17.627
3/12/11 5:28:01 PM,C,17.627
3/12/11 5:43:01 PM,C,17.627
3/12/11 5:58:01 PM,C,17.627
3/12/11 6:13:01 PM,C,18.128
3/12/11 6:28:01 PM,C,17.126
3/12/11 6:43:01 PM,C,16.123
3/12/11 6:58:01 PM,C,15.12
3/12/11 7:13:01 PM,C,13.615
3/12/11 7:28:01 PM,C,14.117
3/12/11 7:43:01 PM,C,13.113
3/12/11 7:58:01 PM,C,13.113
3/12/11 8:13:01 PM,C,12.611
3/12/11 8:28:01 PM,C,12.611
3/12/11 8:43:01 PM,C,13.113
