1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C2000000133FED41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Mon Mar 14 15:23:01 CST 2011
Mission Sample Count:  5187
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Mon Mar 14 15:23:01 CST 2011
Total Mission Samples:  5187
Total Device Samples:  18051
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/14/11 3:23:01 PM,C,25.236
3/14/11 3:38:01 PM,C,22.235
3/14/11 3:53:01 PM,C,21.234
3/14/11 4:08:01 PM,C,20.733
3/14/11 4:23:01 PM,C,19.732
3/14/11 4:38:01 PM,C,19.231
3/14/11 4:53:01 PM,C,19.231
3/14/11 5:08:01 PM,C,19.732
3/14/11 5:23:01 PM,C,19.231
3/14/11 5:38:01 PM,C,18.73
3/14/11 5:53:01 PM,C,18.73
3/14/11 6:08:01 PM,C,17.728
3/14/11 6:23:01 PM,C,17.227
3/14/11 6:38:01 PM,C,16.726
3/14/11 6:53:01 PM,C,15.221
3/14/11 7:08:01 PM,C,13.717
3/14/11 7:23:01 PM,C,12.211
3/14/11 7:38:01 PM,C,12.211
3/14/11 7:53:01 PM,C,11.709
3/14/11 8:08:01 PM,C,11.207
3/14/11 8:23:01 PM,C,10.203
3/14/11 8:38:01 PM,C,9.701
3/14/11 8:53:01 PM,C,9.701
3/14/11 9:08:01 PM,C,10.203
3/14/11 9:23:01 PM,C,9.701
3/14/11 9:38:01 PM,C,9.701
3/14/11 9:53:01 PM,C,9.199
3/14/11 10:08:01 PM,C,9.199
3/14/11 10:23:01 PM,C,8.696
3/14/11 10:38:01 PM,C,7.691
3/14/11 10:53:01 PM,C,6.686
3/14/11 11:08:01 PM,C,5.681
3/14/11 11:23:01 PM,C,5.178
