1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D600000014951F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sun May 08 09:23:01 CDT 2011
Mission Sample Count:  3479
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun May 08 09:23:01 CDT 2011
Total Mission Samples:  3479
Total Device Samples:  18328
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/8/11 9:23:01 AM,C,27.16
5/8/11 9:53:01 AM,C,27.659
5/8/11 10:23:01 AM,C,30.157
5/8/11 10:53:01 AM,C,31.156
5/8/11 11:23:01 AM,C,32.155
5/8/11 11:53:01 AM,C,33.153
5/8/11 12:23:01 PM,C,32.155
5/8/11 12:53:01 PM,C,31.656
5/8/11 1:23:01 PM,C,32.654
5/8/11 1:53:01 PM,C,32.654
5/8/11 2:23:01 PM,C,32.155
5/8/11 2:53:01 PM,C,32.654
5/8/11 3:23:01 PM,C,33.153
5/8/11 3:53:01 PM,C,32.654
5/8/11 4:23:01 PM,C,32.155
5/8/11 4:53:01 PM,C,33.153
5/8/11 5:23:01 PM,C,32.155
5/8/11 5:53:01 PM,C,32.654
5/8/11 6:23:01 PM,C,29.658
5/8/11 6:53:01 PM,C,30.657
5/8/11 7:23:01 PM,C,29.158
5/8/11 7:53:01 PM,C,26.66
5/8/11 8:23:01 PM,C,21.158
5/8/11 8:53:01 PM,C,16.151
5/8/11 9:23:01 PM,C,13.646
5/8/11 9:53:01 PM,C,12.142
5/8/11 10:23:01 PM,C,10.637
5/8/11 10:53:01 PM,C,9.634
5/8/11 11:23:01 PM,C,8.129
5/8/11 11:53:01 PM,C,7.125
5/9/11 12:23:01 AM,C,6.121
5/9/11 12:53:01 AM,C,6.121
5/9/11 1:23:01 AM,C,5.619
5/9/11 1:53:01 AM,C,5.117
5/9/11 2:23:01 AM,C,4.614
5/9/11 2:53:01 AM,C,3.61
5/9/11 3:23:01 AM,C,3.61
5/9/11 3:53:01 AM,C,3.108
5/9/11 4:23:01 AM,C,2.605
5/9/11 4:53:01 AM,C,2.605
5/9/11 5:23:01 AM,C,2.605
5/9/11 5:53:01 AM,C,2.605
5/9/11 6:23:01 AM,C,2.605
5/9/11 6:53:01 AM,C,15.65
5/9/11 7:23:01 AM,C,15.149
5/9/11 7:53:01 AM,C,19.156
5/9/11 8:23:01 AM,C,21.158
5/9/11 8:53:01 AM,C,23.16
5/9/11 9:23:01 AM,C,23.66
5/9/11 9:53:01 AM,C,25.16
5/9/11 10:23:01 AM,C,28.159
5/9/11 10:53:01 AM,C,28.659
5/9/11 11:23:01 AM,C,29.658
5/9/11 11:53:01 AM,C,29.158
5/9/11 12:23:01 PM,C,30.657
5/9/11 12:53:01 PM,C,30.157
5/9/11 1:23:01 PM,C,29.158
5/9/11 1:53:01 PM,C,30.157
5/9/11 2:23:01 PM,C,31.156
5/9/11 2:53:01 PM,C,31.156
5/9/11 3:23:01 PM,C,31.156
5/9/11 3:53:01 PM,C,30.157
5/9/11 4:23:01 PM,C,30.657
5/9/11 4:53:01 PM,C,28.159
5/9/11 5:23:01 PM,C,30.157
5/9/11 5:53:01 PM,C,29.658
5/9/11 6:23:01 PM,C,28.159
5/9/11 6:53:01 PM,C,26.66
5/9/11 7:23:01 PM,C,26.16
5/9/11 7:53:01 PM,C,25.66
5/9/11 8:23:01 PM,C,23.16
5/9/11 8:53:01 PM,C,16.652
5/9/11 9:23:01 PM,C,13.144
5/9/11 9:53:01 PM,C,11.139
5/9/11 10:23:01 PM,C,10.136
5/9/11 10:53:01 PM,C,9.634
5/9/11 11:23:01 PM,C,8.631
5/9/11 11:53:01 PM,C,8.631
5/10/11 12:23:01 AM,C,8.631
5/10/11 12:53:01 AM,C,8.631
5/10/11 1:23:01 AM,C,8.631
5/10/11 1:53:01 AM,C,14.147
5/10/11 2:23:01 AM,C,19.657
5/10/11 2:53:01 AM,C,20.157
5/10/11 3:23:01 AM,C,19.657
5/10/11 3:53:01 AM,C,19.657
5/10/11 4:23:01 AM,C,18.155
5/10/11 4:53:01 AM,C,18.155
5/10/11 5:23:01 AM,C,16.151
5/10/11 5:53:01 AM,C,12.643
5/10/11 6:23:01 AM,C,15.65
5/10/11 6:53:01 AM,C,12.142
5/10/11 7:23:01 AM,C,10.637
5/10/11 7:53:01 AM,C,10.637
5/10/11 8:23:01 AM,C,12.142
5/10/11 8:53:01 AM,C,14.648
5/10/11 9:23:01 AM,C,23.66
5/10/11 9:53:01 AM,C,25.16
5/10/11 10:23:01 AM,C,25.66
5/10/11 10:53:01 AM,C,26.66
5/10/11 11:23:01 AM,C,27.16
5/10/11 11:53:01 AM,C,29.158
5/10/11 12:23:01 PM,C,28.659
5/10/11 12:53:01 PM,C,29.158
5/10/11 1:23:01 PM,C,28.659
5/10/11 1:53:01 PM,C,29.158
5/10/11 2:23:01 PM,C,29.158
5/10/11 2:53:01 PM,C,30.157
5/10/11 3:23:01 PM,C,30.157
5/10/11 3:53:01 PM,C,29.158
5/10/11 4:23:01 PM,C,30.657
5/10/11 4:53:01 PM,C,30.657
5/10/11 5:23:01 PM,C,30.657
5/10/11 5:53:01 PM,C,30.657
5/10/11 6:23:01 PM,C,30.157
5/10/11 6:53:01 PM,C,29.158
5/10/11 7:23:01 PM,C,26.16
5/10/11 7:53:01 PM,C,24.66
5/10/11 8:23:01 PM,C,23.66
5/10/11 8:53:01 PM,C,23.66
5/10/11 9:23:01 PM,C,23.66
5/10/11 9:53:01 PM,C,23.66
5/10/11 10:23:01 PM,C,22.159
5/10/11 10:53:01 PM,C,22.659
5/10/11 11:23:01 PM,C,22.159
5/10/11 11:53:01 PM,C,22.159
5/11/11 12:23:01 AM,C,21.659
5/11/11 12:53:01 AM,C,19.657
5/11/11 1:23:01 AM,C,19.657
5/11/11 1:53:01 AM,C,19.657
5/11/11 2:23:01 AM,C,17.654
5/11/11 2:53:01 AM,C,16.652
5/11/11 3:23:01 AM,C,15.149
