1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1C000000149C6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat May 07 17:53:01 CDT 2011
Mission Sample Count:  3504
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 17:53:01 CDT 2011
Total Mission Samples:  3504
Total Device Samples:  14283
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 5:53:01 PM,C,30.183
5/7/11 6:23:01 PM,C,28.684
5/7/11 6:53:01 PM,C,32.18
5/7/11 7:23:01 PM,C,29.184
5/7/11 7:53:01 PM,C,28.185
5/7/11 8:23:01 PM,C,26.185
5/7/11 8:53:01 PM,C,23.185
5/7/11 9:23:01 PM,C,22.185
5/7/11 9:53:01 PM,C,22.185
5/7/11 10:23:01 PM,C,20.183
5/7/11 10:53:01 PM,C,20.683
5/7/11 11:23:01 PM,C,22.185
5/7/11 11:53:01 PM,C,22.685
5/8/11 12:23:01 AM,C,22.685
5/8/11 12:53:01 AM,C,23.185
5/8/11 1:23:01 AM,C,22.185
5/8/11 1:53:01 AM,C,23.185
5/8/11 2:23:01 AM,C,22.685
5/8/11 2:53:01 AM,C,22.685
5/8/11 3:23:01 AM,C,22.185
5/8/11 3:53:01 AM,C,21.184
5/8/11 4:23:01 AM,C,20.683
5/8/11 4:53:01 AM,C,18.681
5/8/11 5:23:01 AM,C,18.18
5/8/11 5:53:01 AM,C,17.679
5/8/11 6:23:01 AM,C,18.18
5/8/11 6:53:01 AM,C,17.679
5/8/11 7:23:01 AM,C,17.679
5/8/11 7:53:01 AM,C,17.679
5/8/11 8:23:01 AM,C,17.679
5/8/11 8:53:01 AM,C,18.681
5/8/11 9:23:01 AM,C,20.183
