1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C60000000FC7CD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat May 07 16:11:01 CDT 2011
Mission Sample Count:  7111
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 16:11:01 CDT 2011
Total Mission Samples:  7111
Total Device Samples:  24618
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 4:11:01 PM,C,33.654
5/7/11 4:26:01 PM,C,31.657
5/7/11 4:41:01 PM,C,31.157
5/7/11 4:56:01 PM,C,30.658
5/7/11 5:11:01 PM,C,30.158
5/7/11 5:26:01 PM,C,30.658
5/7/11 5:41:01 PM,C,32.656
5/7/11 5:56:01 PM,C,33.155
5/7/11 6:11:01 PM,C,32.156
5/7/11 6:26:01 PM,C,34.653
5/7/11 6:41:01 PM,C,31.157
5/7/11 6:56:01 PM,C,29.159
5/7/11 7:11:01 PM,C,28.159
5/7/11 7:26:01 PM,C,28.159
5/7/11 7:41:01 PM,C,25.16
5/7/11 7:56:01 PM,C,22.66
5/7/11 8:11:01 PM,C,22.66
5/7/11 8:26:01 PM,C,21.159
5/7/11 8:41:01 PM,C,18.156
5/7/11 8:56:01 PM,C,16.154
5/7/11 9:11:01 PM,C,15.152
5/7/11 9:26:01 PM,C,14.151
5/7/11 9:41:01 PM,C,13.149
5/7/11 9:56:01 PM,C,12.648
5/7/11 10:11:01 PM,C,12.147
5/7/11 10:26:01 PM,C,11.646
5/7/11 10:41:01 PM,C,11.145
5/7/11 10:56:01 PM,C,11.145
5/7/11 11:11:01 PM,C,10.644
5/7/11 11:26:01 PM,C,10.644
5/7/11 11:41:01 PM,C,10.644
5/7/11 11:56:01 PM,C,10.143
5/8/11 12:11:01 AM,C,10.143
5/8/11 12:26:01 AM,C,9.641
5/8/11 12:41:01 AM,C,9.641
5/8/11 12:56:01 AM,C,9.641
5/8/11 1:11:01 AM,C,9.14
5/8/11 1:26:01 AM,C,9.14
5/8/11 1:41:01 AM,C,9.14
5/8/11 1:56:01 AM,C,9.14
5/8/11 2:11:01 AM,C,9.14
5/8/11 2:26:01 AM,C,9.641
5/8/11 2:41:01 AM,C,10.143
5/8/11 2:56:01 AM,C,9.641
5/8/11 3:11:01 AM,C,9.14
5/8/11 3:26:01 AM,C,9.14
5/8/11 3:41:01 AM,C,10.644
5/8/11 3:56:01 AM,C,11.646
5/8/11 4:11:01 AM,C,11.145
5/8/11 4:26:01 AM,C,10.143
5/8/11 4:41:01 AM,C,9.14
5/8/11 4:56:01 AM,C,8.639
5/8/11 5:11:01 AM,C,8.639
5/8/11 5:26:01 AM,C,8.138
5/8/11 5:41:01 AM,C,7.636
5/8/11 5:56:01 AM,C,7.135
5/8/11 6:11:01 AM,C,7.135
5/8/11 6:26:01 AM,C,7.135
5/8/11 6:41:01 AM,C,6.634
5/8/11 6:56:01 AM,C,6.634
5/8/11 7:11:01 AM,C,6.634
5/8/11 7:26:01 AM,C,6.634
5/8/11 7:41:01 AM,C,7.636
5/8/11 7:56:01 AM,C,13.149
5/8/11 8:11:01 AM,C,12.648
5/8/11 8:26:01 AM,C,16.154
5/8/11 8:41:01 AM,C,18.657
5/8/11 8:56:01 AM,C,21.159
5/8/11 9:11:01 AM,C,22.159
5/8/11 9:26:01 AM,C,22.66
5/8/11 9:41:01 AM,C,23.66
5/8/11 9:56:01 AM,C,24.66
5/8/11 10:11:01 AM,C,26.16
5/8/11 10:26:01 AM,C,26.66
5/8/11 10:41:01 AM,C,32.156
5/8/11 10:56:01 AM,C,30.658
5/8/11 11:11:01 AM,C,29.659
5/8/11 11:26:01 AM,C,29.159
5/8/11 11:41:01 AM,C,27.66
5/8/11 11:56:01 AM,C,28.659
5/8/11 12:11:01 PM,C,29.159
5/8/11 12:26:01 PM,C,29.159
5/8/11 12:41:01 PM,C,29.659
5/8/11 12:56:01 PM,C,29.159
5/8/11 1:11:01 PM,C,29.659
5/8/11 1:26:01 PM,C,29.159
5/8/11 1:41:01 PM,C,30.158
5/8/11 1:56:01 PM,C,30.158
5/8/11 2:11:01 PM,C,30.158
5/8/11 2:26:01 PM,C,31.657
5/8/11 2:41:01 PM,C,31.157
5/8/11 2:56:01 PM,C,31.657
5/8/11 3:11:01 PM,C,34.154
5/8/11 3:26:01 PM,C,34.154
5/8/11 3:41:01 PM,C,33.654
5/8/11 3:56:01 PM,C,33.155
5/8/11 4:11:01 PM,C,32.656
5/8/11 4:26:01 PM,C,31.157
5/8/11 4:41:01 PM,C,30.658
5/8/11 4:56:01 PM,C,31.157
5/8/11 5:11:01 PM,C,29.659
5/8/11 5:26:01 PM,C,30.158
5/8/11 5:41:01 PM,C,32.156
5/8/11 5:56:01 PM,C,32.156
5/8/11 6:11:01 PM,C,32.156
5/8/11 6:26:01 PM,C,30.158
5/8/11 6:41:01 PM,C,30.158
5/8/11 6:56:01 PM,C,28.659
5/8/11 7:11:01 PM,C,28.659
5/8/11 7:26:01 PM,C,28.659
5/8/11 7:41:01 PM,C,24.66
5/8/11 7:56:01 PM,C,23.66
5/8/11 8:11:01 PM,C,23.16
5/8/11 8:26:01 PM,C,20.158
5/8/11 8:41:01 PM,C,17.656
5/8/11 8:56:01 PM,C,16.154
5/8/11 9:11:01 PM,C,14.652
5/8/11 9:26:01 PM,C,13.65
5/8/11 9:41:01 PM,C,13.149
5/8/11 9:56:01 PM,C,12.648
5/8/11 10:11:01 PM,C,12.147
5/8/11 10:26:01 PM,C,11.646
5/8/11 10:41:01 PM,C,11.145
5/8/11 10:56:01 PM,C,11.145
5/8/11 11:11:01 PM,C,11.145
5/8/11 11:26:01 PM,C,10.644
5/8/11 11:41:01 PM,C,10.644
5/8/11 11:56:01 PM,C,10.644
5/9/11 12:11:01 AM,C,10.143
5/9/11 12:26:01 AM,C,10.143
5/9/11 12:41:01 AM,C,9.641
5/9/11 12:56:01 AM,C,9.14
5/9/11 1:11:01 AM,C,9.14
5/9/11 1:26:01 AM,C,8.639
5/9/11 1:41:01 AM,C,8.639
5/9/11 1:56:01 AM,C,8.639
5/9/11 2:11:01 AM,C,8.138
5/9/11 2:26:01 AM,C,8.138
5/9/11 2:41:01 AM,C,8.138
5/9/11 2:56:01 AM,C,8.138
5/9/11 3:11:01 AM,C,7.636
5/9/11 3:26:01 AM,C,7.636
5/9/11 3:41:01 AM,C,7.135
5/9/11 3:56:01 AM,C,7.135
5/9/11 4:11:01 AM,C,6.634
5/9/11 4:26:01 AM,C,6.634
5/9/11 4:41:01 AM,C,6.634
5/9/11 4:56:01 AM,C,6.634
5/9/11 5:11:01 AM,C,7.135
5/9/11 5:26:01 AM,C,7.135
5/9/11 5:41:01 AM,C,6.634
5/9/11 5:56:01 AM,C,6.634
5/9/11 6:11:01 AM,C,6.634
5/9/11 6:26:01 AM,C,6.132
5/9/11 6:41:01 AM,C,6.132
5/9/11 6:56:01 AM,C,6.132
5/9/11 7:11:01 AM,C,6.132
5/9/11 7:26:01 AM,C,6.132
5/9/11 7:41:01 AM,C,7.135
5/9/11 7:56:01 AM,C,12.147
5/9/11 8:11:01 AM,C,16.154
5/9/11 8:26:01 AM,C,20.158
5/9/11 8:41:01 AM,C,19.658
5/9/11 8:56:01 AM,C,20.158
5/9/11 9:11:01 AM,C,21.659
5/9/11 9:26:01 AM,C,21.159
5/9/11 9:41:01 AM,C,21.159
5/9/11 9:56:01 AM,C,23.16
5/9/11 10:11:01 AM,C,23.16
5/9/11 10:26:01 AM,C,25.66
5/9/11 10:41:01 AM,C,30.658
5/9/11 10:56:01 AM,C,30.158
5/9/11 11:11:01 AM,C,27.16
5/9/11 11:26:01 AM,C,26.66
5/9/11 11:41:01 AM,C,25.66
5/9/11 11:56:01 AM,C,26.16
5/9/11 12:11:01 PM,C,26.66
5/9/11 12:26:01 PM,C,27.16
5/9/11 12:41:01 PM,C,26.66
5/9/11 12:56:01 PM,C,27.66
5/9/11 1:11:01 PM,C,29.159
5/9/11 1:26:01 PM,C,28.159
5/9/11 1:41:01 PM,C,28.659
5/9/11 1:56:01 PM,C,28.659
5/9/11 2:11:01 PM,C,28.659
5/9/11 2:26:01 PM,C,29.159
5/9/11 2:41:01 PM,C,30.158
5/9/11 2:56:01 PM,C,30.158
5/9/11 3:11:01 PM,C,34.653
5/9/11 3:26:01 PM,C,31.157
5/9/11 3:41:01 PM,C,29.159
5/9/11 3:56:01 PM,C,30.158
5/9/11 4:11:01 PM,C,31.157
5/9/11 4:26:01 PM,C,29.659
5/9/11 4:41:01 PM,C,26.66
5/9/11 4:56:01 PM,C,26.66
5/9/11 5:11:01 PM,C,26.16
5/9/11 5:26:01 PM,C,26.16
5/9/11 5:41:01 PM,C,27.16
5/9/11 5:56:01 PM,C,26.16
5/9/11 6:11:01 PM,C,25.16
5/9/11 6:26:01 PM,C,26.66
5/9/11 6:41:01 PM,C,26.16
5/9/11 6:56:01 PM,C,26.16
5/9/11 7:11:01 PM,C,25.16
5/9/11 7:26:01 PM,C,24.16
5/9/11 7:41:01 PM,C,24.16
5/9/11 7:56:01 PM,C,23.66
5/9/11 8:11:01 PM,C,22.66
5/9/11 8:26:01 PM,C,22.66
5/9/11 8:41:01 PM,C,22.159
5/9/11 8:56:01 PM,C,20.659
5/9/11 9:11:01 PM,C,17.155
5/9/11 9:26:01 PM,C,15.152
5/9/11 9:41:01 PM,C,14.151
5/9/11 9:56:01 PM,C,13.149
5/9/11 10:11:01 PM,C,12.648
5/9/11 10:26:01 PM,C,12.147
5/9/11 10:41:01 PM,C,11.646
5/9/11 10:56:01 PM,C,11.646
5/9/11 11:11:01 PM,C,11.646
5/9/11 11:26:01 PM,C,11.646
5/9/11 11:41:01 PM,C,11.646
5/9/11 11:56:01 PM,C,11.145
5/10/11 12:11:01 AM,C,11.145
5/10/11 12:26:01 AM,C,11.145
5/10/11 12:41:01 AM,C,11.145
5/10/11 12:56:01 AM,C,12.648
5/10/11 1:11:01 AM,C,13.65
5/10/11 1:26:01 AM,C,14.151
5/10/11 1:41:01 AM,C,13.65
5/10/11 1:56:01 AM,C,13.65
5/10/11 2:11:01 AM,C,14.652
5/10/11 2:26:01 AM,C,14.151
5/10/11 2:41:01 AM,C,13.65
5/10/11 2:56:01 AM,C,13.149
5/10/11 3:11:01 AM,C,13.149
5/10/11 3:26:01 AM,C,12.648
5/10/11 3:41:01 AM,C,12.147
5/10/11 3:56:01 AM,C,12.147
5/10/11 4:11:01 AM,C,12.147
5/10/11 4:26:01 AM,C,11.646
5/10/11 4:41:01 AM,C,11.145
5/10/11 4:56:01 AM,C,11.145
5/10/11 5:11:01 AM,C,10.644
5/10/11 5:26:01 AM,C,10.644
5/10/11 5:41:01 AM,C,10.644
5/10/11 5:56:01 AM,C,14.151
5/10/11 6:11:01 AM,C,16.154
5/10/11 6:26:01 AM,C,16.154
5/10/11 6:41:01 AM,C,16.655
5/10/11 6:56:01 AM,C,15.653
5/10/11 7:11:01 AM,C,15.152
5/10/11 7:26:01 AM,C,16.655
5/10/11 7:41:01 AM,C,18.156
5/10/11 7:56:01 AM,C,18.657
5/10/11 8:11:01 AM,C,18.156
5/10/11 8:26:01 AM,C,17.656
5/10/11 8:41:01 AM,C,18.156
5/10/11 8:56:01 AM,C,20.158
5/10/11 9:11:01 AM,C,21.159
5/10/11 9:26:01 AM,C,20.659
5/10/11 9:41:01 AM,C,21.659
5/10/11 9:56:01 AM,C,22.66
5/10/11 10:11:01 AM,C,23.16
5/10/11 10:26:01 AM,C,25.66
5/10/11 10:41:01 AM,C,29.159
5/10/11 10:56:01 AM,C,28.159
5/10/11 11:11:01 AM,C,26.16
5/10/11 11:26:01 AM,C,25.16
5/10/11 11:41:01 AM,C,25.66
5/10/11 11:56:01 AM,C,25.66
5/10/11 12:11:01 PM,C,26.66
5/10/11 12:26:01 PM,C,26.16
5/10/11 12:41:01 PM,C,27.66
5/10/11 12:56:01 PM,C,27.16
5/10/11 1:11:01 PM,C,28.159
5/10/11 1:26:01 PM,C,27.66
5/10/11 1:41:01 PM,C,27.16
5/10/11 1:56:01 PM,C,27.66
5/10/11 2:11:01 PM,C,27.66
5/10/11 2:26:01 PM,C,27.66
5/10/11 2:41:01 PM,C,29.659
5/10/11 2:56:01 PM,C,29.159
5/10/11 3:11:01 PM,C,30.158
5/10/11 3:26:01 PM,C,29.159
5/10/11 3:41:01 PM,C,29.659
5/10/11 3:56:01 PM,C,29.659
5/10/11 4:11:01 PM,C,28.159
5/10/11 4:26:01 PM,C,29.659
5/10/11 4:41:01 PM,C,28.159
5/10/11 4:56:01 PM,C,29.159
5/10/11 5:11:01 PM,C,28.159
5/10/11 5:26:01 PM,C,26.66
5/10/11 5:41:01 PM,C,30.158
5/10/11 5:56:01 PM,C,26.16
