1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 6200000013BD7E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat May 07 12:30:01 CDT 2011
Mission Sample Count:  7310
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 12:30:01 CDT 2011
Total Mission Samples:  7310
Total Device Samples:  24059
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 12:30:01 PM,C,27.103
5/7/11 12:45:01 PM,C,26.603
5/7/11 1:00:01 PM,C,27.103
5/7/11 1:15:01 PM,C,27.603
5/7/11 1:30:01 PM,C,28.603
5/7/11 1:45:01 PM,C,29.102
5/7/11 2:00:01 PM,C,28.103
5/7/11 2:15:01 PM,C,29.102
5/7/11 2:30:01 PM,C,29.102
5/7/11 2:45:01 PM,C,29.102
5/7/11 3:00:01 PM,C,29.602
5/7/11 3:15:01 PM,C,29.602
5/7/11 3:30:01 PM,C,29.602
5/7/11 3:45:01 PM,C,29.602
5/7/11 4:00:01 PM,C,29.102
5/7/11 4:15:01 PM,C,29.602
5/7/11 4:30:01 PM,C,31.101
5/7/11 4:45:01 PM,C,30.102
5/7/11 5:00:01 PM,C,31.601
5/7/11 5:15:01 PM,C,28.603
5/7/11 5:30:01 PM,C,28.603
5/7/11 5:45:01 PM,C,28.603
5/7/11 6:00:01 PM,C,28.603
5/7/11 6:15:01 PM,C,28.603
5/7/11 6:30:01 PM,C,28.603
5/7/11 6:45:01 PM,C,27.103
5/7/11 7:00:01 PM,C,26.103
5/7/11 7:15:01 PM,C,26.103
5/7/11 7:30:01 PM,C,25.104
5/7/11 7:45:01 PM,C,24.603
5/7/11 8:00:01 PM,C,24.103
5/7/11 8:15:01 PM,C,23.603
5/7/11 8:30:01 PM,C,22.603
5/7/11 8:45:01 PM,C,21.603
5/7/11 9:00:01 PM,C,21.102
5/7/11 9:15:01 PM,C,20.602
5/7/11 9:30:01 PM,C,20.102
5/7/11 9:45:01 PM,C,20.102
5/7/11 10:00:01 PM,C,19.601
5/7/11 10:15:01 PM,C,19.601
5/7/11 10:30:01 PM,C,19.601
5/7/11 10:45:01 PM,C,19.601
5/7/11 11:00:01 PM,C,19.601
5/7/11 11:15:01 PM,C,19.601
5/7/11 11:30:01 PM,C,19.601
5/7/11 11:45:01 PM,C,19.601
5/8/11 12:00:01 AM,C,19.601
5/8/11 12:15:01 AM,C,19.601
5/8/11 12:30:01 AM,C,19.101
5/8/11 12:45:01 AM,C,19.101
5/8/11 1:00:01 AM,C,19.101
5/8/11 1:15:01 AM,C,19.101
5/8/11 1:30:01 AM,C,19.101
5/8/11 1:45:01 AM,C,19.101
5/8/11 2:00:01 AM,C,19.101
5/8/11 2:15:01 AM,C,19.101
5/8/11 2:30:01 AM,C,18.6
5/8/11 2:45:01 AM,C,19.101
5/8/11 3:00:01 AM,C,19.101
5/8/11 3:15:01 AM,C,19.101
5/8/11 3:30:01 AM,C,18.6
5/8/11 3:45:01 AM,C,18.1
5/8/11 4:00:01 AM,C,17.599
5/8/11 4:15:01 AM,C,18.1
5/8/11 4:30:01 AM,C,18.1
5/8/11 4:45:01 AM,C,18.1
5/8/11 5:00:01 AM,C,18.1
5/8/11 5:15:01 AM,C,18.1
5/8/11 5:30:01 AM,C,17.599
5/8/11 5:45:01 AM,C,17.599
5/8/11 6:00:01 AM,C,17.599
5/8/11 6:15:01 AM,C,17.099
5/8/11 6:30:01 AM,C,17.099
5/8/11 6:45:01 AM,C,16.598
5/8/11 7:00:01 AM,C,16.598
5/8/11 7:15:01 AM,C,16.098
5/8/11 7:30:01 AM,C,16.598
5/8/11 7:45:01 AM,C,16.098
5/8/11 8:00:01 AM,C,16.598
5/8/11 8:15:01 AM,C,16.598
5/8/11 8:30:01 AM,C,17.099
5/8/11 8:45:01 AM,C,17.599
5/8/11 9:00:01 AM,C,18.1
5/8/11 9:15:01 AM,C,19.601
5/8/11 9:30:01 AM,C,23.603
5/8/11 9:45:01 AM,C,24.603
5/8/11 10:00:01 AM,C,24.103
5/8/11 10:15:01 AM,C,23.103
5/8/11 10:30:01 AM,C,23.103
5/8/11 10:45:01 AM,C,24.103
5/8/11 11:00:01 AM,C,23.603
5/8/11 11:15:01 AM,C,23.603
5/8/11 11:30:01 AM,C,23.603
5/8/11 11:45:01 AM,C,24.103
5/8/11 12:00:01 PM,C,24.103
5/8/11 12:15:01 PM,C,25.104
5/8/11 12:30:01 PM,C,25.604
5/8/11 12:45:01 PM,C,26.103
