1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C200000013C90341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat May 07 14:55:01 CDT 2011
Mission Sample Count:  7113
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 14:55:01 CDT 2011
Total Mission Samples:  7113
Total Device Samples:  15812
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 2:55:01 PM,C,31.631
5/7/11 3:10:01 PM,C,32.629
5/7/11 3:25:01 PM,C,32.13
5/7/11 3:40:01 PM,C,31.132
5/7/11 3:55:01 PM,C,31.132
5/7/11 4:10:01 PM,C,31.631
5/7/11 4:25:01 PM,C,31.132
5/7/11 4:40:01 PM,C,31.631
5/7/11 4:55:01 PM,C,30.133
5/7/11 5:10:01 PM,C,30.133
5/7/11 5:25:01 PM,C,30.133
5/7/11 5:40:01 PM,C,29.634
5/7/11 5:55:01 PM,C,30.133
5/7/11 6:10:01 PM,C,28.635
5/7/11 6:25:01 PM,C,28.635
5/7/11 6:40:01 PM,C,28.136
5/7/11 6:55:01 PM,C,27.136
5/7/11 7:10:01 PM,C,27.636
5/7/11 7:25:01 PM,C,26.137
5/7/11 7:40:01 PM,C,25.637
5/7/11 7:55:01 PM,C,25.137
5/7/11 8:10:01 PM,C,23.636
5/7/11 8:25:01 PM,C,22.635
5/7/11 8:40:01 PM,C,21.634
5/7/11 8:55:01 PM,C,20.132
5/7/11 9:10:01 PM,C,19.131
5/7/11 9:25:01 PM,C,18.128
5/7/11 9:40:01 PM,C,18.629
5/7/11 9:55:01 PM,C,17.627
5/7/11 10:10:01 PM,C,17.627
5/7/11 10:25:01 PM,C,16.123
5/7/11 10:40:01 PM,C,15.622
5/7/11 10:55:01 PM,C,16.123
5/7/11 11:10:01 PM,C,16.625
5/7/11 11:25:01 PM,C,18.629
5/7/11 11:40:01 PM,C,18.128
5/7/11 11:55:01 PM,C,18.629
5/8/11 12:10:01 AM,C,17.126
5/8/11 12:25:01 AM,C,17.126
5/8/11 12:40:01 AM,C,16.625
5/8/11 12:55:01 AM,C,16.123
5/8/11 1:10:01 AM,C,16.123
5/8/11 1:25:01 AM,C,16.625
5/8/11 1:40:01 AM,C,16.625
5/8/11 1:55:01 AM,C,16.625
5/8/11 2:10:01 AM,C,19.631
5/8/11 2:25:01 AM,C,20.132
5/8/11 2:40:01 AM,C,20.132
5/8/11 2:55:01 AM,C,17.627
5/8/11 3:10:01 AM,C,17.627
5/8/11 3:25:01 AM,C,18.629
5/8/11 3:40:01 AM,C,20.132
5/8/11 3:55:01 AM,C,19.631
5/8/11 4:10:01 AM,C,19.131
5/8/11 4:25:01 AM,C,18.629
5/8/11 4:40:01 AM,C,17.627
5/8/11 4:55:01 AM,C,17.126
5/8/11 5:10:01 AM,C,16.625
5/8/11 5:25:01 AM,C,16.123
5/8/11 5:40:01 AM,C,15.622
5/8/11 5:55:01 AM,C,15.12
5/8/11 6:10:01 AM,C,15.12
5/8/11 6:25:01 AM,C,14.619
5/8/11 6:40:01 AM,C,15.12
5/8/11 6:55:01 AM,C,15.12
5/8/11 7:10:01 AM,C,15.12
5/8/11 7:25:01 AM,C,15.12
5/8/11 7:40:01 AM,C,14.619
5/8/11 7:55:01 AM,C,15.622
5/8/11 8:10:01 AM,C,17.126
5/8/11 8:25:01 AM,C,18.128
5/8/11 8:40:01 AM,C,19.631
5/8/11 8:55:01 AM,C,22.135
5/8/11 9:10:01 AM,C,25.637
5/8/11 9:25:01 AM,C,27.636
5/8/11 9:40:01 AM,C,28.635
5/8/11 9:55:01 AM,C,28.136
5/8/11 10:10:01 AM,C,27.636
5/8/11 10:25:01 AM,C,26.637
5/8/11 10:40:01 AM,C,29.634
5/8/11 10:55:01 AM,C,31.631
5/8/11 11:10:01 AM,C,31.631
5/8/11 11:25:01 AM,C,30.633
5/8/11 11:40:01 AM,C,29.634
5/8/11 11:55:01 AM,C,30.133
5/8/11 12:10:01 PM,C,31.132
5/8/11 12:25:01 PM,C,31.631
5/8/11 12:40:01 PM,C,30.633
5/8/11 12:55:01 PM,C,30.133
5/8/11 1:10:01 PM,C,29.634
5/8/11 1:25:01 PM,C,30.133
5/8/11 1:40:01 PM,C,30.633
5/8/11 1:55:01 PM,C,28.635
5/8/11 2:10:01 PM,C,30.133
5/8/11 2:25:01 PM,C,32.629
5/8/11 2:40:01 PM,C,35.621
5/8/11 2:55:01 PM,C,30.633
5/8/11 3:10:01 PM,C,31.631
5/8/11 3:25:01 PM,C,33.128
5/8/11 3:40:01 PM,C,33.128
5/8/11 3:55:01 PM,C,31.132
5/8/11 4:10:01 PM,C,33.128
5/8/11 4:25:01 PM,C,31.631
5/8/11 4:40:01 PM,C,29.135
5/8/11 4:55:01 PM,C,30.133
5/8/11 5:10:01 PM,C,30.133
5/8/11 5:25:01 PM,C,29.634
5/8/11 5:40:01 PM,C,29.135
5/8/11 5:55:01 PM,C,29.135
5/8/11 6:10:01 PM,C,29.135
5/8/11 6:25:01 PM,C,27.636
5/8/11 6:40:01 PM,C,26.637
5/8/11 6:55:01 PM,C,28.136
5/8/11 7:10:01 PM,C,27.136
5/8/11 7:25:01 PM,C,26.637
5/8/11 7:40:01 PM,C,26.137
5/8/11 7:55:01 PM,C,25.137
5/8/11 8:10:01 PM,C,23.636
5/8/11 8:25:01 PM,C,22.635
5/8/11 8:40:01 PM,C,21.134
5/8/11 8:55:01 PM,C,19.631
5/8/11 9:10:01 PM,C,18.629
5/8/11 9:25:01 PM,C,17.627
5/8/11 9:40:01 PM,C,17.627
5/8/11 9:55:01 PM,C,19.131
5/8/11 10:10:01 PM,C,19.631
5/8/11 10:25:01 PM,C,17.126
5/8/11 10:40:01 PM,C,17.627
5/8/11 10:55:01 PM,C,17.627
5/8/11 11:10:01 PM,C,18.128
5/8/11 11:25:01 PM,C,18.128
5/8/11 11:40:01 PM,C,20.132
5/8/11 11:55:01 PM,C,19.631
5/9/11 12:10:01 AM,C,16.625
5/9/11 12:25:01 AM,C,17.627
5/9/11 12:40:01 AM,C,19.631
5/9/11 12:55:01 AM,C,18.629
5/9/11 1:10:01 AM,C,19.131
5/9/11 1:25:01 AM,C,20.132
5/9/11 1:40:01 AM,C,19.631
5/9/11 1:55:01 AM,C,19.631
5/9/11 2:10:01 AM,C,19.631
5/9/11 2:25:01 AM,C,18.629
5/9/11 2:40:01 AM,C,17.627
5/9/11 2:55:01 AM,C,17.126
5/9/11 3:10:01 AM,C,17.126
5/9/11 3:25:01 AM,C,17.126
5/9/11 3:40:01 AM,C,17.126
5/9/11 3:55:01 AM,C,17.126
5/9/11 4:10:01 AM,C,17.627
5/9/11 4:25:01 AM,C,18.128
5/9/11 4:40:01 AM,C,18.128
5/9/11 4:55:01 AM,C,17.627
5/9/11 5:10:01 AM,C,17.627
5/9/11 5:25:01 AM,C,17.627
5/9/11 5:40:01 AM,C,17.126
5/9/11 5:55:01 AM,C,16.625
5/9/11 6:10:01 AM,C,16.123
5/9/11 6:25:01 AM,C,16.123
5/9/11 6:40:01 AM,C,16.123
5/9/11 6:55:01 AM,C,16.123
5/9/11 7:10:01 AM,C,16.123
5/9/11 7:25:01 AM,C,16.123
5/9/11 7:40:01 AM,C,16.123
5/9/11 7:55:01 AM,C,16.625
5/9/11 8:10:01 AM,C,17.126
5/9/11 8:25:01 AM,C,18.128
5/9/11 8:40:01 AM,C,19.131
5/9/11 8:55:01 AM,C,20.132
5/9/11 9:10:01 AM,C,23.136
5/9/11 9:25:01 AM,C,23.136
5/9/11 9:40:01 AM,C,26.637
5/9/11 9:55:01 AM,C,26.637
5/9/11 10:10:01 AM,C,22.635
5/9/11 10:25:01 AM,C,26.137
5/9/11 10:40:01 AM,C,28.635
5/9/11 10:55:01 AM,C,29.634
5/9/11 11:10:01 AM,C,28.635
5/9/11 11:25:01 AM,C,28.635
5/9/11 11:40:01 AM,C,26.637
5/9/11 11:55:01 AM,C,28.136
5/9/11 12:10:01 PM,C,28.136
5/9/11 12:25:01 PM,C,28.635
5/9/11 12:40:01 PM,C,29.634
5/9/11 12:55:01 PM,C,30.633
5/9/11 1:10:01 PM,C,29.634
5/9/11 1:25:01 PM,C,31.631
5/9/11 1:40:01 PM,C,30.133
5/9/11 1:55:01 PM,C,30.133
5/9/11 2:10:01 PM,C,28.635
5/9/11 2:25:01 PM,C,30.133
5/9/11 2:40:01 PM,C,31.631
5/9/11 2:55:01 PM,C,29.135
5/9/11 3:10:01 PM,C,31.132
5/9/11 3:25:01 PM,C,30.133
5/9/11 3:40:01 PM,C,31.132
5/9/11 3:55:01 PM,C,29.634
5/9/11 4:10:01 PM,C,30.133
5/9/11 4:25:01 PM,C,28.136
5/9/11 4:40:01 PM,C,26.637
5/9/11 4:55:01 PM,C,24.637
5/9/11 5:10:01 PM,C,24.637
5/9/11 5:25:01 PM,C,24.136
5/9/11 5:40:01 PM,C,25.137
5/9/11 5:55:01 PM,C,24.136
5/9/11 6:10:01 PM,C,23.636
5/9/11 6:25:01 PM,C,25.137
5/9/11 6:40:01 PM,C,24.136
5/9/11 6:55:01 PM,C,24.637
5/9/11 7:10:01 PM,C,24.136
5/9/11 7:25:01 PM,C,22.635
5/9/11 7:40:01 PM,C,23.136
5/9/11 7:55:01 PM,C,22.135
5/9/11 8:10:01 PM,C,21.634
5/9/11 8:25:01 PM,C,21.634
5/9/11 8:40:01 PM,C,21.134
5/9/11 8:55:01 PM,C,20.132
5/9/11 9:10:01 PM,C,20.132
5/9/11 9:25:01 PM,C,18.629
5/9/11 9:40:01 PM,C,17.627
5/9/11 9:55:01 PM,C,18.128
5/9/11 10:10:01 PM,C,18.128
5/9/11 10:25:01 PM,C,16.625
5/9/11 10:40:01 PM,C,16.625
5/9/11 10:55:01 PM,C,17.126
5/9/11 11:10:01 PM,C,16.625
5/9/11 11:25:01 PM,C,17.126
5/9/11 11:40:01 PM,C,17.126
5/9/11 11:55:01 PM,C,17.126
5/10/11 12:10:01 AM,C,16.625
5/10/11 12:25:01 AM,C,16.625
5/10/11 12:40:01 AM,C,18.128
5/10/11 12:55:01 AM,C,20.132
5/10/11 1:10:01 AM,C,20.132
5/10/11 1:25:01 AM,C,19.131
5/10/11 1:40:01 AM,C,18.629
5/10/11 1:55:01 AM,C,18.128
5/10/11 2:10:01 AM,C,18.128
5/10/11 2:25:01 AM,C,17.627
5/10/11 2:40:01 AM,C,17.627
5/10/11 2:55:01 AM,C,17.126
5/10/11 3:10:01 AM,C,17.126
5/10/11 3:25:01 AM,C,16.625
5/10/11 3:40:01 AM,C,16.625
5/10/11 3:55:01 AM,C,16.625
5/10/11 4:10:01 AM,C,16.123
5/10/11 4:25:01 AM,C,16.123
5/10/11 4:40:01 AM,C,16.123
5/10/11 4:55:01 AM,C,16.625
5/10/11 5:10:01 AM,C,16.123
5/10/11 5:25:01 AM,C,16.123
5/10/11 5:40:01 AM,C,16.625
5/10/11 5:55:01 AM,C,16.625
5/10/11 6:10:01 AM,C,16.123
5/10/11 6:25:01 AM,C,16.625
5/10/11 6:40:01 AM,C,16.625
5/10/11 6:55:01 AM,C,16.625
5/10/11 7:10:01 AM,C,16.625
5/10/11 7:25:01 AM,C,17.126
5/10/11 7:40:01 AM,C,17.126
5/10/11 7:55:01 AM,C,17.126
5/10/11 8:10:01 AM,C,17.126
5/10/11 8:25:01 AM,C,17.126
5/10/11 8:40:01 AM,C,16.625
5/10/11 8:55:01 AM,C,20.132
5/10/11 9:10:01 AM,C,23.136
5/10/11 9:25:01 AM,C,23.636
5/10/11 9:40:01 AM,C,24.637
5/10/11 9:55:01 AM,C,25.137
5/10/11 10:10:01 AM,C,23.136
5/10/11 10:25:01 AM,C,24.637
5/10/11 10:40:01 AM,C,25.637
5/10/11 10:55:01 AM,C,27.136
5/10/11 11:10:01 AM,C,26.137
5/10/11 11:25:01 AM,C,25.637
5/10/11 11:40:01 AM,C,24.637
5/10/11 11:55:01 AM,C,26.637
5/10/11 12:10:01 PM,C,29.135
5/10/11 12:25:01 PM,C,30.133
5/10/11 12:40:01 PM,C,28.635
5/10/11 12:55:01 PM,C,30.633
5/10/11 1:10:01 PM,C,28.136
5/10/11 1:25:01 PM,C,29.634
5/10/11 1:40:01 PM,C,29.634
5/10/11 1:55:01 PM,C,27.136
5/10/11 2:10:01 PM,C,26.137
5/10/11 2:25:01 PM,C,29.135
5/10/11 2:40:01 PM,C,32.629
5/10/11 2:55:01 PM,C,29.634
5/10/11 3:10:01 PM,C,29.634
5/10/11 3:25:01 PM,C,27.636
5/10/11 3:40:01 PM,C,30.133
5/10/11 3:55:01 PM,C,32.629
5/10/11 4:10:01 PM,C,27.136
5/10/11 4:25:01 PM,C,29.634
5/10/11 4:40:01 PM,C,29.634
5/10/11 4:55:01 PM,C,28.136
5/10/11 5:10:01 PM,C,27.636
5/10/11 5:25:01 PM,C,25.137
5/10/11 5:40:01 PM,C,27.136
5/10/11 5:55:01 PM,C,26.637
5/10/11 6:10:01 PM,C,26.637
5/10/11 6:25:01 PM,C,27.636
5/10/11 6:40:01 PM,C,26.637
5/10/11 6:55:01 PM,C,24.136
5/10/11 7:10:01 PM,C,24.637
5/10/11 7:25:01 PM,C,22.635
5/10/11 7:40:01 PM,C,22.635
5/10/11 7:55:01 PM,C,22.135
5/10/11 8:10:01 PM,C,21.634
5/10/11 8:25:01 PM,C,21.134
5/10/11 8:40:01 PM,C,21.134
5/10/11 8:55:01 PM,C,21.634
5/10/11 9:10:01 PM,C,21.634
5/10/11 9:25:01 PM,C,21.134
5/10/11 9:40:01 PM,C,21.134
