1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A70000000FD7BA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat May 07 10:16:01 CDT 2011
Mission Sample Count:  7237
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 10:16:01 CDT 2011
Total Mission Samples:  7237
Total Device Samples:  24698
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 10:16:01 AM,C,29.205
5/7/11 10:31:01 AM,C,32.2
5/7/11 10:46:01 AM,C,32.2
5/7/11 11:01:01 AM,C,29.704
5/7/11 11:16:01 AM,C,31.202
5/7/11 11:31:01 AM,C,31.701
5/7/11 11:46:01 AM,C,31.202
5/7/11 12:01:01 PM,C,32.2
5/7/11 12:16:01 PM,C,30.703
5/7/11 12:31:01 PM,C,31.701
5/7/11 12:46:01 PM,C,30.703
5/7/11 1:01:01 PM,C,30.203
5/7/11 1:16:01 PM,C,28.705
5/7/11 1:31:01 PM,C,31.202
5/7/11 1:46:01 PM,C,31.202
5/7/11 2:01:01 PM,C,30.703
5/7/11 2:16:01 PM,C,30.203
5/7/11 2:31:01 PM,C,29.205
5/7/11 2:46:01 PM,C,28.206
5/7/11 3:01:01 PM,C,26.707
5/7/11 3:16:01 PM,C,28.705
5/7/11 3:31:01 PM,C,27.706
5/7/11 3:46:01 PM,C,27.206
5/7/11 4:01:01 PM,C,27.706
5/7/11 4:16:01 PM,C,27.206
5/7/11 4:31:01 PM,C,26.207
5/7/11 4:46:01 PM,C,26.207
5/7/11 5:01:01 PM,C,25.207
5/7/11 5:16:01 PM,C,24.707
5/7/11 5:31:01 PM,C,25.707
5/7/11 5:46:01 PM,C,24.707
5/7/11 6:01:01 PM,C,24.207
5/7/11 6:16:01 PM,C,23.707
5/7/11 6:31:01 PM,C,22.706
5/7/11 6:46:01 PM,C,21.705
5/7/11 7:01:01 PM,C,21.705
5/7/11 7:16:01 PM,C,20.704
5/7/11 7:31:01 PM,C,19.703
5/7/11 7:46:01 PM,C,20.203
5/7/11 8:01:01 PM,C,20.203
5/7/11 8:16:01 PM,C,19.703
5/7/11 8:31:01 PM,C,18.701
5/7/11 8:46:01 PM,C,17.699
5/7/11 9:01:01 PM,C,17.198
5/7/11 9:16:01 PM,C,16.697
5/7/11 9:31:01 PM,C,16.697
5/7/11 9:46:01 PM,C,16.697
5/7/11 10:01:01 PM,C,16.195
5/7/11 10:16:01 PM,C,16.195
5/7/11 10:31:01 PM,C,16.697
5/7/11 10:46:01 PM,C,16.697
5/7/11 11:01:01 PM,C,16.697
5/7/11 11:16:01 PM,C,16.697
5/7/11 11:31:01 PM,C,17.198
5/7/11 11:46:01 PM,C,16.697
5/8/11 12:01:01 AM,C,16.195
5/8/11 12:16:01 AM,C,16.195
5/8/11 12:31:01 AM,C,16.697
5/8/11 12:46:01 AM,C,17.198
5/8/11 1:01:01 AM,C,16.195
5/8/11 1:16:01 AM,C,15.694
5/8/11 1:31:01 AM,C,15.192
5/8/11 1:46:01 AM,C,15.694
5/8/11 2:01:01 AM,C,15.694
5/8/11 2:16:01 AM,C,15.192
5/8/11 2:31:01 AM,C,15.192
5/8/11 2:46:01 AM,C,14.691
5/8/11 3:01:01 AM,C,14.691
5/8/11 3:16:01 AM,C,14.691
5/8/11 3:31:01 AM,C,15.192
5/8/11 3:46:01 AM,C,14.691
5/8/11 4:01:01 AM,C,16.697
5/8/11 4:16:01 AM,C,16.195
5/8/11 4:31:01 AM,C,14.189
5/8/11 4:46:01 AM,C,13.688
5/8/11 5:01:01 AM,C,13.688
5/8/11 5:16:01 AM,C,13.186
5/8/11 5:31:01 AM,C,13.186
5/8/11 5:46:01 AM,C,12.684
5/8/11 6:01:01 AM,C,12.684
5/8/11 6:16:01 AM,C,12.684
5/8/11 6:31:01 AM,C,12.684
5/8/11 6:46:01 AM,C,12.182
5/8/11 7:01:01 AM,C,12.182
5/8/11 7:16:01 AM,C,12.182
5/8/11 7:31:01 AM,C,12.684
5/8/11 7:46:01 AM,C,14.189
5/8/11 8:01:01 AM,C,15.192
5/8/11 8:16:01 AM,C,16.195
5/8/11 8:31:01 AM,C,17.198
5/8/11 8:46:01 AM,C,19.202
5/8/11 9:01:01 AM,C,19.703
5/8/11 9:16:01 AM,C,20.203
5/8/11 9:31:01 AM,C,23.707
5/8/11 9:46:01 AM,C,26.207
5/8/11 10:01:01 AM,C,27.206
5/8/11 10:16:01 AM,C,29.704
5/8/11 10:31:01 AM,C,31.202
5/8/11 10:46:01 AM,C,30.703
5/8/11 11:01:01 AM,C,32.699
5/8/11 11:16:01 AM,C,31.701
5/8/11 11:31:01 AM,C,32.2
5/8/11 11:46:01 AM,C,29.704
5/8/11 12:01:01 PM,C,32.699
5/8/11 12:16:01 PM,C,31.202
5/8/11 12:31:01 PM,C,33.198
5/8/11 12:46:01 PM,C,29.704
5/8/11 1:01:01 PM,C,29.205
5/8/11 1:16:01 PM,C,27.706
5/8/11 1:31:01 PM,C,29.205
5/8/11 1:46:01 PM,C,30.203
5/8/11 2:01:01 PM,C,28.206
5/8/11 2:16:01 PM,C,28.206
5/8/11 2:31:01 PM,C,28.705
5/8/11 2:46:01 PM,C,27.206
5/8/11 3:01:01 PM,C,27.706
5/8/11 3:16:01 PM,C,28.206
5/8/11 3:31:01 PM,C,27.206
5/8/11 3:46:01 PM,C,29.205
5/8/11 4:01:01 PM,C,28.206
5/8/11 4:16:01 PM,C,27.706
5/8/11 4:31:01 PM,C,26.707
5/8/11 4:46:01 PM,C,26.207
5/8/11 5:01:01 PM,C,27.206
5/8/11 5:16:01 PM,C,26.707
5/8/11 5:31:01 PM,C,25.707
5/8/11 5:46:01 PM,C,25.707
5/8/11 6:01:01 PM,C,24.707
5/8/11 6:16:01 PM,C,24.207
5/8/11 6:31:01 PM,C,24.707
5/8/11 6:46:01 PM,C,23.707
5/8/11 7:01:01 PM,C,22.706
5/8/11 7:16:01 PM,C,21.705
5/8/11 7:31:01 PM,C,20.704
5/8/11 7:46:01 PM,C,19.703
5/8/11 8:01:01 PM,C,19.703
5/8/11 8:16:01 PM,C,18.701
5/8/11 8:31:01 PM,C,17.699
5/8/11 8:46:01 PM,C,17.699
5/8/11 9:01:01 PM,C,17.198
5/8/11 9:16:01 PM,C,17.198
5/8/11 9:31:01 PM,C,16.697
5/8/11 9:46:01 PM,C,17.198
5/8/11 10:01:01 PM,C,16.697
5/8/11 10:16:01 PM,C,16.697
5/8/11 10:31:01 PM,C,16.195
5/8/11 10:46:01 PM,C,16.195
5/8/11 11:01:01 PM,C,16.697
5/8/11 11:16:01 PM,C,16.697
5/8/11 11:31:01 PM,C,17.699
5/8/11 11:46:01 PM,C,17.198
5/9/11 12:01:01 AM,C,17.198
5/9/11 12:16:01 AM,C,16.697
5/9/11 12:31:01 AM,C,16.195
5/9/11 12:46:01 AM,C,15.694
5/9/11 1:01:01 AM,C,15.694
5/9/11 1:16:01 AM,C,16.697
5/9/11 1:31:01 AM,C,16.697
5/9/11 1:46:01 AM,C,18.2
5/9/11 2:01:01 AM,C,16.697
5/9/11 2:16:01 AM,C,16.195
5/9/11 2:31:01 AM,C,15.192
5/9/11 2:46:01 AM,C,14.691
5/9/11 3:01:01 AM,C,14.691
5/9/11 3:16:01 AM,C,14.189
5/9/11 3:31:01 AM,C,14.189
5/9/11 3:46:01 AM,C,14.189
5/9/11 4:01:01 AM,C,13.688
5/9/11 4:16:01 AM,C,13.688
5/9/11 4:31:01 AM,C,13.688
5/9/11 4:46:01 AM,C,13.688
5/9/11 5:01:01 AM,C,13.688
5/9/11 5:16:01 AM,C,13.186
5/9/11 5:31:01 AM,C,13.186
5/9/11 5:46:01 AM,C,12.684
5/9/11 6:01:01 AM,C,12.684
5/9/11 6:16:01 AM,C,12.684
5/9/11 6:31:01 AM,C,12.684
5/9/11 6:46:01 AM,C,12.182
5/9/11 7:01:01 AM,C,12.182
5/9/11 7:16:01 AM,C,12.182
5/9/11 7:31:01 AM,C,12.684
5/9/11 7:46:01 AM,C,13.688
5/9/11 8:01:01 AM,C,15.192
5/9/11 8:16:01 AM,C,16.195
5/9/11 8:31:01 AM,C,17.699
5/9/11 8:46:01 AM,C,19.703
5/9/11 9:01:01 AM,C,19.703
5/9/11 9:16:01 AM,C,19.703
5/9/11 9:31:01 AM,C,20.704
5/9/11 9:46:01 AM,C,24.707
5/9/11 10:01:01 AM,C,25.207
5/9/11 10:16:01 AM,C,27.206
5/9/11 10:31:01 AM,C,27.706
5/9/11 10:46:01 AM,C,30.203
5/9/11 11:01:01 AM,C,29.205
5/9/11 11:16:01 AM,C,31.202
5/9/11 11:31:01 AM,C,30.203
5/9/11 11:46:01 AM,C,31.202
5/9/11 12:01:01 PM,C,32.2
5/9/11 12:16:01 PM,C,29.704
5/9/11 12:31:01 PM,C,28.705
5/9/11 12:46:01 PM,C,29.205
5/9/11 1:01:01 PM,C,29.205
5/9/11 1:16:01 PM,C,28.705
5/9/11 1:31:01 PM,C,28.705
5/9/11 1:46:01 PM,C,32.2
5/9/11 2:01:01 PM,C,30.203
5/9/11 2:16:01 PM,C,29.704
5/9/11 2:31:01 PM,C,28.705
5/9/11 2:46:01 PM,C,28.206
5/9/11 3:01:01 PM,C,28.206
5/9/11 3:16:01 PM,C,28.206
5/9/11 3:31:01 PM,C,27.206
5/9/11 3:46:01 PM,C,28.206
5/9/11 4:01:01 PM,C,27.706
5/9/11 4:16:01 PM,C,25.707
5/9/11 4:31:01 PM,C,25.707
5/9/11 4:46:01 PM,C,24.707
5/9/11 5:01:01 PM,C,24.707
5/9/11 5:16:01 PM,C,23.206
5/9/11 5:31:01 PM,C,23.707
5/9/11 5:46:01 PM,C,24.207
5/9/11 6:01:01 PM,C,23.707
5/9/11 6:16:01 PM,C,23.206
5/9/11 6:31:01 PM,C,24.207
5/9/11 6:46:01 PM,C,22.706
5/9/11 7:01:01 PM,C,22.206
5/9/11 7:16:01 PM,C,21.205
5/9/11 7:31:01 PM,C,21.205
5/9/11 7:46:01 PM,C,21.205
5/9/11 8:01:01 PM,C,20.704
5/9/11 8:16:01 PM,C,18.701
5/9/11 8:31:01 PM,C,17.198
5/9/11 8:46:01 PM,C,16.697
5/9/11 9:01:01 PM,C,16.195
5/9/11 9:16:01 PM,C,15.694
5/9/11 9:31:01 PM,C,15.694
5/9/11 9:46:01 PM,C,15.192
5/9/11 10:01:01 PM,C,15.192
5/9/11 10:16:01 PM,C,15.192
5/9/11 10:31:01 PM,C,15.694
5/9/11 10:46:01 PM,C,15.694
5/9/11 11:01:01 PM,C,15.694
5/9/11 11:16:01 PM,C,15.694
5/9/11 11:31:01 PM,C,15.694
5/9/11 11:46:01 PM,C,15.694
5/10/11 12:01:01 AM,C,15.694
5/10/11 12:16:01 AM,C,15.694
5/10/11 12:31:01 AM,C,15.694
5/10/11 12:46:01 AM,C,15.694
5/10/11 1:01:01 AM,C,17.198
5/10/11 1:16:01 AM,C,18.2
5/10/11 1:31:01 AM,C,16.697
5/10/11 1:46:01 AM,C,15.694
5/10/11 2:01:01 AM,C,15.192
5/10/11 2:16:01 AM,C,15.192
5/10/11 2:31:01 AM,C,15.694
5/10/11 2:46:01 AM,C,14.189
5/10/11 3:01:01 AM,C,15.192
