1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4600000014989641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat May 07 11:29:01 CDT 2011
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 11:29:01 CDT 2011
Total Mission Samples:  4096
Total Device Samples:  16020
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 11:29:01 AM,C,28.655
5/7/11 11:59:01 AM,C,26.656
5/7/11 12:29:01 PM,C,30.154
5/7/11 12:59:01 PM,C,26.656
5/7/11 1:29:01 PM,C,29.155
5/7/11 1:59:01 PM,C,29.654
5/7/11 2:29:01 PM,C,26.656
5/7/11 2:59:01 PM,C,26.156
5/7/11 3:29:01 PM,C,29.155
5/7/11 3:59:01 PM,C,26.656
5/7/11 4:29:01 PM,C,26.656
5/7/11 4:59:01 PM,C,26.156
5/7/11 5:29:01 PM,C,24.656
5/7/11 5:59:01 PM,C,23.656
5/7/11 6:29:01 PM,C,22.155
5/7/11 6:59:01 PM,C,20.654
5/7/11 7:29:01 PM,C,20.654
5/7/11 7:59:01 PM,C,19.653
5/7/11 8:29:01 PM,C,19.152
5/7/11 8:59:01 PM,C,17.65
5/7/11 9:29:01 PM,C,18.151
5/7/11 9:59:01 PM,C,17.65
5/7/11 10:29:01 PM,C,17.149
5/7/11 10:59:01 PM,C,17.149
5/7/11 11:29:01 PM,C,17.149
5/7/11 11:59:01 PM,C,17.149
5/8/11 12:29:01 AM,C,17.65
5/8/11 12:59:01 AM,C,16.648
5/8/11 1:29:01 AM,C,17.149
5/8/11 1:59:01 AM,C,17.149
5/8/11 2:29:01 AM,C,16.648
5/8/11 2:59:01 AM,C,16.147
5/8/11 3:29:01 AM,C,16.648
5/8/11 3:59:01 AM,C,16.147
5/8/11 4:29:01 AM,C,16.147
5/8/11 4:59:01 AM,C,15.145
5/8/11 5:29:01 AM,C,14.644
5/8/11 5:59:01 AM,C,14.143
5/8/11 6:29:01 AM,C,13.642
5/8/11 6:59:01 AM,C,13.642
5/8/11 7:29:01 AM,C,15.646
5/8/11 7:59:01 AM,C,21.154
5/8/11 8:29:01 AM,C,22.656
5/8/11 8:59:01 AM,C,21.655
5/8/11 9:29:01 AM,C,21.655
5/8/11 9:59:01 AM,C,26.156
5/8/11 10:29:01 AM,C,22.656
5/8/11 10:59:01 AM,C,23.156
5/8/11 11:29:01 AM,C,26.156
5/8/11 11:59:01 AM,C,25.656
5/8/11 12:29:01 PM,C,28.655
5/8/11 12:59:01 PM,C,26.656
5/8/11 1:29:01 PM,C,26.656
5/8/11 1:59:01 PM,C,25.656
5/8/11 2:29:01 PM,C,27.656
5/8/11 2:59:01 PM,C,27.156
5/8/11 3:29:01 PM,C,28.155
5/8/11 3:59:01 PM,C,26.656
5/8/11 4:29:01 PM,C,25.656
5/8/11 4:59:01 PM,C,27.156
5/8/11 5:29:01 PM,C,25.156
5/8/11 5:59:01 PM,C,24.156
5/8/11 6:29:01 PM,C,23.156
5/8/11 6:59:01 PM,C,21.655
5/8/11 7:29:01 PM,C,20.654
5/8/11 7:59:01 PM,C,20.153
5/8/11 8:29:01 PM,C,19.152
5/8/11 8:59:01 PM,C,18.151
5/8/11 9:29:01 PM,C,18.151
5/8/11 9:59:01 PM,C,17.65
5/8/11 10:29:01 PM,C,17.65
5/8/11 10:59:01 PM,C,18.151
5/8/11 11:29:01 PM,C,17.65
5/8/11 11:59:01 PM,C,17.65
5/9/11 12:29:01 AM,C,17.65
5/9/11 12:59:01 AM,C,17.149
5/9/11 1:29:01 AM,C,18.151
5/9/11 1:59:01 AM,C,18.151
5/9/11 2:29:01 AM,C,17.65
5/9/11 2:59:01 AM,C,16.648
5/9/11 3:29:01 AM,C,17.149
5/9/11 3:59:01 AM,C,16.648
5/9/11 4:29:01 AM,C,16.648
5/9/11 4:59:01 AM,C,16.147
5/9/11 5:29:01 AM,C,15.646
5/9/11 5:59:01 AM,C,15.145
5/9/11 6:29:01 AM,C,14.644
5/9/11 6:59:01 AM,C,14.644
5/9/11 7:29:01 AM,C,15.646
5/9/11 7:59:01 AM,C,19.653
5/9/11 8:29:01 AM,C,20.654
5/9/11 8:59:01 AM,C,20.153
5/9/11 9:29:01 AM,C,18.652
5/9/11 9:59:01 AM,C,22.656
5/9/11 10:29:01 AM,C,21.154
5/9/11 10:59:01 AM,C,21.154
5/9/11 11:29:01 AM,C,24.156
5/9/11 11:59:01 AM,C,23.156
5/9/11 12:29:01 PM,C,26.656
5/9/11 12:59:01 PM,C,25.656
5/9/11 1:29:01 PM,C,26.156
5/9/11 1:59:01 PM,C,28.155
5/9/11 2:29:01 PM,C,26.656
5/9/11 2:59:01 PM,C,25.156
5/9/11 3:29:01 PM,C,25.156
5/9/11 3:59:01 PM,C,25.156
5/9/11 4:29:01 PM,C,24.656
5/9/11 4:59:01 PM,C,23.156
5/9/11 5:29:01 PM,C,22.656
5/9/11 5:59:01 PM,C,21.655
5/9/11 6:29:01 PM,C,21.655
5/9/11 6:59:01 PM,C,20.654
5/9/11 7:29:01 PM,C,19.152
5/9/11 7:59:01 PM,C,18.652
5/9/11 8:29:01 PM,C,17.65
5/9/11 8:59:01 PM,C,16.648
5/9/11 9:29:01 PM,C,16.147
5/9/11 9:59:01 PM,C,16.147
5/9/11 10:29:01 PM,C,16.147
5/9/11 10:59:01 PM,C,16.648
5/9/11 11:29:01 PM,C,16.648
5/9/11 11:59:01 PM,C,16.147
5/10/11 12:29:01 AM,C,17.149
5/10/11 12:59:01 AM,C,17.149
5/10/11 1:29:01 AM,C,16.648
5/10/11 1:59:01 AM,C,16.147
5/10/11 2:29:01 AM,C,15.145
5/10/11 2:59:01 AM,C,14.644
5/10/11 3:29:01 AM,C,13.642
5/10/11 3:59:01 AM,C,13.642
5/10/11 4:29:01 AM,C,14.143
5/10/11 4:59:01 AM,C,14.644
5/10/11 5:29:01 AM,C,14.644
5/10/11 5:59:01 AM,C,14.143
5/10/11 6:29:01 AM,C,14.143
5/10/11 6:59:01 AM,C,13.642
5/10/11 7:29:01 AM,C,13.141
5/10/11 7:59:01 AM,C,13.642
5/10/11 8:29:01 AM,C,13.642
5/10/11 8:59:01 AM,C,20.153
5/10/11 9:29:01 AM,C,19.653
5/10/11 9:59:01 AM,C,22.656
5/10/11 10:29:01 AM,C,19.653
5/10/11 10:59:01 AM,C,19.653
5/10/11 11:29:01 AM,C,24.156
5/10/11 11:59:01 AM,C,23.156
5/10/11 12:29:01 PM,C,26.656
5/10/11 12:59:01 PM,C,24.656
5/10/11 1:29:01 PM,C,25.156
5/10/11 1:59:01 PM,C,26.656
5/10/11 2:29:01 PM,C,23.656
5/10/11 2:59:01 PM,C,25.156
5/10/11 3:29:01 PM,C,25.156
5/10/11 3:59:01 PM,C,23.656
5/10/11 4:29:01 PM,C,25.156
5/10/11 4:59:01 PM,C,23.656
5/10/11 5:29:01 PM,C,23.156
5/10/11 5:59:01 PM,C,21.154
5/10/11 6:29:01 PM,C,20.654
5/10/11 6:59:01 PM,C,20.153
5/10/11 7:29:01 PM,C,19.152
5/10/11 7:59:01 PM,C,18.652
5/10/11 8:29:01 PM,C,18.151
5/10/11 8:59:01 PM,C,18.151
5/10/11 9:29:01 PM,C,18.151
5/10/11 9:59:01 PM,C,18.151
5/10/11 10:29:01 PM,C,17.65
5/10/11 10:59:01 PM,C,17.65
5/10/11 11:29:01 PM,C,17.149
5/10/11 11:59:01 PM,C,16.648
5/11/11 12:29:01 AM,C,16.147
5/11/11 12:59:01 AM,C,15.646
5/11/11 1:29:01 AM,C,15.145
5/11/11 1:59:01 AM,C,14.143
5/11/11 2:29:01 AM,C,12.138
5/11/11 2:59:01 AM,C,11.135
5/11/11 3:29:01 AM,C,9.63
5/11/11 3:59:01 AM,C,8.627
5/11/11 4:29:01 AM,C,8.627
5/11/11 4:59:01 AM,C,7.623
5/11/11 5:29:01 AM,C,6.62
5/11/11 5:59:01 AM,C,6.118
5/11/11 6:29:01 AM,C,5.616
5/11/11 6:59:01 AM,C,5.113
5/11/11 7:29:01 AM,C,8.125
5/11/11 7:59:01 AM,C,13.642
5/11/11 8:29:01 AM,C,14.143
5/11/11 8:59:01 AM,C,14.143
5/11/11 9:29:01 AM,C,12.639
5/11/11 9:59:01 AM,C,15.145
5/11/11 10:29:01 AM,C,13.141
5/11/11 10:59:01 AM,C,13.141
5/11/11 11:29:01 AM,C,19.653
5/11/11 11:59:01 AM,C,16.147
5/11/11 12:29:01 PM,C,20.654
5/11/11 12:59:01 PM,C,19.152
5/11/11 1:29:01 PM,C,18.652
5/11/11 1:59:01 PM,C,20.654
5/11/11 2:29:01 PM,C,19.152
5/11/11 2:59:01 PM,C,18.652
5/11/11 3:29:01 PM,C,19.653
5/11/11 3:59:01 PM,C,18.151
5/11/11 4:29:01 PM,C,18.652
5/11/11 4:59:01 PM,C,19.152
5/11/11 5:29:01 PM,C,17.149
5/11/11 5:59:01 PM,C,16.648
5/11/11 6:29:01 PM,C,15.145
5/11/11 6:59:01 PM,C,14.644
5/11/11 7:29:01 PM,C,14.143
5/11/11 7:59:01 PM,C,13.642
5/11/11 8:29:01 PM,C,13.141
5/11/11 8:59:01 PM,C,12.138
5/11/11 9:29:01 PM,C,11.135
5/11/11 9:59:01 PM,C,11.135
5/11/11 10:29:01 PM,C,10.132
5/11/11 10:59:01 PM,C,10.634
5/11/11 11:29:01 PM,C,9.63
5/11/11 11:59:01 PM,C,10.132
5/12/11 12:29:01 AM,C,10.132
5/12/11 12:59:01 AM,C,9.63
5/12/11 1:29:01 AM,C,9.63
5/12/11 1:59:01 AM,C,9.63
5/12/11 2:29:01 AM,C,8.627
5/12/11 2:59:01 AM,C,9.129
5/12/11 3:29:01 AM,C,8.627
5/12/11 3:59:01 AM,C,8.627
5/12/11 4:29:01 AM,C,8.627
5/12/11 4:59:01 AM,C,8.627
5/12/11 5:29:01 AM,C,8.627
5/12/11 5:59:01 AM,C,8.627
5/12/11 6:29:01 AM,C,8.627
5/12/11 6:59:01 AM,C,8.627
5/12/11 7:29:01 AM,C,11.135
5/12/11 7:59:01 AM,C,17.65
5/12/11 8:29:01 AM,C,19.152
5/12/11 8:59:01 AM,C,20.153
5/12/11 9:29:01 AM,C,18.652
5/12/11 9:59:01 AM,C,20.654
5/12/11 10:29:01 AM,C,18.151
5/12/11 10:59:01 AM,C,18.151
5/12/11 11:29:01 AM,C,21.154
5/12/11 11:59:01 AM,C,22.155
5/12/11 12:29:01 PM,C,23.656
5/12/11 12:59:01 PM,C,24.156
5/12/11 1:29:01 PM,C,22.656
5/12/11 1:59:01 PM,C,24.156
5/12/11 2:29:01 PM,C,24.156
5/12/11 2:59:01 PM,C,22.155
5/12/11 3:29:01 PM,C,21.655
5/12/11 3:59:01 PM,C,21.154
5/12/11 4:29:01 PM,C,22.155
5/12/11 4:59:01 PM,C,20.654
5/12/11 5:29:01 PM,C,21.154
5/12/11 5:59:01 PM,C,19.152
5/12/11 6:29:01 PM,C,17.65
5/12/11 6:59:01 PM,C,16.648
5/12/11 7:29:01 PM,C,15.646
5/12/11 7:59:01 PM,C,15.145
5/12/11 8:29:01 PM,C,13.642
5/12/11 8:59:01 PM,C,13.141
5/12/11 9:29:01 PM,C,12.639
5/12/11 9:59:01 PM,C,12.138
5/12/11 10:29:01 PM,C,12.138
5/12/11 10:59:01 PM,C,12.138
5/12/11 11:29:01 PM,C,12.138
5/12/11 11:59:01 PM,C,11.637
5/13/11 12:29:01 AM,C,11.637
5/13/11 12:59:01 AM,C,11.637
5/13/11 1:29:01 AM,C,11.637
5/13/11 1:59:01 AM,C,11.637
5/13/11 2:29:01 AM,C,11.135
5/13/11 2:59:01 AM,C,11.637
5/13/11 3:29:01 AM,C,11.637
5/13/11 3:59:01 AM,C,11.637
5/13/11 4:29:01 AM,C,11.637
5/13/11 4:59:01 AM,C,10.634
5/13/11 5:29:01 AM,C,11.135
5/13/11 5:59:01 AM,C,10.634
5/13/11 6:29:01 AM,C,9.129
5/13/11 6:59:01 AM,C,8.125
5/13/11 7:29:01 AM,C,11.135
5/13/11 7:59:01 AM,C,16.147
5/13/11 8:29:01 AM,C,18.151
5/13/11 8:59:01 AM,C,17.65
5/13/11 9:29:01 AM,C,16.648
5/13/11 9:59:01 AM,C,18.151
5/13/11 10:29:01 AM,C,16.147
5/13/11 10:59:01 AM,C,17.149
5/13/11 11:29:01 AM,C,20.153
5/13/11 11:59:01 AM,C,19.152
5/13/11 12:29:01 PM,C,22.656
5/13/11 12:59:01 PM,C,22.155
5/13/11 1:29:01 PM,C,22.656
5/13/11 1:59:01 PM,C,22.656
5/13/11 2:29:01 PM,C,22.656
5/13/11 2:59:01 PM,C,22.155
5/13/11 3:29:01 PM,C,21.655
5/13/11 3:59:01 PM,C,21.655
5/13/11 4:29:01 PM,C,22.155
5/13/11 4:59:01 PM,C,21.655
5/13/11 5:29:01 PM,C,20.654
5/13/11 5:59:01 PM,C,19.152
5/13/11 6:29:01 PM,C,18.151
5/13/11 6:59:01 PM,C,16.648
5/13/11 7:29:01 PM,C,15.646
5/13/11 7:59:01 PM,C,14.644
5/13/11 8:29:01 PM,C,13.642
5/13/11 8:59:01 PM,C,12.639
5/13/11 9:29:01 PM,C,12.639
5/13/11 9:59:01 PM,C,11.637
5/13/11 10:29:01 PM,C,11.135
