1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A300000014976D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed Jul 20 15:56:01 CDT 2011
Mission Sample Count:  3828
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 20 15:56:01 CDT 2011
Total Mission Samples:  3828
Total Device Samples:  22490
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/20/11 3:56:01 PM,C,31.64
7/20/11 4:26:01 PM,C,38.126
7/20/11 4:56:01 PM,C,29.642
7/20/11 5:26:01 PM,C,26.644
7/20/11 5:56:01 PM,C,25.645
7/20/11 6:26:01 PM,C,25.145
7/20/11 6:56:01 PM,C,25.645
7/20/11 7:26:01 PM,C,24.644
7/20/11 7:56:01 PM,C,24.644
7/20/11 8:26:01 PM,C,23.644
7/20/11 8:56:01 PM,C,22.644
7/20/11 9:26:01 PM,C,21.143
7/20/11 9:56:01 PM,C,20.142
7/20/11 10:26:01 PM,C,20.142
7/20/11 10:56:01 PM,C,20.642
7/20/11 11:26:01 PM,C,20.142
7/20/11 11:56:01 PM,C,21.143
7/21/11 12:26:01 AM,C,21.143
7/21/11 12:56:01 AM,C,20.642
7/21/11 1:26:01 AM,C,20.142
7/21/11 1:56:01 AM,C,20.142
7/21/11 2:26:01 AM,C,20.142
7/21/11 2:56:01 AM,C,19.641
7/21/11 3:26:01 AM,C,19.641
7/21/11 3:56:01 AM,C,20.142
7/21/11 4:26:01 AM,C,19.14
7/21/11 4:56:01 AM,C,19.641
7/21/11 5:26:01 AM,C,20.142
7/21/11 5:56:01 AM,C,20.142
7/21/11 6:26:01 AM,C,19.14
7/21/11 6:56:01 AM,C,19.641
7/21/11 7:26:01 AM,C,18.64
7/21/11 7:56:01 AM,C,19.14
7/21/11 8:26:01 AM,C,19.14
7/21/11 8:56:01 AM,C,19.14
7/21/11 9:26:01 AM,C,18.64
7/21/11 9:56:01 AM,C,20.642
7/21/11 10:26:01 AM,C,25.145
7/21/11 10:56:01 AM,C,28.643
7/21/11 11:26:01 AM,C,25.145
7/21/11 11:56:01 AM,C,24.644
7/21/11 12:26:01 PM,C,24.144
7/21/11 12:56:01 PM,C,23.644
7/21/11 1:26:01 PM,C,21.143
7/21/11 1:56:01 PM,C,21.143
7/21/11 2:26:01 PM,C,24.144
7/21/11 2:56:01 PM,C,30.142
7/21/11 3:26:01 PM,C,29.143
7/21/11 3:56:01 PM,C,26.644
7/21/11 4:26:01 PM,C,27.644
7/21/11 4:56:01 PM,C,34.635
7/21/11 5:26:01 PM,C,29.143
7/21/11 5:56:01 PM,C,25.645
7/21/11 6:26:01 PM,C,27.144
7/21/11 6:56:01 PM,C,27.644
7/21/11 7:26:01 PM,C,27.144
7/21/11 7:56:01 PM,C,23.144
7/21/11 8:26:01 PM,C,20.142
7/21/11 8:56:01 PM,C,21.643
7/21/11 9:26:01 PM,C,20.642
7/21/11 9:56:01 PM,C,20.142
7/21/11 10:26:01 PM,C,20.142
7/21/11 10:56:01 PM,C,20.142
7/21/11 11:26:01 PM,C,20.142
7/21/11 11:56:01 PM,C,20.142
7/22/11 12:26:01 AM,C,20.142
7/22/11 12:56:01 AM,C,19.641
7/22/11 1:26:01 AM,C,19.641
7/22/11 1:56:01 AM,C,19.14
7/22/11 2:26:01 AM,C,19.14
7/22/11 2:56:01 AM,C,19.641
7/22/11 3:26:01 AM,C,19.14
7/22/11 3:56:01 AM,C,19.641
7/22/11 4:26:01 AM,C,19.641
7/22/11 4:56:01 AM,C,19.641
7/22/11 5:26:01 AM,C,18.64
7/22/11 5:56:01 AM,C,18.64
7/22/11 6:26:01 AM,C,18.64
7/22/11 6:56:01 AM,C,18.139
7/22/11 7:26:01 AM,C,17.638
7/22/11 7:56:01 AM,C,18.139
7/22/11 8:26:01 AM,C,18.139
7/22/11 8:56:01 AM,C,18.139
7/22/11 9:26:01 AM,C,19.641
7/22/11 9:56:01 AM,C,20.642
7/22/11 10:26:01 AM,C,22.644
7/22/11 10:56:01 AM,C,26.144
7/22/11 11:26:01 AM,C,21.143
7/22/11 11:56:01 AM,C,21.643
7/22/11 12:26:01 PM,C,22.143
7/22/11 12:56:01 PM,C,20.642
7/22/11 1:26:01 PM,C,22.644
7/22/11 1:56:01 PM,C,27.144
7/22/11 2:26:01 PM,C,20.642
7/22/11 2:56:01 PM,C,20.642
7/22/11 3:26:01 PM,C,24.644
7/22/11 3:56:01 PM,C,18.64
7/22/11 4:26:01 PM,C,17.638
7/22/11 4:56:01 PM,C,15.133
7/22/11 5:26:01 PM,C,14.632
7/22/11 5:56:01 PM,C,14.632
7/22/11 6:26:01 PM,C,14.632
7/22/11 6:56:01 PM,C,15.634
7/22/11 7:26:01 PM,C,17.137
7/22/11 7:56:01 PM,C,17.638
7/22/11 8:26:01 PM,C,18.64
7/22/11 8:56:01 PM,C,18.64
7/22/11 9:26:01 PM,C,18.64
7/22/11 9:56:01 PM,C,18.64
7/22/11 10:26:01 PM,C,18.139
7/22/11 10:56:01 PM,C,18.139
7/22/11 11:26:01 PM,C,18.64
7/22/11 11:56:01 PM,C,18.64
7/23/11 12:26:01 AM,C,18.139
7/23/11 12:56:01 AM,C,18.64
7/23/11 1:26:01 AM,C,18.64
7/23/11 1:56:01 AM,C,18.139
