1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9A00000014989241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Jul 22 15:55:01 CDT 2011
Mission Sample Count:  3831
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Jul 22 15:55:01 CDT 2011
Total Mission Samples:  3831
Total Device Samples:  23478
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/22/11 3:55:01 PM,C,21.691
7/22/11 4:25:01 PM,C,16.683
7/22/11 4:55:01 PM,C,14.677
7/22/11 5:25:01 PM,C,14.677
7/22/11 5:55:01 PM,C,14.677
7/22/11 6:25:01 PM,C,15.68
7/22/11 6:55:01 PM,C,17.184
7/22/11 7:25:01 PM,C,18.687
7/22/11 7:55:01 PM,C,19.188
7/22/11 8:25:01 PM,C,19.689
7/22/11 8:55:01 PM,C,19.689
7/22/11 9:25:01 PM,C,19.188
7/22/11 9:55:01 PM,C,19.188
7/22/11 10:25:01 PM,C,18.186
7/22/11 10:55:01 PM,C,18.687
7/22/11 11:25:01 PM,C,18.687
7/22/11 11:55:01 PM,C,18.687
7/23/11 12:25:01 AM,C,19.188
7/23/11 12:55:01 AM,C,19.188
7/23/11 1:25:01 AM,C,18.687
7/23/11 1:55:01 AM,C,18.687
7/23/11 2:25:01 AM,C,19.188
7/23/11 2:55:01 AM,C,18.687
7/23/11 3:25:01 AM,C,18.687
7/23/11 3:55:01 AM,C,18.186
7/23/11 4:25:01 AM,C,17.685
7/23/11 4:55:01 AM,C,17.685
7/23/11 5:25:01 AM,C,17.685
7/23/11 5:55:01 AM,C,17.685
7/23/11 6:25:01 AM,C,17.184
7/23/11 6:55:01 AM,C,16.181
7/23/11 7:25:01 AM,C,16.181
7/23/11 7:55:01 AM,C,17.184
7/23/11 8:25:01 AM,C,17.685
7/23/11 8:55:01 AM,C,18.186
7/23/11 9:25:01 AM,C,17.685
7/23/11 9:55:01 AM,C,20.19
7/23/11 10:25:01 AM,C,22.692
7/23/11 10:55:01 AM,C,25.193
7/23/11 11:25:01 AM,C,24.693
7/23/11 11:55:01 AM,C,24.693
7/23/11 12:25:01 PM,C,24.693
7/23/11 12:55:01 PM,C,24.193
7/23/11 1:25:01 PM,C,22.192
7/23/11 1:55:01 PM,C,22.192
7/23/11 2:25:01 PM,C,19.188
7/23/11 2:55:01 PM,C,16.683
7/23/11 3:25:01 PM,C,18.186
7/23/11 3:55:01 PM,C,20.69
7/23/11 4:25:01 PM,C,21.191
7/23/11 4:55:01 PM,C,25.693
7/23/11 5:25:01 PM,C,26.693
7/23/11 5:55:01 PM,C,17.685
7/23/11 6:25:01 PM,C,18.186
7/23/11 6:55:01 PM,C,19.188
7/23/11 7:25:01 PM,C,17.685
7/23/11 7:55:01 PM,C,17.184
7/23/11 8:25:01 PM,C,17.184
7/23/11 8:55:01 PM,C,17.685
7/23/11 9:25:01 PM,C,17.685
7/23/11 9:55:01 PM,C,18.687
7/23/11 10:25:01 PM,C,19.188
7/23/11 10:55:01 PM,C,18.687
7/23/11 11:25:01 PM,C,18.186
7/23/11 11:55:01 PM,C,17.685
7/24/11 12:25:01 AM,C,17.184
7/24/11 12:55:01 AM,C,18.186
7/24/11 1:25:01 AM,C,18.186
7/24/11 1:55:01 AM,C,17.685
7/24/11 2:25:01 AM,C,17.184
7/24/11 2:55:01 AM,C,17.184
7/24/11 3:25:01 AM,C,18.186
7/24/11 3:55:01 AM,C,18.186
7/24/11 4:25:01 AM,C,18.186
7/24/11 4:55:01 AM,C,15.178
7/24/11 5:25:01 AM,C,15.178
7/24/11 5:55:01 AM,C,15.68
7/24/11 6:25:01 AM,C,16.181
7/24/11 6:55:01 AM,C,15.68
7/24/11 7:25:01 AM,C,16.181
7/24/11 7:55:01 AM,C,16.181
7/24/11 8:25:01 AM,C,16.683
7/24/11 8:55:01 AM,C,17.184
7/24/11 9:25:01 AM,C,18.687
7/24/11 9:55:01 AM,C,20.19
7/24/11 10:25:01 AM,C,22.692
7/24/11 10:55:01 AM,C,26.693
7/24/11 11:25:01 AM,C,26.193
7/24/11 11:55:01 AM,C,26.693
7/24/11 12:25:01 PM,C,24.693
7/24/11 12:55:01 PM,C,23.693
7/24/11 1:25:01 PM,C,23.693
7/24/11 1:55:01 PM,C,26.193
7/24/11 2:25:01 PM,C,27.693
7/24/11 2:55:01 PM,C,26.693
7/24/11 3:25:01 PM,C,27.193
7/24/11 3:55:01 PM,C,30.19
7/24/11 4:25:01 PM,C,27.693
7/24/11 4:55:01 PM,C,30.19
7/24/11 5:25:01 PM,C,31.687
7/24/11 5:55:01 PM,C,30.689
7/24/11 6:25:01 PM,C,32.186
7/24/11 6:55:01 PM,C,31.687
7/24/11 7:25:01 PM,C,29.191
7/24/11 7:55:01 PM,C,26.193
7/24/11 8:25:01 PM,C,24.693
7/24/11 8:55:01 PM,C,22.692
7/24/11 9:25:01 PM,C,22.192
7/24/11 9:55:01 PM,C,22.192
7/24/11 10:25:01 PM,C,21.691
7/24/11 10:55:01 PM,C,20.69
7/24/11 11:25:01 PM,C,19.689
7/24/11 11:55:01 PM,C,19.689
7/25/11 12:25:01 AM,C,19.689
7/25/11 12:55:01 AM,C,19.689
7/25/11 1:25:01 AM,C,19.188
7/25/11 1:55:01 AM,C,19.188
7/25/11 2:25:01 AM,C,19.188
7/25/11 2:55:01 AM,C,19.188
7/25/11 3:25:01 AM,C,19.188
7/25/11 3:55:01 AM,C,18.687
7/25/11 4:25:01 AM,C,18.687
7/25/11 4:55:01 AM,C,18.687
7/25/11 5:25:01 AM,C,18.687
7/25/11 5:55:01 AM,C,18.186
7/25/11 6:25:01 AM,C,18.186
7/25/11 6:55:01 AM,C,17.685
7/25/11 7:25:01 AM,C,17.685
7/25/11 7:55:01 AM,C,18.687
7/25/11 8:25:01 AM,C,18.687
7/25/11 8:55:01 AM,C,19.689
7/25/11 9:25:01 AM,C,21.691
7/25/11 9:55:01 AM,C,22.692
7/25/11 10:25:01 AM,C,24.693
7/25/11 10:55:01 AM,C,26.693
7/25/11 11:25:01 AM,C,24.693
7/25/11 11:55:01 AM,C,24.693
7/25/11 12:25:01 PM,C,24.193
7/25/11 12:55:01 PM,C,26.693
7/25/11 1:25:01 PM,C,24.693
7/25/11 1:55:01 PM,C,27.193
7/25/11 2:25:01 PM,C,25.693
7/25/11 2:55:01 PM,C,29.191
7/25/11 3:25:01 PM,C,25.193
7/25/11 3:55:01 PM,C,26.193
7/25/11 4:25:01 PM,C,21.691
7/25/11 4:55:01 PM,C,24.693
7/25/11 5:25:01 PM,C,32.186
7/25/11 5:55:01 PM,C,30.689
7/25/11 6:25:01 PM,C,33.184
7/25/11 6:55:01 PM,C,32.186
7/25/11 7:25:01 PM,C,30.19
7/25/11 7:55:01 PM,C,27.693
7/25/11 8:25:01 PM,C,24.693
7/25/11 8:55:01 PM,C,23.693
7/25/11 9:25:01 PM,C,21.691
7/25/11 9:55:01 PM,C,21.191
7/25/11 10:25:01 PM,C,21.191
7/25/11 10:55:01 PM,C,20.69
7/25/11 11:25:01 PM,C,20.19
7/25/11 11:55:01 PM,C,20.19
7/26/11 12:25:01 AM,C,20.69
7/26/11 12:55:01 AM,C,20.19
7/26/11 1:25:01 AM,C,19.689
7/26/11 1:55:01 AM,C,19.689
7/26/11 2:25:01 AM,C,20.69
7/26/11 2:55:01 AM,C,20.19
7/26/11 3:25:01 AM,C,20.69
7/26/11 3:55:01 AM,C,20.19
7/26/11 4:25:01 AM,C,19.689
7/26/11 4:55:01 AM,C,19.689
7/26/11 5:25:01 AM,C,19.188
7/26/11 5:55:01 AM,C,19.689
7/26/11 6:25:01 AM,C,19.188
