1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: B00000000FCBB741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Wed Jul 20 16:20:01 CDT 2011
Mission Sample Count:  7656
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 20 16:20:01 CDT 2011
Total Mission Samples:  7656
Total Device Samples:  23460
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/20/11 4:20:01 PM,C,34.259
7/20/11 4:35:01 PM,C,30.268
7/20/11 4:50:01 PM,C,31.266
7/20/11 5:05:01 PM,C,29.769
7/20/11 5:20:01 PM,C,30.268
7/20/11 5:35:01 PM,C,27.771
7/20/11 5:50:01 PM,C,27.771
7/20/11 6:05:01 PM,C,28.27
7/20/11 6:20:01 PM,C,28.27
7/20/11 6:35:01 PM,C,27.771
7/20/11 6:50:01 PM,C,27.771
7/20/11 7:05:01 PM,C,26.771
7/20/11 7:20:01 PM,C,26.271
7/20/11 7:35:01 PM,C,26.771
7/20/11 7:50:01 PM,C,26.271
7/20/11 8:05:01 PM,C,25.772
7/20/11 8:20:01 PM,C,25.272
7/20/11 8:35:01 PM,C,24.771
7/20/11 8:50:01 PM,C,24.271
7/20/11 9:05:01 PM,C,23.271
7/20/11 9:20:01 PM,C,21.769
7/20/11 9:35:01 PM,C,21.769
7/20/11 9:50:01 PM,C,21.769
7/20/11 10:05:01 PM,C,20.768
7/20/11 10:20:01 PM,C,20.768
7/20/11 10:35:01 PM,C,20.267
7/20/11 10:50:01 PM,C,20.267
7/20/11 11:05:01 PM,C,20.267
7/20/11 11:20:01 PM,C,21.269
7/20/11 11:35:01 PM,C,21.769
7/20/11 11:50:01 PM,C,21.269
7/21/11 12:05:01 AM,C,21.769
7/21/11 12:20:01 AM,C,21.269
7/21/11 12:35:01 AM,C,21.269
7/21/11 12:50:01 AM,C,21.269
7/21/11 1:05:01 AM,C,21.269
7/21/11 1:20:01 AM,C,21.269
7/21/11 1:35:01 AM,C,20.768
7/21/11 1:50:01 AM,C,21.269
7/21/11 2:05:01 AM,C,21.269
7/21/11 2:20:01 AM,C,21.269
7/21/11 2:35:01 AM,C,21.269
7/21/11 2:50:01 AM,C,21.269
7/21/11 3:05:01 AM,C,21.269
7/21/11 3:20:01 AM,C,21.269
7/21/11 3:35:01 AM,C,21.269
7/21/11 3:50:01 AM,C,20.768
7/21/11 4:05:01 AM,C,20.768
7/21/11 4:20:01 AM,C,20.267
7/21/11 4:35:01 AM,C,20.768
7/21/11 4:50:01 AM,C,20.768
7/21/11 5:05:01 AM,C,20.768
7/21/11 5:20:01 AM,C,20.768
7/21/11 5:35:01 AM,C,20.768
7/21/11 5:50:01 AM,C,20.768
7/21/11 6:05:01 AM,C,20.768
7/21/11 6:20:01 AM,C,20.768
7/21/11 6:35:01 AM,C,20.768
7/21/11 6:50:01 AM,C,20.768
7/21/11 7:05:01 AM,C,20.267
7/21/11 7:20:01 AM,C,20.267
7/21/11 7:35:01 AM,C,20.267
7/21/11 7:50:01 AM,C,20.267
7/21/11 8:05:01 AM,C,24.271
7/21/11 8:20:01 AM,C,23.271
7/21/11 8:35:01 AM,C,23.771
7/21/11 8:50:01 AM,C,27.271
7/21/11 9:05:01 AM,C,31.266
7/21/11 9:20:01 AM,C,31.765
7/21/11 9:35:01 AM,C,30.268
7/21/11 9:50:01 AM,C,29.269
7/21/11 10:05:01 AM,C,30.268
7/21/11 10:20:01 AM,C,31.765
7/21/11 10:35:01 AM,C,31.765
7/21/11 10:50:01 AM,C,32.264
7/21/11 11:05:01 AM,C,34.758
7/21/11 11:20:01 AM,C,32.264
7/21/11 11:35:01 AM,C,32.763
7/21/11 11:50:01 AM,C,27.771
7/21/11 12:05:01 PM,C,28.77
7/21/11 12:20:01 PM,C,27.271
7/21/11 12:35:01 PM,C,27.271
7/21/11 12:50:01 PM,C,27.271
7/21/11 1:05:01 PM,C,25.772
7/21/11 1:20:01 PM,C,25.272
7/21/11 1:35:01 PM,C,22.77
7/21/11 1:50:01 PM,C,23.271
7/21/11 2:05:01 PM,C,24.271
7/21/11 2:20:01 PM,C,26.271
7/21/11 2:35:01 PM,C,27.771
7/21/11 2:50:01 PM,C,34.259
7/21/11 3:05:01 PM,C,34.259
7/21/11 3:20:01 PM,C,35.754
7/21/11 3:35:01 PM,C,30.268
7/21/11 3:50:01 PM,C,28.77
7/21/11 4:05:01 PM,C,31.266
7/21/11 4:20:01 PM,C,31.266
7/21/11 4:35:01 PM,C,29.269
7/21/11 4:50:01 PM,C,33.262
7/21/11 5:05:01 PM,C,34.758
7/21/11 5:20:01 PM,C,34.259
7/21/11 5:35:01 PM,C,29.269
7/21/11 5:50:01 PM,C,27.771
7/21/11 6:05:01 PM,C,27.271
7/21/11 6:20:01 PM,C,28.27
7/21/11 6:35:01 PM,C,29.269
7/21/11 6:50:01 PM,C,28.77
7/21/11 7:05:01 PM,C,28.77
7/21/11 7:20:01 PM,C,29.269
7/21/11 7:35:01 PM,C,27.271
7/21/11 7:50:01 PM,C,26.271
7/21/11 8:05:01 PM,C,23.771
7/21/11 8:20:01 PM,C,24.771
7/21/11 8:35:01 PM,C,24.271
7/21/11 8:50:01 PM,C,23.771
7/21/11 9:05:01 PM,C,23.771
7/21/11 9:20:01 PM,C,22.77
7/21/11 9:35:01 PM,C,22.27
7/21/11 9:50:01 PM,C,21.769
7/21/11 10:05:01 PM,C,21.269
7/21/11 10:20:01 PM,C,21.769
7/21/11 10:35:01 PM,C,21.769
7/21/11 10:50:01 PM,C,21.269
7/21/11 11:05:01 PM,C,21.269
7/21/11 11:20:01 PM,C,21.269
7/21/11 11:35:01 PM,C,21.269
7/21/11 11:50:01 PM,C,21.269
7/22/11 12:05:01 AM,C,21.269
7/22/11 12:20:01 AM,C,20.768
7/22/11 12:35:01 AM,C,20.768
7/22/11 12:50:01 AM,C,20.768
7/22/11 1:05:01 AM,C,20.768
7/22/11 1:20:01 AM,C,20.768
7/22/11 1:35:01 AM,C,20.768
7/22/11 1:50:01 AM,C,20.768
7/22/11 2:05:01 AM,C,20.768
7/22/11 2:20:01 AM,C,20.267
7/22/11 2:35:01 AM,C,20.267
7/22/11 2:50:01 AM,C,21.269
7/22/11 3:05:01 AM,C,20.267
7/22/11 3:20:01 AM,C,20.267
7/22/11 3:35:01 AM,C,20.267
7/22/11 3:50:01 AM,C,20.267
7/22/11 4:05:01 AM,C,20.768
7/22/11 4:20:01 AM,C,20.267
7/22/11 4:35:01 AM,C,20.267
7/22/11 4:50:01 AM,C,20.267
7/22/11 5:05:01 AM,C,19.766
7/22/11 5:20:01 AM,C,19.265
7/22/11 5:35:01 AM,C,19.265
7/22/11 5:50:01 AM,C,19.265
7/22/11 6:05:01 AM,C,19.265
7/22/11 6:20:01 AM,C,19.265
7/22/11 6:35:01 AM,C,19.265
7/22/11 6:50:01 AM,C,19.265
7/22/11 7:05:01 AM,C,19.265
7/22/11 7:20:01 AM,C,18.764
7/22/11 7:35:01 AM,C,19.265
7/22/11 7:50:01 AM,C,20.267
7/22/11 8:05:01 AM,C,24.771
7/22/11 8:20:01 AM,C,22.77
7/22/11 8:35:01 AM,C,20.768
7/22/11 8:50:01 AM,C,23.771
7/22/11 9:05:01 AM,C,27.271
7/22/11 9:20:01 AM,C,29.269
7/22/11 9:35:01 AM,C,27.771
7/22/11 9:50:01 AM,C,26.771
7/22/11 10:05:01 AM,C,28.27
7/22/11 10:20:01 AM,C,29.769
7/22/11 10:35:01 AM,C,28.77
7/22/11 10:50:01 AM,C,27.271
7/22/11 11:05:01 AM,C,26.771
7/22/11 11:20:01 AM,C,24.771
7/22/11 11:35:01 AM,C,23.771
7/22/11 11:50:01 AM,C,23.771
7/22/11 12:05:01 PM,C,22.77
7/22/11 12:20:01 PM,C,21.769
7/22/11 12:35:01 PM,C,21.769
7/22/11 12:50:01 PM,C,21.269
7/22/11 1:05:01 PM,C,21.269
7/22/11 1:20:01 PM,C,22.27
7/22/11 1:35:01 PM,C,24.771
7/22/11 1:50:01 PM,C,26.771
7/22/11 2:05:01 PM,C,25.772
7/22/11 2:20:01 PM,C,22.77
7/22/11 2:35:01 PM,C,21.269
7/22/11 2:50:01 PM,C,21.769
7/22/11 3:05:01 PM,C,25.772
7/22/11 3:20:01 PM,C,28.27
7/22/11 3:35:01 PM,C,23.271
7/22/11 3:50:01 PM,C,20.768
7/22/11 4:05:01 PM,C,20.768
7/22/11 4:20:01 PM,C,19.766
7/22/11 4:35:01 PM,C,17.261
7/22/11 4:50:01 PM,C,16.759
7/22/11 5:05:01 PM,C,15.756
7/22/11 5:20:01 PM,C,15.756
7/22/11 5:35:01 PM,C,15.255
7/22/11 5:50:01 PM,C,15.756
7/22/11 6:05:01 PM,C,16.258
7/22/11 6:20:01 PM,C,16.759
7/22/11 6:35:01 PM,C,17.261
7/22/11 6:50:01 PM,C,17.762
7/22/11 7:05:01 PM,C,18.764
7/22/11 7:20:01 PM,C,18.764
7/22/11 7:35:01 PM,C,18.764
7/22/11 7:50:01 PM,C,18.764
7/22/11 8:05:01 PM,C,19.766
7/22/11 8:20:01 PM,C,20.267
7/22/11 8:35:01 PM,C,19.766
7/22/11 8:50:01 PM,C,19.265
7/22/11 9:05:01 PM,C,18.764
7/22/11 9:20:01 PM,C,19.766
7/22/11 9:35:01 PM,C,20.267
7/22/11 9:50:01 PM,C,20.267
7/22/11 10:05:01 PM,C,20.267
7/22/11 10:20:01 PM,C,19.766
7/22/11 10:35:01 PM,C,19.265
7/22/11 10:50:01 PM,C,20.267
7/22/11 11:05:01 PM,C,20.768
7/22/11 11:20:01 PM,C,20.267
7/22/11 11:35:01 PM,C,19.766
7/22/11 11:50:01 PM,C,19.766
7/23/11 12:05:01 AM,C,19.766
7/23/11 12:20:01 AM,C,19.766
7/23/11 12:35:01 AM,C,19.766
7/23/11 12:50:01 AM,C,20.267
7/23/11 1:05:01 AM,C,19.766
7/23/11 1:20:01 AM,C,19.766
7/23/11 1:35:01 AM,C,19.766
7/23/11 1:50:01 AM,C,19.766
7/23/11 2:05:01 AM,C,19.265
7/23/11 2:20:01 AM,C,19.265
7/23/11 2:35:01 AM,C,19.766
7/23/11 2:50:01 AM,C,19.265
7/23/11 3:05:01 AM,C,18.764
7/23/11 3:20:01 AM,C,18.764
7/23/11 3:35:01 AM,C,18.263
7/23/11 3:50:01 AM,C,18.263
7/23/11 4:05:01 AM,C,18.263
7/23/11 4:20:01 AM,C,18.263
7/23/11 4:35:01 AM,C,18.263
7/23/11 4:50:01 AM,C,17.762
7/23/11 5:05:01 AM,C,17.762
7/23/11 5:20:01 AM,C,17.261
7/23/11 5:35:01 AM,C,16.759
7/23/11 5:50:01 AM,C,17.261
7/23/11 6:05:01 AM,C,16.759
7/23/11 6:20:01 AM,C,16.759
7/23/11 6:35:01 AM,C,16.759
7/23/11 6:50:01 AM,C,16.258
7/23/11 7:05:01 AM,C,16.258
7/23/11 7:20:01 AM,C,16.258
7/23/11 7:35:01 AM,C,16.258
7/23/11 7:50:01 AM,C,16.759
7/23/11 8:05:01 AM,C,16.759
7/23/11 8:20:01 AM,C,16.759
7/23/11 8:35:01 AM,C,17.261
7/23/11 8:50:01 AM,C,18.263
7/23/11 9:05:01 AM,C,18.263
7/23/11 9:20:01 AM,C,22.27
7/23/11 9:35:01 AM,C,24.271
7/23/11 9:50:01 AM,C,24.771
7/23/11 10:05:01 AM,C,26.271
7/23/11 10:20:01 AM,C,26.771
7/23/11 10:35:01 AM,C,26.771
7/23/11 10:50:01 AM,C,25.772
7/23/11 11:05:01 AM,C,26.271
7/23/11 11:20:01 AM,C,27.271
7/23/11 11:35:01 AM,C,25.772
7/23/11 11:50:01 AM,C,26.271
7/23/11 12:05:01 PM,C,26.771
7/23/11 12:20:01 PM,C,27.771
7/23/11 12:35:01 PM,C,26.771
7/23/11 12:50:01 PM,C,26.271
7/23/11 1:05:01 PM,C,24.771
7/23/11 1:20:01 PM,C,23.771
7/23/11 1:35:01 PM,C,24.271
7/23/11 1:50:01 PM,C,25.272
7/23/11 2:05:01 PM,C,23.271
7/23/11 2:20:01 PM,C,21.269
7/23/11 2:35:01 PM,C,19.265
7/23/11 2:50:01 PM,C,17.261
7/23/11 3:05:01 PM,C,17.762
7/23/11 3:20:01 PM,C,18.764
7/23/11 3:35:01 PM,C,19.766
7/23/11 3:50:01 PM,C,21.269
7/23/11 4:05:01 PM,C,22.77
7/23/11 4:20:01 PM,C,22.27
7/23/11 4:35:01 PM,C,23.771
7/23/11 4:50:01 PM,C,23.771
7/23/11 5:05:01 PM,C,23.771
7/23/11 5:20:01 PM,C,25.272
7/23/11 5:35:01 PM,C,24.271
7/23/11 5:50:01 PM,C,19.265
7/23/11 6:05:01 PM,C,18.764
7/23/11 6:20:01 PM,C,19.265
7/23/11 6:35:01 PM,C,19.265
7/23/11 6:50:01 PM,C,19.766
7/23/11 7:05:01 PM,C,20.267
7/23/11 7:20:01 PM,C,19.265
7/23/11 7:35:01 PM,C,18.764
7/23/11 7:50:01 PM,C,18.263
7/23/11 8:05:01 PM,C,17.762
7/23/11 8:20:01 PM,C,17.762
7/23/11 8:35:01 PM,C,17.762
7/23/11 8:50:01 PM,C,17.762
7/23/11 9:05:01 PM,C,17.762
7/23/11 9:20:01 PM,C,17.762
7/23/11 9:35:01 PM,C,18.263
7/23/11 9:50:01 PM,C,19.265
7/23/11 10:05:01 PM,C,19.766
7/23/11 10:20:01 PM,C,19.265
7/23/11 10:35:01 PM,C,19.265
7/23/11 10:50:01 PM,C,18.764
7/23/11 11:05:01 PM,C,18.764
7/23/11 11:20:01 PM,C,18.764
