1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BE00000013AED841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jul 19 20:15:01 CDT 2011
Mission Sample Count:  7857
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jul 19 20:15:01 CDT 2011
Total Mission Samples:  7857
Total Device Samples:  23478
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/19/11 8:15:01 PM,C,26.637
7/19/11 8:30:01 PM,C,25.637
7/19/11 8:45:01 PM,C,25.137
7/19/11 9:00:01 PM,C,24.637
7/19/11 9:15:01 PM,C,24.637
7/19/11 9:30:01 PM,C,24.637
7/19/11 9:45:01 PM,C,23.636
7/19/11 10:00:01 PM,C,23.636
7/19/11 10:15:01 PM,C,23.636
7/19/11 10:30:01 PM,C,22.136
7/19/11 10:45:01 PM,C,22.636
7/19/11 11:00:01 PM,C,22.136
7/19/11 11:15:01 PM,C,22.136
7/19/11 11:30:01 PM,C,22.136
7/19/11 11:45:01 PM,C,21.635
7/20/11 12:00:01 AM,C,21.135
7/20/11 12:15:01 AM,C,21.135
7/20/11 12:30:01 AM,C,20.634
7/20/11 12:45:01 AM,C,21.135
7/20/11 1:00:01 AM,C,20.634
7/20/11 1:15:01 AM,C,21.135
7/20/11 1:30:01 AM,C,20.634
7/20/11 1:45:01 AM,C,21.135
7/20/11 2:00:01 AM,C,21.135
7/20/11 2:15:01 AM,C,21.135
7/20/11 2:30:01 AM,C,21.635
7/20/11 2:45:01 AM,C,21.635
7/20/11 3:00:01 AM,C,21.635
7/20/11 3:15:01 AM,C,21.635
7/20/11 3:30:01 AM,C,22.136
7/20/11 3:45:01 AM,C,21.635
7/20/11 4:00:01 AM,C,22.136
7/20/11 4:15:01 AM,C,22.136
7/20/11 4:30:01 AM,C,21.135
7/20/11 4:45:01 AM,C,21.635
7/20/11 5:00:01 AM,C,21.135
7/20/11 5:15:01 AM,C,20.634
7/20/11 5:30:01 AM,C,21.135
7/20/11 5:45:01 AM,C,21.135
7/20/11 6:00:01 AM,C,20.634
7/20/11 6:15:01 AM,C,20.634
7/20/11 6:30:01 AM,C,20.134
7/20/11 6:45:01 AM,C,19.633
7/20/11 7:00:01 AM,C,19.633
7/20/11 7:15:01 AM,C,20.134
7/20/11 7:30:01 AM,C,19.633
7/20/11 7:45:01 AM,C,21.635
7/20/11 8:00:01 AM,C,26.137
7/20/11 8:15:01 AM,C,28.636
7/20/11 8:30:01 AM,C,28.636
7/20/11 8:45:01 AM,C,30.135
7/20/11 9:00:01 AM,C,28.136
7/20/11 9:15:01 AM,C,31.133
7/20/11 9:30:01 AM,C,29.135
7/20/11 9:45:01 AM,C,28.636
7/20/11 10:00:01 AM,C,29.135
7/20/11 10:15:01 AM,C,30.135
7/20/11 10:30:01 AM,C,30.135
7/20/11 10:45:01 AM,C,31.633
7/20/11 11:00:01 AM,C,31.633
7/20/11 11:15:01 AM,C,32.132
7/20/11 11:30:01 AM,C,32.631
7/20/11 11:45:01 AM,C,30.634
7/20/11 12:00:01 PM,C,28.636
7/20/11 12:15:01 PM,C,28.636
7/20/11 12:30:01 PM,C,28.136
7/20/11 12:45:01 PM,C,25.137
7/20/11 1:00:01 PM,C,23.636
7/20/11 1:15:01 PM,C,24.637
