1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A300000014976D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 08 09:32:01 CDT 2011
Mission Sample Count:  3373
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 08 09:32:01 CDT 2011
Total Mission Samples:  3373
Total Device Samples:  25865
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/11 9:32:01 AM,C,13.629
10/8/11 10:02:01 AM,C,8.613
10/8/11 10:32:01 AM,C,9.617
10/8/11 11:02:01 AM,C,11.624
10/8/11 11:32:01 AM,C,14.632
10/8/11 12:02:01 PM,C,15.634
10/8/11 12:32:01 PM,C,16.636
10/8/11 1:02:01 PM,C,17.638
10/8/11 1:32:01 PM,C,18.139
10/8/11 2:02:01 PM,C,18.139
10/8/11 2:32:01 PM,C,19.14
10/8/11 3:02:01 PM,C,20.142
10/8/11 3:32:01 PM,C,19.14
10/8/11 4:02:01 PM,C,17.638
10/8/11 4:32:01 PM,C,17.137
10/8/11 5:02:01 PM,C,16.636
10/8/11 5:32:01 PM,C,15.634
10/8/11 6:02:01 PM,C,13.629
10/8/11 6:32:01 PM,C,13.128
10/8/11 7:02:01 PM,C,11.624
10/8/11 7:32:01 PM,C,10.62
10/8/11 8:02:01 PM,C,10.119
10/8/11 8:32:01 PM,C,10.119
10/8/11 9:02:01 PM,C,10.62
10/8/11 9:32:01 PM,C,11.624
10/8/11 10:02:01 PM,C,9.617
10/8/11 10:32:01 PM,C,10.62
10/8/11 11:02:01 PM,C,9.617
10/8/11 11:32:01 PM,C,9.115
10/9/11 12:02:01 AM,C,9.617
10/9/11 12:32:01 AM,C,9.617
10/9/11 1:02:01 AM,C,9.617
10/9/11 1:32:01 AM,C,7.107
10/9/11 2:02:01 AM,C,7.609
10/9/11 2:32:01 AM,C,6.605
10/9/11 3:02:01 AM,C,6.103
10/9/11 3:32:01 AM,C,5.601
10/9/11 4:02:01 AM,C,5.601
10/9/11 4:32:01 AM,C,5.601
10/9/11 5:02:01 AM,C,5.099
10/9/11 5:32:01 AM,C,5.099
10/9/11 6:02:01 AM,C,5.099
10/9/11 6:32:01 AM,C,5.099
10/9/11 7:02:01 AM,C,5.099
10/9/11 7:32:01 AM,C,5.099
10/9/11 8:02:01 AM,C,5.099
10/9/11 8:32:01 AM,C,5.099
10/9/11 9:02:01 AM,C,5.601
10/9/11 9:32:01 AM,C,5.601
10/9/11 10:02:01 AM,C,6.103
10/9/11 10:32:01 AM,C,7.609
10/9/11 11:02:01 AM,C,9.617
10/9/11 11:32:01 AM,C,10.119
10/9/11 12:02:01 PM,C,12.626
10/9/11 12:32:01 PM,C,14.632
10/9/11 1:02:01 PM,C,13.629
10/9/11 1:32:01 PM,C,16.135
10/9/11 2:02:01 PM,C,15.133
10/9/11 2:32:01 PM,C,14.131
10/9/11 3:02:01 PM,C,15.634
10/9/11 3:32:01 PM,C,15.634
10/9/11 4:02:01 PM,C,15.634
10/9/11 4:32:01 PM,C,14.131
10/9/11 5:02:01 PM,C,15.133
10/9/11 5:32:01 PM,C,13.128
10/9/11 6:02:01 PM,C,13.128
10/9/11 6:32:01 PM,C,12.626
10/9/11 7:02:01 PM,C,12.125
10/9/11 7:32:01 PM,C,11.624
10/9/11 8:02:01 PM,C,10.119
10/9/11 8:32:01 PM,C,9.617
10/9/11 9:02:01 PM,C,9.115
10/9/11 9:32:01 PM,C,8.613
10/9/11 10:02:01 PM,C,8.111
10/9/11 10:32:01 PM,C,8.111
10/9/11 11:02:01 PM,C,8.111
10/9/11 11:32:01 PM,C,9.115
10/10/11 12:02:01 AM,C,9.115
10/10/11 12:32:01 AM,C,8.613
10/10/11 1:02:01 AM,C,9.115
10/10/11 1:32:01 AM,C,9.115
10/10/11 2:02:01 AM,C,9.115
10/10/11 2:32:01 AM,C,8.613
10/10/11 3:02:01 AM,C,8.613
10/10/11 3:32:01 AM,C,8.613
10/10/11 4:02:01 AM,C,7.609
10/10/11 4:32:01 AM,C,7.107
10/10/11 5:02:01 AM,C,7.609
10/10/11 5:32:01 AM,C,7.609
10/10/11 6:02:01 AM,C,8.111
10/10/11 6:32:01 AM,C,8.613
10/10/11 7:02:01 AM,C,10.62
10/10/11 7:32:01 AM,C,11.122
10/10/11 8:02:01 AM,C,11.122
10/10/11 8:32:01 AM,C,11.122
10/10/11 9:02:01 AM,C,9.115
10/10/11 9:32:01 AM,C,8.613
10/10/11 10:02:01 AM,C,8.613
10/10/11 10:32:01 AM,C,12.125
10/10/11 11:02:01 AM,C,13.128
10/10/11 11:32:01 AM,C,14.632
10/10/11 12:02:01 PM,C,15.634
10/10/11 12:32:01 PM,C,17.137
10/10/11 1:02:01 PM,C,17.638
10/10/11 1:32:01 PM,C,18.139
10/10/11 2:02:01 PM,C,18.139
10/10/11 2:32:01 PM,C,20.142
10/10/11 3:02:01 PM,C,21.643
10/10/11 3:32:01 PM,C,20.142
10/10/11 4:02:01 PM,C,19.641
10/10/11 4:32:01 PM,C,18.64
10/10/11 5:02:01 PM,C,17.137
10/10/11 5:32:01 PM,C,16.636
10/10/11 6:02:01 PM,C,15.133
10/10/11 6:32:01 PM,C,14.131
10/10/11 7:02:01 PM,C,13.629
10/10/11 7:32:01 PM,C,12.626
10/10/11 8:02:01 PM,C,12.626
10/10/11 8:32:01 PM,C,13.128
10/10/11 9:02:01 PM,C,13.629
10/10/11 9:32:01 PM,C,12.626
10/10/11 10:02:01 PM,C,12.626
10/10/11 10:32:01 PM,C,11.624
10/10/11 11:02:01 PM,C,11.624
10/10/11 11:32:01 PM,C,11.624
10/11/11 12:02:01 AM,C,11.122
10/11/11 12:32:01 AM,C,10.119
10/11/11 1:02:01 AM,C,10.119
10/11/11 1:32:01 AM,C,10.62
10/11/11 2:02:01 AM,C,10.62
10/11/11 2:32:01 AM,C,11.624
10/11/11 3:02:01 AM,C,13.629
10/11/11 3:32:01 AM,C,13.629
10/11/11 4:02:01 AM,C,13.629
10/11/11 4:32:01 AM,C,13.629
10/11/11 5:02:01 AM,C,13.128
10/11/11 5:32:01 AM,C,13.128
10/11/11 6:02:01 AM,C,12.626
10/11/11 6:32:01 AM,C,12.125
10/11/11 7:02:01 AM,C,12.125
