1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A0000001493D541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 08 13:45:01 CDT 2011
Mission Sample Count:  3366
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 08 13:45:01 CDT 2011
Total Mission Samples:  3366
Total Device Samples:  21397
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/11 1:45:01 PM,C,24.619
10/8/11 2:15:01 PM,C,22.118
10/8/11 2:45:01 PM,C,23.619
10/8/11 3:15:01 PM,C,23.119
10/8/11 3:45:01 PM,C,23.619
10/8/11 4:15:01 PM,C,23.619
10/8/11 4:45:01 PM,C,23.119
10/8/11 5:15:01 PM,C,23.619
10/8/11 5:45:01 PM,C,23.619
10/8/11 6:15:01 PM,C,19.616
10/8/11 6:45:01 PM,C,16.11
10/8/11 7:15:01 PM,C,14.106
10/8/11 7:45:01 PM,C,13.104
10/8/11 8:15:01 PM,C,11.6
10/8/11 8:45:01 PM,C,11.098
10/8/11 9:15:01 PM,C,12.603
10/8/11 9:45:01 PM,C,11.098
10/8/11 10:15:01 PM,C,11.6
10/8/11 10:45:01 PM,C,11.6
10/8/11 11:15:01 PM,C,10.597
10/8/11 11:45:01 PM,C,10.597
10/9/11 12:15:01 AM,C,10.597
10/9/11 12:45:01 AM,C,10.095
10/9/11 1:15:01 AM,C,9.092
10/9/11 1:45:01 AM,C,9.092
10/9/11 2:15:01 AM,C,8.089
10/9/11 2:45:01 AM,C,6.583
10/9/11 3:15:01 AM,C,6.081
10/9/11 3:45:01 AM,C,5.579
10/9/11 4:15:01 AM,C,5.077
10/9/11 4:45:01 AM,C,5.579
10/9/11 5:15:01 AM,C,6.081
10/9/11 5:45:01 AM,C,5.579
10/9/11 6:15:01 AM,C,5.579
10/9/11 6:45:01 AM,C,6.583
10/9/11 7:15:01 AM,C,6.081
10/9/11 7:45:01 AM,C,5.579
10/9/11 8:15:01 AM,C,5.579
10/9/11 8:45:01 AM,C,8.591
10/9/11 9:15:01 AM,C,13.605
10/9/11 9:45:01 AM,C,15.108
10/9/11 10:15:01 AM,C,16.611
10/9/11 10:45:01 AM,C,17.613
10/9/11 11:15:01 AM,C,18.614
10/9/11 11:45:01 AM,C,17.613
10/9/11 12:15:01 PM,C,17.613
10/9/11 12:45:01 PM,C,16.11
10/9/11 1:15:01 PM,C,18.114
10/9/11 1:45:01 PM,C,16.11
10/9/11 2:15:01 PM,C,19.115
10/9/11 2:45:01 PM,C,15.609
10/9/11 3:15:01 PM,C,17.112
10/9/11 3:45:01 PM,C,16.11
10/9/11 4:15:01 PM,C,17.613
10/9/11 4:45:01 PM,C,18.114
10/9/11 5:15:01 PM,C,17.112
10/9/11 5:45:01 PM,C,17.112
10/9/11 6:15:01 PM,C,16.11
10/9/11 6:45:01 PM,C,14.607
10/9/11 7:15:01 PM,C,13.605
10/9/11 7:45:01 PM,C,13.104
10/9/11 8:15:01 PM,C,11.6
10/9/11 8:45:01 PM,C,10.597
10/9/11 9:15:01 PM,C,9.594
10/9/11 9:45:01 PM,C,8.591
10/9/11 10:15:01 PM,C,9.092
10/9/11 10:45:01 PM,C,8.591
10/9/11 11:15:01 PM,C,8.591
10/9/11 11:45:01 PM,C,8.591
10/10/11 12:15:01 AM,C,9.092
10/10/11 12:45:01 AM,C,9.092
10/10/11 1:15:01 AM,C,8.089
10/10/11 1:45:01 AM,C,8.089
10/10/11 2:15:01 AM,C,7.587
10/10/11 2:45:01 AM,C,7.587
10/10/11 3:15:01 AM,C,7.085
10/10/11 3:45:01 AM,C,6.081
10/10/11 4:15:01 AM,C,6.583
10/10/11 4:45:01 AM,C,6.583
10/10/11 5:15:01 AM,C,8.591
10/10/11 5:45:01 AM,C,8.591
10/10/11 6:15:01 AM,C,8.089
10/10/11 6:45:01 AM,C,6.583
10/10/11 7:15:01 AM,C,7.085
10/10/11 7:45:01 AM,C,7.085
10/10/11 8:15:01 AM,C,7.587
10/10/11 8:45:01 AM,C,10.095
10/10/11 9:15:01 AM,C,15.108
10/10/11 9:45:01 AM,C,16.611
10/10/11 10:15:01 AM,C,19.115
10/10/11 10:45:01 AM,C,18.614
10/10/11 11:15:01 AM,C,19.115
10/10/11 11:45:01 AM,C,20.116
10/10/11 12:15:01 PM,C,20.116
10/10/11 12:45:01 PM,C,21.117
10/10/11 1:15:01 PM,C,22.618
10/10/11 1:45:01 PM,C,22.618
10/10/11 2:15:01 PM,C,23.119
10/10/11 2:45:01 PM,C,24.119
10/10/11 3:15:01 PM,C,24.119
10/10/11 3:45:01 PM,C,24.119
10/10/11 4:15:01 PM,C,26.119
10/10/11 4:45:01 PM,C,24.119
10/10/11 5:15:01 PM,C,20.116
10/10/11 5:45:01 PM,C,23.119
10/10/11 6:15:01 PM,C,19.115
10/10/11 6:45:01 PM,C,17.112
10/10/11 7:15:01 PM,C,16.611
10/10/11 7:45:01 PM,C,15.108
10/10/11 8:15:01 PM,C,14.106
10/10/11 8:45:01 PM,C,13.605
10/10/11 9:15:01 PM,C,13.605
10/10/11 9:45:01 PM,C,13.104
10/10/11 10:15:01 PM,C,12.603
10/10/11 10:45:01 PM,C,12.101
10/10/11 11:15:01 PM,C,11.6
10/10/11 11:45:01 PM,C,11.098
10/11/11 12:15:01 AM,C,11.098
10/11/11 12:45:01 AM,C,10.597
10/11/11 1:15:01 AM,C,10.095
10/11/11 1:45:01 AM,C,10.597
10/11/11 2:15:01 AM,C,11.098
10/11/11 2:45:01 AM,C,11.6
10/11/11 3:15:01 AM,C,13.605
10/11/11 3:45:01 AM,C,13.605
10/11/11 4:15:01 AM,C,14.106
10/11/11 4:45:01 AM,C,13.605
10/11/11 5:15:01 AM,C,13.605
10/11/11 5:45:01 AM,C,13.104
10/11/11 6:15:01 AM,C,12.603
10/11/11 6:45:01 AM,C,12.603
10/11/11 7:15:01 AM,C,12.101
10/11/11 7:45:01 AM,C,12.603
10/11/11 8:15:01 AM,C,12.603
10/11/11 8:45:01 AM,C,15.609
