1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3B00000013C05C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat Oct 08 16:07:01 CDT 2011
Mission Sample Count:  6728
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 08 16:07:01 CDT 2011
Total Mission Samples:  6728
Total Device Samples:  11956
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/11 4:07:01 PM,C,23.202
10/8/11 4:22:01 PM,C,20.7
10/8/11 4:37:01 PM,C,20.7
10/8/11 4:52:01 PM,C,20.7
10/8/11 5:07:01 PM,C,20.7
10/8/11 5:22:01 PM,C,20.199
10/8/11 5:37:01 PM,C,20.199
10/8/11 5:52:01 PM,C,20.199
10/8/11 6:07:01 PM,C,19.698
10/8/11 6:22:01 PM,C,19.698
10/8/11 6:37:01 PM,C,19.197
10/8/11 6:52:01 PM,C,18.696
10/8/11 7:07:01 PM,C,18.195
10/8/11 7:22:01 PM,C,15.689
10/8/11 7:37:01 PM,C,14.184
10/8/11 7:52:01 PM,C,12.678
10/8/11 8:07:01 PM,C,11.172
10/8/11 8:22:01 PM,C,11.172
10/8/11 8:37:01 PM,C,10.167
10/8/11 8:52:01 PM,C,10.67
10/8/11 9:07:01 PM,C,10.67
10/8/11 9:22:01 PM,C,10.67
10/8/11 9:37:01 PM,C,11.674
10/8/11 9:52:01 PM,C,11.674
10/8/11 10:07:01 PM,C,11.172
10/8/11 10:22:01 PM,C,12.176
10/8/11 10:37:01 PM,C,12.678
10/8/11 10:52:01 PM,C,12.678
10/8/11 11:07:01 PM,C,11.172
10/8/11 11:22:01 PM,C,11.172
10/8/11 11:37:01 PM,C,10.167
10/8/11 11:52:01 PM,C,10.167
10/9/11 12:07:01 AM,C,10.67
10/9/11 12:22:01 AM,C,10.67
10/9/11 12:37:01 AM,C,10.167
10/9/11 12:52:01 AM,C,10.67
