1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0800000014C0EA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Dec 17 17:00:01 CST 2011
Mission Sample Count:  3363
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Dec 17 17:00:01 CST 2011
Total Mission Samples:  3363
Total Device Samples:  17981
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/17/11 5:00:01 PM,C,9.132
12/17/11 5:30:01 PM,C,8.129
12/17/11 6:00:01 PM,C,7.627
12/17/11 6:30:01 PM,C,7.627
12/17/11 7:00:01 PM,C,7.627
12/17/11 7:30:01 PM,C,7.627
12/17/11 8:00:01 PM,C,7.627
12/17/11 8:30:01 PM,C,7.627
12/17/11 9:00:01 PM,C,7.627
12/17/11 9:30:01 PM,C,7.627
12/17/11 10:00:01 PM,C,7.627
12/17/11 10:30:01 PM,C,7.627
12/17/11 11:00:01 PM,C,7.627
12/17/11 11:30:01 PM,C,7.627
12/18/11 12:00:01 AM,C,8.129
12/18/11 12:30:01 AM,C,8.129
12/18/11 1:00:01 AM,C,8.631
12/18/11 1:30:01 AM,C,9.132
12/18/11 2:00:01 AM,C,10.136
12/18/11 2:30:01 AM,C,9.634
12/18/11 3:00:01 AM,C,9.634
12/18/11 3:30:01 AM,C,10.136
12/18/11 4:00:01 AM,C,9.132
12/18/11 4:30:01 AM,C,8.631
12/18/11 5:00:01 AM,C,8.631
12/18/11 5:30:01 AM,C,7.125
12/18/11 6:00:01 AM,C,6.623
12/18/11 6:30:01 AM,C,6.121
12/18/11 7:00:01 AM,C,6.121
12/18/11 7:30:01 AM,C,6.623
12/18/11 8:00:01 AM,C,6.623
12/18/11 8:30:01 AM,C,10.136
12/18/11 9:00:01 AM,C,11.64
12/18/11 9:30:01 AM,C,12.142
12/18/11 10:00:01 AM,C,12.142
12/18/11 10:30:01 AM,C,14.147
12/18/11 11:00:01 AM,C,13.646
12/18/11 11:30:01 AM,C,13.144
12/18/11 12:00:01 PM,C,13.144
12/18/11 12:30:01 PM,C,13.646
12/18/11 1:00:01 PM,C,15.149
12/18/11 1:30:01 PM,C,14.147
12/18/11 2:00:01 PM,C,14.648
12/18/11 2:30:01 PM,C,15.65
12/18/11 3:00:01 PM,C,15.149
12/18/11 3:30:01 PM,C,14.648
12/18/11 4:00:01 PM,C,15.149
12/18/11 4:30:01 PM,C,15.149
12/18/11 5:00:01 PM,C,15.65
12/18/11 5:30:01 PM,C,15.149
12/18/11 6:00:01 PM,C,12.643
12/18/11 6:30:01 PM,C,13.144
12/18/11 7:00:01 PM,C,13.144
12/18/11 7:30:01 PM,C,12.142
12/18/11 8:00:01 PM,C,11.139
12/18/11 8:30:01 PM,C,10.637
12/18/11 9:00:01 PM,C,9.634
12/18/11 9:30:01 PM,C,10.136
12/18/11 10:00:01 PM,C,10.136
12/18/11 10:30:01 PM,C,10.136
12/18/11 11:00:01 PM,C,10.136
12/18/11 11:30:01 PM,C,10.136
12/19/11 12:00:01 AM,C,10.136
12/19/11 12:30:01 AM,C,10.136
12/19/11 1:00:01 AM,C,10.136
12/19/11 1:30:01 AM,C,9.634
12/19/11 2:00:01 AM,C,8.129
12/19/11 2:30:01 AM,C,6.623
12/19/11 3:00:01 AM,C,6.623
12/19/11 3:30:01 AM,C,4.614
12/19/11 4:00:01 AM,C,5.117
12/19/11 4:30:01 AM,C,5.619
12/19/11 5:00:01 AM,C,2.605
12/19/11 5:30:01 AM,C,1.6
12/19/11 6:00:01 AM,C,0.595
12/19/11 6:30:01 AM,C,0.092
12/19/11 7:00:01 AM,C,0.092
12/19/11 7:30:01 AM,C,0.092
12/19/11 8:00:01 AM,C,0.092
12/19/11 8:30:01 AM,C,0.092
12/19/11 9:00:01 AM,C,0.595
12/19/11 9:30:01 AM,C,1.098
12/19/11 10:00:01 AM,C,1.098
12/19/11 10:30:01 AM,C,1.098
