1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC000000149BDE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Dec 17 15:40:01 CST 2011
Mission Sample Count:  3362
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Dec 17 15:40:01 CST 2011
Total Mission Samples:  3362
Total Device Samples:  30035
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/17/11 3:40:01 PM,C,10.659
12/17/11 4:10:01 PM,C,8.653
12/17/11 4:40:01 PM,C,8.653
12/17/11 5:10:01 PM,C,8.151
12/17/11 5:40:01 PM,C,8.151
12/17/11 6:10:01 PM,C,7.148
12/17/11 6:40:01 PM,C,7.148
12/17/11 7:10:01 PM,C,7.148
12/17/11 7:40:01 PM,C,6.144
12/17/11 8:10:01 PM,C,6.646
12/17/11 8:40:01 PM,C,7.148
12/17/11 9:10:01 PM,C,5.642
12/17/11 9:40:01 PM,C,4.638
12/17/11 10:10:01 PM,C,3.634
12/17/11 10:40:01 PM,C,3.634
12/17/11 11:10:01 PM,C,4.136
12/17/11 11:40:01 PM,C,5.14
12/18/11 12:10:01 AM,C,5.642
12/18/11 12:40:01 AM,C,9.155
12/18/11 1:10:01 AM,C,9.656
12/18/11 1:40:01 AM,C,9.656
12/18/11 2:10:01 AM,C,10.158
12/18/11 2:40:01 AM,C,9.656
12/18/11 3:10:01 AM,C,10.659
12/18/11 3:40:01 AM,C,10.659
12/18/11 4:10:01 AM,C,11.161
12/18/11 4:40:01 AM,C,11.161
12/18/11 5:10:01 AM,C,11.161
12/18/11 5:40:01 AM,C,10.659
12/18/11 6:10:01 AM,C,11.161
12/18/11 6:40:01 AM,C,11.161
12/18/11 7:10:01 AM,C,10.158
12/18/11 7:40:01 AM,C,11.662
12/18/11 8:10:01 AM,C,12.665
12/18/11 8:40:01 AM,C,13.166
12/18/11 9:10:01 AM,C,13.166
12/18/11 9:40:01 AM,C,12.665
12/18/11 10:10:01 AM,C,13.166
12/18/11 10:40:01 AM,C,12.665
12/18/11 11:10:01 AM,C,13.166
12/18/11 11:40:01 AM,C,12.665
12/18/11 12:10:01 PM,C,13.668
12/18/11 12:40:01 PM,C,14.67
12/18/11 1:10:01 PM,C,15.171
12/18/11 1:40:01 PM,C,14.169
12/18/11 2:10:01 PM,C,14.67
12/18/11 2:40:01 PM,C,15.171
12/18/11 3:10:01 PM,C,14.169
12/18/11 3:40:01 PM,C,13.668
12/18/11 4:10:01 PM,C,14.67
12/18/11 4:40:01 PM,C,14.169
12/18/11 5:10:01 PM,C,14.169
12/18/11 5:40:01 PM,C,14.169
12/18/11 6:10:01 PM,C,13.668
12/18/11 6:40:01 PM,C,13.166
12/18/11 7:10:01 PM,C,13.668
12/18/11 7:40:01 PM,C,12.164
12/18/11 8:10:01 PM,C,11.662
12/18/11 8:40:01 PM,C,10.659
12/18/11 9:10:01 PM,C,10.158
12/18/11 9:40:01 PM,C,10.659
12/18/11 10:10:01 PM,C,10.659
12/18/11 10:40:01 PM,C,10.158
