1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4600000014989641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Dec 17 08:19:01 CST 2011
Mission Sample Count:  3362
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Dec 17 08:19:01 CST 2011
Total Mission Samples:  3362
Total Device Samples:  25273
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/17/11 8:19:01 AM,C,6.118
12/17/11 8:49:01 AM,C,4.109
12/17/11 9:19:01 AM,C,5.113
12/17/11 9:49:01 AM,C,5.113
12/17/11 10:19:01 AM,C,7.122
12/17/11 10:49:01 AM,C,6.62
12/17/11 11:19:01 AM,C,5.616
12/17/11 11:49:01 AM,C,5.616
12/17/11 12:19:01 PM,C,5.616
12/17/11 12:49:01 PM,C,5.113
12/17/11 1:19:01 PM,C,5.113
12/17/11 1:49:01 PM,C,4.611
12/17/11 2:19:01 PM,C,4.611
12/17/11 2:49:01 PM,C,5.113
12/17/11 3:19:01 PM,C,5.616
12/17/11 3:49:01 PM,C,5.616
12/17/11 4:19:01 PM,C,5.113
12/17/11 4:49:01 PM,C,4.611
12/17/11 5:19:01 PM,C,4.611
12/17/11 5:49:01 PM,C,4.109
12/17/11 6:19:01 PM,C,4.109
12/17/11 6:49:01 PM,C,4.109
12/17/11 7:19:01 PM,C,3.607
12/17/11 7:49:01 PM,C,4.109
12/17/11 8:19:01 PM,C,4.109
12/17/11 8:49:01 PM,C,5.616
12/17/11 9:19:01 PM,C,5.616
12/17/11 9:49:01 PM,C,5.616
12/17/11 10:19:01 PM,C,5.616
12/17/11 10:49:01 PM,C,5.616
12/17/11 11:19:01 PM,C,5.113
12/17/11 11:49:01 PM,C,5.616
12/18/11 12:19:01 AM,C,5.113
12/18/11 12:49:01 AM,C,5.113
12/18/11 1:19:01 AM,C,5.616
12/18/11 1:49:01 AM,C,5.616
12/18/11 2:19:01 AM,C,5.113
12/18/11 2:49:01 AM,C,5.616
12/18/11 3:19:01 AM,C,5.616
12/18/11 3:49:01 AM,C,5.616
12/18/11 4:19:01 AM,C,5.616
12/18/11 4:49:01 AM,C,5.616
12/18/11 5:19:01 AM,C,5.616
12/18/11 5:49:01 AM,C,5.616
12/18/11 6:19:01 AM,C,6.118
12/18/11 6:49:01 AM,C,6.118
12/18/11 7:19:01 AM,C,6.62
12/18/11 7:49:01 AM,C,7.122
12/18/11 8:19:01 AM,C,7.122
12/18/11 8:49:01 AM,C,7.623
12/18/11 9:19:01 AM,C,7.122
12/18/11 9:49:01 AM,C,7.623
12/18/11 10:19:01 AM,C,7.623
12/18/11 10:49:01 AM,C,7.623
12/18/11 11:19:01 AM,C,7.623
12/18/11 11:49:01 AM,C,7.623
12/18/11 12:19:01 PM,C,9.63
12/18/11 12:49:01 PM,C,9.63
