1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: E700000013473B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat Dec 17 11:15:01 CST 2011
Mission Sample Count:  6724
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Dec 17 11:15:01 CST 2011
Total Mission Samples:  6724
Total Device Samples:  33795
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/17/11 11:15:01 AM,C,12.204
12/17/11 11:30:01 AM,C,8.692
12/17/11 11:45:01 AM,C,8.692
12/17/11 12:00:01 PM,C,9.194
12/17/11 12:15:01 PM,C,9.696
12/17/11 12:30:01 PM,C,9.194
12/17/11 12:45:01 PM,C,8.692
12/17/11 1:00:01 PM,C,8.19
12/17/11 1:15:01 PM,C,8.19
12/17/11 1:30:01 PM,C,8.19
12/17/11 1:45:01 PM,C,7.186
12/17/11 2:00:01 PM,C,7.688
12/17/11 2:15:01 PM,C,7.688
12/17/11 2:30:01 PM,C,8.19
12/17/11 2:45:01 PM,C,7.688
12/17/11 3:00:01 PM,C,8.19
12/17/11 3:15:01 PM,C,8.19
12/17/11 3:30:01 PM,C,9.194
12/17/11 3:45:01 PM,C,9.194
12/17/11 4:00:01 PM,C,8.692
12/17/11 4:15:01 PM,C,7.186
12/17/11 4:30:01 PM,C,7.688
12/17/11 4:45:01 PM,C,8.19
12/17/11 5:00:01 PM,C,7.186
12/17/11 5:15:01 PM,C,7.688
12/17/11 5:30:01 PM,C,7.186
12/17/11 5:45:01 PM,C,6.683
12/17/11 6:00:01 PM,C,7.186
12/17/11 6:15:01 PM,C,7.186
12/17/11 6:30:01 PM,C,7.688
12/17/11 6:45:01 PM,C,6.181
12/17/11 7:00:01 PM,C,7.186
12/17/11 7:15:01 PM,C,7.688
12/17/11 7:30:01 PM,C,7.186
12/17/11 7:45:01 PM,C,6.683
12/17/11 8:00:01 PM,C,9.696
12/17/11 8:15:01 PM,C,8.692
12/17/11 8:30:01 PM,C,7.186
12/17/11 8:45:01 PM,C,7.186
12/17/11 9:00:01 PM,C,6.683
12/17/11 9:15:01 PM,C,7.186
12/17/11 9:30:01 PM,C,8.692
12/17/11 9:45:01 PM,C,8.692
12/17/11 10:00:01 PM,C,9.194
12/17/11 10:15:01 PM,C,8.692
12/17/11 10:30:01 PM,C,8.692
12/17/11 10:45:01 PM,C,8.19
12/17/11 11:00:01 PM,C,9.194
12/17/11 11:15:01 PM,C,8.19
12/17/11 11:30:01 PM,C,7.688
12/17/11 11:45:01 PM,C,8.19
12/18/11 12:00:01 AM,C,7.688
12/18/11 12:15:01 AM,C,8.19
12/18/11 12:30:01 AM,C,7.688
12/18/11 12:45:01 AM,C,8.19
12/18/11 1:00:01 AM,C,8.19
12/18/11 1:15:01 AM,C,8.19
12/18/11 1:30:01 AM,C,8.19
12/18/11 1:45:01 AM,C,8.19
12/18/11 2:00:01 AM,C,8.19
12/18/11 2:15:01 AM,C,8.19
12/18/11 2:30:01 AM,C,8.19
12/18/11 2:45:01 AM,C,7.688
12/18/11 3:00:01 AM,C,8.692
12/18/11 3:15:01 AM,C,8.19
12/18/11 3:30:01 AM,C,8.692
12/18/11 3:45:01 AM,C,9.194
12/18/11 4:00:01 AM,C,8.692
12/18/11 4:15:01 AM,C,9.194
12/18/11 4:30:01 AM,C,9.194
12/18/11 4:45:01 AM,C,9.194
12/18/11 5:00:01 AM,C,9.194
12/18/11 5:15:01 AM,C,9.194
12/18/11 5:30:01 AM,C,8.692
12/18/11 5:45:01 AM,C,8.692
12/18/11 6:00:01 AM,C,8.692
12/18/11 6:15:01 AM,C,9.696
12/18/11 6:30:01 AM,C,9.194
12/18/11 6:45:01 AM,C,9.194
12/18/11 7:00:01 AM,C,9.194
12/18/11 7:15:01 AM,C,10.198
12/18/11 7:30:01 AM,C,9.696
12/18/11 7:45:01 AM,C,10.699
12/18/11 8:00:01 AM,C,10.699
12/18/11 8:15:01 AM,C,10.699
12/18/11 8:30:01 AM,C,10.699
12/18/11 8:45:01 AM,C,10.699
12/18/11 9:00:01 AM,C,10.699
12/18/11 9:15:01 AM,C,10.699
12/18/11 9:30:01 AM,C,10.198
12/18/11 9:45:01 AM,C,10.699
12/18/11 10:00:01 AM,C,11.201
12/18/11 10:15:01 AM,C,11.201
12/18/11 10:30:01 AM,C,10.699
12/18/11 10:45:01 AM,C,11.201
12/18/11 11:00:01 AM,C,10.699
12/18/11 11:15:01 AM,C,10.699
12/18/11 11:30:01 AM,C,10.198
12/18/11 11:45:01 AM,C,10.198
12/18/11 12:00:01 PM,C,10.699
12/18/11 12:15:01 PM,C,12.706
12/18/11 12:30:01 PM,C,12.204
12/18/11 12:45:01 PM,C,12.204
12/18/11 1:00:01 PM,C,12.706
12/18/11 1:15:01 PM,C,12.204
12/18/11 1:30:01 PM,C,12.204
12/18/11 1:45:01 PM,C,11.703
12/18/11 2:00:01 PM,C,12.706
12/18/11 2:15:01 PM,C,12.706
12/18/11 2:30:01 PM,C,13.709
12/18/11 2:45:01 PM,C,12.204
12/18/11 3:00:01 PM,C,12.204
12/18/11 3:15:01 PM,C,12.204
12/18/11 3:30:01 PM,C,11.703
12/18/11 3:45:01 PM,C,11.703
12/18/11 4:00:01 PM,C,12.706
12/18/11 4:15:01 PM,C,12.706
12/18/11 4:30:01 PM,C,12.204
12/18/11 4:45:01 PM,C,12.204
12/18/11 5:00:01 PM,C,13.207
12/18/11 5:15:01 PM,C,12.706
12/18/11 5:30:01 PM,C,12.204
12/18/11 5:45:01 PM,C,12.204
12/18/11 6:00:01 PM,C,11.703
12/18/11 6:15:01 PM,C,11.201
12/18/11 6:30:01 PM,C,11.703
12/18/11 6:45:01 PM,C,11.703
12/18/11 7:00:01 PM,C,11.703
12/18/11 7:15:01 PM,C,11.703
12/18/11 7:30:01 PM,C,11.703
12/18/11 7:45:01 PM,C,10.699
12/18/11 8:00:01 PM,C,11.201
12/18/11 8:15:01 PM,C,10.699
12/18/11 8:30:01 PM,C,10.699
12/18/11 8:45:01 PM,C,9.696
12/18/11 9:00:01 PM,C,9.696
12/18/11 9:15:01 PM,C,9.696
12/18/11 9:30:01 PM,C,10.198
12/18/11 9:45:01 PM,C,10.198
12/18/11 10:00:01 PM,C,10.198
12/18/11 10:15:01 PM,C,9.696
12/18/11 10:30:01 PM,C,9.696
12/18/11 10:45:01 PM,C,9.696
12/18/11 11:00:01 PM,C,9.194
12/18/11 11:15:01 PM,C,9.696
12/18/11 11:30:01 PM,C,9.194
12/18/11 11:45:01 PM,C,9.696
12/19/11 12:00:01 AM,C,9.696
12/19/11 12:15:01 AM,C,9.696
12/19/11 12:30:01 AM,C,9.696
12/19/11 12:45:01 AM,C,9.194
12/19/11 1:00:01 AM,C,8.692
12/19/11 1:15:01 AM,C,8.692
12/19/11 1:30:01 AM,C,8.692
12/19/11 1:45:01 AM,C,7.688
12/19/11 2:00:01 AM,C,6.683
12/19/11 2:15:01 AM,C,4.674
12/19/11 2:30:01 AM,C,4.674
