1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BE00000013AED841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Fri Dec 16 16:39:01 CST 2011
Mission Sample Count:  6730
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 16 16:39:01 CST 2011
Total Mission Samples:  6730
Total Device Samples:  36747
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/16/11 4:39:01 PM,C,8.106
12/16/11 4:54:01 PM,C,3.588
12/16/11 5:09:01 PM,C,3.086
12/16/11 5:24:01 PM,C,3.086
12/16/11 5:39:01 PM,C,2.583
12/16/11 5:54:01 PM,C,2.583
12/16/11 6:09:01 PM,C,2.081
12/16/11 6:24:01 PM,C,2.081
12/16/11 6:39:01 PM,C,1.578
12/16/11 6:54:01 PM,C,1.578
12/16/11 7:09:01 PM,C,1.578
12/16/11 7:24:01 PM,C,1.578
12/16/11 7:39:01 PM,C,1.578
12/16/11 7:54:01 PM,C,1.578
12/16/11 8:09:01 PM,C,1.578
12/16/11 8:24:01 PM,C,1.578
12/16/11 8:39:01 PM,C,2.081
12/16/11 8:54:01 PM,C,2.081
12/16/11 9:09:01 PM,C,2.081
12/16/11 9:24:01 PM,C,2.081
12/16/11 9:39:01 PM,C,2.081
12/16/11 9:54:01 PM,C,2.081
12/16/11 10:09:01 PM,C,1.578
12/16/11 10:24:01 PM,C,1.578
12/16/11 10:39:01 PM,C,1.076
12/16/11 10:54:01 PM,C,1.076
12/16/11 11:09:01 PM,C,1.076
12/16/11 11:24:01 PM,C,1.076
12/16/11 11:39:01 PM,C,1.076
12/16/11 11:54:01 PM,C,1.076
12/17/11 12:09:01 AM,C,1.076
12/17/11 12:24:01 AM,C,1.076
12/17/11 12:39:01 AM,C,1.578
12/17/11 12:54:01 AM,C,1.076
12/17/11 1:09:01 AM,C,1.076
12/17/11 1:24:01 AM,C,1.076
12/17/11 1:39:01 AM,C,1.578
12/17/11 1:54:01 AM,C,1.578
12/17/11 2:09:01 AM,C,1.578
12/17/11 2:24:01 AM,C,1.578
12/17/11 2:39:01 AM,C,1.578
12/17/11 2:54:01 AM,C,2.081
12/17/11 3:09:01 AM,C,1.578
12/17/11 3:24:01 AM,C,2.081
12/17/11 3:39:01 AM,C,2.081
12/17/11 3:54:01 AM,C,2.583
12/17/11 4:09:01 AM,C,2.583
12/17/11 4:24:01 AM,C,3.086
12/17/11 4:39:01 AM,C,3.086
12/17/11 4:54:01 AM,C,3.086
12/17/11 5:09:01 AM,C,3.588
12/17/11 5:24:01 AM,C,3.086
12/17/11 5:39:01 AM,C,3.086
12/17/11 5:54:01 AM,C,3.086
12/17/11 6:09:01 AM,C,3.588
12/17/11 6:24:01 AM,C,3.086
12/17/11 6:39:01 AM,C,3.086
12/17/11 6:54:01 AM,C,3.086
12/17/11 7:09:01 AM,C,3.086
12/17/11 7:24:01 AM,C,3.086
12/17/11 7:39:01 AM,C,3.086
12/17/11 7:54:01 AM,C,3.086
12/17/11 8:09:01 AM,C,3.086
12/17/11 8:24:01 AM,C,3.588
12/17/11 8:39:01 AM,C,3.588
12/17/11 8:54:01 AM,C,3.588
12/17/11 9:09:01 AM,C,4.09
12/17/11 9:24:01 AM,C,5.596
12/17/11 9:39:01 AM,C,5.596
12/17/11 9:54:01 AM,C,7.102
12/17/11 10:09:01 AM,C,8.106
12/17/11 10:24:01 AM,C,9.611
12/17/11 10:39:01 AM,C,6.6
12/17/11 10:54:01 AM,C,7.102
12/17/11 11:09:01 AM,C,6.098
12/17/11 11:24:01 AM,C,6.098
12/17/11 11:39:01 AM,C,6.098
12/17/11 11:54:01 AM,C,6.6
12/17/11 12:09:01 PM,C,6.6
12/17/11 12:24:01 PM,C,7.102
12/17/11 12:39:01 PM,C,7.604
12/17/11 12:54:01 PM,C,7.604
12/17/11 1:09:01 PM,C,7.604
12/17/11 1:24:01 PM,C,7.604
