1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A70000000FD7BA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Feb 25 10:29:01 CST 2012
Mission Sample Count:  4269
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Feb 25 10:29:01 CST 2012
Total Mission Samples:  4269
Total Device Samples:  49971
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/25/12 10:29:01 AM,C,10.676
2/25/12 10:59:01 AM,C,10.174
2/25/12 11:29:01 AM,C,10.676
2/25/12 11:59:01 AM,C,9.17
2/25/12 12:29:01 PM,C,9.17
2/25/12 12:59:01 PM,C,9.672
2/25/12 1:29:01 PM,C,8.667
2/25/12 1:59:01 PM,C,9.17
2/25/12 2:29:01 PM,C,9.17
2/25/12 2:59:01 PM,C,11.179
2/25/12 3:29:01 PM,C,9.17
2/25/12 3:59:01 PM,C,9.672
2/25/12 4:29:01 PM,C,8.667
2/25/12 4:59:01 PM,C,7.662
2/25/12 5:29:01 PM,C,6.155
2/25/12 5:59:01 PM,C,5.652
2/25/12 6:29:01 PM,C,6.155
2/25/12 6:59:01 PM,C,4.646
2/25/12 7:29:01 PM,C,3.64
2/25/12 7:59:01 PM,C,5.149
2/25/12 8:29:01 PM,C,5.652
2/25/12 8:59:01 PM,C,5.652
2/25/12 9:29:01 PM,C,5.652
2/25/12 9:59:01 PM,C,6.155
2/25/12 10:29:01 PM,C,6.657
2/25/12 10:59:01 PM,C,6.657
2/25/12 11:29:01 PM,C,6.657
2/25/12 11:59:01 PM,C,6.657
2/26/12 12:29:01 AM,C,6.155
2/26/12 12:59:01 AM,C,4.646
2/26/12 1:29:01 AM,C,4.143
2/26/12 1:59:01 AM,C,3.64
2/26/12 2:29:01 AM,C,4.646
2/26/12 2:59:01 AM,C,5.652
2/26/12 3:29:01 AM,C,5.652
2/26/12 3:59:01 AM,C,6.155
2/26/12 4:29:01 AM,C,5.149
2/26/12 4:59:01 AM,C,5.652
2/26/12 5:29:01 AM,C,6.155
2/26/12 5:59:01 AM,C,6.657
2/26/12 6:29:01 AM,C,7.16
2/26/12 6:59:01 AM,C,7.16
2/26/12 7:29:01 AM,C,8.165
2/26/12 7:59:01 AM,C,8.667
2/26/12 8:29:01 AM,C,8.667
2/26/12 8:59:01 AM,C,12.182
2/26/12 9:29:01 AM,C,12.684
2/26/12 9:59:01 AM,C,13.186
2/26/12 10:29:01 AM,C,13.688
2/26/12 10:59:01 AM,C,14.189
2/26/12 11:29:01 AM,C,18.2
2/26/12 11:59:01 AM,C,18.701
2/26/12 12:29:01 PM,C,16.697
2/26/12 12:59:01 PM,C,18.2
2/26/12 1:29:01 PM,C,17.699
2/26/12 1:59:01 PM,C,15.694
2/26/12 2:29:01 PM,C,15.694
2/26/12 2:59:01 PM,C,16.697
2/26/12 3:29:01 PM,C,15.192
2/26/12 3:59:01 PM,C,16.195
2/26/12 4:29:01 PM,C,15.192
2/26/12 4:59:01 PM,C,13.688
2/26/12 5:29:01 PM,C,12.684
2/26/12 5:59:01 PM,C,11.179
2/26/12 6:29:01 PM,C,9.672
2/26/12 6:59:01 PM,C,8.667
2/26/12 7:29:01 PM,C,8.165
2/26/12 7:59:01 PM,C,7.662
2/26/12 8:29:01 PM,C,7.662
2/26/12 8:59:01 PM,C,7.662
2/26/12 9:29:01 PM,C,7.662
2/26/12 9:59:01 PM,C,7.662
2/26/12 10:29:01 PM,C,8.165
2/26/12 10:59:01 PM,C,7.662
2/26/12 11:29:01 PM,C,7.662
2/26/12 11:59:01 PM,C,7.16
2/27/12 12:29:01 AM,C,7.16
2/27/12 12:59:01 AM,C,7.16
2/27/12 1:29:01 AM,C,6.657
2/27/12 1:59:01 AM,C,7.662
2/27/12 2:29:01 AM,C,7.16
2/27/12 2:59:01 AM,C,7.16
2/27/12 3:29:01 AM,C,6.657
2/27/12 3:59:01 AM,C,6.657
2/27/12 4:29:01 AM,C,6.155
2/27/12 4:59:01 AM,C,6.155
2/27/12 5:29:01 AM,C,6.155
2/27/12 5:59:01 AM,C,6.155
2/27/12 6:29:01 AM,C,5.652
2/27/12 6:59:01 AM,C,5.652
2/27/12 7:29:01 AM,C,5.149
2/27/12 7:59:01 AM,C,7.16
2/27/12 8:29:01 AM,C,8.165
2/27/12 8:59:01 AM,C,11.681
2/27/12 9:29:01 AM,C,12.684
2/27/12 9:59:01 AM,C,12.182
2/27/12 10:29:01 AM,C,13.186
2/27/12 10:59:01 AM,C,13.688
2/27/12 11:29:01 AM,C,17.699
2/27/12 11:59:01 AM,C,18.2
2/27/12 12:29:01 PM,C,15.694
2/27/12 12:59:01 PM,C,17.699
2/27/12 1:29:01 PM,C,15.694
2/27/12 1:59:01 PM,C,14.189
2/27/12 2:29:01 PM,C,14.189
2/27/12 2:59:01 PM,C,14.189
2/27/12 3:29:01 PM,C,14.691
2/27/12 3:59:01 PM,C,14.189
2/27/12 4:29:01 PM,C,14.189
2/27/12 4:59:01 PM,C,12.684
2/27/12 5:29:01 PM,C,12.182
2/27/12 5:59:01 PM,C,10.676
2/27/12 6:29:01 PM,C,9.672
2/27/12 6:59:01 PM,C,8.667
2/27/12 7:29:01 PM,C,7.662
2/27/12 7:59:01 PM,C,7.662
2/27/12 8:29:01 PM,C,7.662
2/27/12 8:59:01 PM,C,8.667
2/27/12 9:29:01 PM,C,10.676
2/27/12 9:59:01 PM,C,10.174
2/27/12 10:29:01 PM,C,10.676
2/27/12 10:59:01 PM,C,11.681
2/27/12 11:29:01 PM,C,11.179
2/27/12 11:59:01 PM,C,10.676
2/28/12 12:29:01 AM,C,10.174
2/28/12 12:59:01 AM,C,9.672
2/28/12 1:29:01 AM,C,9.17
2/28/12 1:59:01 AM,C,9.672
2/28/12 2:29:01 AM,C,9.672
2/28/12 2:59:01 AM,C,10.174
2/28/12 3:29:01 AM,C,9.672
2/28/12 3:59:01 AM,C,9.672
2/28/12 4:29:01 AM,C,9.17
2/28/12 4:59:01 AM,C,8.667
2/28/12 5:29:01 AM,C,8.667
2/28/12 5:59:01 AM,C,7.662
