1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: EE0000000FC3CC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Feb 25 17:46:01 CST 2012
Mission Sample Count:  4304
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Feb 25 17:46:01 CST 2012
Total Mission Samples:  4304
Total Device Samples:  42519
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/25/12 5:46:01 PM,C,14.237
2/25/12 6:16:01 PM,C,11.726
2/25/12 6:46:01 PM,C,10.219
2/25/12 7:16:01 PM,C,8.207
2/25/12 7:46:01 PM,C,8.207
2/25/12 8:16:01 PM,C,5.188
2/25/12 8:46:01 PM,C,5.188
2/25/12 9:16:01 PM,C,7.704
2/25/12 9:46:01 PM,C,8.71
2/25/12 10:16:01 PM,C,9.213
2/25/12 10:46:01 PM,C,9.716
2/25/12 11:16:01 PM,C,10.219
2/25/12 11:46:01 PM,C,9.716
2/26/12 12:16:01 AM,C,9.716
2/26/12 12:46:01 AM,C,9.716
2/26/12 1:16:01 AM,C,9.716
2/26/12 1:46:01 AM,C,9.213
2/26/12 2:16:01 AM,C,9.716
2/26/12 2:46:01 AM,C,7.201
2/26/12 3:16:01 AM,C,6.195
2/26/12 3:46:01 AM,C,8.71
2/26/12 4:16:01 AM,C,8.71
2/26/12 4:46:01 AM,C,8.71
2/26/12 5:16:01 AM,C,9.213
2/26/12 5:46:01 AM,C,8.71
2/26/12 6:16:01 AM,C,8.71
2/26/12 6:46:01 AM,C,8.207
2/26/12 7:16:01 AM,C,7.704
2/26/12 7:46:01 AM,C,7.201
2/26/12 8:16:01 AM,C,7.201
2/26/12 8:46:01 AM,C,11.224
2/26/12 9:16:01 AM,C,13.735
2/26/12 9:46:01 AM,C,15.24
2/26/12 10:16:01 AM,C,16.244
2/26/12 10:46:01 AM,C,17.748
2/26/12 11:16:01 AM,C,17.748
2/26/12 11:46:01 AM,C,19.752
2/26/12 12:16:01 PM,C,19.251
2/26/12 12:46:01 PM,C,19.752
2/26/12 1:16:01 PM,C,20.253
2/26/12 1:46:01 PM,C,20.253
2/26/12 2:16:01 PM,C,20.754
2/26/12 2:46:01 PM,C,20.754
2/26/12 3:16:01 PM,C,21.756
2/26/12 3:46:01 PM,C,20.754
2/26/12 4:16:01 PM,C,20.253
2/26/12 4:46:01 PM,C,20.253
2/26/12 5:16:01 PM,C,19.251
2/26/12 5:46:01 PM,C,18.249
2/26/12 6:16:01 PM,C,16.745
2/26/12 6:46:01 PM,C,13.735
2/26/12 7:16:01 PM,C,10.219
2/26/12 7:46:01 PM,C,7.201
2/26/12 8:16:01 PM,C,6.195
2/26/12 8:46:01 PM,C,5.692
2/26/12 9:16:01 PM,C,5.692
2/26/12 9:46:01 PM,C,5.692
2/26/12 10:16:01 PM,C,4.181
2/26/12 10:46:01 PM,C,3.678
2/26/12 11:16:01 PM,C,3.174
2/26/12 11:46:01 PM,C,2.67
2/27/12 12:16:01 AM,C,2.166
2/27/12 12:46:01 AM,C,2.166
2/27/12 1:16:01 AM,C,1.662
2/27/12 1:46:01 AM,C,1.662
2/27/12 2:16:01 AM,C,1.662
2/27/12 2:46:01 AM,C,3.678
2/27/12 3:16:01 AM,C,1.158
2/27/12 3:46:01 AM,C,2.166
2/27/12 4:16:01 AM,C,4.181
2/27/12 4:46:01 AM,C,1.662
2/27/12 5:16:01 AM,C,3.678
2/27/12 5:46:01 AM,C,0.149
2/27/12 6:16:01 AM,C,1.158
2/27/12 6:46:01 AM,C,1.662
2/27/12 7:16:01 AM,C,-0.355
2/27/12 7:46:01 AM,C,0.149
2/27/12 8:16:01 AM,C,0.654
2/27/12 8:46:01 AM,C,4.181
2/27/12 9:16:01 AM,C,8.71
2/27/12 9:46:01 AM,C,11.224
