1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7900000014956E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 25 13:28:01 GMT-06:00 2012
Mission Sample Count:  2139
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Feb 25 13:28:01 GMT-06:00 2012
Total Mission Samples:  2139
Total Device Samples:  27016
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/25/12 1:28:01 PM,C,13.666
2/25/12 2:28:01 PM,C,12.663
2/25/12 3:28:01 PM,C,14.668
2/25/12 4:28:01 PM,C,12.162
2/25/12 5:28:01 PM,C,11.159
2/25/12 6:28:01 PM,C,8.651
2/25/12 7:28:01 PM,C,7.647
2/25/12 8:28:01 PM,C,7.145
2/25/12 9:28:01 PM,C,7.145
2/25/12 10:28:01 PM,C,7.647
2/25/12 11:28:01 PM,C,7.647
2/26/12 12:28:01 AM,C,8.149
2/26/12 1:28:01 AM,C,7.647
2/26/12 2:28:01 AM,C,8.651
2/26/12 3:28:01 AM,C,8.651
2/26/12 4:28:01 AM,C,8.651
2/26/12 5:28:01 AM,C,8.149
2/26/12 6:28:01 AM,C,8.651
2/26/12 7:28:01 AM,C,8.651
2/26/12 8:28:01 AM,C,15.67
2/26/12 9:28:01 AM,C,20.177
2/26/12 10:28:01 AM,C,20.177
2/26/12 11:28:01 AM,C,24.68
2/26/12 12:28:01 PM,C,23.679
2/26/12 1:28:01 PM,C,24.18
2/26/12 2:28:01 PM,C,24.18
2/26/12 3:28:01 PM,C,22.679
2/26/12 4:28:01 PM,C,19.676
2/26/12 5:28:01 PM,C,17.173
2/26/12 6:28:01 PM,C,13.666
2/26/12 7:28:01 PM,C,12.162
2/26/12 8:28:01 PM,C,10.657
2/26/12 9:28:01 PM,C,12.162
2/26/12 10:28:01 PM,C,12.663
2/26/12 11:28:01 PM,C,11.159
2/27/12 12:28:01 AM,C,11.159
2/27/12 1:28:01 AM,C,11.159
2/27/12 2:28:01 AM,C,10.657
2/27/12 3:28:01 AM,C,9.654
2/27/12 4:28:01 AM,C,9.153
2/27/12 5:28:01 AM,C,9.153
2/27/12 6:28:01 AM,C,9.153
2/27/12 7:28:01 AM,C,7.647
2/27/12 8:28:01 AM,C,17.173
2/27/12 9:28:01 AM,C,18.675
2/27/12 10:28:01 AM,C,21.178
2/27/12 11:28:01 AM,C,21.178
2/27/12 12:28:01 PM,C,25.18
2/27/12 1:28:01 PM,C,21.178
2/27/12 2:28:01 PM,C,21.178
2/27/12 3:28:01 PM,C,18.174
2/27/12 4:28:01 PM,C,18.174
2/27/12 5:28:01 PM,C,15.67
2/27/12 6:28:01 PM,C,11.159
2/27/12 7:28:01 PM,C,9.153
2/27/12 8:28:01 PM,C,10.657
2/27/12 9:28:01 PM,C,12.162
2/27/12 10:28:01 PM,C,13.164
2/27/12 11:28:01 PM,C,12.162
2/28/12 12:28:01 AM,C,11.66
2/28/12 1:28:01 AM,C,10.657
2/28/12 2:28:01 AM,C,11.159
2/28/12 3:28:01 AM,C,10.657
2/28/12 4:28:01 AM,C,10.156
2/28/12 5:28:01 AM,C,9.654
2/28/12 6:28:01 AM,C,9.654
2/28/12 7:28:01 AM,C,9.654
2/28/12 8:28:01 AM,C,13.666
2/28/12 9:28:01 AM,C,18.174
2/28/12 10:28:01 AM,C,17.674
2/28/12 11:28:01 AM,C,18.174
2/28/12 12:28:01 PM,C,21.678
2/28/12 1:28:01 PM,C,23.679
2/28/12 2:28:01 PM,C,23.179
2/28/12 3:28:01 PM,C,23.679
2/28/12 4:28:01 PM,C,21.178
2/28/12 5:28:01 PM,C,19.176
2/28/12 6:28:01 PM,C,15.67
2/28/12 7:28:01 PM,C,12.663
2/28/12 8:28:01 PM,C,11.159
2/28/12 9:28:01 PM,C,10.657
2/28/12 10:28:01 PM,C,9.654
2/28/12 11:28:01 PM,C,8.651
