1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7900000014956E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu May 24 16:35:01 GMT-06:00 2012
Mission Sample Count:  2185
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu May 24 16:35:01 GMT-06:00 2012
Total Mission Samples:  2185
Total Device Samples:  29203
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/24/12 4:35:01 PM,C,33.173
5/24/12 5:35:01 PM,C,32.175
5/24/12 6:35:01 PM,C,31.675
5/24/12 7:35:01 PM,C,26.679
5/24/12 8:35:01 PM,C,23.679
5/24/12 9:35:01 PM,C,22.679
5/24/12 10:35:01 PM,C,23.679
5/24/12 11:35:01 PM,C,23.679
5/25/12 12:35:01 AM,C,23.679
5/25/12 1:35:01 AM,C,24.18
5/25/12 2:35:01 AM,C,20.177
5/25/12 3:35:01 AM,C,18.174
5/25/12 4:35:01 AM,C,17.674
5/25/12 5:35:01 AM,C,17.173
5/25/12 6:35:01 AM,C,17.173
5/25/12 7:35:01 AM,C,19.676
5/25/12 8:35:01 AM,C,25.18
5/25/12 9:35:01 AM,C,28.679
5/25/12 10:35:01 AM,C,31.675
5/25/12 11:35:01 AM,C,35.17
5/25/12 12:35:01 PM,C,33.173
5/25/12 1:35:01 PM,C,32.175
5/25/12 2:35:01 PM,C,33.173
5/25/12 3:35:01 PM,C,31.675
5/25/12 4:35:01 PM,C,29.678
5/25/12 5:35:01 PM,C,30.677
5/25/12 6:35:01 PM,C,31.675
5/25/12 7:35:01 PM,C,27.179
5/25/12 8:35:01 PM,C,22.179
5/25/12 9:35:01 PM,C,19.176
5/25/12 10:35:01 PM,C,17.674
5/25/12 11:35:01 PM,C,17.173
5/26/12 12:35:01 AM,C,16.672
5/26/12 1:35:01 AM,C,16.171
5/26/12 2:35:01 AM,C,16.672
5/26/12 3:35:01 AM,C,15.67
5/26/12 4:35:01 AM,C,15.169
5/26/12 5:35:01 AM,C,15.67
5/26/12 6:35:01 AM,C,15.67
5/26/12 7:35:01 AM,C,16.672
5/26/12 8:35:01 AM,C,19.176
5/26/12 9:35:01 AM,C,20.677
5/26/12 10:35:01 AM,C,23.679
5/26/12 11:35:01 AM,C,27.679
5/26/12 12:35:01 PM,C,27.679
5/26/12 1:35:01 PM,C,32.674
5/26/12 2:35:01 PM,C,33.173
5/26/12 3:35:01 PM,C,32.175
5/26/12 4:35:01 PM,C,28.679
5/26/12 5:35:01 PM,C,29.178
5/26/12 6:35:01 PM,C,29.678
5/26/12 7:35:01 PM,C,22.679
5/26/12 8:35:01 PM,C,19.676
5/26/12 9:35:01 PM,C,14.668
5/26/12 10:35:01 PM,C,17.173
5/26/12 11:35:01 PM,C,19.676
5/27/12 12:35:01 AM,C,19.176
5/27/12 1:35:01 AM,C,17.173
5/27/12 2:35:01 AM,C,16.672
5/27/12 3:35:01 AM,C,16.672
5/27/12 4:35:01 AM,C,16.171
5/27/12 5:35:01 AM,C,16.171
5/27/12 6:35:01 AM,C,16.171
5/27/12 7:35:01 AM,C,18.174
5/27/12 8:35:01 AM,C,19.676
5/27/12 9:35:01 AM,C,21.178
5/27/12 10:35:01 AM,C,23.679
5/27/12 11:35:01 AM,C,28.179
5/27/12 12:35:01 PM,C,27.679
5/27/12 1:35:01 PM,C,30.177
5/27/12 2:35:01 PM,C,32.674
5/27/12 3:35:01 PM,C,34.671
5/27/12 4:35:01 PM,C,32.175
5/27/12 5:35:01 PM,C,29.678
5/27/12 6:35:01 PM,C,30.677
5/27/12 7:35:01 PM,C,25.68
5/27/12 8:35:01 PM,C,22.679
5/27/12 9:35:01 PM,C,20.677
5/27/12 10:35:01 PM,C,20.677
5/27/12 11:35:01 PM,C,20.677
5/28/12 12:35:01 AM,C,20.677
5/28/12 1:35:01 AM,C,18.675
5/28/12 2:35:01 AM,C,17.674
5/28/12 3:35:01 AM,C,18.174
5/28/12 4:35:01 AM,C,17.173
5/28/12 5:35:01 AM,C,16.171
5/28/12 6:35:01 AM,C,17.173
5/28/12 7:35:01 AM,C,21.678
5/28/12 8:35:01 AM,C,25.68
5/28/12 9:35:01 AM,C,29.178
5/28/12 10:35:01 AM,C,31.176
5/28/12 11:35:01 AM,C,37.165
5/28/12 12:35:01 PM,C,34.171
5/28/12 1:35:01 PM,C,32.674
5/28/12 2:35:01 PM,C,34.671
5/28/12 3:35:01 PM,C,37.165
5/28/12 4:35:01 PM,C,34.171
5/28/12 5:35:01 PM,C,33.173
5/28/12 6:35:01 PM,C,33.173
5/28/12 7:35:01 PM,C,27.179
5/28/12 8:35:01 PM,C,23.679
5/28/12 9:35:01 PM,C,20.677
5/28/12 10:35:01 PM,C,20.677
5/28/12 11:35:01 PM,C,20.177
5/29/12 12:35:01 AM,C,19.676
5/29/12 1:35:01 AM,C,19.176
5/29/12 2:35:01 AM,C,19.176
5/29/12 3:35:01 AM,C,19.676
5/29/12 4:35:01 AM,C,18.174
5/29/12 5:35:01 AM,C,18.174
5/29/12 6:35:01 AM,C,18.675
5/29/12 7:35:01 AM,C,23.179
5/29/12 8:35:01 AM,C,28.679
5/29/12 9:35:01 AM,C,32.674
5/29/12 10:35:01 AM,C,35.668
5/29/12 11:35:01 AM,C,38.661
5/29/12 12:35:01 PM,C,36.666
5/29/12 1:35:01 PM,C,34.671
5/29/12 2:35:01 PM,C,37.165
5/29/12 3:35:01 PM,C,37.165
5/29/12 4:35:01 PM,C,33.672
5/29/12 5:35:01 PM,C,33.672
5/29/12 6:35:01 PM,C,33.672
5/29/12 7:35:01 PM,C,28.179
5/29/12 8:35:01 PM,C,23.679
5/29/12 9:35:01 PM,C,22.179
5/29/12 10:35:01 PM,C,22.679
5/29/12 11:35:01 PM,C,20.177
5/30/12 12:35:01 AM,C,20.677
5/30/12 1:35:01 AM,C,20.177
5/30/12 2:35:01 AM,C,20.177
5/30/12 3:35:01 AM,C,19.676
5/30/12 4:35:01 AM,C,19.176
5/30/12 5:35:01 AM,C,18.675
5/30/12 6:35:01 AM,C,18.174
5/30/12 7:35:01 AM,C,22.679
5/30/12 8:35:01 AM,C,26.18
5/30/12 9:35:01 AM,C,30.677
5/30/12 10:35:01 AM,C,32.175
5/30/12 11:35:01 AM,C,39.16
5/30/12 12:35:01 PM,C,35.17
5/30/12 1:35:01 PM,C,33.672
5/30/12 2:35:01 PM,C,34.671
5/30/12 3:35:01 PM,C,36.167
5/30/12 4:35:01 PM,C,33.173
5/30/12 5:35:01 PM,C,32.674
5/30/12 6:35:01 PM,C,32.674
5/30/12 7:35:01 PM,C,27.179
5/30/12 8:35:01 PM,C,23.679
5/30/12 9:35:01 PM,C,21.178
5/30/12 10:35:01 PM,C,19.676
5/30/12 11:35:01 PM,C,19.676
5/31/12 12:35:01 AM,C,19.176
5/31/12 1:35:01 AM,C,18.675
5/31/12 2:35:01 AM,C,19.176
5/31/12 3:35:01 AM,C,18.675
5/31/12 4:35:01 AM,C,18.675
5/31/12 5:35:01 AM,C,17.674
5/31/12 6:35:01 AM,C,17.674
5/31/12 7:35:01 AM,C,21.678
5/31/12 8:35:01 AM,C,26.679
5/31/12 9:35:01 AM,C,32.175
5/31/12 10:35:01 AM,C,33.173
5/31/12 11:35:01 AM,C,33.672
5/31/12 12:35:01 PM,C,29.178
5/31/12 1:35:01 PM,C,27.179
5/31/12 2:35:01 PM,C,26.679
5/31/12 3:35:01 PM,C,26.679
5/31/12 4:35:01 PM,C,25.18
5/31/12 5:35:01 PM,C,25.18
5/31/12 6:35:01 PM,C,23.179
5/31/12 7:35:01 PM,C,20.177
5/31/12 8:35:01 PM,C,20.177
5/31/12 9:35:01 PM,C,19.176
5/31/12 10:35:01 PM,C,17.173
5/31/12 11:35:01 PM,C,17.173
6/1/12 12:35:01 AM,C,16.171
6/1/12 1:35:01 AM,C,15.67
6/1/12 2:35:01 AM,C,15.169
6/1/12 3:35:01 AM,C,14.668
6/1/12 4:35:01 AM,C,16.171
6/1/12 5:35:01 AM,C,14.668
6/1/12 6:35:01 AM,C,14.167
6/1/12 7:35:01 AM,C,14.167
6/1/12 8:35:01 AM,C,22.179
6/1/12 9:35:01 AM,C,19.676
6/1/12 10:35:01 AM,C,19.676
6/1/12 11:35:01 AM,C,22.179
6/1/12 12:35:01 PM,C,26.679
6/1/12 1:35:01 PM,C,25.68
6/1/12 2:35:01 PM,C,25.68
6/1/12 3:35:01 PM,C,34.671
6/1/12 4:35:01 PM,C,26.18
6/1/12 5:35:01 PM,C,27.679
6/1/12 6:35:01 PM,C,29.178
6/1/12 7:35:01 PM,C,25.18
6/1/12 8:35:01 PM,C,22.179
6/1/12 9:35:01 PM,C,20.177
6/1/12 10:35:01 PM,C,19.676
6/1/12 11:35:01 PM,C,19.676
6/2/12 12:35:01 AM,C,18.174
6/2/12 1:35:01 AM,C,18.174
6/2/12 2:35:01 AM,C,18.174
6/2/12 3:35:01 AM,C,17.674
6/2/12 4:35:01 AM,C,18.174
6/2/12 5:35:01 AM,C,18.675
6/2/12 6:35:01 AM,C,17.674
6/2/12 7:35:01 AM,C,20.177
6/2/12 8:35:01 AM,C,22.179
6/2/12 9:35:01 AM,C,25.18
6/2/12 10:35:01 AM,C,24.18
6/2/12 11:35:01 AM,C,29.178
6/2/12 12:35:01 PM,C,27.679
6/2/12 1:35:01 PM,C,31.176
6/2/12 2:35:01 PM,C,32.175
6/2/12 3:35:01 PM,C,34.671
6/2/12 4:35:01 PM,C,29.178
6/2/12 5:35:01 PM,C,31.176
6/2/12 6:35:01 PM,C,29.178
6/2/12 7:35:01 PM,C,27.679
6/2/12 8:35:01 PM,C,24.68
6/2/12 9:35:01 PM,C,22.679
6/2/12 10:35:01 PM,C,22.179
6/2/12 11:35:01 PM,C,21.678
6/3/12 12:35:01 AM,C,21.178
6/3/12 1:35:01 AM,C,19.676
6/3/12 2:35:01 AM,C,19.676
6/3/12 3:35:01 AM,C,19.676
6/3/12 4:35:01 AM,C,19.676
6/3/12 5:35:01 AM,C,19.176
6/3/12 6:35:01 AM,C,19.676
6/3/12 7:35:01 AM,C,20.677
6/3/12 8:35:01 AM,C,23.679
6/3/12 9:35:01 AM,C,28.679
6/3/12 10:35:01 AM,C,31.675
6/3/12 11:35:01 AM,C,39.16
6/3/12 12:35:01 PM,C,36.167
6/3/12 1:35:01 PM,C,36.167
6/3/12 2:35:01 PM,C,37.664
6/3/12 3:35:01 PM,C,40.655
6/3/12 4:35:01 PM,C,27.179
6/3/12 5:35:01 PM,C,29.678
6/3/12 6:35:01 PM,C,29.178
6/3/12 7:35:01 PM,C,25.68
6/3/12 8:35:01 PM,C,25.68
6/3/12 9:35:01 PM,C,23.179
6/3/12 10:35:01 PM,C,22.679
6/3/12 11:35:01 PM,C,20.677
6/4/12 12:35:01 AM,C,21.178
6/4/12 1:35:01 AM,C,21.678
6/4/12 2:35:01 AM,C,21.178
6/4/12 3:35:01 AM,C,21.178
6/4/12 4:35:01 AM,C,20.677
6/4/12 5:35:01 AM,C,20.177
6/4/12 6:35:01 AM,C,19.676
6/4/12 7:35:01 AM,C,21.678
6/4/12 8:35:01 AM,C,26.679
6/4/12 9:35:01 AM,C,31.176
6/4/12 10:35:01 AM,C,33.672
6/4/12 11:35:01 AM,C,36.666
6/4/12 12:35:01 PM,C,33.672
6/4/12 1:35:01 PM,C,35.668
6/4/12 2:35:01 PM,C,35.17
6/4/12 3:35:01 PM,C,38.661
6/4/12 4:35:01 PM,C,35.17
6/4/12 5:35:01 PM,C,32.674
6/4/12 6:35:01 PM,C,34.671
6/4/12 7:35:01 PM,C,29.178
6/4/12 8:35:01 PM,C,25.18
6/4/12 9:35:01 PM,C,23.679
6/4/12 10:35:01 PM,C,21.678
6/4/12 11:35:01 PM,C,18.174
6/5/12 12:35:01 AM,C,17.674
6/5/12 1:35:01 AM,C,19.676
6/5/12 2:35:01 AM,C,17.674
6/5/12 3:35:01 AM,C,18.675
6/5/12 4:35:01 AM,C,18.675
6/5/12 5:35:01 AM,C,13.666
6/5/12 6:35:01 AM,C,15.67
6/5/12 7:35:01 AM,C,16.672
6/5/12 8:35:01 AM,C,21.678
6/5/12 9:35:01 AM,C,28.679
6/5/12 10:35:01 AM,C,32.175
6/5/12 11:35:01 AM,C,35.668
6/5/12 12:35:01 PM,C,33.173
6/5/12 1:35:01 PM,C,34.171
6/5/12 2:35:01 PM,C,35.17
6/5/12 3:35:01 PM,C,31.176
6/5/12 4:35:01 PM,C,22.179
6/5/12 5:35:01 PM,C,28.179
6/5/12 6:35:01 PM,C,27.679
6/5/12 7:35:01 PM,C,27.179
6/5/12 8:35:01 PM,C,21.178
6/5/12 9:35:01 PM,C,20.177
6/5/12 10:35:01 PM,C,20.177
6/5/12 11:35:01 PM,C,20.177
6/6/12 12:35:01 AM,C,20.177
6/6/12 1:35:01 AM,C,20.677
6/6/12 2:35:01 AM,C,20.677
6/6/12 3:35:01 AM,C,20.177
6/6/12 4:35:01 AM,C,18.675
6/6/12 5:35:01 AM,C,18.675
6/6/12 6:35:01 AM,C,18.174
6/6/12 7:35:01 AM,C,20.677
6/6/12 8:35:01 AM,C,23.179
6/6/12 9:35:01 AM,C,26.679
6/6/12 10:35:01 AM,C,30.177
6/6/12 11:35:01 AM,C,37.664
6/6/12 12:35:01 PM,C,34.171
6/6/12 1:35:01 PM,C,35.17
6/6/12 2:35:01 PM,C,36.167
6/6/12 3:35:01 PM,C,38.661
6/6/12 4:35:01 PM,C,35.668
6/6/12 5:35:01 PM,C,32.674
6/6/12 6:35:01 PM,C,33.672
6/6/12 7:35:01 PM,C,28.679
6/6/12 8:35:01 PM,C,25.18
6/6/12 9:35:01 PM,C,22.679
6/6/12 10:35:01 PM,C,22.679
6/6/12 11:35:01 PM,C,22.179
6/7/12 12:35:01 AM,C,22.679
6/7/12 1:35:01 AM,C,22.179
6/7/12 2:35:01 AM,C,21.678
6/7/12 3:35:01 AM,C,20.677
6/7/12 4:35:01 AM,C,20.677
6/7/12 5:35:01 AM,C,20.677
6/7/12 6:35:01 AM,C,20.677
6/7/12 7:35:01 AM,C,23.679
6/7/12 8:35:01 AM,C,24.68
6/7/12 9:35:01 AM,C,30.677
6/7/12 10:35:01 AM,C,35.668
6/7/12 11:35:01 AM,C,38.661
6/7/12 12:35:01 PM,C,34.171
6/7/12 1:35:01 PM,C,36.167
6/7/12 2:35:01 PM,C,28.179
6/7/12 3:35:01 PM,C,35.17
6/7/12 4:35:01 PM,C,29.178
6/7/12 5:35:01 PM,C,29.678
6/7/12 6:35:01 PM,C,26.18
6/7/12 7:35:01 PM,C,26.679
6/7/12 8:35:01 PM,C,24.68
6/7/12 9:35:01 PM,C,23.679
6/7/12 10:35:01 PM,C,23.179
6/7/12 11:35:01 PM,C,23.679
6/8/12 12:35:01 AM,C,23.679
6/8/12 1:35:01 AM,C,23.679
6/8/12 2:35:01 AM,C,23.679
6/8/12 3:35:01 AM,C,22.679
6/8/12 4:35:01 AM,C,21.178
6/8/12 5:35:01 AM,C,21.178
6/8/12 6:35:01 AM,C,20.677
6/8/12 7:35:01 AM,C,23.179
6/8/12 8:35:01 AM,C,25.68
6/8/12 9:35:01 AM,C,28.179
6/8/12 10:35:01 AM,C,33.173
6/8/12 11:35:01 AM,C,37.664
6/8/12 12:35:01 PM,C,35.668
6/8/12 1:35:01 PM,C,37.165
6/8/12 2:35:01 PM,C,28.679
6/8/12 3:35:01 PM,C,23.679
6/8/12 4:35:01 PM,C,23.679
6/8/12 5:35:01 PM,C,23.179
6/8/12 6:35:01 PM,C,23.679
6/8/12 7:35:01 PM,C,23.679
6/8/12 8:35:01 PM,C,23.679
6/8/12 9:35:01 PM,C,21.678
6/8/12 10:35:01 PM,C,23.179
6/8/12 11:35:01 PM,C,22.179
6/9/12 12:35:01 AM,C,20.677
6/9/12 1:35:01 AM,C,19.676
6/9/12 2:35:01 AM,C,20.677
6/9/12 3:35:01 AM,C,19.676
6/9/12 4:35:01 AM,C,19.676
6/9/12 5:35:01 AM,C,19.176
6/9/12 6:35:01 AM,C,19.676
6/9/12 7:35:01 AM,C,21.678
6/9/12 8:35:01 AM,C,24.68
6/9/12 9:35:01 AM,C,30.677
6/9/12 10:35:01 AM,C,34.671
6/9/12 11:35:01 AM,C,38.661
6/9/12 12:35:01 PM,C,37.165
6/9/12 1:35:01 PM,C,37.165
6/9/12 2:35:01 PM,C,36.167
6/9/12 3:35:01 PM,C,39.16
6/9/12 4:35:01 PM,C,35.17
6/9/12 5:35:01 PM,C,32.175
6/9/12 6:35:01 PM,C,35.668
6/9/12 7:35:01 PM,C,30.177
6/9/12 8:35:01 PM,C,26.679
6/9/12 9:35:01 PM,C,23.679
6/9/12 10:35:01 PM,C,23.179
6/9/12 11:35:01 PM,C,23.179
6/10/12 12:35:01 AM,C,22.679
6/10/12 1:35:01 AM,C,23.179
6/10/12 2:35:01 AM,C,23.679
6/10/12 3:35:01 AM,C,22.179
6/10/12 4:35:01 AM,C,19.676
6/10/12 5:35:01 AM,C,18.675
6/10/12 6:35:01 AM,C,18.675
6/10/12 7:35:01 AM,C,21.678
6/10/12 8:35:01 AM,C,26.679
6/10/12 9:35:01 AM,C,31.176
6/10/12 10:35:01 AM,C,33.672
