1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5800000014939441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu May 24 13:33:01 GMT-06:00 2012
Mission Sample Count:  3214
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu May 24 13:33:01 GMT-06:00 2012
Total Mission Samples:  3214
Total Device Samples:  30513
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/24/12 1:33:01 PM,C,30.704
5/24/12 2:33:01 PM,C,29.705
5/24/12 3:33:01 PM,C,29.705
5/24/12 4:33:01 PM,C,28.706
5/24/12 5:33:01 PM,C,28.206
5/24/12 6:33:01 PM,C,25.707
5/24/12 7:33:01 PM,C,24.207
5/24/12 8:33:01 PM,C,23.207
5/24/12 9:33:01 PM,C,23.207
5/24/12 10:33:01 PM,C,23.207
5/24/12 11:33:01 PM,C,22.706
5/25/12 12:33:01 AM,C,22.706
5/25/12 1:33:01 AM,C,22.706
5/25/12 2:33:01 AM,C,21.205
5/25/12 3:33:01 AM,C,18.202
5/25/12 4:33:01 AM,C,17.701
5/25/12 5:33:01 AM,C,17.2
5/25/12 6:33:01 AM,C,16.7
5/25/12 7:33:01 AM,C,18.703
5/25/12 8:33:01 AM,C,24.707
5/25/12 9:33:01 AM,C,29.705
5/25/12 10:33:01 AM,C,26.707
5/25/12 11:33:01 AM,C,29.705
5/25/12 12:33:01 PM,C,29.705
5/25/12 1:33:01 PM,C,28.206
5/25/12 2:33:01 PM,C,29.205
5/25/12 3:33:01 PM,C,28.206
5/25/12 4:33:01 PM,C,27.207
5/25/12 5:33:01 PM,C,27.207
5/25/12 6:33:01 PM,C,25.707
5/25/12 7:33:01 PM,C,25.207
5/25/12 8:33:01 PM,C,21.706
5/25/12 9:33:01 PM,C,18.703
5/25/12 10:33:01 PM,C,17.2
5/25/12 11:33:01 PM,C,16.199
5/26/12 12:33:01 AM,C,15.698
5/26/12 1:33:01 AM,C,15.197
5/26/12 2:33:01 AM,C,15.698
5/26/12 3:33:01 AM,C,15.698
5/26/12 4:33:01 AM,C,15.698
5/26/12 5:33:01 AM,C,15.197
5/26/12 6:33:01 AM,C,15.197
5/26/12 7:33:01 AM,C,15.698
5/26/12 8:33:01 AM,C,19.203
5/26/12 9:33:01 AM,C,23.207
5/26/12 10:33:01 AM,C,21.706
5/26/12 11:33:01 AM,C,25.707
5/26/12 12:33:01 PM,C,25.707
5/26/12 1:33:01 PM,C,25.207
5/26/12 2:33:01 PM,C,25.707
5/26/12 3:33:01 PM,C,26.207
5/26/12 4:33:01 PM,C,25.207
5/26/12 5:33:01 PM,C,26.207
5/26/12 6:33:01 PM,C,24.207
5/26/12 7:33:01 PM,C,20.705
5/26/12 8:33:01 PM,C,19.203
5/26/12 9:33:01 PM,C,14.195
5/26/12 10:33:01 PM,C,15.698
5/26/12 11:33:01 PM,C,16.7
5/27/12 12:33:01 AM,C,18.202
