1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 230000001492B441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed May 23 16:41:01 CDT 2012
Mission Sample Count:  3265
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed May 23 16:41:01 CDT 2012
Total Mission Samples:  3265
Total Device Samples:  34408
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/23/12 4:41:01 PM,C,33.686
5/23/12 5:41:01 PM,C,33.686
5/23/12 6:41:01 PM,C,32.687
5/23/12 7:41:01 PM,C,30.19
5/23/12 8:41:01 PM,C,27.691
5/23/12 9:41:01 PM,C,26.191
5/23/12 10:41:01 PM,C,22.191
5/23/12 11:41:01 PM,C,19.689
5/24/12 12:41:01 AM,C,24.191
5/24/12 1:41:01 AM,C,24.191
5/24/12 2:41:01 AM,C,23.191
5/24/12 3:41:01 AM,C,22.191
5/24/12 4:41:01 AM,C,20.69
5/24/12 5:41:01 AM,C,19.689
5/24/12 6:41:01 AM,C,19.188
5/24/12 7:41:01 AM,C,18.688
5/24/12 8:41:01 AM,C,23.191
5/24/12 9:41:01 AM,C,24.691
5/24/12 10:41:01 AM,C,25.691
5/24/12 11:41:01 AM,C,27.191
5/24/12 12:41:01 PM,C,29.69
5/24/12 1:41:01 PM,C,30.689
5/24/12 2:41:01 PM,C,32.188
5/24/12 3:41:01 PM,C,33.187
5/24/12 4:41:01 PM,C,33.686
5/24/12 5:41:01 PM,C,34.684
5/24/12 6:41:01 PM,C,33.187
5/24/12 7:41:01 PM,C,29.69
5/24/12 8:41:01 PM,C,24.191
5/24/12 9:41:01 PM,C,19.689
5/24/12 10:41:01 PM,C,17.687
5/24/12 11:41:01 PM,C,17.186
5/25/12 12:41:01 AM,C,16.185
5/25/12 1:41:01 AM,C,19.188
5/25/12 2:41:01 AM,C,17.687
5/25/12 3:41:01 AM,C,19.188
5/25/12 4:41:01 AM,C,15.684
5/25/12 5:41:01 AM,C,13.18
5/25/12 6:41:01 AM,C,12.178
5/25/12 7:41:01 AM,C,12.679
5/25/12 8:41:01 AM,C,21.69
5/25/12 9:41:01 AM,C,26.191
5/25/12 10:41:01 AM,C,27.691
5/25/12 11:41:01 AM,C,29.19
5/25/12 12:41:01 PM,C,30.19
5/25/12 1:41:01 PM,C,30.689
5/25/12 2:41:01 PM,C,32.687
5/25/12 3:41:01 PM,C,32.687
5/25/12 4:41:01 PM,C,31.688
5/25/12 5:41:01 PM,C,33.187
5/25/12 6:41:01 PM,C,30.19
5/25/12 7:41:01 PM,C,29.69
5/25/12 8:41:01 PM,C,24.691
5/25/12 9:41:01 PM,C,22.191
5/25/12 10:41:01 PM,C,20.69
5/25/12 11:41:01 PM,C,19.689
5/26/12 12:41:01 AM,C,19.188
5/26/12 1:41:01 AM,C,18.688
5/26/12 2:41:01 AM,C,18.187
5/26/12 3:41:01 AM,C,18.688
5/26/12 4:41:01 AM,C,18.688
5/26/12 5:41:01 AM,C,18.688
5/26/12 6:41:01 AM,C,18.187
5/26/12 7:41:01 AM,C,18.688
5/26/12 8:41:01 AM,C,20.189
5/26/12 9:41:01 AM,C,22.691
5/26/12 10:41:01 AM,C,24.691
5/26/12 11:41:01 AM,C,25.191
5/26/12 12:41:01 PM,C,27.691
5/26/12 1:41:01 PM,C,29.19
5/26/12 2:41:01 PM,C,29.69
5/26/12 3:41:01 PM,C,30.19
5/26/12 4:41:01 PM,C,29.69
5/26/12 5:41:01 PM,C,33.187
5/26/12 6:41:01 PM,C,29.69
5/26/12 7:41:01 PM,C,25.691
5/26/12 8:41:01 PM,C,22.191
5/26/12 9:41:01 PM,C,16.185
5/26/12 10:41:01 PM,C,15.684
5/26/12 11:41:01 PM,C,14.683
5/27/12 12:41:01 AM,C,15.183
5/27/12 1:41:01 AM,C,17.687
5/27/12 2:41:01 AM,C,17.687
5/27/12 3:41:01 AM,C,17.186
5/27/12 4:41:01 AM,C,17.186
5/27/12 5:41:01 AM,C,15.684
5/27/12 6:41:01 AM,C,13.18
5/27/12 7:41:01 AM,C,13.681
5/27/12 8:41:01 AM,C,19.188
5/27/12 9:41:01 AM,C,23.691
5/27/12 10:41:01 AM,C,25.191
5/27/12 11:41:01 AM,C,26.191
5/27/12 12:41:01 PM,C,27.691
5/27/12 1:41:01 PM,C,30.19
5/27/12 2:41:01 PM,C,31.688
5/27/12 3:41:01 PM,C,33.187
5/27/12 4:41:01 PM,C,34.185
5/27/12 5:41:01 PM,C,33.686
5/27/12 6:41:01 PM,C,32.188
5/27/12 7:41:01 PM,C,29.19
5/27/12 8:41:01 PM,C,22.191
5/27/12 9:41:01 PM,C,18.187
5/27/12 10:41:01 PM,C,15.684
5/27/12 11:41:01 PM,C,12.679
5/28/12 12:41:01 AM,C,12.178
5/28/12 1:41:01 AM,C,13.18
