1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5900000013C8FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 24 17:55:01 CDT 2012
Mission Sample Count:  6466
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu May 24 17:55:01 CDT 2012
Total Mission Samples:  6466
Total Device Samples:  47631
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/24/12 5:55:01 PM,C,32.189
5/24/12 6:25:01 PM,C,31.191
5/24/12 6:55:01 PM,C,31.191
5/24/12 7:25:01 PM,C,31.191
5/24/12 7:55:01 PM,C,26.695
5/24/12 8:25:01 PM,C,25.195
5/24/12 8:55:01 PM,C,21.694
5/24/12 9:25:01 PM,C,19.191
5/24/12 9:55:01 PM,C,18.189
5/24/12 10:25:01 PM,C,18.189
5/24/12 10:55:01 PM,C,19.191
5/24/12 11:25:01 PM,C,20.192
5/24/12 11:55:01 PM,C,23.695
5/25/12 12:25:01 AM,C,23.695
5/25/12 12:55:01 AM,C,23.695
5/25/12 1:25:01 AM,C,24.195
5/25/12 1:55:01 AM,C,24.195
5/25/12 2:25:01 AM,C,22.194
5/25/12 2:55:01 AM,C,20.192
5/25/12 3:25:01 AM,C,18.69
5/25/12 3:55:01 AM,C,17.688
5/25/12 4:25:01 AM,C,17.187
5/25/12 4:55:01 AM,C,16.686
5/25/12 5:25:01 AM,C,16.185
5/25/12 5:55:01 AM,C,15.684
5/25/12 6:25:01 AM,C,15.182
5/25/12 6:55:01 AM,C,15.684
5/25/12 7:25:01 AM,C,15.684
5/25/12 7:55:01 AM,C,21.694
5/25/12 8:25:01 AM,C,24.195
5/25/12 8:55:01 AM,C,27.695
5/25/12 9:25:01 AM,C,26.195
5/25/12 9:55:01 AM,C,27.195
5/25/12 10:25:01 AM,C,26.195
5/25/12 10:55:01 AM,C,27.695
5/25/12 11:25:01 AM,C,27.195
5/25/12 11:55:01 AM,C,29.193
5/25/12 12:25:01 PM,C,29.693
5/25/12 12:55:01 PM,C,32.189
5/25/12 1:25:01 PM,C,33.187
5/25/12 1:55:01 PM,C,35.183
5/25/12 2:25:01 PM,C,30.192
5/25/12 2:55:01 PM,C,30.692
5/25/12 3:25:01 PM,C,30.692
5/25/12 3:55:01 PM,C,31.191
5/25/12 4:25:01 PM,C,30.692
5/25/12 4:55:01 PM,C,29.693
5/25/12 5:25:01 PM,C,30.192
5/25/12 5:55:01 PM,C,30.692
5/25/12 6:25:01 PM,C,30.692
5/25/12 6:55:01 PM,C,30.192
5/25/12 7:25:01 PM,C,30.692
5/25/12 7:55:01 PM,C,26.195
5/25/12 8:25:01 PM,C,24.195
5/25/12 8:55:01 PM,C,22.694
5/25/12 9:25:01 PM,C,21.193
5/25/12 9:55:01 PM,C,20.192
5/25/12 10:25:01 PM,C,19.691
5/25/12 10:55:01 PM,C,18.69
5/25/12 11:25:01 PM,C,18.69
5/25/12 11:55:01 PM,C,18.189
5/26/12 12:25:01 AM,C,18.189
5/26/12 12:55:01 AM,C,17.688
5/26/12 1:25:01 AM,C,17.688
5/26/12 1:55:01 AM,C,17.688
5/26/12 2:25:01 AM,C,18.189
5/26/12 2:55:01 AM,C,17.688
5/26/12 3:25:01 AM,C,17.688
5/26/12 3:55:01 AM,C,17.688
5/26/12 4:25:01 AM,C,17.688
5/26/12 4:55:01 AM,C,17.187
5/26/12 5:25:01 AM,C,17.187
5/26/12 5:55:01 AM,C,17.187
5/26/12 6:25:01 AM,C,17.187
5/26/12 6:55:01 AM,C,17.187
5/26/12 7:25:01 AM,C,17.688
5/26/12 7:55:01 AM,C,18.69
5/26/12 8:25:01 AM,C,20.192
5/26/12 8:55:01 AM,C,21.694
5/26/12 9:25:01 AM,C,21.694
5/26/12 9:55:01 AM,C,21.694
5/26/12 10:25:01 AM,C,22.694
5/26/12 10:55:01 AM,C,23.195
5/26/12 11:25:01 AM,C,24.695
5/26/12 11:55:01 AM,C,26.195
5/26/12 12:25:01 PM,C,27.195
5/26/12 12:55:01 PM,C,30.692
5/26/12 1:25:01 PM,C,31.69
5/26/12 1:55:01 PM,C,31.69
5/26/12 2:25:01 PM,C,32.189
5/26/12 2:55:01 PM,C,30.692
5/26/12 3:25:01 PM,C,31.191
5/26/12 3:55:01 PM,C,30.692
5/26/12 4:25:01 PM,C,30.692
5/26/12 4:55:01 PM,C,24.695
5/26/12 5:25:01 PM,C,29.193
5/26/12 5:55:01 PM,C,28.194
5/26/12 6:25:01 PM,C,29.693
5/26/12 6:55:01 PM,C,25.695
5/26/12 7:25:01 PM,C,25.695
5/26/12 7:55:01 PM,C,22.694
5/26/12 8:25:01 PM,C,21.193
5/26/12 8:55:01 PM,C,21.193
5/26/12 9:25:01 PM,C,15.684
5/26/12 9:55:01 PM,C,15.684
5/26/12 10:25:01 PM,C,16.185
5/26/12 10:55:01 PM,C,16.185
5/26/12 11:25:01 PM,C,14.18
5/26/12 11:55:01 PM,C,14.18
5/27/12 12:25:01 AM,C,14.681
5/27/12 12:55:01 AM,C,18.69
5/27/12 1:25:01 AM,C,18.189
5/27/12 1:55:01 AM,C,18.189
5/27/12 2:25:01 AM,C,17.688
5/27/12 2:55:01 AM,C,17.688
5/27/12 3:25:01 AM,C,17.688
5/27/12 3:55:01 AM,C,17.187
5/27/12 4:25:01 AM,C,17.187
5/27/12 4:55:01 AM,C,17.187
5/27/12 5:25:01 AM,C,16.686
5/27/12 5:55:01 AM,C,16.686
5/27/12 6:25:01 AM,C,14.681
5/27/12 6:55:01 AM,C,15.182
5/27/12 7:25:01 AM,C,14.18
5/27/12 7:55:01 AM,C,18.189
5/27/12 8:25:01 AM,C,22.194
5/27/12 8:55:01 AM,C,24.695
5/27/12 9:25:01 AM,C,22.694
5/27/12 9:55:01 AM,C,25.195
5/27/12 10:25:01 AM,C,24.695
5/27/12 10:55:01 AM,C,25.195
5/27/12 11:25:01 AM,C,25.695
5/27/12 11:55:01 AM,C,26.195
5/27/12 12:25:01 PM,C,27.195
