1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 590000001498F241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu May 24 17:41:01 CDT 2012
Mission Sample Count:  3233
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu May 24 17:41:01 CDT 2012
Total Mission Samples:  3233
Total Device Samples:  9820
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/24/12 5:41:01 PM,C,34.089
5/24/12 6:41:01 PM,C,30.092
5/24/12 7:41:01 PM,C,26.094
5/24/12 8:41:01 PM,C,24.594
5/24/12 9:41:01 PM,C,22.593
5/24/12 10:41:01 PM,C,22.093
5/24/12 11:41:01 PM,C,22.593
5/25/12 12:41:01 AM,C,23.594
5/25/12 1:41:01 AM,C,23.594
5/25/12 2:41:01 AM,C,21.593
5/25/12 3:41:01 AM,C,21.093
5/25/12 4:41:01 AM,C,20.593
5/25/12 5:41:01 AM,C,18.591
5/25/12 6:41:01 AM,C,19.592
5/25/12 7:41:01 AM,C,20.593
5/25/12 8:41:01 AM,C,24.594
5/25/12 9:41:01 AM,C,26.094
5/25/12 10:41:01 AM,C,26.594
5/25/12 11:41:01 AM,C,28.093
5/25/12 12:41:01 PM,C,29.093
5/25/12 1:41:01 PM,C,31.092
5/25/12 2:41:01 PM,C,30.092
5/25/12 3:41:01 PM,C,31.092
5/25/12 4:41:01 PM,C,31.092
5/25/12 5:41:01 PM,C,29.593
5/25/12 6:41:01 PM,C,29.093
5/25/12 7:41:01 PM,C,27.094
5/25/12 8:41:01 PM,C,23.094
5/25/12 9:41:01 PM,C,20.092
5/25/12 10:41:01 PM,C,18.591
5/25/12 11:41:01 PM,C,18.091
5/26/12 12:41:01 AM,C,17.591
5/26/12 1:41:01 AM,C,17.09
5/26/12 2:41:01 AM,C,17.591
5/26/12 3:41:01 AM,C,17.591
5/26/12 4:41:01 AM,C,17.591
5/26/12 5:41:01 AM,C,17.591
5/26/12 6:41:01 AM,C,17.09
5/26/12 7:41:01 AM,C,17.09
5/26/12 8:41:01 AM,C,20.593
5/26/12 9:41:01 AM,C,22.093
5/26/12 10:41:01 AM,C,23.594
5/26/12 11:41:01 AM,C,25.594
5/26/12 12:41:01 PM,C,27.593
5/26/12 1:41:01 PM,C,29.093
5/26/12 2:41:01 PM,C,29.593
5/26/12 3:41:01 PM,C,29.593
5/26/12 4:41:01 PM,C,27.094
5/26/12 5:41:01 PM,C,29.093
5/26/12 6:41:01 PM,C,27.094
5/26/12 7:41:01 PM,C,22.593
5/26/12 8:41:01 PM,C,20.593
5/26/12 9:41:01 PM,C,15.589
5/26/12 10:41:01 PM,C,15.589
5/26/12 11:41:01 PM,C,15.589
5/27/12 12:41:01 AM,C,18.591
5/27/12 1:41:01 AM,C,17.591
5/27/12 2:41:01 AM,C,17.591
5/27/12 3:41:01 AM,C,17.591
5/27/12 4:41:01 AM,C,17.09
5/27/12 5:41:01 AM,C,17.09
5/27/12 6:41:01 AM,C,16.089
5/27/12 7:41:01 AM,C,17.591
5/27/12 8:41:01 AM,C,22.593
5/27/12 9:41:01 AM,C,24.094
5/27/12 10:41:01 AM,C,24.094
5/27/12 11:41:01 AM,C,27.094
5/27/12 12:41:01 PM,C,27.094
5/27/12 1:41:01 PM,C,29.093
5/27/12 2:41:01 PM,C,28.593
5/27/12 3:41:01 PM,C,28.093
5/27/12 4:41:01 PM,C,29.093
5/27/12 5:41:01 PM,C,28.593
5/27/12 6:41:01 PM,C,28.093
5/27/12 7:41:01 PM,C,25.094
5/27/12 8:41:01 PM,C,22.593
5/27/12 9:41:01 PM,C,21.093
5/27/12 10:41:01 PM,C,19.592
5/27/12 11:41:01 PM,C,19.592
5/28/12 12:41:01 AM,C,19.592
5/28/12 1:41:01 AM,C,20.593
5/28/12 2:41:01 AM,C,18.091
5/28/12 3:41:01 AM,C,17.09
5/28/12 4:41:01 AM,C,15.589
5/28/12 5:41:01 AM,C,16.089
5/28/12 6:41:01 AM,C,16.089
5/28/12 7:41:01 AM,C,17.09
5/28/12 8:41:01 AM,C,26.094
5/28/12 9:41:01 AM,C,26.094
5/28/12 10:41:01 AM,C,26.594
5/28/12 11:41:01 AM,C,28.093
5/28/12 12:41:01 PM,C,29.593
5/28/12 1:41:01 PM,C,30.592
5/28/12 2:41:01 PM,C,29.593
5/28/12 3:41:01 PM,C,31.092
5/28/12 4:41:01 PM,C,34.089
5/28/12 5:41:01 PM,C,29.593
5/28/12 6:41:01 PM,C,30.092
5/28/12 7:41:01 PM,C,26.594
5/28/12 8:41:01 PM,C,23.594
5/28/12 9:41:01 PM,C,20.593
5/28/12 10:41:01 PM,C,20.092
5/28/12 11:41:01 PM,C,20.593
5/29/12 12:41:01 AM,C,19.592
5/29/12 1:41:01 AM,C,17.591
5/29/12 2:41:01 AM,C,17.591
5/29/12 3:41:01 AM,C,18.591
5/29/12 4:41:01 AM,C,17.591
5/29/12 5:41:01 AM,C,18.091
5/29/12 6:41:01 AM,C,17.591
5/29/12 7:41:01 AM,C,18.091
5/29/12 8:41:01 AM,C,28.093
5/29/12 9:41:01 AM,C,30.092
5/29/12 10:41:01 AM,C,29.093
5/29/12 11:41:01 AM,C,31.592
5/29/12 12:41:01 PM,C,31.092
5/29/12 1:41:01 PM,C,30.592
5/29/12 2:41:01 PM,C,30.592
5/29/12 3:41:01 PM,C,31.092
5/29/12 4:41:01 PM,C,32.591
5/29/12 5:41:01 PM,C,29.593
5/29/12 6:41:01 PM,C,31.592
5/29/12 7:41:01 PM,C,27.094
5/29/12 8:41:01 PM,C,24.094
5/29/12 9:41:01 PM,C,21.593
5/29/12 10:41:01 PM,C,21.093
5/29/12 11:41:01 PM,C,21.593
5/30/12 12:41:01 AM,C,19.592
5/30/12 1:41:01 AM,C,20.593
5/30/12 2:41:01 AM,C,21.093
5/30/12 3:41:01 AM,C,22.093
5/30/12 4:41:01 AM,C,21.593
5/30/12 5:41:01 AM,C,21.593
5/30/12 6:41:01 AM,C,21.593
5/30/12 7:41:01 AM,C,21.093
5/30/12 8:41:01 AM,C,26.594
5/30/12 9:41:01 AM,C,27.094
5/30/12 10:41:01 AM,C,27.593
5/30/12 11:41:01 AM,C,29.093
5/30/12 12:41:01 PM,C,30.092
5/30/12 1:41:01 PM,C,31.092
5/30/12 2:41:01 PM,C,29.593
5/30/12 3:41:01 PM,C,30.092
5/30/12 4:41:01 PM,C,31.092
5/30/12 5:41:01 PM,C,29.593
5/30/12 6:41:01 PM,C,29.593
5/30/12 7:41:01 PM,C,27.094
5/30/12 8:41:01 PM,C,24.594
5/30/12 9:41:01 PM,C,22.593
5/30/12 10:41:01 PM,C,21.593
5/30/12 11:41:01 PM,C,23.094
5/31/12 12:41:01 AM,C,22.093
5/31/12 1:41:01 AM,C,21.593
5/31/12 2:41:01 AM,C,20.593
5/31/12 3:41:01 AM,C,20.092
5/31/12 4:41:01 AM,C,20.593
5/31/12 5:41:01 AM,C,18.091
5/31/12 6:41:01 AM,C,18.591
5/31/12 7:41:01 AM,C,17.591
5/31/12 8:41:01 AM,C,27.094
5/31/12 9:41:01 AM,C,29.093
5/31/12 10:41:01 AM,C,25.094
5/31/12 11:41:01 AM,C,26.094
5/31/12 12:41:01 PM,C,27.094
5/31/12 1:41:01 PM,C,26.594
5/31/12 2:41:01 PM,C,25.594
5/31/12 3:41:01 PM,C,26.094
5/31/12 4:41:01 PM,C,28.093
5/31/12 5:41:01 PM,C,25.594
5/31/12 6:41:01 PM,C,23.594
5/31/12 7:41:01 PM,C,21.093
5/31/12 8:41:01 PM,C,20.593
5/31/12 9:41:01 PM,C,20.092
5/31/12 10:41:01 PM,C,18.091
5/31/12 11:41:01 PM,C,17.09
6/1/12 12:41:01 AM,C,17.09
6/1/12 1:41:01 AM,C,16.59
6/1/12 2:41:01 AM,C,15.589
6/1/12 3:41:01 AM,C,15.088
6/1/12 4:41:01 AM,C,14.588
6/1/12 5:41:01 AM,C,15.088
6/1/12 6:41:01 AM,C,15.088
6/1/12 7:41:01 AM,C,15.088
6/1/12 8:41:01 AM,C,18.591
6/1/12 9:41:01 AM,C,18.091
6/1/12 10:41:01 AM,C,20.593
6/1/12 11:41:01 AM,C,21.593
6/1/12 12:41:01 PM,C,24.594
6/1/12 1:41:01 PM,C,26.094
6/1/12 2:41:01 PM,C,25.594
6/1/12 3:41:01 PM,C,27.094
6/1/12 4:41:01 PM,C,28.093
6/1/12 5:41:01 PM,C,26.594
6/1/12 6:41:01 PM,C,26.094
6/1/12 7:41:01 PM,C,24.094
6/1/12 8:41:01 PM,C,22.593
6/1/12 9:41:01 PM,C,21.093
6/1/12 10:41:01 PM,C,20.593
6/1/12 11:41:01 PM,C,20.593
6/2/12 12:41:01 AM,C,19.092
6/2/12 1:41:01 AM,C,19.092
6/2/12 2:41:01 AM,C,19.092
6/2/12 3:41:01 AM,C,18.591
6/2/12 4:41:01 AM,C,18.591
6/2/12 5:41:01 AM,C,19.092
6/2/12 6:41:01 AM,C,18.591
6/2/12 7:41:01 AM,C,19.592
6/2/12 8:41:01 AM,C,25.594
6/2/12 9:41:01 AM,C,28.593
6/2/12 10:41:01 AM,C,26.594
6/2/12 11:41:01 AM,C,27.094
6/2/12 12:41:01 PM,C,28.093
6/2/12 1:41:01 PM,C,31.092
6/2/12 2:41:01 PM,C,30.092
6/2/12 3:41:01 PM,C,30.092
6/2/12 4:41:01 PM,C,27.593
6/2/12 5:41:01 PM,C,29.593
6/2/12 6:41:01 PM,C,28.593
6/2/12 7:41:01 PM,C,27.094
6/2/12 8:41:01 PM,C,25.594
6/2/12 9:41:01 PM,C,23.594
6/2/12 10:41:01 PM,C,22.593
6/2/12 11:41:01 PM,C,22.093
6/3/12 12:41:01 AM,C,20.593
6/3/12 1:41:01 AM,C,20.092
