1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5300000013014841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 24 15:05:01 GMT-06:00 2012
Mission Sample Count:  6433
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu May 24 15:05:01 GMT-06:00 2012
Total Mission Samples:  6433
Total Device Samples:  56979
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/24/12 3:05:01 PM,C,32.152
5/24/12 3:35:01 PM,C,30.155
5/24/12 4:05:01 PM,C,30.155
5/24/12 4:35:01 PM,C,30.654
5/24/12 5:05:01 PM,C,32.152
5/24/12 5:35:01 PM,C,30.654
5/24/12 6:05:01 PM,C,33.15
5/24/12 6:35:01 PM,C,34.647
5/24/12 7:05:01 PM,C,33.15
5/24/12 7:35:01 PM,C,31.653
5/24/12 8:05:01 PM,C,29.156
5/24/12 8:35:01 PM,C,24.658
5/24/12 9:05:01 PM,C,22.657
5/24/12 9:35:01 PM,C,21.657
5/24/12 10:05:01 PM,C,21.657
5/24/12 10:35:01 PM,C,21.657
5/24/12 11:05:01 PM,C,21.156
5/24/12 11:35:01 PM,C,22.657
5/25/12 12:05:01 AM,C,21.156
5/25/12 12:35:01 AM,C,20.656
5/25/12 1:05:01 AM,C,21.156
5/25/12 1:35:01 AM,C,23.158
5/25/12 2:05:01 AM,C,21.156
5/25/12 2:35:01 AM,C,20.155
5/25/12 3:05:01 AM,C,19.654
5/25/12 3:35:01 AM,C,18.152
5/25/12 4:05:01 AM,C,19.154
5/25/12 4:35:01 AM,C,17.651
5/25/12 5:05:01 AM,C,17.651
5/25/12 5:35:01 AM,C,16.649
5/25/12 6:05:01 AM,C,17.15
5/25/12 6:35:01 AM,C,16.148
5/25/12 7:05:01 AM,C,16.649
5/25/12 7:35:01 AM,C,17.651
5/25/12 8:05:01 AM,C,20.656
5/25/12 8:35:01 AM,C,23.158
5/25/12 9:05:01 AM,C,24.658
5/25/12 9:35:01 AM,C,24.658
5/25/12 10:05:01 AM,C,25.158
5/25/12 10:35:01 AM,C,26.158
5/25/12 11:05:01 AM,C,28.157
5/25/12 11:35:01 AM,C,28.657
5/25/12 12:05:01 PM,C,29.656
5/25/12 12:35:01 PM,C,29.656
5/25/12 1:05:01 PM,C,29.156
5/25/12 1:35:01 PM,C,29.156
5/25/12 2:05:01 PM,C,29.656
5/25/12 2:35:01 PM,C,29.156
5/25/12 3:05:01 PM,C,30.155
5/25/12 3:35:01 PM,C,29.656
5/25/12 4:05:01 PM,C,29.656
5/25/12 4:35:01 PM,C,32.152
5/25/12 5:05:01 PM,C,31.653
5/25/12 5:35:01 PM,C,31.653
5/25/12 6:05:01 PM,C,33.15
5/25/12 6:35:01 PM,C,32.152
5/25/12 7:05:01 PM,C,30.155
5/25/12 7:35:01 PM,C,31.653
5/25/12 8:05:01 PM,C,26.658
5/25/12 8:35:01 PM,C,23.158
5/25/12 9:05:01 PM,C,21.156
5/25/12 9:35:01 PM,C,19.654
5/25/12 10:05:01 PM,C,19.154
