1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B00000014988F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu May 24 13:10:01 GMT-06:00 2012
Mission Sample Count:  3214
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu May 24 13:10:01 GMT-06:00 2012
Total Mission Samples:  3214
Total Device Samples:  33603
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/24/12 1:10:01 PM,C,26.191
5/24/12 2:10:01 PM,C,26.191
5/24/12 3:10:01 PM,C,28.19
5/24/12 4:10:01 PM,C,28.69
5/24/12 5:10:01 PM,C,29.189
5/24/12 6:10:01 PM,C,30.188
5/24/12 7:10:01 PM,C,29.689
5/24/12 8:10:01 PM,C,27.691
5/24/12 9:10:01 PM,C,23.191
5/24/12 10:10:01 PM,C,22.691
5/24/12 11:10:01 PM,C,21.69
5/25/12 12:10:01 AM,C,22.691
5/25/12 1:10:01 AM,C,22.19
5/25/12 2:10:01 AM,C,21.69
5/25/12 3:10:01 AM,C,19.687
5/25/12 4:10:01 AM,C,18.686
5/25/12 5:10:01 AM,C,18.185
5/25/12 6:10:01 AM,C,17.684
5/25/12 7:10:01 AM,C,18.185
5/25/12 8:10:01 AM,C,18.686
5/25/12 9:10:01 AM,C,20.689
5/25/12 10:10:01 AM,C,21.69
5/25/12 11:10:01 AM,C,25.691
5/25/12 12:10:01 PM,C,25.191
5/25/12 1:10:01 PM,C,26.691
5/25/12 2:10:01 PM,C,27.691
5/25/12 3:10:01 PM,C,27.191
5/25/12 4:10:01 PM,C,27.191
5/25/12 5:10:01 PM,C,28.19
5/25/12 6:10:01 PM,C,30.188
5/25/12 7:10:01 PM,C,29.189
5/25/12 8:10:01 PM,C,23.691
5/25/12 9:10:01 PM,C,19.687
5/25/12 10:10:01 PM,C,17.684
5/25/12 11:10:01 PM,C,16.181
5/26/12 12:10:01 AM,C,15.679
5/26/12 1:10:01 AM,C,15.178
