1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BE00000013AED841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sun Oct 07 08:29:01 CDT 2012
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Oct 07 08:29:01 CDT 2012
Total Mission Samples:  8192
Total Device Samples:  55772
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/7/12 8:29:01 AM,C,9.109
10/7/12 8:59:01 AM,C,5.094
10/7/12 9:29:01 AM,C,5.596
10/7/12 9:59:01 AM,C,7.102
10/7/12 10:29:01 AM,C,9.109
10/7/12 10:59:01 AM,C,11.116
10/7/12 11:29:01 AM,C,13.622
10/7/12 11:59:01 AM,C,16.128
10/7/12 12:29:01 PM,C,16.128
10/7/12 12:59:01 PM,C,19.133
10/7/12 1:29:01 PM,C,25.137
10/7/12 1:59:01 PM,C,20.634
10/7/12 2:29:01 PM,C,23.636
10/7/12 2:59:01 PM,C,22.636
10/7/12 3:29:01 PM,C,23.136
10/7/12 3:59:01 PM,C,23.136
10/7/12 4:29:01 PM,C,23.636
10/7/12 4:59:01 PM,C,24.637
10/7/12 5:29:01 PM,C,21.635
10/7/12 5:59:01 PM,C,22.636
10/7/12 6:29:01 PM,C,20.634
10/7/12 6:59:01 PM,C,18.131
10/7/12 7:29:01 PM,C,16.629
10/7/12 7:59:01 PM,C,15.126
10/7/12 8:29:01 PM,C,14.124
10/7/12 8:59:01 PM,C,13.622
10/7/12 9:29:01 PM,C,12.62
10/7/12 9:59:01 PM,C,12.118
10/7/12 10:29:01 PM,C,12.118
10/7/12 10:59:01 PM,C,11.116
10/7/12 11:29:01 PM,C,10.113
10/7/12 11:59:01 PM,C,10.614
10/8/12 12:29:01 AM,C,9.611
10/8/12 12:59:01 AM,C,10.614
10/8/12 1:29:01 AM,C,10.113
10/8/12 1:59:01 AM,C,11.116
10/8/12 2:29:01 AM,C,9.109
10/8/12 2:59:01 AM,C,10.113
10/8/12 3:29:01 AM,C,8.608
10/8/12 3:59:01 AM,C,10.113
10/8/12 4:29:01 AM,C,8.608
10/8/12 4:59:01 AM,C,9.109
10/8/12 5:29:01 AM,C,10.113
10/8/12 5:59:01 AM,C,9.109
10/8/12 6:29:01 AM,C,10.614
10/8/12 6:59:01 AM,C,10.113
