1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 840000001494DF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Oct 05 17:02:01 CDT 2012
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Oct 05 17:02:01 CDT 2012
Total Mission Samples:  4096
Total Device Samples:  23840
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/5/12 5:02:01 PM,C,24.748
10/5/12 6:02:01 PM,C,18.24
10/5/12 7:02:01 PM,C,15.733
10/5/12 8:02:01 PM,C,14.73
10/5/12 9:02:01 PM,C,14.228
10/5/12 10:02:01 PM,C,13.727
10/5/12 11:02:01 PM,C,13.727
10/6/12 12:02:01 AM,C,13.225
10/6/12 1:02:01 AM,C,13.225
10/6/12 2:02:01 AM,C,13.225
10/6/12 3:02:01 AM,C,13.225
10/6/12 4:02:01 AM,C,12.723
10/6/12 5:02:01 AM,C,12.221
10/6/12 6:02:01 AM,C,12.723
10/6/12 7:02:01 AM,C,12.723
10/6/12 8:02:01 AM,C,13.225
10/6/12 9:02:01 AM,C,12.221
10/6/12 10:02:01 AM,C,15.232
10/6/12 11:02:01 AM,C,17.238
10/6/12 12:02:01 PM,C,19.242
10/6/12 1:02:01 PM,C,20.244
10/6/12 2:02:01 PM,C,20.745
10/6/12 3:02:01 PM,C,22.747
10/6/12 4:02:01 PM,C,22.247
10/6/12 5:02:01 PM,C,20.244
10/6/12 6:02:01 PM,C,16.736
10/6/12 7:02:01 PM,C,14.73
10/6/12 8:02:01 PM,C,13.727
10/6/12 9:02:01 PM,C,13.727
10/6/12 10:02:01 PM,C,14.228
10/6/12 11:02:01 PM,C,16.235
10/7/12 12:02:01 AM,C,10.714
10/7/12 1:02:01 AM,C,7.699
10/7/12 2:02:01 AM,C,9.709
10/7/12 3:02:01 AM,C,7.196
10/7/12 4:02:01 AM,C,3.17
10/7/12 5:02:01 AM,C,2.163
10/7/12 6:02:01 AM,C,5.687
10/7/12 7:02:01 AM,C,9.709
10/7/12 8:02:01 AM,C,10.212
10/7/12 9:02:01 AM,C,10.714
10/7/12 10:02:01 AM,C,10.212
10/7/12 11:02:01 AM,C,11.216
10/7/12 12:02:01 PM,C,12.723
10/7/12 1:02:01 PM,C,14.73
10/7/12 2:02:01 PM,C,15.232
10/7/12 3:02:01 PM,C,16.736
10/7/12 4:02:01 PM,C,18.24
10/7/12 5:02:01 PM,C,15.733
10/7/12 6:02:01 PM,C,14.228
10/7/12 7:02:01 PM,C,12.221
10/7/12 8:02:01 PM,C,10.714
10/7/12 9:02:01 PM,C,10.714
10/7/12 10:02:01 PM,C,10.212
10/7/12 11:02:01 PM,C,9.709
10/8/12 12:02:01 AM,C,9.709
10/8/12 1:02:01 AM,C,11.216
10/8/12 2:02:01 AM,C,12.221
10/8/12 3:02:01 AM,C,11.216
10/8/12 4:02:01 AM,C,11.719
10/8/12 5:02:01 AM,C,10.714
10/8/12 6:02:01 AM,C,9.709
10/8/12 7:02:01 AM,C,10.212
10/8/12 8:02:01 AM,C,10.212
10/8/12 9:02:01 AM,C,10.714
10/8/12 10:02:01 AM,C,13.727
10/8/12 11:02:01 AM,C,15.232
10/8/12 12:02:01 PM,C,17.238
10/8/12 1:02:01 PM,C,19.242
10/8/12 2:02:01 PM,C,19.743
10/8/12 3:02:01 PM,C,22.247
10/8/12 4:02:01 PM,C,22.747
10/8/12 5:02:01 PM,C,19.743
10/8/12 6:02:01 PM,C,17.739
10/8/12 7:02:01 PM,C,15.232
10/8/12 8:02:01 PM,C,15.733
10/8/12 9:02:01 PM,C,15.733
10/8/12 10:02:01 PM,C,13.727
10/8/12 11:02:01 PM,C,12.723
10/9/12 12:02:01 AM,C,12.723
10/9/12 1:02:01 AM,C,12.221
10/9/12 2:02:01 AM,C,11.719
10/9/12 3:02:01 AM,C,12.221
10/9/12 4:02:01 AM,C,11.719
10/9/12 5:02:01 AM,C,11.719
10/9/12 6:02:01 AM,C,13.225
10/9/12 7:02:01 AM,C,12.723
10/9/12 8:02:01 AM,C,12.221
10/9/12 9:02:01 AM,C,12.723
10/9/12 10:02:01 AM,C,14.228
10/9/12 11:02:01 AM,C,16.736
10/9/12 12:02:01 PM,C,17.739
10/9/12 1:02:01 PM,C,20.244
10/9/12 2:02:01 PM,C,21.245
10/9/12 3:02:01 PM,C,23.748
10/9/12 4:02:01 PM,C,22.747
10/9/12 5:02:01 PM,C,20.244
10/9/12 6:02:01 PM,C,17.238
10/9/12 7:02:01 PM,C,14.73
10/9/12 8:02:01 PM,C,13.727
10/9/12 9:02:01 PM,C,13.225
10/9/12 10:02:01 PM,C,13.225
10/9/12 11:02:01 PM,C,13.225
10/10/12 12:02:01 AM,C,13.225
10/10/12 1:02:01 AM,C,14.228
10/10/12 2:02:01 AM,C,13.225
10/10/12 3:02:01 AM,C,13.225
10/10/12 4:02:01 AM,C,12.723
10/10/12 5:02:01 AM,C,12.221
10/10/12 6:02:01 AM,C,12.723
10/10/12 7:02:01 AM,C,12.723
10/10/12 8:02:01 AM,C,12.723
10/10/12 9:02:01 AM,C,12.221
10/10/12 10:02:01 AM,C,13.727
10/10/12 11:02:01 AM,C,16.736
10/10/12 12:02:01 PM,C,19.743
10/10/12 1:02:01 PM,C,21.245
10/10/12 2:02:01 PM,C,21.245
10/10/12 3:02:01 PM,C,23.247
10/10/12 4:02:01 PM,C,22.247
10/10/12 5:02:01 PM,C,19.743
10/10/12 6:02:01 PM,C,18.24
10/10/12 7:02:01 PM,C,17.739
10/10/12 8:02:01 PM,C,16.235
10/10/12 9:02:01 PM,C,15.733
10/10/12 10:02:01 PM,C,14.73
10/10/12 11:02:01 PM,C,16.736
10/11/12 12:02:01 AM,C,16.736
10/11/12 1:02:01 AM,C,16.235
10/11/12 2:02:01 AM,C,16.235
10/11/12 3:02:01 AM,C,16.235
10/11/12 4:02:01 AM,C,15.733
10/11/12 5:02:01 AM,C,15.733
10/11/12 6:02:01 AM,C,15.232
10/11/12 7:02:01 AM,C,14.73
10/11/12 8:02:01 AM,C,14.228
10/11/12 9:02:01 AM,C,14.73
10/11/12 10:02:01 AM,C,15.232
10/11/12 11:02:01 AM,C,17.739
10/11/12 12:02:01 PM,C,18.741
10/11/12 1:02:01 PM,C,20.244
10/11/12 2:02:01 PM,C,20.244
10/11/12 3:02:01 PM,C,22.747
10/11/12 4:02:01 PM,C,23.748
10/11/12 5:02:01 PM,C,21.245
10/11/12 6:02:01 PM,C,19.242
10/11/12 7:02:01 PM,C,18.741
10/11/12 8:02:01 PM,C,16.736
10/11/12 9:02:01 PM,C,17.739
10/11/12 10:02:01 PM,C,16.736
10/11/12 11:02:01 PM,C,17.739
10/12/12 12:02:01 AM,C,15.232
10/12/12 1:02:01 AM,C,17.238
10/12/12 2:02:01 AM,C,16.235
10/12/12 3:02:01 AM,C,17.238
10/12/12 4:02:01 AM,C,15.733
10/12/12 5:02:01 AM,C,17.238
10/12/12 6:02:01 AM,C,16.736
10/12/12 7:02:01 AM,C,16.736
10/12/12 8:02:01 AM,C,16.235
10/12/12 9:02:01 AM,C,16.235
10/12/12 10:02:01 AM,C,17.238
10/12/12 11:02:01 AM,C,18.24
10/12/12 12:02:01 PM,C,19.743
10/12/12 1:02:01 PM,C,19.242
10/12/12 2:02:01 PM,C,20.745
10/12/12 3:02:01 PM,C,22.247
10/12/12 4:02:01 PM,C,22.747
10/12/12 5:02:01 PM,C,21.245
10/12/12 6:02:01 PM,C,20.244
10/12/12 7:02:01 PM,C,19.242
10/12/12 8:02:01 PM,C,17.739
10/12/12 9:02:01 PM,C,16.235
10/12/12 10:02:01 PM,C,17.238
10/12/12 11:02:01 PM,C,17.238
10/13/12 12:02:01 AM,C,15.232
10/13/12 1:02:01 AM,C,14.228
10/13/12 2:02:01 AM,C,13.727
10/13/12 3:02:01 AM,C,13.727
10/13/12 4:02:01 AM,C,14.228
10/13/12 5:02:01 AM,C,13.727
10/13/12 6:02:01 AM,C,13.225
10/13/12 7:02:01 AM,C,13.225
10/13/12 8:02:01 AM,C,13.225
10/13/12 9:02:01 AM,C,12.723
10/13/12 10:02:01 AM,C,13.225
10/13/12 11:02:01 AM,C,15.733
10/13/12 12:02:01 PM,C,17.238
10/13/12 1:02:01 PM,C,18.24
10/13/12 2:02:01 PM,C,18.741
10/13/12 3:02:01 PM,C,21.245
10/13/12 4:02:01 PM,C,19.242
10/13/12 5:02:01 PM,C,18.24
10/13/12 6:02:01 PM,C,17.238
10/13/12 7:02:01 PM,C,16.736
10/13/12 8:02:01 PM,C,15.733
10/13/12 9:02:01 PM,C,14.228
10/13/12 10:02:01 PM,C,15.733
10/13/12 11:02:01 PM,C,13.727
10/14/12 12:02:01 AM,C,13.225
10/14/12 1:02:01 AM,C,10.714
10/14/12 2:02:01 AM,C,9.207
10/14/12 3:02:01 AM,C,10.212
10/14/12 4:02:01 AM,C,9.709
10/14/12 5:02:01 AM,C,10.212
10/14/12 6:02:01 AM,C,11.216
10/14/12 7:02:01 AM,C,10.714
10/14/12 8:02:01 AM,C,6.693
10/14/12 9:02:01 AM,C,7.196
10/14/12 10:02:01 AM,C,9.207
10/14/12 11:02:01 AM,C,11.719
10/14/12 12:02:01 PM,C,13.727
10/14/12 1:02:01 PM,C,15.232
10/14/12 2:02:01 PM,C,16.235
10/14/12 3:02:01 PM,C,17.739
10/14/12 4:02:01 PM,C,17.238
10/14/12 5:02:01 PM,C,14.73
10/14/12 6:02:01 PM,C,13.225
10/14/12 7:02:01 PM,C,12.723
10/14/12 8:02:01 PM,C,11.719
10/14/12 9:02:01 PM,C,11.719
10/14/12 10:02:01 PM,C,11.719
10/14/12 11:02:01 PM,C,11.719
10/15/12 12:02:01 AM,C,11.216
10/15/12 1:02:01 AM,C,10.212
10/15/12 2:02:01 AM,C,9.207
10/15/12 3:02:01 AM,C,9.207
10/15/12 4:02:01 AM,C,9.709
10/15/12 5:02:01 AM,C,9.207
10/15/12 6:02:01 AM,C,9.207
10/15/12 7:02:01 AM,C,9.207
10/15/12 8:02:01 AM,C,9.709
10/15/12 9:02:01 AM,C,11.216
10/15/12 10:02:01 AM,C,13.727
10/15/12 11:02:01 AM,C,14.228
10/15/12 12:02:01 PM,C,15.733
10/15/12 1:02:01 PM,C,16.235
10/15/12 2:02:01 PM,C,17.238
10/15/12 3:02:01 PM,C,19.743
10/15/12 4:02:01 PM,C,17.739
10/15/12 5:02:01 PM,C,17.238
10/15/12 6:02:01 PM,C,16.235
10/15/12 7:02:01 PM,C,14.73
10/15/12 8:02:01 PM,C,13.727
10/15/12 9:02:01 PM,C,12.723
10/15/12 10:02:01 PM,C,13.225
10/15/12 11:02:01 PM,C,13.225
10/16/12 12:02:01 AM,C,13.225
10/16/12 1:02:01 AM,C,12.723
10/16/12 2:02:01 AM,C,12.221
10/16/12 3:02:01 AM,C,11.719
10/16/12 4:02:01 AM,C,11.719
10/16/12 5:02:01 AM,C,11.216
10/16/12 6:02:01 AM,C,10.714
10/16/12 7:02:01 AM,C,11.216
10/16/12 8:02:01 AM,C,11.216
10/16/12 9:02:01 AM,C,12.221
10/16/12 10:02:01 AM,C,12.723
10/16/12 11:02:01 AM,C,13.225
10/16/12 12:02:01 PM,C,15.232
10/16/12 1:02:01 PM,C,15.232
10/16/12 2:02:01 PM,C,16.736
10/16/12 3:02:01 PM,C,18.24
10/16/12 4:02:01 PM,C,17.238
10/16/12 5:02:01 PM,C,17.238
10/16/12 6:02:01 PM,C,15.733
10/16/12 7:02:01 PM,C,15.232
10/16/12 8:02:01 PM,C,13.727
10/16/12 9:02:01 PM,C,13.225
10/16/12 10:02:01 PM,C,13.727
10/16/12 11:02:01 PM,C,13.225
10/17/12 12:02:01 AM,C,13.727
10/17/12 1:02:01 AM,C,13.727
10/17/12 2:02:01 AM,C,14.73
10/17/12 3:02:01 AM,C,14.73
10/17/12 4:02:01 AM,C,14.73
10/17/12 5:02:01 AM,C,14.228
10/17/12 6:02:01 AM,C,14.228
10/17/12 7:02:01 AM,C,13.727
10/17/12 8:02:01 AM,C,13.727
10/17/12 9:02:01 AM,C,13.727
10/17/12 10:02:01 AM,C,13.727
10/17/12 11:02:01 AM,C,15.733
10/17/12 12:02:01 PM,C,16.235
10/17/12 1:02:01 PM,C,18.24
10/17/12 2:02:01 PM,C,19.242
10/17/12 3:02:01 PM,C,23.247
10/17/12 4:02:01 PM,C,21.245
10/17/12 5:02:01 PM,C,19.242
10/17/12 6:02:01 PM,C,18.741
10/17/12 7:02:01 PM,C,18.741
10/17/12 8:02:01 PM,C,16.736
10/17/12 9:02:01 PM,C,15.733
10/17/12 10:02:01 PM,C,16.736
10/17/12 11:02:01 PM,C,16.235
10/18/12 12:02:01 AM,C,16.736
10/18/12 1:02:01 AM,C,16.235
10/18/12 2:02:01 AM,C,16.736
10/18/12 3:02:01 AM,C,15.733
10/18/12 4:02:01 AM,C,15.733
10/18/12 5:02:01 AM,C,14.73
10/18/12 6:02:01 AM,C,14.228
10/18/12 7:02:01 AM,C,13.727
10/18/12 8:02:01 AM,C,13.225
10/18/12 9:02:01 AM,C,11.719
10/18/12 10:02:01 AM,C,11.216
10/18/12 11:02:01 AM,C,15.232
10/18/12 12:02:01 PM,C,17.739
10/18/12 1:02:01 PM,C,20.244
10/18/12 2:02:01 PM,C,20.244
10/18/12 3:02:01 PM,C,23.748
10/18/12 4:02:01 PM,C,21.746
10/18/12 5:02:01 PM,C,19.242
10/18/12 6:02:01 PM,C,17.238
10/18/12 7:02:01 PM,C,17.238
10/18/12 8:02:01 PM,C,14.73
10/18/12 9:02:01 PM,C,14.73
10/18/12 10:02:01 PM,C,13.225
10/18/12 11:02:01 PM,C,15.232
10/19/12 12:02:01 AM,C,15.733
10/19/12 1:02:01 AM,C,13.727
10/19/12 2:02:01 AM,C,12.723
10/19/12 3:02:01 AM,C,12.221
10/19/12 4:02:01 AM,C,12.221
10/19/12 5:02:01 AM,C,12.723
10/19/12 6:02:01 AM,C,13.727
10/19/12 7:02:01 AM,C,12.221
10/19/12 8:02:01 AM,C,12.221
10/19/12 9:02:01 AM,C,12.221
10/19/12 10:02:01 AM,C,13.225
10/19/12 11:02:01 AM,C,17.238
10/19/12 12:02:01 PM,C,18.741
10/19/12 1:02:01 PM,C,20.244
10/19/12 2:02:01 PM,C,21.245
10/19/12 3:02:01 PM,C,24.748
10/19/12 4:02:01 PM,C,22.247
10/19/12 5:02:01 PM,C,20.244
10/19/12 6:02:01 PM,C,18.24
10/19/12 7:02:01 PM,C,14.73
10/19/12 8:02:01 PM,C,13.727
10/19/12 9:02:01 PM,C,13.225
10/19/12 10:02:01 PM,C,12.723
10/19/12 11:02:01 PM,C,11.719
10/20/12 12:02:01 AM,C,11.719
10/20/12 1:02:01 AM,C,14.73
10/20/12 2:02:01 AM,C,15.733
10/20/12 3:02:01 AM,C,15.232
10/20/12 4:02:01 AM,C,14.228
10/20/12 5:02:01 AM,C,12.221
10/20/12 6:02:01 AM,C,11.719
10/20/12 7:02:01 AM,C,13.727
10/20/12 8:02:01 AM,C,14.228
10/20/12 9:02:01 AM,C,13.225
10/20/12 10:02:01 AM,C,15.232
10/20/12 11:02:01 AM,C,18.741
10/20/12 12:02:01 PM,C,20.244
10/20/12 1:02:01 PM,C,19.242
10/20/12 2:02:01 PM,C,20.745
10/20/12 3:02:01 PM,C,22.747
10/20/12 4:02:01 PM,C,24.748
10/20/12 5:02:01 PM,C,21.245
10/20/12 6:02:01 PM,C,19.743
10/20/12 7:02:01 PM,C,16.736
10/20/12 8:02:01 PM,C,14.73
10/20/12 9:02:01 PM,C,14.73
10/20/12 10:02:01 PM,C,14.228
10/20/12 11:02:01 PM,C,14.228
10/21/12 12:02:01 AM,C,14.228
10/21/12 1:02:01 AM,C,13.727
10/21/12 2:02:01 AM,C,14.73
10/21/12 3:02:01 AM,C,13.225
10/21/12 4:02:01 AM,C,15.232
10/21/12 5:02:01 AM,C,12.221
10/21/12 6:02:01 AM,C,13.225
10/21/12 7:02:01 AM,C,13.225
10/21/12 8:02:01 AM,C,13.225
10/21/12 9:02:01 AM,C,11.719
10/21/12 10:02:01 AM,C,11.719
10/21/12 11:02:01 AM,C,15.733
10/21/12 12:02:01 PM,C,20.244
10/21/12 1:02:01 PM,C,21.245
10/21/12 2:02:01 PM,C,22.247
10/21/12 3:02:01 PM,C,26.248
10/21/12 4:02:01 PM,C,23.748
10/21/12 5:02:01 PM,C,20.244
10/21/12 6:02:01 PM,C,18.741
10/21/12 7:02:01 PM,C,15.733
10/21/12 8:02:01 PM,C,15.232
10/21/12 9:02:01 PM,C,15.733
10/21/12 10:02:01 PM,C,14.73
10/21/12 11:02:01 PM,C,18.24
10/22/12 12:02:01 AM,C,13.225
10/22/12 1:02:01 AM,C,11.719
10/22/12 2:02:01 AM,C,11.719
10/22/12 3:02:01 AM,C,13.727
10/22/12 4:02:01 AM,C,13.225
10/22/12 5:02:01 AM,C,13.225
10/22/12 6:02:01 AM,C,12.221
10/22/12 7:02:01 AM,C,11.719
10/22/12 8:02:01 AM,C,11.719
10/22/12 9:02:01 AM,C,12.221
10/22/12 10:02:01 AM,C,12.723
10/22/12 11:02:01 AM,C,15.733
10/22/12 12:02:01 PM,C,18.741
10/22/12 1:02:01 PM,C,19.743
10/22/12 2:02:01 PM,C,20.244
10/22/12 3:02:01 PM,C,23.247
10/22/12 4:02:01 PM,C,21.746
10/22/12 5:02:01 PM,C,18.24
10/22/12 6:02:01 PM,C,15.232
10/22/12 7:02:01 PM,C,13.727
10/22/12 8:02:01 PM,C,12.221
10/22/12 9:02:01 PM,C,11.719
10/22/12 10:02:01 PM,C,11.719
10/22/12 11:02:01 PM,C,11.719
10/23/12 12:02:01 AM,C,11.216
10/23/12 1:02:01 AM,C,10.714
10/23/12 2:02:01 AM,C,12.221
10/23/12 3:02:01 AM,C,12.723
10/23/12 4:02:01 AM,C,13.727
10/23/12 5:02:01 AM,C,14.228
10/23/12 6:02:01 AM,C,13.727
10/23/12 7:02:01 AM,C,13.727
10/23/12 8:02:01 AM,C,13.225
10/23/12 9:02:01 AM,C,12.221
10/23/12 10:02:01 AM,C,12.221
10/23/12 11:02:01 AM,C,16.736
10/23/12 12:02:01 PM,C,19.743
10/23/12 1:02:01 PM,C,21.746
10/23/12 2:02:01 PM,C,22.747
10/23/12 3:02:01 PM,C,26.748
10/23/12 4:02:01 PM,C,25.248
10/23/12 5:02:01 PM,C,19.242
10/23/12 6:02:01 PM,C,17.238
10/23/12 7:02:01 PM,C,15.733
10/23/12 8:02:01 PM,C,18.24
10/23/12 9:02:01 PM,C,18.741
10/23/12 10:02:01 PM,C,17.238
10/23/12 11:02:01 PM,C,18.741
10/24/12 12:02:01 AM,C,18.24
10/24/12 1:02:01 AM,C,18.741
10/24/12 2:02:01 AM,C,18.24
10/24/12 3:02:01 AM,C,16.736
10/24/12 4:02:01 AM,C,16.235
10/24/12 5:02:01 AM,C,16.736
10/24/12 6:02:01 AM,C,15.733
10/24/12 7:02:01 AM,C,15.733
10/24/12 8:02:01 AM,C,15.733
10/24/12 9:02:01 AM,C,15.232
10/24/12 10:02:01 AM,C,16.235
10/24/12 11:02:01 AM,C,18.741
10/24/12 12:02:01 PM,C,21.746
10/24/12 1:02:01 PM,C,23.748
10/24/12 2:02:01 PM,C,24.248
