1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7900000014956E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Oct 05 16:57:01 CDT 2012
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Oct 05 16:57:01 CDT 2012
Total Mission Samples:  4096
Total Device Samples:  34335
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/5/12 4:57:01 PM,C,28.679
10/5/12 5:57:01 PM,C,24.18
10/5/12 6:57:01 PM,C,21.678
10/5/12 7:57:01 PM,C,19.676
10/5/12 8:57:01 PM,C,18.174
10/5/12 9:57:01 PM,C,18.174
10/5/12 10:57:01 PM,C,17.674
10/5/12 11:57:01 PM,C,18.174
10/6/12 12:57:01 AM,C,18.174
10/6/12 1:57:01 AM,C,17.674
10/6/12 2:57:01 AM,C,18.174
10/6/12 3:57:01 AM,C,18.174
10/6/12 4:57:01 AM,C,17.173
10/6/12 5:57:01 AM,C,16.171
10/6/12 6:57:01 AM,C,15.67
10/6/12 7:57:01 AM,C,16.171
10/6/12 8:57:01 AM,C,17.173
10/6/12 9:57:01 AM,C,24.18
10/6/12 10:57:01 AM,C,28.679
10/6/12 11:57:01 AM,C,27.179
10/6/12 12:57:01 PM,C,31.176
10/6/12 1:57:01 PM,C,29.678
10/6/12 2:57:01 PM,C,27.679
10/6/12 3:57:01 PM,C,26.679
10/6/12 4:57:01 PM,C,26.18
10/6/12 5:57:01 PM,C,22.179
10/6/12 6:57:01 PM,C,19.176
10/6/12 7:57:01 PM,C,16.672
10/6/12 8:57:01 PM,C,15.169
10/6/12 9:57:01 PM,C,15.169
10/6/12 10:57:01 PM,C,10.657
10/6/12 11:57:01 PM,C,8.651
10/7/12 12:57:01 AM,C,8.149
10/7/12 1:57:01 AM,C,7.647
10/7/12 2:57:01 AM,C,5.137
10/7/12 3:57:01 AM,C,3.631
10/7/12 4:57:01 AM,C,2.124
10/7/12 5:57:01 AM,C,2.626
10/7/12 6:57:01 AM,C,10.657
10/7/12 7:57:01 AM,C,10.156
10/7/12 8:57:01 AM,C,10.657
10/7/12 9:57:01 AM,C,15.67
10/7/12 10:57:01 AM,C,16.171
10/7/12 11:57:01 AM,C,17.674
10/7/12 12:57:01 PM,C,22.679
10/7/12 1:57:01 PM,C,24.68
10/7/12 2:57:01 PM,C,24.18
10/7/12 3:57:01 PM,C,23.179
10/7/12 4:57:01 PM,C,21.678
10/7/12 5:57:01 PM,C,18.174
10/7/12 6:57:01 PM,C,15.67
10/7/12 7:57:01 PM,C,13.164
10/7/12 8:57:01 PM,C,12.663
10/7/12 9:57:01 PM,C,12.663
10/7/12 10:57:01 PM,C,13.164
10/7/12 11:57:01 PM,C,12.663
10/8/12 12:57:01 AM,C,13.164
10/8/12 1:57:01 AM,C,13.666
10/8/12 2:57:01 AM,C,13.666
10/8/12 3:57:01 AM,C,13.666
10/8/12 4:57:01 AM,C,13.666
10/8/12 5:57:01 AM,C,13.164
10/8/12 6:57:01 AM,C,14.167
10/8/12 7:57:01 AM,C,14.668
10/8/12 8:57:01 AM,C,20.177
10/8/12 9:57:01 AM,C,21.178
10/8/12 10:57:01 AM,C,20.177
10/8/12 11:57:01 AM,C,22.679
10/8/12 12:57:01 PM,C,27.179
10/8/12 1:57:01 PM,C,28.679
10/8/12 2:57:01 PM,C,26.18
10/8/12 3:57:01 PM,C,25.18
10/8/12 4:57:01 PM,C,23.679
10/8/12 5:57:01 PM,C,21.178
10/8/12 6:57:01 PM,C,18.675
10/8/12 7:57:01 PM,C,16.672
10/8/12 8:57:01 PM,C,16.672
10/8/12 9:57:01 PM,C,17.674
10/8/12 10:57:01 PM,C,17.674
10/8/12 11:57:01 PM,C,17.674
10/9/12 12:57:01 AM,C,17.674
10/9/12 1:57:01 AM,C,17.674
10/9/12 2:57:01 AM,C,17.173
10/9/12 3:57:01 AM,C,17.173
10/9/12 4:57:01 AM,C,16.171
10/9/12 5:57:01 AM,C,15.169
10/9/12 6:57:01 AM,C,14.167
10/9/12 7:57:01 AM,C,14.167
10/9/12 8:57:01 AM,C,18.675
10/9/12 9:57:01 AM,C,24.18
10/9/12 10:57:01 AM,C,27.679
10/9/12 11:57:01 AM,C,23.679
10/9/12 12:57:01 PM,C,31.176
10/9/12 1:57:01 PM,C,30.677
10/9/12 2:57:01 PM,C,27.679
10/9/12 3:57:01 PM,C,27.679
10/9/12 4:57:01 PM,C,25.18
10/9/12 5:57:01 PM,C,22.679
10/9/12 6:57:01 PM,C,19.676
10/9/12 7:57:01 PM,C,17.173
10/9/12 8:57:01 PM,C,17.173
10/9/12 9:57:01 PM,C,17.173
10/9/12 10:57:01 PM,C,17.173
10/9/12 11:57:01 PM,C,17.173
10/10/12 12:57:01 AM,C,17.173
10/10/12 1:57:01 AM,C,17.674
10/10/12 2:57:01 AM,C,17.674
10/10/12 3:57:01 AM,C,17.674
10/10/12 4:57:01 AM,C,17.674
10/10/12 5:57:01 AM,C,16.672
10/10/12 6:57:01 AM,C,17.674
10/10/12 7:57:01 AM,C,17.173
10/10/12 8:57:01 AM,C,19.676
10/10/12 9:57:01 AM,C,22.179
10/10/12 10:57:01 AM,C,25.68
10/10/12 11:57:01 AM,C,25.68
10/10/12 12:57:01 PM,C,26.18
10/10/12 1:57:01 PM,C,26.679
10/10/12 2:57:01 PM,C,24.68
10/10/12 3:57:01 PM,C,23.179
10/10/12 4:57:01 PM,C,21.678
10/10/12 5:57:01 PM,C,18.675
10/10/12 6:57:01 PM,C,17.674
10/10/12 7:57:01 PM,C,15.67
10/10/12 8:57:01 PM,C,15.169
10/10/12 9:57:01 PM,C,14.668
10/10/12 10:57:01 PM,C,15.67
10/10/12 11:57:01 PM,C,15.67
10/11/12 12:57:01 AM,C,16.171
10/11/12 1:57:01 AM,C,16.672
10/11/12 2:57:01 AM,C,16.171
10/11/12 3:57:01 AM,C,17.674
10/11/12 4:57:01 AM,C,17.173
10/11/12 5:57:01 AM,C,15.67
10/11/12 6:57:01 AM,C,15.67
10/11/12 7:57:01 AM,C,15.169
10/11/12 8:57:01 AM,C,15.67
10/11/12 9:57:01 AM,C,17.674
10/11/12 10:57:01 AM,C,26.18
10/11/12 11:57:01 AM,C,24.68
10/11/12 12:57:01 PM,C,27.179
10/11/12 1:57:01 PM,C,25.68
10/11/12 2:57:01 PM,C,24.68
10/11/12 3:57:01 PM,C,24.18
10/11/12 4:57:01 PM,C,23.679
10/11/12 5:57:01 PM,C,22.679
10/11/12 6:57:01 PM,C,20.677
10/11/12 7:57:01 PM,C,19.176
10/11/12 8:57:01 PM,C,18.675
10/11/12 9:57:01 PM,C,18.174
10/11/12 10:57:01 PM,C,17.173
10/11/12 11:57:01 PM,C,17.674
10/12/12 12:57:01 AM,C,18.174
10/12/12 1:57:01 AM,C,17.173
10/12/12 2:57:01 AM,C,18.174
10/12/12 3:57:01 AM,C,16.171
10/12/12 4:57:01 AM,C,17.173
10/12/12 5:57:01 AM,C,17.173
10/12/12 6:57:01 AM,C,17.674
10/12/12 7:57:01 AM,C,17.674
10/12/12 8:57:01 AM,C,17.674
10/12/12 9:57:01 AM,C,18.675
10/12/12 10:57:01 AM,C,22.679
10/12/12 11:57:01 AM,C,25.18
10/12/12 12:57:01 PM,C,22.179
10/12/12 1:57:01 PM,C,23.679
10/12/12 2:57:01 PM,C,24.18
10/12/12 3:57:01 PM,C,27.679
10/12/12 4:57:01 PM,C,22.679
10/12/12 5:57:01 PM,C,21.678
10/12/12 6:57:01 PM,C,20.177
10/12/12 7:57:01 PM,C,18.174
10/12/12 8:57:01 PM,C,17.173
10/12/12 9:57:01 PM,C,17.173
10/12/12 10:57:01 PM,C,17.173
10/12/12 11:57:01 PM,C,16.171
10/13/12 12:57:01 AM,C,15.169
10/13/12 1:57:01 AM,C,14.167
10/13/12 2:57:01 AM,C,14.167
10/13/12 3:57:01 AM,C,14.668
10/13/12 4:57:01 AM,C,14.167
10/13/12 5:57:01 AM,C,14.167
10/13/12 6:57:01 AM,C,13.666
10/13/12 7:57:01 AM,C,13.666
10/13/12 8:57:01 AM,C,18.675
10/13/12 9:57:01 AM,C,20.177
10/13/12 10:57:01 AM,C,21.678
10/13/12 11:57:01 AM,C,23.179
10/13/12 12:57:01 PM,C,26.18
10/13/12 1:57:01 PM,C,26.18
10/13/12 2:57:01 PM,C,23.179
10/13/12 3:57:01 PM,C,23.679
10/13/12 4:57:01 PM,C,21.178
10/13/12 5:57:01 PM,C,20.177
10/13/12 6:57:01 PM,C,17.674
10/13/12 7:57:01 PM,C,15.67
10/13/12 8:57:01 PM,C,14.167
10/13/12 9:57:01 PM,C,14.167
10/13/12 10:57:01 PM,C,13.164
10/13/12 11:57:01 PM,C,12.162
10/14/12 12:57:01 AM,C,11.66
10/14/12 1:57:01 AM,C,11.66
10/14/12 2:57:01 AM,C,11.66
10/14/12 3:57:01 AM,C,11.159
10/14/12 4:57:01 AM,C,11.159
10/14/12 5:57:01 AM,C,11.66
10/14/12 6:57:01 AM,C,11.159
10/14/12 7:57:01 AM,C,9.654
10/14/12 8:57:01 AM,C,14.167
10/14/12 9:57:01 AM,C,15.169
10/14/12 10:57:01 AM,C,16.672
10/14/12 11:57:01 AM,C,17.674
10/14/12 12:57:01 PM,C,21.678
10/14/12 1:57:01 PM,C,22.679
10/14/12 2:57:01 PM,C,20.677
10/14/12 3:57:01 PM,C,20.177
10/14/12 4:57:01 PM,C,17.674
10/14/12 5:57:01 PM,C,15.67
10/14/12 6:57:01 PM,C,13.666
10/14/12 7:57:01 PM,C,12.162
10/14/12 8:57:01 PM,C,11.66
10/14/12 9:57:01 PM,C,11.66
10/14/12 10:57:01 PM,C,11.66
10/14/12 11:57:01 PM,C,12.162
10/15/12 12:57:01 AM,C,11.159
10/15/12 1:57:01 AM,C,10.657
10/15/12 2:57:01 AM,C,10.657
10/15/12 3:57:01 AM,C,10.657
10/15/12 4:57:01 AM,C,10.657
10/15/12 5:57:01 AM,C,10.657
