1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: B00000000FCBB741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Oct 05 16:12:01 CDT 2012
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Oct 05 16:12:01 CDT 2012
Total Mission Samples:  8192
Total Device Samples:  55838
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/5/12 4:12:01 PM,C,27.271
10/5/12 4:42:01 PM,C,24.271
10/5/12 5:12:01 PM,C,23.771
10/5/12 5:42:01 PM,C,22.77
10/5/12 6:12:01 PM,C,21.769
10/5/12 6:42:01 PM,C,19.265
10/5/12 7:12:01 PM,C,18.263
10/5/12 7:42:01 PM,C,16.759
10/5/12 8:12:01 PM,C,15.255
10/5/12 8:42:01 PM,C,14.753
10/5/12 9:12:01 PM,C,14.251
10/5/12 9:42:01 PM,C,13.749
10/5/12 10:12:01 PM,C,13.749
10/5/12 10:42:01 PM,C,13.247
10/5/12 11:12:01 PM,C,13.749
10/5/12 11:42:01 PM,C,12.745
10/6/12 12:12:01 AM,C,12.745
10/6/12 12:42:01 AM,C,13.749
10/6/12 1:12:01 AM,C,13.749
10/6/12 1:42:01 AM,C,13.247
10/6/12 2:12:01 AM,C,12.745
10/6/12 2:42:01 AM,C,12.243
10/6/12 3:12:01 AM,C,13.247
10/6/12 3:42:01 AM,C,14.251
10/6/12 4:12:01 AM,C,12.745
10/6/12 4:42:01 AM,C,14.251
10/6/12 5:12:01 AM,C,12.745
10/6/12 5:42:01 AM,C,12.745
10/6/12 6:12:01 AM,C,13.247
10/6/12 6:42:01 AM,C,12.745
10/6/12 7:12:01 AM,C,12.745
10/6/12 7:42:01 AM,C,12.745
10/6/12 8:12:01 AM,C,13.247
10/6/12 8:42:01 AM,C,14.753
10/6/12 9:12:01 AM,C,16.258
10/6/12 9:42:01 AM,C,19.265
10/6/12 10:12:01 AM,C,20.768
10/6/12 10:42:01 AM,C,20.768
10/6/12 11:12:01 AM,C,22.77
10/6/12 11:42:01 AM,C,23.771
10/6/12 12:12:01 PM,C,26.771
10/6/12 12:42:01 PM,C,27.271
10/6/12 1:12:01 PM,C,23.771
10/6/12 1:42:01 PM,C,23.771
10/6/12 2:12:01 PM,C,25.772
10/6/12 2:42:01 PM,C,24.771
10/6/12 3:12:01 PM,C,22.27
10/6/12 3:42:01 PM,C,22.77
10/6/12 4:12:01 PM,C,22.77
