1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 230000001492B441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Mar 30 16:28:01 CST 2013
Mission Sample Count:  3232
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 30 16:28:01 CST 2013
Total Mission Samples:  3232
Total Device Samples:  41738
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/30/13 4:28:01 PM,C,25.691
3/30/13 5:28:01 PM,C,22.691
3/30/13 6:28:01 PM,C,21.69
3/30/13 7:28:01 PM,C,19.689
3/30/13 8:28:01 PM,C,19.188
3/30/13 9:28:01 PM,C,18.187
3/30/13 10:28:01 PM,C,13.18
3/30/13 11:28:01 PM,C,13.18
3/31/13 12:28:01 AM,C,11.176
3/31/13 1:28:01 AM,C,10.173
3/31/13 2:28:01 AM,C,10.675
3/31/13 3:28:01 AM,C,9.672
3/31/13 4:28:01 AM,C,9.672
3/31/13 5:28:01 AM,C,9.672
3/31/13 6:28:01 AM,C,9.672
3/31/13 7:28:01 AM,C,10.173
3/31/13 8:28:01 AM,C,17.687
3/31/13 9:28:01 AM,C,23.191
3/31/13 10:28:01 AM,C,20.69
3/31/13 11:28:01 AM,C,23.191
3/31/13 12:28:01 PM,C,22.691
3/31/13 1:28:01 PM,C,22.691
3/31/13 2:28:01 PM,C,22.691
3/31/13 3:28:01 PM,C,23.691
3/31/13 4:28:01 PM,C,24.191
3/31/13 5:28:01 PM,C,22.691
3/31/13 6:28:01 PM,C,20.189
3/31/13 7:28:01 PM,C,15.183
3/31/13 8:28:01 PM,C,11.176
3/31/13 9:28:01 PM,C,8.67
3/31/13 10:28:01 PM,C,7.667
3/31/13 11:28:01 PM,C,6.664
4/1/13 12:28:01 AM,C,6.664
4/1/13 1:28:01 AM,C,5.661
4/1/13 2:28:01 AM,C,6.163
4/1/13 3:28:01 AM,C,4.156
4/1/13 4:28:01 AM,C,3.655
4/1/13 5:28:01 AM,C,2.149
4/1/13 6:28:01 AM,C,2.149
4/1/13 7:28:01 AM,C,5.661
4/1/13 8:28:01 AM,C,17.687
4/1/13 9:28:01 AM,C,22.691
4/1/13 10:28:01 AM,C,22.691
4/1/13 11:28:01 AM,C,26.191
4/1/13 12:28:01 PM,C,27.191
4/1/13 1:28:01 PM,C,27.691
4/1/13 2:28:01 PM,C,28.191
4/1/13 3:28:01 PM,C,28.691
4/1/13 4:28:01 PM,C,27.691
4/1/13 5:28:01 PM,C,26.691
4/1/13 6:28:01 PM,C,25.691
4/1/13 7:28:01 PM,C,20.189
4/1/13 8:28:01 PM,C,14.182
4/1/13 9:28:01 PM,C,15.183
4/1/13 10:28:01 PM,C,12.178
4/1/13 11:28:01 PM,C,10.173
4/2/13 12:28:01 AM,C,9.171
4/2/13 1:28:01 AM,C,11.677
4/2/13 2:28:01 AM,C,8.168
4/2/13 3:28:01 AM,C,6.664
4/2/13 4:28:01 AM,C,5.16
4/2/13 5:28:01 AM,C,4.658
4/2/13 6:28:01 AM,C,5.16
4/2/13 7:28:01 AM,C,7.667
4/2/13 8:28:01 AM,C,12.679
4/2/13 9:28:01 AM,C,18.688
4/2/13 10:28:01 AM,C,20.189
4/2/13 11:28:01 AM,C,20.69
4/2/13 12:28:01 PM,C,19.188
4/2/13 1:28:01 PM,C,21.69
4/2/13 2:28:01 PM,C,23.691
4/2/13 3:28:01 PM,C,23.191
4/2/13 4:28:01 PM,C,22.191
4/2/13 5:28:01 PM,C,21.69
4/2/13 6:28:01 PM,C,17.687
4/2/13 7:28:01 PM,C,13.18
4/2/13 8:28:01 PM,C,9.672
4/2/13 9:28:01 PM,C,6.163
4/2/13 10:28:01 PM,C,6.163
4/2/13 11:28:01 PM,C,6.163
4/3/13 12:28:01 AM,C,5.661
4/3/13 1:28:01 AM,C,5.16
4/3/13 2:28:01 AM,C,4.156
4/3/13 3:28:01 AM,C,4.156
4/3/13 4:28:01 AM,C,3.655
4/3/13 5:28:01 AM,C,2.651
4/3/13 6:28:01 AM,C,2.651
4/3/13 7:28:01 AM,C,3.153
4/3/13 8:28:01 AM,C,4.658
4/3/13 9:28:01 AM,C,9.672
4/3/13 10:28:01 AM,C,11.677
4/3/13 11:28:01 AM,C,15.183
4/3/13 12:28:01 PM,C,17.687
4/3/13 1:28:01 PM,C,18.688
4/3/13 2:28:01 PM,C,19.188
4/3/13 3:28:01 PM,C,19.188
4/3/13 4:28:01 PM,C,18.688
4/3/13 5:28:01 PM,C,18.688
4/3/13 6:28:01 PM,C,16.686
4/3/13 7:28:01 PM,C,9.171
4/3/13 8:28:01 PM,C,5.661
4/3/13 9:28:01 PM,C,4.156
4/3/13 10:28:01 PM,C,2.149
4/3/13 11:28:01 PM,C,1.146
4/4/13 12:28:01 AM,C,-0.862
4/4/13 1:28:01 AM,C,-0.862
4/4/13 2:28:01 AM,C,-0.862
4/4/13 3:28:01 AM,C,-0.36
4/4/13 4:28:01 AM,C,0.142
4/4/13 5:28:01 AM,C,-0.36
4/4/13 6:28:01 AM,C,-0.862
4/4/13 7:28:01 AM,C,4.658
4/4/13 8:28:01 AM,C,16.686
4/4/13 9:28:01 AM,C,18.688
4/4/13 10:28:01 AM,C,19.188
4/4/13 11:28:01 AM,C,21.69
4/4/13 12:28:01 PM,C,24.191
4/4/13 1:28:01 PM,C,24.191
4/4/13 2:28:01 PM,C,24.691
4/4/13 3:28:01 PM,C,25.691
4/4/13 4:28:01 PM,C,25.691
4/4/13 5:28:01 PM,C,22.191
4/4/13 6:28:01 PM,C,20.69
4/4/13 7:28:01 PM,C,15.183
4/4/13 8:28:01 PM,C,10.173
4/4/13 9:28:01 PM,C,6.664
4/4/13 10:28:01 PM,C,5.16
4/4/13 11:28:01 PM,C,4.156
4/5/13 12:28:01 AM,C,3.655
4/5/13 1:28:01 AM,C,10.173
4/5/13 2:28:01 AM,C,12.679
4/5/13 3:28:01 AM,C,12.178
4/5/13 4:28:01 AM,C,10.173
4/5/13 5:28:01 AM,C,11.677
4/5/13 6:28:01 AM,C,11.176
4/5/13 7:28:01 AM,C,13.681
4/5/13 8:28:01 AM,C,17.186
4/5/13 9:28:01 AM,C,18.688
4/5/13 10:28:01 AM,C,22.191
4/5/13 11:28:01 AM,C,22.691
4/5/13 12:28:01 PM,C,24.191
4/5/13 1:28:01 PM,C,23.191
4/5/13 2:28:01 PM,C,25.691
4/5/13 3:28:01 PM,C,26.191
4/5/13 4:28:01 PM,C,24.191
4/5/13 5:28:01 PM,C,22.191
4/5/13 6:28:01 PM,C,23.191
4/5/13 7:28:01 PM,C,20.189
4/5/13 8:28:01 PM,C,18.187
4/5/13 9:28:01 PM,C,17.687
4/5/13 10:28:01 PM,C,17.186
4/5/13 11:28:01 PM,C,15.684
4/6/13 12:28:01 AM,C,16.185
4/6/13 1:28:01 AM,C,16.185
4/6/13 2:28:01 AM,C,15.183
4/6/13 3:28:01 AM,C,13.681
4/6/13 4:28:01 AM,C,15.183
4/6/13 5:28:01 AM,C,15.684
4/6/13 6:28:01 AM,C,15.183
4/6/13 7:28:01 AM,C,17.687
4/6/13 8:28:01 AM,C,21.19
4/6/13 9:28:01 AM,C,20.69
4/6/13 10:28:01 AM,C,21.69
4/6/13 11:28:01 AM,C,23.191
4/6/13 12:28:01 PM,C,25.191
