1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 590000001498F241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Mar 30 13:25:01 CST 2013
Mission Sample Count:  3240
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 30 13:25:01 CST 2013
Total Mission Samples:  3240
Total Device Samples:  17160
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/30/13 1:25:01 PM,C,29.593
3/30/13 2:25:01 PM,C,23.094
3/30/13 3:25:01 PM,C,21.593
3/30/13 4:25:01 PM,C,22.093
3/30/13 5:25:01 PM,C,21.093
3/30/13 6:25:01 PM,C,20.092
3/30/13 7:25:01 PM,C,19.092
3/30/13 8:25:01 PM,C,18.591
3/30/13 9:25:01 PM,C,16.59
3/30/13 10:25:01 PM,C,14.588
3/30/13 11:25:01 PM,C,15.589
3/31/13 12:25:01 AM,C,13.586
3/31/13 1:25:01 AM,C,13.586
3/31/13 2:25:01 AM,C,14.087
3/31/13 3:25:01 AM,C,14.087
3/31/13 4:25:01 AM,C,14.087
3/31/13 5:25:01 AM,C,14.087
3/31/13 6:25:01 AM,C,13.586
3/31/13 7:25:01 AM,C,14.087
3/31/13 8:25:01 AM,C,20.593
3/31/13 9:25:01 AM,C,21.593
3/31/13 10:25:01 AM,C,21.093
3/31/13 11:25:01 AM,C,21.093
3/31/13 12:25:01 PM,C,20.092
3/31/13 1:25:01 PM,C,21.593
3/31/13 2:25:01 PM,C,21.593
3/31/13 3:25:01 PM,C,22.093
3/31/13 4:25:01 PM,C,21.593
3/31/13 5:25:01 PM,C,19.592
3/31/13 6:25:01 PM,C,16.089
3/31/13 7:25:01 PM,C,14.588
3/31/13 8:25:01 PM,C,12.084
3/31/13 9:25:01 PM,C,11.083
3/31/13 10:25:01 PM,C,11.083
3/31/13 11:25:01 PM,C,12.585
4/1/13 12:25:01 AM,C,12.084
4/1/13 1:25:01 AM,C,10.582
4/1/13 2:25:01 AM,C,10.582
4/1/13 3:25:01 AM,C,10.081
4/1/13 4:25:01 AM,C,9.08
4/1/13 5:25:01 AM,C,10.582
4/1/13 6:25:01 AM,C,10.582
4/1/13 7:25:01 AM,C,14.087
4/1/13 8:25:01 AM,C,20.593
4/1/13 9:25:01 AM,C,22.593
4/1/13 10:25:01 AM,C,22.593
4/1/13 11:25:01 AM,C,23.594
4/1/13 12:25:01 PM,C,26.094
4/1/13 1:25:01 PM,C,25.594
4/1/13 2:25:01 PM,C,25.594
4/1/13 3:25:01 PM,C,25.094
4/1/13 4:25:01 PM,C,24.094
4/1/13 5:25:01 PM,C,24.094
4/1/13 6:25:01 PM,C,20.092
4/1/13 7:25:01 PM,C,18.591
4/1/13 8:25:01 PM,C,17.591
4/1/13 9:25:01 PM,C,14.588
4/1/13 10:25:01 PM,C,14.087
4/1/13 11:25:01 PM,C,14.588
4/2/13 12:25:01 AM,C,13.586
4/2/13 1:25:01 AM,C,13.086
4/2/13 2:25:01 AM,C,13.086
4/2/13 3:25:01 AM,C,14.087
4/2/13 4:25:01 AM,C,14.087
4/2/13 5:25:01 AM,C,14.087
4/2/13 6:25:01 AM,C,14.087
4/2/13 7:25:01 AM,C,16.089
4/2/13 8:25:01 AM,C,17.591
4/2/13 9:25:01 AM,C,22.093
4/2/13 10:25:01 AM,C,19.592
4/2/13 11:25:01 AM,C,22.093
4/2/13 12:25:01 PM,C,22.593
4/2/13 1:25:01 PM,C,23.094
4/2/13 2:25:01 PM,C,22.093
4/2/13 3:25:01 PM,C,20.092
4/2/13 4:25:01 PM,C,20.593
4/2/13 5:25:01 PM,C,20.092
4/2/13 6:25:01 PM,C,14.588
4/2/13 7:25:01 PM,C,12.084
4/2/13 8:25:01 PM,C,10.081
4/2/13 9:25:01 PM,C,10.081
4/2/13 10:25:01 PM,C,8.078
4/2/13 11:25:01 PM,C,4.571
4/3/13 12:25:01 AM,C,9.58
4/3/13 1:25:01 AM,C,3.568
4/3/13 2:25:01 AM,C,3.568
4/3/13 3:25:01 AM,C,3.067
4/3/13 4:25:01 AM,C,2.566
4/3/13 5:25:01 AM,C,2.065
4/3/13 6:25:01 AM,C,1.563
4/3/13 7:25:01 AM,C,1.563
4/3/13 8:25:01 AM,C,4.069
4/3/13 9:25:01 AM,C,10.582
4/3/13 10:25:01 AM,C,14.087
4/3/13 11:25:01 AM,C,16.089
4/3/13 12:25:01 PM,C,16.59
4/3/13 1:25:01 PM,C,20.092
4/3/13 2:25:01 PM,C,16.59
4/3/13 3:25:01 PM,C,16.59
4/3/13 4:25:01 PM,C,16.59
4/3/13 5:25:01 PM,C,14.588
4/3/13 6:25:01 PM,C,11.083
4/3/13 7:25:01 PM,C,7.577
4/3/13 8:25:01 PM,C,6.575
4/3/13 9:25:01 PM,C,5.573
4/3/13 10:25:01 PM,C,8.078
4/3/13 11:25:01 PM,C,8.078
4/4/13 12:25:01 AM,C,8.579
4/4/13 1:25:01 AM,C,9.08
4/4/13 2:25:01 AM,C,8.579
4/4/13 3:25:01 AM,C,8.579
4/4/13 4:25:01 AM,C,8.579
4/4/13 5:25:01 AM,C,9.08
4/4/13 6:25:01 AM,C,7.577
4/4/13 7:25:01 AM,C,12.585
4/4/13 8:25:01 AM,C,17.09
4/4/13 9:25:01 AM,C,19.592
4/4/13 10:25:01 AM,C,19.592
4/4/13 11:25:01 AM,C,19.092
4/4/13 12:25:01 PM,C,20.092
4/4/13 1:25:01 PM,C,21.593
4/4/13 2:25:01 PM,C,21.593
4/4/13 3:25:01 PM,C,21.093
4/4/13 4:25:01 PM,C,22.093
4/4/13 5:25:01 PM,C,22.093
4/4/13 6:25:01 PM,C,16.59
4/4/13 7:25:01 PM,C,14.087
4/4/13 8:25:01 PM,C,11.584
4/4/13 9:25:01 PM,C,11.083
4/4/13 10:25:01 PM,C,11.584
4/4/13 11:25:01 PM,C,11.584
4/5/13 12:25:01 AM,C,11.584
4/5/13 1:25:01 AM,C,12.084
4/5/13 2:25:01 AM,C,12.585
4/5/13 3:25:01 AM,C,12.084
4/5/13 4:25:01 AM,C,11.083
4/5/13 5:25:01 AM,C,12.084
4/5/13 6:25:01 AM,C,11.584
4/5/13 7:25:01 AM,C,12.585
4/5/13 8:25:01 AM,C,18.091
4/5/13 9:25:01 AM,C,20.593
4/5/13 10:25:01 AM,C,21.093
4/5/13 11:25:01 AM,C,22.593
4/5/13 12:25:01 PM,C,20.593
4/5/13 1:25:01 PM,C,22.593
4/5/13 2:25:01 PM,C,23.094
4/5/13 3:25:01 PM,C,23.594
4/5/13 4:25:01 PM,C,23.594
4/5/13 5:25:01 PM,C,20.593
4/5/13 6:25:01 PM,C,19.092
4/5/13 7:25:01 PM,C,18.091
4/5/13 8:25:01 PM,C,17.09
4/5/13 9:25:01 PM,C,16.59
4/5/13 10:25:01 PM,C,16.59
4/5/13 11:25:01 PM,C,16.089
4/6/13 12:25:01 AM,C,16.089
4/6/13 1:25:01 AM,C,14.588
4/6/13 2:25:01 AM,C,15.589
4/6/13 3:25:01 AM,C,14.588
4/6/13 4:25:01 AM,C,14.588
4/6/13 5:25:01 AM,C,14.087
4/6/13 6:25:01 AM,C,14.087
4/6/13 7:25:01 AM,C,17.09
4/6/13 8:25:01 AM,C,19.592
4/6/13 9:25:01 AM,C,21.093
4/6/13 10:25:01 AM,C,21.093
4/6/13 11:25:01 AM,C,23.594
4/6/13 12:25:01 PM,C,22.593
4/6/13 1:25:01 PM,C,25.594
4/6/13 2:25:01 PM,C,25.094
4/6/13 3:25:01 PM,C,24.094
