1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: F100000013104641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Mar 29 18:20:01 CST 2013
Mission Sample Count:  6509
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Mar 29 18:20:01 CST 2013
Total Mission Samples:  6509
Total Device Samples:  71022
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/29/13 6:20:01 PM,C,23.158
3/29/13 6:50:01 PM,C,20.656
3/29/13 7:20:01 PM,C,19.154
3/29/13 7:50:01 PM,C,15.146
3/29/13 8:20:01 PM,C,13.642
3/29/13 8:50:01 PM,C,12.639
3/29/13 9:20:01 PM,C,12.137
3/29/13 9:50:01 PM,C,12.137
3/29/13 10:20:01 PM,C,10.632
3/29/13 10:50:01 PM,C,10.13
3/29/13 11:20:01 PM,C,9.628
3/29/13 11:50:01 PM,C,9.126
3/30/13 12:20:01 AM,C,8.624
3/30/13 12:50:01 AM,C,8.122
3/30/13 1:20:01 AM,C,8.122
3/30/13 1:50:01 AM,C,7.62
3/30/13 2:20:01 AM,C,7.117
3/30/13 2:50:01 AM,C,7.117
3/30/13 3:20:01 AM,C,6.615
3/30/13 3:50:01 AM,C,6.615
3/30/13 4:20:01 AM,C,6.113
3/30/13 4:50:01 AM,C,6.615
3/30/13 5:20:01 AM,C,9.628
3/30/13 5:50:01 AM,C,7.117
3/30/13 6:20:01 AM,C,5.61
3/30/13 6:50:01 AM,C,4.605
3/30/13 7:20:01 AM,C,6.615
3/30/13 7:50:01 AM,C,9.628
3/30/13 8:20:01 AM,C,19.154
3/30/13 8:50:01 AM,C,22.157
3/30/13 9:20:01 AM,C,24.658
3/30/13 9:50:01 AM,C,24.158
3/30/13 10:20:01 AM,C,26.658
3/30/13 10:50:01 AM,C,23.158
3/30/13 11:20:01 AM,C,24.158
3/30/13 11:50:01 AM,C,28.657
3/30/13 12:20:01 PM,C,28.657
3/30/13 12:50:01 PM,C,29.156
3/30/13 1:20:01 PM,C,32.651
3/30/13 1:50:01 PM,C,28.657
3/30/13 2:20:01 PM,C,29.656
3/30/13 2:50:01 PM,C,27.657
3/30/13 3:20:01 PM,C,25.158
3/30/13 3:50:01 PM,C,24.658
3/30/13 4:20:01 PM,C,24.658
3/30/13 4:50:01 PM,C,23.658
3/30/13 5:20:01 PM,C,24.658
3/30/13 5:50:01 PM,C,24.158
3/30/13 6:20:01 PM,C,21.657
3/30/13 6:50:01 PM,C,20.656
3/30/13 7:20:01 PM,C,18.152
3/30/13 7:50:01 PM,C,19.154
3/30/13 8:20:01 PM,C,17.15
3/30/13 8:50:01 PM,C,17.651
3/30/13 9:20:01 PM,C,16.649
3/30/13 9:50:01 PM,C,14.143
3/30/13 10:20:01 PM,C,13.14
3/30/13 10:50:01 PM,C,13.14
3/30/13 11:20:01 PM,C,13.642
3/30/13 11:50:01 PM,C,12.639
3/31/13 12:20:01 AM,C,12.137
3/31/13 12:50:01 AM,C,11.635
3/31/13 1:20:01 AM,C,11.635
3/31/13 1:50:01 AM,C,11.635
3/31/13 2:20:01 AM,C,11.635
3/31/13 2:50:01 AM,C,11.635
3/31/13 3:20:01 AM,C,12.137
3/31/13 3:50:01 AM,C,11.635
3/31/13 4:20:01 AM,C,11.635
3/31/13 4:50:01 AM,C,11.635
3/31/13 5:20:01 AM,C,11.635
3/31/13 5:50:01 AM,C,11.134
3/31/13 6:20:01 AM,C,11.134
3/31/13 6:50:01 AM,C,10.632
3/31/13 7:20:01 AM,C,11.134
3/31/13 7:50:01 AM,C,13.14
3/31/13 8:20:01 AM,C,18.152
3/31/13 8:50:01 AM,C,22.157
3/31/13 9:20:01 AM,C,23.158
3/31/13 9:50:01 AM,C,21.657
3/31/13 10:20:01 AM,C,23.658
3/31/13 10:50:01 AM,C,23.158
3/31/13 11:20:01 AM,C,25.658
3/31/13 11:50:01 AM,C,26.658
3/31/13 12:20:01 PM,C,24.658
3/31/13 12:50:01 PM,C,25.158
3/31/13 1:20:01 PM,C,27.657
3/31/13 1:50:01 PM,C,24.158
3/31/13 2:20:01 PM,C,24.158
3/31/13 2:50:01 PM,C,24.658
3/31/13 3:20:01 PM,C,24.158
3/31/13 3:50:01 PM,C,25.658
3/31/13 4:20:01 PM,C,23.658
3/31/13 4:50:01 PM,C,21.657
3/31/13 5:20:01 PM,C,22.657
3/31/13 5:50:01 PM,C,20.656
3/31/13 6:20:01 PM,C,18.152
3/31/13 6:50:01 PM,C,16.649
3/31/13 7:20:01 PM,C,14.143
3/31/13 7:50:01 PM,C,12.137
3/31/13 8:20:01 PM,C,10.632
3/31/13 8:50:01 PM,C,9.628
3/31/13 9:20:01 PM,C,9.126
3/31/13 9:50:01 PM,C,8.122
3/31/13 10:20:01 PM,C,8.122
3/31/13 10:50:01 PM,C,8.122
3/31/13 11:20:01 PM,C,7.62
3/31/13 11:50:01 PM,C,7.117
4/1/13 12:20:01 AM,C,7.117
4/1/13 12:50:01 AM,C,6.615
4/1/13 1:20:01 AM,C,7.117
4/1/13 1:50:01 AM,C,6.615
4/1/13 2:20:01 AM,C,6.615
4/1/13 2:50:01 AM,C,7.117
4/1/13 3:20:01 AM,C,7.117
4/1/13 3:50:01 AM,C,6.113
