1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D600000014951F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Mar 29 18:35:01 CST 2013
Mission Sample Count:  3279
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Mar 29 18:35:01 CST 2013
Total Mission Samples:  3279
Total Device Samples:  41702
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/29/13 6:35:01 PM,C,24.66
3/29/13 7:35:01 PM,C,23.16
3/29/13 8:35:01 PM,C,18.656
3/29/13 9:35:01 PM,C,13.144
3/29/13 10:35:01 PM,C,9.132
3/29/13 11:35:01 PM,C,6.623
3/30/13 12:35:01 AM,C,5.117
3/30/13 1:35:01 AM,C,3.108
3/30/13 2:35:01 AM,C,2.103
3/30/13 3:35:01 AM,C,0.595
3/30/13 4:35:01 AM,C,-0.41
3/30/13 5:35:01 AM,C,-0.913
3/30/13 6:35:01 AM,C,-0.913
3/30/13 7:35:01 AM,C,-1.919
3/30/13 8:35:01 AM,C,1.098
3/30/13 9:35:01 AM,C,16.652
3/30/13 10:35:01 AM,C,25.16
3/30/13 11:35:01 AM,C,25.16
3/30/13 12:35:01 PM,C,26.16
3/30/13 1:35:01 PM,C,26.66
3/30/13 2:35:01 PM,C,27.16
3/30/13 3:35:01 PM,C,26.16
3/30/13 4:35:01 PM,C,25.16
3/30/13 5:35:01 PM,C,24.66
3/30/13 6:35:01 PM,C,23.66
3/30/13 7:35:01 PM,C,21.659
3/30/13 8:35:01 PM,C,18.656
3/30/13 9:35:01 PM,C,17.153
3/30/13 10:35:01 PM,C,17.153
3/30/13 11:35:01 PM,C,11.64
3/31/13 12:35:01 AM,C,12.142
3/31/13 1:35:01 AM,C,9.634
3/31/13 2:35:01 AM,C,8.631
3/31/13 3:35:01 AM,C,8.631
3/31/13 4:35:01 AM,C,9.132
3/31/13 5:35:01 AM,C,9.132
3/31/13 6:35:01 AM,C,8.631
3/31/13 7:35:01 AM,C,8.129
3/31/13 8:35:01 AM,C,9.132
3/31/13 9:35:01 AM,C,18.656
3/31/13 10:35:01 AM,C,24.66
3/31/13 11:35:01 AM,C,22.159
3/31/13 12:35:01 PM,C,21.659
3/31/13 1:35:01 PM,C,21.158
3/31/13 2:35:01 PM,C,22.159
