1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC000000133BF041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Mar 29 19:01:01 CST 2013
Mission Sample Count:  6557
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Mar 29 19:01:01 CST 2013
Total Mission Samples:  6557
Total Device Samples:  62976
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/29/13 7:01:01 PM,C,23.673
3/29/13 7:31:01 PM,C,22.673
3/29/13 8:01:01 PM,C,20.671
3/29/13 8:31:01 PM,C,19.168
3/29/13 9:01:01 PM,C,17.164
3/29/13 9:31:01 PM,C,17.164
3/29/13 10:01:01 PM,C,15.159
3/29/13 10:31:01 PM,C,12.651
3/29/13 11:01:01 PM,C,12.149
3/29/13 11:31:01 PM,C,10.643
3/30/13 12:01:01 AM,C,9.639
3/30/13 12:31:01 AM,C,9.136
3/30/13 1:01:01 AM,C,7.629
3/30/13 1:31:01 AM,C,7.629
3/30/13 2:01:01 AM,C,9.639
3/30/13 2:31:01 AM,C,8.634
3/30/13 3:01:01 AM,C,7.629
3/30/13 3:31:01 AM,C,7.629
3/30/13 4:01:01 AM,C,6.624
3/30/13 4:31:01 AM,C,6.624
3/30/13 5:01:01 AM,C,5.115
3/30/13 5:31:01 AM,C,5.618
3/30/13 6:01:01 AM,C,5.618
3/30/13 6:31:01 AM,C,5.618
3/30/13 7:01:01 AM,C,5.115
3/30/13 7:31:01 AM,C,5.115
3/30/13 8:01:01 AM,C,5.115
3/30/13 8:31:01 AM,C,8.634
3/30/13 9:01:01 AM,C,13.654
3/30/13 9:31:01 AM,C,20.17
3/30/13 10:01:01 AM,C,26.174
3/30/13 10:31:01 AM,C,26.174
3/30/13 11:01:01 AM,C,23.673
3/30/13 11:31:01 AM,C,24.174
3/30/13 12:01:01 PM,C,23.173
3/30/13 12:31:01 PM,C,24.174
3/30/13 1:01:01 PM,C,25.174
3/30/13 1:31:01 PM,C,24.674
3/30/13 2:01:01 PM,C,25.674
3/30/13 2:31:01 PM,C,26.674
3/30/13 3:01:01 PM,C,27.173
3/30/13 3:31:01 PM,C,26.674
3/30/13 4:01:01 PM,C,28.173
3/30/13 4:31:01 PM,C,24.174
3/30/13 5:01:01 PM,C,24.174
3/30/13 5:31:01 PM,C,23.673
3/30/13 6:01:01 PM,C,24.674
3/30/13 6:31:01 PM,C,23.173
3/30/13 7:01:01 PM,C,23.173
3/30/13 7:31:01 PM,C,21.171
3/30/13 8:01:01 PM,C,20.17
3/30/13 8:31:01 PM,C,19.168
3/30/13 9:01:01 PM,C,18.667
