1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7900000014956E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Mar 30 15:56:01 CDT 2013
Mission Sample Count:  3241
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 30 15:56:01 CDT 2013
Total Mission Samples:  3241
Total Device Samples:  37576
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/30/13 3:56:01 PM,C,28.179
3/30/13 4:56:01 PM,C,24.68
3/30/13 5:56:01 PM,C,21.678
3/30/13 6:56:01 PM,C,21.178
3/30/13 7:56:01 PM,C,18.174
3/30/13 8:56:01 PM,C,17.173
3/30/13 9:56:01 PM,C,16.171
3/30/13 10:56:01 PM,C,14.668
3/30/13 11:56:01 PM,C,15.169
3/31/13 12:56:01 AM,C,14.668
3/31/13 1:56:01 AM,C,14.167
3/31/13 2:56:01 AM,C,14.668
3/31/13 3:56:01 AM,C,14.668
3/31/13 4:56:01 AM,C,14.668
3/31/13 5:56:01 AM,C,14.167
3/31/13 6:56:01 AM,C,13.666
3/31/13 7:56:01 AM,C,13.164
3/31/13 8:56:01 AM,C,15.169
3/31/13 9:56:01 AM,C,24.18
3/31/13 10:56:01 AM,C,23.679
3/31/13 11:56:01 AM,C,24.18
3/31/13 12:56:01 PM,C,23.679
3/31/13 1:56:01 PM,C,23.679
3/31/13 2:56:01 PM,C,26.679
3/31/13 3:56:01 PM,C,26.679
3/31/13 4:56:01 PM,C,27.679
3/31/13 5:56:01 PM,C,22.179
3/31/13 6:56:01 PM,C,18.675
3/31/13 7:56:01 PM,C,14.668
3/31/13 8:56:01 PM,C,12.663
3/31/13 9:56:01 PM,C,11.159
3/31/13 10:56:01 PM,C,11.159
3/31/13 11:56:01 PM,C,12.162
4/1/13 12:56:01 AM,C,11.159
4/1/13 1:56:01 AM,C,10.657
4/1/13 2:56:01 AM,C,11.159
4/1/13 3:56:01 AM,C,13.666
4/1/13 4:56:01 AM,C,10.156
4/1/13 5:56:01 AM,C,13.164
4/1/13 6:56:01 AM,C,13.164
4/1/13 7:56:01 AM,C,13.164
4/1/13 8:56:01 AM,C,19.176
4/1/13 9:56:01 AM,C,20.677
4/1/13 10:56:01 AM,C,24.68
4/1/13 11:56:01 AM,C,27.179
4/1/13 12:56:01 PM,C,28.679
4/1/13 1:56:01 PM,C,30.677
4/1/13 2:56:01 PM,C,27.679
4/1/13 3:56:01 PM,C,27.179
4/1/13 4:56:01 PM,C,29.178
4/1/13 5:56:01 PM,C,23.679
4/1/13 6:56:01 PM,C,23.679
4/1/13 7:56:01 PM,C,19.176
4/1/13 8:56:01 PM,C,16.672
