1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 68000000149AF441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Mar 30 09:45:01 CDT 2013
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 30 09:45:01 CDT 2013
Total Mission Samples:  4096
Total Device Samples:  18277
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/30/13 9:45:01 AM,C,19.152
3/30/13 10:45:01 AM,C,18.151
3/30/13 11:45:01 AM,C,21.154
3/30/13 12:45:01 PM,C,22.155
3/30/13 1:45:01 PM,C,23.156
3/30/13 2:45:01 PM,C,20.654
3/30/13 3:45:01 PM,C,19.653
3/30/13 4:45:01 PM,C,19.653
3/30/13 5:45:01 PM,C,19.152
3/30/13 6:45:01 PM,C,17.149
3/30/13 7:45:01 PM,C,16.648
3/30/13 8:45:01 PM,C,15.646
3/30/13 9:45:01 PM,C,14.644
3/30/13 10:45:01 PM,C,15.145
3/30/13 11:45:01 PM,C,14.644
3/31/13 12:45:01 AM,C,14.143
3/31/13 1:45:01 AM,C,14.143
3/31/13 2:45:01 AM,C,13.642
3/31/13 3:45:01 AM,C,15.145
3/31/13 4:45:01 AM,C,13.642
3/31/13 5:45:01 AM,C,13.141
3/31/13 6:45:01 AM,C,13.141
3/31/13 7:45:01 AM,C,13.642
3/31/13 8:45:01 AM,C,16.147
3/31/13 9:45:01 AM,C,17.149
3/31/13 10:45:01 AM,C,18.151
3/31/13 11:45:01 AM,C,20.654
3/31/13 12:45:01 PM,C,18.652
3/31/13 1:45:01 PM,C,18.652
3/31/13 2:45:01 PM,C,17.149
3/31/13 3:45:01 PM,C,18.151
3/31/13 4:45:01 PM,C,17.65
3/31/13 5:45:01 PM,C,15.145
3/31/13 6:45:01 PM,C,13.642
3/31/13 7:45:01 PM,C,12.138
3/31/13 8:45:01 PM,C,10.634
3/31/13 9:45:01 PM,C,10.634
3/31/13 10:45:01 PM,C,9.63
3/31/13 11:45:01 PM,C,10.132
4/1/13 12:45:01 AM,C,10.634
4/1/13 1:45:01 AM,C,10.634
4/1/13 2:45:01 AM,C,10.634
4/1/13 3:45:01 AM,C,9.129
4/1/13 4:45:01 AM,C,9.129
4/1/13 5:45:01 AM,C,10.132
4/1/13 6:45:01 AM,C,11.135
4/1/13 7:45:01 AM,C,11.637
4/1/13 8:45:01 AM,C,15.646
4/1/13 9:45:01 AM,C,17.149
4/1/13 10:45:01 AM,C,21.154
4/1/13 11:45:01 AM,C,26.656
4/1/13 12:45:01 PM,C,23.656
4/1/13 1:45:01 PM,C,24.656
4/1/13 2:45:01 PM,C,20.654
4/1/13 3:45:01 PM,C,21.154
4/1/13 4:45:01 PM,C,21.655
4/1/13 5:45:01 PM,C,19.152
4/1/13 6:45:01 PM,C,17.65
4/1/13 7:45:01 PM,C,16.147
4/1/13 8:45:01 PM,C,15.646
4/1/13 9:45:01 PM,C,11.637
4/1/13 10:45:01 PM,C,12.138
4/1/13 11:45:01 PM,C,11.637
4/2/13 12:45:01 AM,C,11.637
4/2/13 1:45:01 AM,C,11.135
4/2/13 2:45:01 AM,C,11.637
4/2/13 3:45:01 AM,C,11.135
